review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
753517127,https://www.tripadvisor.com/Hotel_Review-g60763-d4799063-Reviews-Hyatt_Centric_Times_Square_New_York-New_York_City_New_York-or0.html?filterLang=en,Hyatt Centric Times Square New York,"May 14, 2020",A modern brand under the Hyatt group. Love the vibe of the Hyatt Centric Times Square NY. Staff were friendly and attentive without being too uptight like some of the 5-star hotels. Room was clean and spacious. Definitely coming back when we are able to travel again! ,"Sydney, Australia","iluv69</div><div class=""userLoc""><strong>Sydney, Australia</strong>",236,5.0
680867699,https://www.tripadvisor.com/Hotel_Review-g60763-d4799063-Reviews-Hyatt_Centric_Times_Square_New_York-New_York_City_New_York-or0.html?filterLang=en,Hyatt Centric Times Square New York,"June 11, 2019","We stayed in the Hyatt Centric Times Square for four nights and were very, very pleased. I requested early check-in, since we were arriving about 5 hours before the 4 p.m. check-in. They held our luggage so we could go out and grab lunch and they texted me when our room was ready (2-3 hours early). The room was spotlessly clean and very comfortable. The beds were super-comfortable, which is a big deal to me - I often have a hard time sleeping, so supportive pillows and soft linens are really important. Towels and toiletries were replenished every day; we never had to ask for anything.The location on 45th Street is steps away from Times Square and most of the theaters; across the street from a Starbucks; and just a couple blocks away (in various directions) to Rockefeller Center, Bryant Park, and the train stations around 42nd Street. It was a roughly 20-minute walk from the hotel to the Intrepid Air, Sea and Space Museum. This hotel was an excellent home base for us; no matter where we were in the morning or early afternoon, we'd come back to rest for a bit before our evening plans.Years ago we had a terrible experience at a ""proper"" Hyatt in Florida and I wasn't sure I'd ever go to a high-end Hyatt property again. We've stayed in a Hyatt Place and liked it, but it took us six or seven years to be willing to try a property like this one. And they made it so wonderful. If you're looking for a comfortable hotel to be your home base in Times Square/Midtown, give Hyatt Centric Times Square a try.","Titusville, Florida","GetOutMama</div><div class=""userLoc""><strong>Titusville, Florida</strong>",13,5.0
752566985,https://www.tripadvisor.com/Hotel_Review-g60763-d4799063-Reviews-Hyatt_Centric_Times_Square_New_York-New_York_City_New_York-or0.html?filterLang=en,Hyatt Centric Times Square New York,"April 13, 2020","A great hotel, just off Times Square. Great view from our floor to ceiling windows. Very modern, and great size rooms, especially for New York. Only downside was that the children were not permitted in the bar area. The view from the bar is fantasticwitj a clear view to the Chrysler building. You can also see the hotel quite clearly from the Top of The Rock!The housekeeping staff were great too.","Manchester, United Kingdom","Mummcg</div><div class=""userLoc""><strong>Manchester, United Kingdom</strong>",2,4.0
751861444,https://www.tripadvisor.com/Hotel_Review-g60763-d4799063-Reviews-Hyatt_Centric_Times_Square_New_York-New_York_City_New_York-or0.html?filterLang=en,Hyatt Centric Times Square New York,"March 26, 2020","I stay at a lot of Hyatts (Im a globalist) and I think the Hyatt Place on 39/9 is idea. It is close to everything a tourist likes but is a few blocks away from the craziness of Times Square, giving you lots of dining options in Hell's Kitchen. The staff is so attentive and wonderful. I had a few requests while there and they attended to each of them. Its a brand new property so the rooms and clean and fresh. Highly recommend.",,G1196NDcharlesc,0,5.0
751644806,https://www.tripadvisor.com/Hotel_Review-g60763-d4799063-Reviews-Hyatt_Centric_Times_Square_New_York-New_York_City_New_York-or0.html?filterLang=en,Hyatt Centric Times Square New York,"March 22, 2020","This was our first time at a Hyatt Centric brand hotel and our expectations were certainly surpassed. Excellent front-desk staff (points for keeping the lobby dry on rainy days). Rooms are above average in size for the area and clean with modern features. Bonus points for the rooftop bar. Could use some additional snack options though there is a Starbucks right across the street and, of course, plenty just around the corner in Times Square.","Miami, Florida","ellen0206</div><div class=""userLoc""><strong>Miami, Florida</strong>",65,4.0
751121533,https://www.tripadvisor.com/Hotel_Review-g60763-d4799063-Reviews-Hyatt_Centric_Times_Square_New_York-New_York_City_New_York-or5.html?filterLang=en,Hyatt Centric Times Square New York,"March 16, 2020","We had a great reception when we arrived. Not only friendly and courteous but our room was upgraded at no extra charge. On the 39th floor we had an excellent view of NYC. The bathroom floor was heated, a welcomed surprise during the colder months. The Rooftop Bar on the 54th floor was a great space to relax and again have great views of the city. We will use this hotel again. We travel at least once a year to the city.","Las Vegas, Nevada","R0xC</div><div class=""userLoc""><strong>Las Vegas, Nevada</strong>",5,4.0
751086380,https://www.tripadvisor.com/Hotel_Review-g60763-d4799063-Reviews-Hyatt_Centric_Times_Square_New_York-New_York_City_New_York-or5.html?filterLang=en,Hyatt Centric Times Square New York,"March 16, 2020","We stayed at the Hyatt Centric for 7 nights and the it met every one of our needs as a couple exploring the city, for a very reasonable price!! The location was great, with Times Square just a stone's throw away and plenty of bars and restaurants within walking distance. We had a king size room on the 19th floor, which was very spacious, lovely bathroom and shower. The staff were very accommodating, with our room being made every day, fresh towels, and coffee and water bottles being topped up daily. The roof top bar had amazing views, but rather expensive... Would definitely recommend!","Shrewsbury, United Kingdom","Sian-Elizabeth93</div><div class=""userLoc""><strong>Shrewsbury, United Kingdom</strong>",0,5.0
751022112,https://www.tripadvisor.com/Hotel_Review-g60763-d4799063-Reviews-Hyatt_Centric_Times_Square_New_York-New_York_City_New_York-or5.html?filterLang=en,Hyatt Centric Times Square New York,"March 15, 2020",Our visit to NYC was lovely. The Hyatt Centric Times Square was fabulous! The shower was AMAZING. The location was perfect. The staff was very attentive to all needs/requests. I would definitely stay here again. ,"Brandon, Mississippi","mbgoad</div><div class=""userLoc""><strong>Brandon, Mississippi</strong>",0,5.0
750986753,https://www.tripadvisor.com/Hotel_Review-g60763-d4799063-Reviews-Hyatt_Centric_Times_Square_New_York-New_York_City_New_York-or5.html?filterLang=en,Hyatt Centric Times Square New York,"March 15, 2020","We stayed here for four nights. Due to the pandemic NYC was very quiet so we were offered the chance to upgrade the room for $25 per night, we declined this as didn’t intend on being in the room that much. The room we had, on 20th floor, was really nice. Could see some of time square lights, plenty of room (By NYC standards) and a big bathroom. The hotel is yards from time square, an ideal location if you are a first timer to New York. I felt the pricing was a little inconsistent, when we asked before we arrived about cars to and from the airport we were quoted $120 (ish) each way, however, when we asked at the hotel it was $75 set fee. We opted for this as it was only $5 more than the total price of a set fee yellow cab. When we asked to keep the room on it was $50 per hour, which seemed excessive considering NYC was in an emergency situation and travel was prohibited from a lot of countries so rooms were available and an upgrade was only $25.Staff were helpful when needed. It’s clean and tidy but for some reason we both got electric shocks off of everything we touched. We ended up touching everything through clothes, which I suppose wasn’t bad thing considering the circumstances. Would stay here again. ","Brough, United Kingdom","AndyandLucy2019</div><div class=""userLoc""><strong>Brough, United Kingdom</strong>",11,4.0
750911008,https://www.tripadvisor.com/Hotel_Review-g60763-d4799063-Reviews-Hyatt_Centric_Times_Square_New_York-New_York_City_New_York-or5.html?filterLang=en,Hyatt Centric Times Square New York,"March 14, 2020",My grandaughter left her Apple Air Pods. They secured them for us. We had to leave unexpectedly and they were extremely understanding. The roof top bar is outstanding but not pretentious. The ground floor level bar/restaurant was very nice as well. Everyone was helpful and courteous .,,sammyjdavenport,0,5.0
