review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
752300137,https://www.tripadvisor.com/Hotel_Review-g60982-d242435-Reviews-Hyatt_Regency_Waikiki_Beach_Resort_Spa-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Hyatt Regency Waikiki Beach Resort & Spa,"April 5, 2020","The friendly staff who go above all standard expectations are what really sets the Hyatt Regency Waikiki Beach Resort apart from any of the 4 other hotels I have stayed at in Waikiki. The upgraded, modern and spacious rooms are as quiet as you hope for. I will never stay anywhere else if I can help it.","Honolulu, Hawaii","davidgalama</div><div class=""userLoc""><strong>Honolulu, Hawaii</strong>",0,5.0
752097049,https://www.tripadvisor.com/Hotel_Review-g60982-d242435-Reviews-Hyatt_Regency_Waikiki_Beach_Resort_Spa-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Hyatt Regency Waikiki Beach Resort & Spa,"March 31, 2020",Stayed 12 days for business. Very clean hotel with limited bar and restaurant on site. We used valet service multiple times everyday and everyone was pleasant and very helpful. Great recommendations for nearby resturants and how to get to the beach.,,MarkandConnie,18,5.0
751616861,https://www.tripadvisor.com/Hotel_Review-g60982-d242435-Reviews-Hyatt_Regency_Waikiki_Beach_Resort_Spa-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Hyatt Regency Waikiki Beach Resort & Spa,"March 22, 2020","I spent a week here on business, very nice Hotel, shops at the lower level.Room was nice and faced the ocean.The staff here is exceptionally friendly and helpful.The Regency Club is nice, plenty of food.","Denver, Colorado","Michael M</div><div class=""userLoc""><strong>Denver, Colorado</strong>",113,5.0
751561657,https://www.tripadvisor.com/Hotel_Review-g60982-d242435-Reviews-Hyatt_Regency_Waikiki_Beach_Resort_Spa-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Hyatt Regency Waikiki Beach Resort & Spa,"March 21, 2020",Would recommend this hotel to anyone but especially to family and friends. I did want more choices for food in hotel but there was alot of other places to eat that were close by. Would go to this hotel on any further visits .,"Crest Hill, Illinois","curlysandylock</div><div class=""userLoc""><strong>Crest Hill, Illinois</strong>",0,5.0
751415977,https://www.tripadvisor.com/Hotel_Review-g60982-d242435-Reviews-Hyatt_Regency_Waikiki_Beach_Resort_Spa-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Hyatt Regency Waikiki Beach Resort & Spa,"March 19, 2020","Best part of the beach, for sure, high views which change everything, great food in regency club free. Surfs up every day and every night!! So much fun and walk every where. Drove around Oahu for sure! Great time","Sterling Heights, Michigan","alexanderscarpet</div><div class=""userLoc""><strong>Sterling Heights, Michigan</strong>",2,5.0
751246053,https://www.tripadvisor.com/Hotel_Review-g60982-d242435-Reviews-Hyatt_Regency_Waikiki_Beach_Resort_Spa-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Hyatt Regency Waikiki Beach Resort & Spa,"March 17, 2020",outstanding place to stay and worth the money. I will surely invite other family friends and relatives to stay in this place anytime they will visit Honolulu. If ever have a chance again to go back to Hawaii I definitely stay again in this place.,"San Leandro, California","871luzl</div><div class=""userLoc""><strong>San Leandro, California</strong>",0,5.0
751155527,https://www.tripadvisor.com/Hotel_Review-g60982-d242435-Reviews-Hyatt_Regency_Waikiki_Beach_Resort_Spa-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Hyatt Regency Waikiki Beach Resort & Spa,"March 16, 2020","We loved this hotel and stayed for a mini honeymoon! Really my only complaint is that the food is very expensive and it’s only okay. We wouldn’t recommend getting the calamari at the pool, it was very fishy and we couldn’t finish eating it. However, with that being said it is an amazing hotel, definitely on the pricier side but you get what you pay for.","Milwaukee, Wisconsin","lhill2695</div><div class=""userLoc""><strong>Milwaukee, Wisconsin</strong>",0,4.0
751133111,https://www.tripadvisor.com/Hotel_Review-g60982-d242435-Reviews-Hyatt_Regency_Waikiki_Beach_Resort_Spa-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Hyatt Regency Waikiki Beach Resort & Spa,"March 16, 2020","Everything is easy at Hyatt, the check in, the check out, marvellous location, just in front of Waikiki Beach, the rooms are good, with famous TOTO to make our life easier.The swimming pool is not full of people.","London, United Kingdom","Jose C</div><div class=""userLoc""><strong>London, United Kingdom</strong>",12,5.0
750953876,https://www.tripadvisor.com/Hotel_Review-g60982-d242435-Reviews-Hyatt_Regency_Waikiki_Beach_Resort_Spa-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Hyatt Regency Waikiki Beach Resort & Spa,"March 15, 2020","As a Hyatt status member, Nicole and Stacey (VIP Services) made me feel very welcomed, amazing first impression! Additionally, had dinner at The Buffet and the service from the staff and my waitress Pam was exceptional. Their recommendations were on-point, and Pam didn’t overly check-on me to disturb my peaceful eating. Awesome Hyatt experience at this location! Thank you! ","San Antonio, Texas","pleter45</div><div class=""userLoc""><strong>San Antonio, Texas</strong>",0,5.0
750864632,https://www.tripadvisor.com/Hotel_Review-g60982-d242435-Reviews-Hyatt_Regency_Waikiki_Beach_Resort_Spa-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Hyatt Regency Waikiki Beach Resort & Spa,"March 14, 2020","We stayed here for two nights. The check-in process was rather long but the rooms were large, clean und comfortable. The view over Waikiki Beach is amazing. The location is good and one can walk everywhere.","London, United Kingdom","EllaTara</div><div class=""userLoc""><strong>London, United Kingdom</strong>",1,3.0
