review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
744511104,https://www.tripadvisor.com/Hotel_Review-g14129477-d1082523-Reviews-KKR_Hotel_Tokyo-Otemachi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,KKR Hotel Tokyo,"February 11, 2020","I stayed here in November when it was super rainy. Granted you have the entrance to Takebashi Metro station right outside the door, but there are no lifts from the underground - only long flights of stairs, so it will be difficult with heavy luggage.Also, the same category of single rooms have 2 types - one at the long side of the building with much bigger space, and one more type at the shorter side of the building with much lesser space. As for the toilet in the rooms - some rooms are more updated, compared to the others, so the washlet toilets are much better, whereas the older ones aren't as good. Other than that, I think it's a fairly standard business hotel -nothing fancy. Also, if you book a twin room, make sure to write TWIN there - they gave me a double bed for my twin room, which made for some laughs when my friend and I checked in.","Singapore, Singapore","sodiumion</div><div class=""userLoc""><strong>Singapore, Singapore</strong>",12,3.0
732180477,https://www.tripadvisor.com/Hotel_Review-g14129477-d1082523-Reviews-KKR_Hotel_Tokyo-Otemachi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,KKR Hotel Tokyo,"December 11, 2019","The standard room was 'Japanese size' but surprising the bathtub was full size. Small 'nook' for hanging clothes with no door, a nice desk to work on with a mirror in front, full-length mirror by the entrance door. 2 electric sockets in the bathroom and 2 more by the desk. A minifridge in a cabinet attached to the desk. Green and brown tea (1 each) every day with the hot pot for boiling water. The TV is maybe 42 inches (didn't measure) but I didn't use it because all I found were Japanese shows. Might have others but couldn't read the remote buttons as they were in Japanese and I was busy so no time to watch. If you want a Japanese breakfast, you need to buy the vouchers. Coffee/tea, salad, beans and edamame, tomatoes and some egg and franks, fried potatoes. BEST was the croissants with really nice blueberry conserve with tons of whole blueberries inside. A separate Japanese table with more local favourites. Entrance to the underground train right out the front door and a block walk underground to the train. Limited food options for lunch or dinner but within 5 or 6 blocks, many more options if you turn LEFT out the front door. Front desk staff do not all speak English but the would summon someone who did speak it fairly well. ","Singapore, Singapore","mikepodo</div><div class=""userLoc""><strong>Singapore, Singapore</strong>",49,3.0
731530925,https://www.tripadvisor.com/Hotel_Review-g14129477-d1082523-Reviews-KKR_Hotel_Tokyo-Otemachi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,KKR Hotel Tokyo,"December 9, 2019","The hotel is a classic mid-range hotel, looking rather dated in design and layout but has plenty to recommend it. Each floor has several vending machines that provide alcohol, drinks and food, like a mini convenience store. There is a large wedding venue inside that can be seen from several floors. Located close to the Imperial Palace, so you can visit or go for that early morning jog. The Takebashi subway station is right by the hotel's entrance (though there are no lifts, and there are a lot of stairs - unfortunate if you have several heavy luggage). Breakfast choices include continental or Japanese. There is a cafe on the ground floor but the breakfast restaurant is actually on the 12th floor.",Australia,"Lynkster</div><div class=""userLoc""><strong>Australia</strong>",123,4.0
717965918,https://www.tripadvisor.com/Hotel_Review-g14129477-d1082523-Reviews-KKR_Hotel_Tokyo-Otemachi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,KKR Hotel Tokyo,"October 13, 2019","I stayed in this hotel for 4 nights for a business trip. The hotel is very well located, with 1 min walk to the Takebashi station and 10 min walk from the Imperial Palace.My room is a deluxe single room so it is of a reasonable size in Tokyo standard. My friend stayed in a regular single which is rather small. The room is generally tidy with basic equipment and bath provisions. The decoration is rather old school without any impressive features. The staff are friendly and helpful, keeping the good Japanese standard.Overall, this is an average hotel for short stay or travelers looking for a reasonable room rate in Tokyo.","Hong Kong, China","Caveman_Lee</div><div class=""userLoc""><strong>Hong Kong, China</strong>",83,3.0
686258295,https://www.tripadvisor.com/Hotel_Review-g14129477-d1082523-Reviews-KKR_Hotel_Tokyo-Otemachi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,KKR Hotel Tokyo,"July 2, 2019",First time in Tokyo: Experience in the hotel was too good for me. I like small and cozy rooms. All the amenities were there along with a bathtub. Nothing else I can ask for.Very helpful staffs.Nice cafe.Very convenient for metro.I recommend Hotel KKR in Tokyo.,,Nandini R,2,5.0
644747259,https://www.tripadvisor.com/Hotel_Review-g14129477-d1082523-Reviews-KKR_Hotel_Tokyo-Otemachi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,KKR Hotel Tokyo,"January 9, 2019",This is a clean well run hotel. It is located next to a metro stop which is convenient (although if coming with suitcases from airport there is a lot of stairs for bags). The staff are very accomodating. The breakfast buffet is good and has a lovely view of the park. This hotel has a wedding venue in the middle of it and I would think its mostly aimed at weddings and parties.,"Auckland, New Zealand","brittanynealie</div><div class=""userLoc""><strong>Auckland, New Zealand</strong>",1,4.0
634230789,https://www.tripadvisor.com/Hotel_Review-g14129477-d1082523-Reviews-KKR_Hotel_Tokyo-Otemachi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,KKR Hotel Tokyo,"November 18, 2018","I stayed at this hotel when in a business trip to Tokyo. I arrived at around 0600 having flown in from London. Some what disappointed when they said I had to wait till 3 for check in, but it was the night staff so went for a walk around the Edo palace walls, very nice, and then had a coffee at starbucks, I got back to the hotel at around 1030, and asked about the room, they asked me to wait a few minutes and then gave me the room key, for which i was very grateful. The room was lovely with a view over the palace, it was spotlessly clean. I did have breakfast the next day but decided not to bother after that, it was a somewhat limited choice. I would stay in the hotel again because of its location.",UK,"dpc63</div><div class=""userLoc""><strong>UK</strong>",97,4.0
619270873,https://www.tripadvisor.com/Hotel_Review-g14129477-d1082523-Reviews-KKR_Hotel_Tokyo-Otemachi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,KKR Hotel Tokyo,"September 24, 2018",The checkin process was very easy. The room was clean and bright and cosy! The hotel was located next to a metro stop. The area is not interesting and the restaurants nearby were not that special. I travelled outside of Chiyoda for food and for exploring.,"Palo Alto, California","Navin C</div><div class=""userLoc""><strong>Palo Alto, California</strong>",0,4.0
598287445,https://www.tripadvisor.com/Hotel_Review-g14129477-d1082523-Reviews-KKR_Hotel_Tokyo-Otemachi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,KKR Hotel Tokyo,"July 21, 2018","Good location, great views, and tasty breakfast. As a 3- or 4-star hotel, this has a lot going for it. I've travelled a lot in Japan, but this was my first time to be surprised at the room not having been cleaned very well. Dusty shelf (where we're supposed to put clothes) and dirty carpet ... Really, since everything else is so good, why let yourselves down on this?!","Ningbo, China","Dave T</div><div class=""userLoc""><strong>Ningbo, China</strong>",131,4.0
580069187,https://www.tripadvisor.com/Hotel_Review-g14129477-d1082523-Reviews-KKR_Hotel_Tokyo-Otemachi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,KKR Hotel Tokyo,"May 14, 2018","I love this hotel's location since it is just across the road from Imperial Palace's ground where many people do the morning run.However, the hotel is quite far from shopping centres and minimarts (the closest one is around 7-10 minutes walk).The lobby is very large so that you will have a comfortable feeling. Amenities is to be expected from Japanese hotels with pajamas cloak. The room is small but comfortable.WiFi speed is extremely fast, up to 45.38 mbps.","Bangkok, Thailand","nuttkun_</div><div class=""userLoc""><strong>Bangkok, Thailand</strong>",6,4.0
