review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
748300535,https://www.tripadvisor.com/Hotel_Review-g1066454-d12958764-Reviews-Keikyu_EX_Inn_Haneda-Ota_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Keikyu EX Inn Haneda,"February 29, 2020","Our first stay at a Japanese hotel. Enjoyed our stay. We had three adults and a child in our party, room is small but adequate. We would stay again. We paid extra for the breakfast and don't regret our choice.",,Leighton B,0,4.0
743725211,https://www.tripadvisor.com/Hotel_Review-g1066454-d12958764-Reviews-Keikyu_EX_Inn_Haneda-Ota_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Keikyu EX Inn Haneda,"February 8, 2020","Stayed here for one night before catching my early morning flight back to the UK from the International terminal. I found this hotel to be clean and modern. My single room was compact but comfortable and well equipped. A simple little breakfast was included in the price. There is no bar or restaurant but drinks machines and sitting areas are available. Shuttle bus runs in the morning to the airport free of charge, however you can also access on the Tokyo monorail line. It is only 1 stop to the International terminal.","Glasgow, United Kingdom","R C</div><div class=""userLoc""><strong>Glasgow, United Kingdom</strong>",7,5.0
733789690,https://www.tripadvisor.com/Hotel_Review-g1066454-d12958764-Reviews-Keikyu_EX_Inn_Haneda-Ota_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Keikyu EX Inn Haneda,"December 20, 2019","Great hotel to stay for one night if you are flying out from Haneda early in the morningPros:- clean and new- free shuttle bus from airport to hotel- free welcome drink service - nice breakfastCons:- shuttle bus only available at domestic terminal, if you are flying internationally you need to take another shuttle bus to go from international terminal to domestic terminal- shuttle bus driver has no smile and looks like he doesn't want to drive","Paradise, California","Bambooscent</div><div class=""userLoc""><strong>Paradise, California</strong>",87,4.0
733392460,https://www.tripadvisor.com/Hotel_Review-g1066454-d12958764-Reviews-Keikyu_EX_Inn_Haneda-Ota_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Keikyu EX Inn Haneda,"December 18, 2019",Reached Tokyo close to midnight hence we opted for Keikyu inn Haneda. Did not disappoint. Transfer service was seamless to and fro. Hotel was immaculately clean. 3 beds await the family. Even the simple breakfast kept our stomachs warm and filled. ,"Singapore, Singapore","944angiep</div><div class=""userLoc""><strong>Singapore, Singapore</strong>",17,5.0
731368191,https://www.tripadvisor.com/Hotel_Review-g1066454-d12958764-Reviews-Keikyu_EX_Inn_Haneda-Ota_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Keikyu EX Inn Haneda,"December 8, 2019","Even though I only stayed for one night, I loved my stay! Came to this hotel as a late night stop before heading into Tokyo and enjoyed the complimentary bus ride to the hotel...when I checked in, the staff heeded all my requests as per my booking. (I’m a very light sleeper so I requested a room far away from the elevator on a high floor and the staff were so kind to give me exactly as requested).The room with the double bed was surprisingly big, and most importantly, clean and pristine. My sister and I were too tired to wake up for the complimentary breakfast so we skipped it. Checkout was a breeze. When my sister realized she left her glasses in the room, we emailed the staff and they couriered the glasses to our hotel in Asakusa. Very friendly staff!Thank you very much for the enjoyable stay and I will be sure to come back on my next Tokyo trip. :)","Rancho Palos Verdes, California","nivhana</div><div class=""userLoc""><strong>Rancho Palos Verdes, California</strong>",48,4.0
726131628,https://www.tripadvisor.com/Hotel_Review-g1066454-d12958764-Reviews-Keikyu_EX_Inn_Haneda-Ota_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Keikyu EX Inn Haneda,"November 13, 2019","Nice and modern hotel. Booked here for a night as catching a morning flight. Room is small, cosy and clean. Free shuttle to and from Haneda hotel is great. But the service to airport ends in the morning. If you have big luggages will be a bit inconvenient as you need to exit from the station, cross the bridge to reach the hotel. All in about about 15 min walk. Overall comfortable stay and good if you catching a morning flight. ","Singapore, Singapore","Plum55</div><div class=""userLoc""><strong>Singapore, Singapore</strong>",7,4.0
723140805,https://www.tripadvisor.com/Hotel_Review-g1066454-d12958764-Reviews-Keikyu_EX_Inn_Haneda-Ota_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Keikyu EX Inn Haneda,"November 1, 2019",I sent them message earlier asking if there would be any shuttle available for pick up in early morning. The answer is noSo I took a taxi to the hotel desperate for a rest before the dayThen the receptionist asked me for the check out time. It should be 10am no later or I will have to pay 1100yen. Given that I contacted them earlier for the plan and no one told me about this. I would pay more for this hotel since I could only sleep 4 hours there. 10am strict check out time to me is ridiculous ,"Hong Kong, China","Wanson</div><div class=""userLoc""><strong>Hong Kong, China</strong>",109,3.0
720719795,https://www.tripadvisor.com/Hotel_Review-g1066454-d12958764-Reviews-Keikyu_EX_Inn_Haneda-Ota_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Keikyu EX Inn Haneda,"October 23, 2019","With no English tv or any place on the premises in which to dine, I would have to say that the hotel is a disappointment. It's fine that the rooms are small; it's a one night stay to expedite passage to the airport, but still.....The nearest restaurant is blocks away! Why they give you pajamas and no water in the room is a curious thing. There is really very little staff to answer questions or provide anything - it's like a self-service hotel, whatever that may be...","New York City, New York","GEG378</div><div class=""userLoc""><strong>New York City, New York</strong>",43,2.0
720419202,https://www.tripadvisor.com/Hotel_Review-g1066454-d12958764-Reviews-Keikyu_EX_Inn_Haneda-Ota_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Keikyu EX Inn Haneda,"October 22, 2019",Hotel has free shuttle bus service till 9:30. It was great as I needed to get a flight very earlier morning. The bus staff looked so tired though... No smile and even seemed a bit grumpy... Anyway hotel itself was good. Room wasn’t too small. They have a coffee machine near the reception so we could get free coffee when we wanted. ,"Canberra, Australia","francescays</div><div class=""userLoc""><strong>Canberra, Australia</strong>",33,5.0
711042820,https://www.tripadvisor.com/Hotel_Review-g1066454-d12958764-Reviews-Keikyu_EX_Inn_Haneda-Ota_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Keikyu EX Inn Haneda,"September 18, 2019","Spent just one night here prior to a Tokyo-US flight but was very impressed with the room size, cleanliness and features. Location is very close to Haneda airport and the free shuttle service to the airport is a bonus. There are a few cafe restaurants in easy walking distance and convenience stores if needed. I would definitely use this hotel again in the future if my travel plans required.","Adelaide, Australia","Joe C</div><div class=""userLoc""><strong>Adelaide, Australia</strong>",12,4.0
