review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
752905557,https://www.tripadvisor.com/Hotel_Review-g14133673-d304305-Reviews-Keio_Plaza_Hotel_Tokyo-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Keio Plaza Hotel Tokyo,"April 25, 2020","We were only meant to be here 3 nights but due to COVID 19 ended up spending 5 nights here before flying home early. It’s a fantastic hotel 5 star! Staff were all wonderful and I even got the most delicious birthday treat on arrival. The hotel was extremely clean and the staff proactive prompted you to use the hand sanitiser when re entering the hotel. Really easy to get around from here, we walked a lot but there is still plenty of public transport near by. I will stay here again and I highly recommend it!",,mo71ey,42,5.0
751631358,https://www.tripadvisor.com/Hotel_Review-g14133673-d304305-Reviews-Keio_Plaza_Hotel_Tokyo-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Keio Plaza Hotel Tokyo,"March 22, 2020","We sprung for a premium twin room with Executive Lounge access. The room was excellent with a good bathroom. The lounge was very nice, but I would suggest that the hotel expand its menu of evening hors d’oeuvres and mix them up a bit. What they served was ok, but not the same thing every night. The staff were all excellent and very friendly.","Sacramento, CA","IxChel3300</div><div class=""userLoc""><strong>Sacramento, CA</strong>",73,5.0
751572678,https://www.tripadvisor.com/Hotel_Review-g14133673-d304305-Reviews-Keio_Plaza_Hotel_Tokyo-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Keio Plaza Hotel Tokyo,"March 21, 2020",We flew into Narita airport and got a quote from a taxi for over $200 so we went to the bus and they only charge half price for kids under 12 and free for 4 yr of lap children so it was perfect. The bus came regularly and dropped us off right in front of the hotel so it was really convenient. The lobby was beautifully decorated with these hanging dolls for a festival and there was tons of hand sanitizer. We checked into two rooms and they gave the kids these toiletry bags with little slippers and toothbrushes and they were so cute! The kids loved the robes in the room and the view of the metropolitan building. The rooms were big and didn’t feel like other hotels we stayed in Shinjuku. Great location as it was close to the shinjuku station and we had a great time finding the udon restaurants at 8 in the morning. We didn’t eat at the restaurants in the hotel but they looked really nice. I recommend the updated rooms. ,"Austin, Texas","lilyberkolu</div><div class=""userLoc""><strong>Austin, Texas</strong>",1,5.0
751032589,https://www.tripadvisor.com/Hotel_Review-g14133673-d304305-Reviews-Keio_Plaza_Hotel_Tokyo-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Keio Plaza Hotel Tokyo,"March 15, 2020",We stayed for a couple of nights and were very happy with our room - not super luxurious but had everything we needed and was clean and comfortable. The location is excellent and we had a surprisingly good brunch in one of the hotel restaurants. One issue we had was that on the Saturday evening we were keen to have a drink in the hotel before going out to dinner but every single bar was either full (!!) and not allowing anyone else in or had not yet opened and we were gobsmacked that we couldn't have a drink at any bar in the hotel before we went out to dinner! We eventually had to wait quite some time but managed to get into the smoking area of the bar on one of the top floors and the view was spectacular!! We were extremely lucky because only one person smoked more than one cigarette and we weren't too close. They need to halve the size of the smoking area and open it up to non-smokers because the smoking area was almost empty and the non-smoking area was packed full - not a sensible use of space.,"Auckland, New Zealand","kiwifi2015</div><div class=""userLoc""><strong>Auckland, New Zealand</strong>",25,4.0
750714620,https://www.tripadvisor.com/Hotel_Review-g14133673-d304305-Reviews-Keio_Plaza_Hotel_Tokyo-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Keio Plaza Hotel Tokyo,"March 13, 2020","What an outstanding place.The experience we had was above and beyond, everything from the entrance to the hotel to leaving the hotel was fantastic.Everyone was extremely friendly and very accommodating and helpful.The rooms were amazing.Hotel is located in a great area.The view from our rooms was breathtaking.","West Bloomfield, Michigan","joshuab210</div><div class=""userLoc""><strong>West Bloomfield, Michigan</strong>",87,5.0
749752975,https://www.tripadvisor.com/Hotel_Review-g14133673-d304305-Reviews-Keio_Plaza_Hotel_Tokyo-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Keio Plaza Hotel Tokyo,"March 7, 2020","We stayed here for two days prior to a Princess Cruise. This hotel is crazy expensive! Our room was so small we had no place to put our luggage. Lunch for 6 people (burgers and fries) was $250.00. So not worth it. The hotel is huge, members of our party got split up and the staff could not have cared less. Such a disappointing start to a vacation. Try to avoid this one.",,SusanR_Vegas,4,2.0
749606596,https://www.tripadvisor.com/Hotel_Review-g14133673-d304305-Reviews-Keio_Plaza_Hotel_Tokyo-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Keio Plaza Hotel Tokyo,"March 6, 2020","This is my 2nd time to stay at this hotel. The staff were very polite and professional. Despite the room is a standard type which was not spacious, it was neat and tidy, and especially with good view. We could have a panoramic view of Metropolitan Government Building！It was also convenient to access Shinjuku Station to take JR to anywhere you like.","Hong Kong, China","alicechem</div><div class=""userLoc""><strong>Hong Kong, China</strong>",1,5.0
749347680,https://www.tripadvisor.com/Hotel_Review-g14133673-d304305-Reviews-Keio_Plaza_Hotel_Tokyo-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Keio Plaza Hotel Tokyo,"March 5, 2020","Keio Plaza Hotel is located in an ideal place in Tokyo. Near enough to the hustle and bustle of Shinjuku, and yet situated in a quieter part of Shinjuku without the distractions of the city life. The hotel has excellent restaurants that cater to the different tastes of its guests, and the service team is superb. It's about 2-3km away from Yoyogi Park - a great place for a morning run or simply a walk in the park. The Meiji shrine/garden is just a train stop away from Shinjuku and a wonderful place to be in quiet meditation, in the heart of the city. Next to the Meiji Shrine is Harajuku - the iconic place for shopping and unique Japanese pop culture.","Singapore, Singapore","david_tribes</div><div class=""userLoc""><strong>Singapore, Singapore</strong>",1,5.0
749169272,https://www.tripadvisor.com/Hotel_Review-g14133673-d304305-Reviews-Keio_Plaza_Hotel_Tokyo-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Keio Plaza Hotel Tokyo,"March 4, 2020","Our family stayed here for 6 days in February. Fabulous location, great amenities and breakfast plus the room size was very reasonable. We liked the free shuttle bus to/from Disneyland plus the luggage service to deliver our luggage to the hotel.","Sydney, Australia","AdventurerAmy</div><div class=""userLoc""><strong>Sydney, Australia</strong>",10,5.0
748055407,https://www.tripadvisor.com/Hotel_Review-g14133673-d304305-Reviews-Keio_Plaza_Hotel_Tokyo-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Keio Plaza Hotel Tokyo,"February 27, 2020","Shinjuku is very huge and you can get lost here easily if you don't know the way. Keio Plaza Hotel is on the opposite side of Takashimaya where the bus terminal is closer and where all the major shopping destiantions are. I would recommend using the department stores to navigate around instead of going through the Shinjuku train station. Keio Plaza is close by Nishishinjuku, where Odakyu Railway is closer","Singapore, Singapore","vlee888</div><div class=""userLoc""><strong>Singapore, Singapore</strong>",7,4.0
