review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
750590295,https://www.tripadvisor.com/Hotel_Review-g60763-d93452-Reviews-LUXE_Life_Hotel-New_York_City_New_York-or0.html?filterLang=en,LUXE Life Hotel,"March 12, 2020","Great hotel, very old building with strange noises and slow elevators.Easy to get lost trying to find your roomWould be great if they added hot breakfast instead of the $12 Continental offeringThe service fee should include the Continental breakfast","Coram, New York","Mark S</div><div class=""userLoc""><strong>Coram, New York</strong>",0,4.0
747787930,https://www.tripadvisor.com/Hotel_Review-g60763-d93452-Reviews-LUXE_Life_Hotel-New_York_City_New_York-or0.html?filterLang=en,LUXE Life Hotel,"February 26, 2020",The location and rooms were nice. The amenities were lacking and a few of the front desk staff were not necessarily very friendly. The room was fairly quiet although there were some weird noises coming from the pipes that would wake us up.,,Katherinemcvey,1,3.0
747785192,https://www.tripadvisor.com/Hotel_Review-g60763-d93452-Reviews-LUXE_Life_Hotel-New_York_City_New_York-or0.html?filterLang=en,LUXE Life Hotel,"February 26, 2020","Perfectly situated, super friendly & helpful staff. Beautiful rooms & very clean. Brilliant service. Will visit again & refer everyone I know.The friendly staff & eagerness to make my holiday memorable was the highlight of my stay there.",,mogamadg,0,5.0
746562757,https://www.tripadvisor.com/Hotel_Review-g60763-d93452-Reviews-LUXE_Life_Hotel-New_York_City_New_York-or0.html?filterLang=en,LUXE Life Hotel,"February 21, 2020","I was a little worried at first from photos online, but was pleasantly surprised when I stayed at Luxe Life. Our room was clean, quiet and a very comfortable bed. I didn’t hear one city street noise at all. The only downside is if you’re lookin for a room with a view or even lookout, this is not it. But we didn’t mind as we were out all day in the city. It was nice to have a quiet, darker room. The bathroom is pretty nice, but small. But, things in NY tend to be that way. Again, cannot say enough about how comfortable the bed was. This spot was a great location as well. It’s so close to Herald Square and perfect midtown location. We scored free parking (on weekend) on the same street just a few blocks down. For the price, location and overall enjoyment, this is one of the places to stay. Also, with the resort fee, they give you Voss water bottles each day. Very pleased with accommodations and communication with the staff.",,Leftmyheartinthecity,0,4.0
745067068,https://www.tripadvisor.com/Hotel_Review-g60763-d93452-Reviews-LUXE_Life_Hotel-New_York_City_New_York-or0.html?filterLang=en,LUXE Life Hotel,"February 14, 2020","The Luxe Life Hotel is a great place to stay right in the heart of NYC. Easily assessible to tourist as well as business destinations. The hotel has nicely appointed rooms with new marble bathrooms and hardwood floors. They offer a great breakfast buffet in the morning and were just opening their new restaurant and lounge. It is definitely worth giving this hotel a try, you will Love It!!!","Los Angeles, California","WJCLA</div><div class=""userLoc""><strong>Los Angeles, California</strong>",2,5.0
745066913,https://www.tripadvisor.com/Hotel_Review-g60763-d93452-Reviews-LUXE_Life_Hotel-New_York_City_New_York-or5.html?filterLang=en,LUXE Life Hotel,"February 14, 2020","My boyfriend and i have a date night in manhattan once and week and enjoy staying at the different hotels NYC has to offer. This was our first time staying at a LIFE hotel and needless to say, we were impressed. The decor was luxe, yet comforting. Simple and contemporary yet classic in its design. The staff was very friendly and the accommodations were to our standards. We even ordered room service for breakfast! (we dont usually do this) The menu was perfect and affordable. The food came quickly and tasted great! (I had the California breakfast sandwich) We love this hotel and hope to stay again soon!",,janisev2020,0,5.0
745056622,https://www.tripadvisor.com/Hotel_Review-g60763-d93452-Reviews-LUXE_Life_Hotel-New_York_City_New_York-or5.html?filterLang=en,LUXE Life Hotel,"February 14, 2020","This is the only hotel I stay at in NYC. It’s clean, fun, luxurious, and in a fantastic location. The staff are friendly and know the area and will make suggestions for entertainment, shopping and more!Lots of history in this building. Craft cocktail anyone? You bet!Most comfortable beds!","Cincinnati, Ohio","Diana B</div><div class=""userLoc""><strong>Cincinnati, Ohio</strong>",3,5.0
744591090,https://www.tripadvisor.com/Hotel_Review-g60763-d93452-Reviews-LUXE_Life_Hotel-New_York_City_New_York-or5.html?filterLang=en,LUXE Life Hotel,"February 12, 2020","If you value a comfortable bed, this is most definitely not the hotel for you. The beds are made frommetal so you’ll hear chinking and clanking with every move you make, and the mattresses are so so soft you can barely move for sinking. They are deeply uncomfortable and my back is ACHING!The staff are so-so - when I called to ask for a different room (and a different bed!) I was dismissed... “oh, yes, some complain they’re too hard, some say too soft, but they’re all the same, so....”. The hallways need updating and feel a bit sad. Rooms are small, bathroom are fine but don’t expect them to restock shampoo or toilet paper everyday. All in all this is a 5/10.",,223huwd,0,2.0
741957892,https://www.tripadvisor.com/Hotel_Review-g60763-d93452-Reviews-LUXE_Life_Hotel-New_York_City_New_York-or5.html?filterLang=en,LUXE Life Hotel,"January 29, 2020","Warm kind staff, amazing location, clean hotel with fabulous stylish features. We would definitely stay here again. Bathroom was tiny but very pretty. Bed was comfortable and the lighting was very pretty.","Springfield, Virginia","SpringfieldVA1</div><div class=""userLoc""><strong>Springfield, Virginia</strong>",1,5.0
741935877,https://www.tripadvisor.com/Hotel_Review-g60763-d93452-Reviews-LUXE_Life_Hotel-New_York_City_New_York-or5.html?filterLang=en,LUXE Life Hotel,"January 29, 2020","I was very pleasantly surprised at the size of the bathroom especially (in these old quirky buildings, that can be tough to do) I stayed on the 9th floor and it was very quiet and comfortable. I do wish the lighting was better in the building itself - lobby and hallways. The lighting in the rooms was great though.","Hoboken, New Jersey","CBT0626</div><div class=""userLoc""><strong>Hoboken, New Jersey</strong>",2,4.0
739495592,https://www.tripadvisor.com/Hotel_Review-g60763-d93452-Reviews-LUXE_Life_Hotel-New_York_City_New_York-or10.html?filterLang=en,LUXE Life Hotel,"January 16, 2020","Our room was cute BUT we had issues with 1) the toilet running all night of our first night there and 2) first the shower only ran frigid water and the second night, the water was literally scalding. If we turned it down, the water again became ice cold; there was no in between. Also, the water filters inside tje ice closets were filthy.",,guymelchan,0,3.0
739179153,https://www.tripadvisor.com/Hotel_Review-g60763-d93452-Reviews-LUXE_Life_Hotel-New_York_City_New_York-or10.html?filterLang=en,LUXE Life Hotel,"January 14, 2020","Beautiful classy and affordable lodgings in a historic New York building. Friendly, helpful staff. Free 24 hour coffee, and breakfast. Just a great value. A much needed respite during a stressful trip. Can’t recommend higher.","Los Angeles, California","GrantByronGordon</div><div class=""userLoc""><strong>Los Angeles, California</strong>",0,5.0
737305900,https://www.tripadvisor.com/Hotel_Review-g60763-d93452-Reviews-LUXE_Life_Hotel-New_York_City_New_York-or10.html?filterLang=en,LUXE Life Hotel,"January 6, 2020","This small hotel, with very caring Receptionists and a wonderful cold breakfast, is on the edge of the Theatre District between Broadway and 5th Avenue. A ""Boutique"" hotel with small rooms and a large bathroom. Every light switch has a dimmer switch!","Ottawa, Canada","parkfed</div><div class=""userLoc""><strong>Ottawa, Canada</strong>",2,4.0
