review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
752758626,https://www.tripadvisor.com/Hotel_Review-g60982-d90108-Reviews-Lotus_Honolulu_at_Diamond_Head-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Lotus Honolulu at Diamond Head,"April 19, 2020","On our return from New Zealand we stayed two nights here during COVID “self isolation”. While we could not do anything but walk along the street by the lovely park nearby we had a great view of the ocean from our room - where needless to say we spent most of our time before our flight home. But the staff was extremely friendly and accommodating, and the hotel restaurant was doing limited menu dinner “take-out” delivered to your room. They made the best of a difficult time for all of us.","Birmingham, Alabama","wjb35242</div><div class=""userLoc""><strong>Birmingham, Alabama</strong>",1,5.0
728435566,https://www.tripadvisor.com/Hotel_Review-g60982-d90108-Reviews-Lotus_Honolulu_at_Diamond_Head-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Lotus Honolulu at Diamond Head,"November 23, 2019","The Lotus Honolulu at Diamondhead is our favorite hotel on Oahu because it is close to all the Waikiki activity without all the crowds and traffic. If you can score a corner room facing Diamondhead it is one of the best views in town—ocean to city with Kapiolani Park and Diamondhead right off your balcony. If you enjoy birding, the balcony is a great place to spot the birds of the park. The service is really great. They take the time to know your preferences and accommodate you. Plus, the lobby coffee is delicious (not that weak watery stuff so many hotels serve up). Great place to stay!","Los Angeles, California","YvonneB2528</div><div class=""userLoc""><strong>Los Angeles, California</strong>",4,5.0
751792135,https://www.tripadvisor.com/Hotel_Review-g60982-d90108-Reviews-Lotus_Honolulu_at_Diamond_Head-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Lotus Honolulu at Diamond Head,"March 25, 2020","We've stayed here multiple times and always had a great experience. This time they went even further.We intended to stay 5 nights at the end of a two week Honolulu vacation. Because of the COVID-9 situation, they allowed us to cancel the last 4 nights without penalty even though we were past the refund cutoff...and, they helped us by refunding the original cost deposit and gave us the present ""COVID-9"" pricing, virtually half the original price.Everyone of the staff were very helpful and full of Aloha, in the midst of their own difficulties during this period.We are forever Lotus Fans !!!","Hilton Head, South Carolina","Donald C I</div><div class=""userLoc""><strong>Hilton Head, South Carolina</strong>",32,5.0
751717176,https://www.tripadvisor.com/Hotel_Review-g60982-d90108-Reviews-Lotus_Honolulu_at_Diamond_Head-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Lotus Honolulu at Diamond Head,"March 23, 2020","This was my 4th time staying at the Lotus. I like that it is away from the crowds--I always walk up to the other hotels and restaurants along Waikiki Beach if I feel the need, and get a taxi back after dark. The hotel is small and basic but very clean, and the views from my room were great. The bed was fantastic. Although it could use some updating in some of the rooms (I heard they might be planning renovations) it is a nice place to stay. Christieann and JR at the Front Desk could not have been more friendly and helpful--in fact, everyone was wonderful. This was a big plus.","Chicago, Illinois","travelerinchicago</div><div class=""userLoc""><strong>Chicago, Illinois</strong>",10,5.0
751633236,https://www.tripadvisor.com/Hotel_Review-g60982-d90108-Reviews-Lotus_Honolulu_at_Diamond_Head-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Lotus Honolulu at Diamond Head,"March 22, 2020",Wonderful experience! The Lotus Honolulu at Diamond Head is the perfect blend between high-end hotel & boutique property. Upon arrival we had confusion about our booking; but JR went out of his way to ensure the accommodation exceeded expectations. The small resort fee also covers valet parking a HUGE perk in this area. We loved the location on the quieter part of Kalākaua Ave yet walkable to Waikiki. Bonus = each morning the front desk manager warmly greeted us (by name) as she checked out free beach chairs & towels for us. ,"Portland, Oregon","Robert_TX</div><div class=""userLoc""><strong>Portland, Oregon</strong>",6,5.0
751328269,https://www.tripadvisor.com/Hotel_Review-g60982-d90108-Reviews-Lotus_Honolulu_at_Diamond_Head-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Lotus Honolulu at Diamond Head,"March 18, 2020","Nice rooms, wonderful staff, steps from the beach & great views what else can you ask for. Did I mention free valet parking? We love this place. It's away enough from the hustle & bustle of Waikiki but close enough to still be there if you know what I mean.",Philadelphia,"New-Horizon</div><div class=""userLoc""><strong>Philadelphia</strong>",37,5.0
749628896,https://www.tripadvisor.com/Hotel_Review-g60982-d90108-Reviews-Lotus_Honolulu_at_Diamond_Head-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Lotus Honolulu at Diamond Head,"March 6, 2020","After a bad hotel in Maui, we were pleasantly surprised to arrive at the Lotus. The room is awesome, modern, pleasantly appointed. Picked the place to be away from Waikiki. The location was just close enough and easy to get around.","Los Angeles, California","dkla d</div><div class=""userLoc""><strong>Los Angeles, California</strong>",14,5.0
749263319,https://www.tripadvisor.com/Hotel_Review-g60982-d90108-Reviews-Lotus_Honolulu_at_Diamond_Head-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Lotus Honolulu at Diamond Head,"March 5, 2020","My husband and I spent 5 amazing days at the Lotus in October 2019. The ONLY complaint I have is that after a long flight, driving in the dark - the sign is very hard to see. We drove by a few times! However, everything else about the Lotus was fantastic. The staff was all very helpful and pleasant. The location is off the main strip so it is a bit more quiet, which we very much enjoyed. It is walking distance from the heart of Waikiki Beach, we walked to and from numerous times a day. There is immediate beach access too. There is an onsite restaurant with a wine down (that means free wine!). They also offer free ocean safe sunscreen which came in great packages that fit in a purse or bag easily. You can sign out beach chairs, blankets, umbrellas and I think even coolers. It was a great perk. There is valet parking at no extra charge. Last but not least - they offer free filtered water and a reusable water bottle (that is super cute and stylish). We really hope to go back again!","Edmonton, Canada","calliey2020</div><div class=""userLoc""><strong>Edmonton, Canada</strong>",0,5.0
748861089,https://www.tripadvisor.com/Hotel_Review-g60982-d90108-Reviews-Lotus_Honolulu_at_Diamond_Head-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Lotus Honolulu at Diamond Head,"March 3, 2020","This was a great hotel for our trip to Honolulu! We really enjoyed being within walking distance to the main Waikiki Beach, but removed from the craziness. Would have loved to have a pool and gym, but the beach next door was beautiful and always much calmer/less windy than any other beaches we went to and made up for it. And jogging around the park across the street made up for missing the gym. The lobby/elevator/hallways could use some updating but the rooms and the restaurant were great. We only had happy hour snacks and drinks at the restaurant but everything we had was delicious. Really enjoyed having a balcony in our room, even though it was mostly a view of a parking lot we could still look out at Diamond Head and enjoyed the nice breeze. The staff was also so friendly and helpful all the time. Having a car included was a HUGE bonus as well and would be a big reason we recommend this hotel and would book again.","New York City, New York","rkholland21</div><div class=""userLoc""><strong>New York City, New York</strong>",0,4.0
744152088,https://www.tripadvisor.com/Hotel_Review-g60982-d90108-Reviews-Lotus_Honolulu_at_Diamond_Head-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Lotus Honolulu at Diamond Head,"February 10, 2020","The Staff is friendly and has good aloha. The hotel itself is clean but furniture in the rooms is in need of a good cleaning or upgrade. Bathrooms are old but functioning. Towels are past their due date for replacement. We miss Carisa at the front desk but are so happy to see that Dev, Travis and Byron are still there. Maid service is great too. Always friendly and quick to bring extra towels or hangers. Hotels View of diamond head is nice and it is convenient to activities without being right in the middle of traffic of Waikiki.","Ferndale, Washington","hm826</div><div class=""userLoc""><strong>Ferndale, Washington</strong>",63,4.0
