review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
749375347,https://www.tripadvisor.com/Hotel_Review-g60982-d87035-Reviews-Manoa_Valley_Inn-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Manoa Valley Inn,"March 5, 2020","Honolulu is dominated by the Waikiki high-rise hotels. If that doesn't appeal to you, the Manoa Valley Inn offers a pleasant and affordable alternative. It's an historic property that's an island of green in an otherwise unremarkable area two blocks from the University of Hawaii. Breakfast was excellent, and was served on a lovely terrace that's nearly overgrown with orchards and other plants. There's a garden area and pool in the back as well, though they're not well cared for. As B&B's go, Manova Valley has some shortcomings. Parking is very tight, so don't arrive in a Hummer and hog a space and a half. The room we had was nice enough and big enough for two, and it had a good bed. But the furnishings were well-worn and the shower/bath was substandard. The on-site management owns friendly dogs and they (the dogs) show up from time to time, which I personally didn't care for. The Inn is walking distance to the University but not much else, so finding good restaurants nearby where you can also park is a real challenge (and a common problem throughout Honolulu). I'm glad we chose this over the Waikiki skyscrapers, but Manoa Valley could use some attention to make it a first-rate B&B experience.",,FarAway583337,1,4.0
728525180,https://www.tripadvisor.com/Hotel_Review-g60982-d87035-Reviews-Manoa_Valley_Inn-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Manoa Valley Inn,"November 23, 2019","I gave this bnb a full 5 because it achieves what it sets out to do. A sanctuary away from the brutal( not my words, a locals) high rises of Waikiki. The Inn is not a brand new glossy hotel of which you are in 1 room of hundreds but it does have a comfy bed,a/c and a wonderful substantial breakfast. it is a family home that is welcoming and a delight to return home to at the end of the day. I had a room at the top, my bathroom had a slanted roof so if you are tall maybe mention this to get an appropriate space for you. Given the time of year I visited I didn't even need the a/c as I was able to open the windows in my room for the breeze off the mountains. The staff are very friendly, polite and accommodating. Hopefully I will return one day!","Western Australia, Australia","Akag3</div><div class=""userLoc""><strong>Western Australia, Australia</strong>",24,5.0
717050943,https://www.tripadvisor.com/Hotel_Review-g60982-d87035-Reviews-Manoa_Valley_Inn-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Manoa Valley Inn,"October 10, 2019",The staff did not speak English very well. There were dogs in the public spaces.There was a definite smell of dog urine in the porch area. The area did not look like pictures. We left but were given a refund. My only reason for giving it a poor not terrible rating,"Sarasota, Florida","Judy K</div><div class=""userLoc""><strong>Sarasota, Florida</strong>",2,2.0
709865561,https://www.tripadvisor.com/Hotel_Review-g60982-d87035-Reviews-Manoa_Valley_Inn-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Manoa Valley Inn,"September 15, 2019","So glad I found this gem! The rooms are spacious and lovely (a few too many knick knacks, but no big deal). The property is beautifully maintained which makes it feel like you’re walking into a botanical garden, right in the middle of the city. The staff was friendly and helpful - they even packed me coffee and food to go on the morning I had to leave before 7:00. The food itself is delicious and plentiful: eggs and pancakes made to order, meat, potatoes, cooked vegetables, rice, bread, fresh fruit and juice, and coffee. A perfect alternative to the crowded, touristy beach scene.",,Footprints267609,0,5.0
706095151,https://www.tripadvisor.com/Hotel_Review-g60982-d87035-Reviews-Manoa_Valley_Inn-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Manoa Valley Inn,"September 3, 2019","The Manoa Valley is a a great place to stay in Honolulu. It is very near the University of Hawaii, not far from Waikiki and close to restaurants. The gardens and pool are beautiful and a nice peaceful place in the midst of a busy city. The innkeepers were very friendly and helpful and the breakfast was excellent. Our room was comfortable and air conditioned, which helped in the hot summer weather. We would definitely stay here again if we visit Honolulu in the future.",,170maureenh,2,4.0
687612403,https://www.tripadvisor.com/Hotel_Review-g60982-d87035-Reviews-Manoa_Valley_Inn-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Manoa Valley Inn,"July 7, 2019","I am genuinely confused with the good reviews this place has. The pictures are very deceiving, they must be using filters for these pics because this place is run down and dirty, smells terrible, no A/C, No privacy, the window treatments were very thin and I could see the neighbor in his garage while I used the bathroom. I dint think the sheets are cleaned and if they are they dont get cleaned properly I was very very ichy and there were deffinatly bugs of all kinds here. Could not sleep here even for one night but had to pay for ALL THREE NIGHTS NO REFUNDS. The parking is a joke. It's very musty and hard to breathe in this place.The owners live in this house and I could hear them all day/night talking outside inside where ever. Just dont go. Please.",,C3495ZTmarias,16,1.0
686263834,https://www.tripadvisor.com/Hotel_Review-g60982-d87035-Reviews-Manoa_Valley_Inn-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Manoa Valley Inn,"July 2, 2019",Beautiful historic building with wonderful innkeepers. The breakfast was sumptuous and the setting beautiful.The parking became more challenging as more guests arrived. Very nice to have AC in a historical inn!,"Waikoloa, Hawaii","Hulaterri</div><div class=""userLoc""><strong>Waikoloa, Hawaii</strong>",3,4.0
662267955,https://www.tripadvisor.com/Hotel_Review-g60982-d87035-Reviews-Manoa_Valley_Inn-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Manoa Valley Inn,"March 30, 2019","Our family of ten stayed here to get away from the hustle and bustle but still experience Honolulu. Easy airport access, next to University of Hawaii and shops/restaurants, lovely nearby Tantalus and Diamond Head, and we could even enjoy Waikiki Friday night fireworks from our room windows! The family caretakers of the inn are very kind, considerate and welcoming, and the inn is so beautiful-especially the garden.","Madison, Wisconsin","karihegeman11</div><div class=""userLoc""><strong>Madison, Wisconsin</strong>",2,5.0
654845935,https://www.tripadvisor.com/Hotel_Review-g60982-d87035-Reviews-Manoa_Valley_Inn-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Manoa Valley Inn,"February 25, 2019",I got my dates wrong and needed a place to stay for a night. This came up so i booked it. Its off the beaten track in a quiet area. Parking can be tight but was ok. We were met by a huge dog. Very friendly. Check in easy. We got a room on 3rd floor which could be a problem if you dont like stairs as there is no lift. Room was nice but you can hear your neighbours. The bathroom is an add on with a sloping ceiling so unless you are 3 feet tall you cannot stand up in the shower. Nice bed and very comfortable room. Breakfsst was invluded and very good. Overall a very nice place with nice folk running it.,"Angeles City, Philippines","Eagle999</div><div class=""userLoc""><strong>Angeles City, Philippines</strong>",149,4.0
653249979,https://www.tripadvisor.com/Hotel_Review-g60982-d87035-Reviews-Manoa_Valley_Inn-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Manoa Valley Inn,"February 18, 2019","LOVE LOVE LOVE this place! Love the garden, the porch, the pool and breakfast. It's very intimate bed and breakfast and it's very clean. However, here are the things to note:* They need a better way for parking* All you will get is a liquid soap in a bottle that smells great! - So bring your own soap/shampoos/conditioner/lotion.* It's a humid state and they keep the room windows open, so the sheets has musty smell. (When your dish sponge is old smell).* There is a massage service for $68. We have not tried it yet, but we will when we're back.","Los Angeles, California","CaveGirl696</div><div class=""userLoc""><strong>Los Angeles, California</strong>",0,4.0
