review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
748958111,https://www.tripadvisor.com/Hotel_Review-g60982-d3635742-Reviews-Marina_Tower_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Marina Tower Waikiki,"March 3, 2020",I rented a room in the Marina Towers for 2 nights prior to boarding the Pride of America. In 63 years I have had some bad experiences but none that top this one. When i rented it I did not realize it was a condo. I found it hard to locate and there wasNo one available to reach out to ask any questions. If you get a rental car plan to pay for parking. When the elevator does work it takes forever to get to you. The first night i stayed they shut the elevator down for the entire weekend and i Had to carry my luggage up and down to the 24th floor the entire time. Again no one on premises to reach out to. Once i got in the room the blankets and sheets were dirty...The AC didn't work... The TV didn't work... The Wifi didn't work... The window shades wouldn't pull down...The Windows allowed air to pass through creating a whistle sound the whole night and again no one available to get anything working. They will take your money and from there your on your own. I wouldn't recommend this dump to my worst enemy. BUYER BEWARE!!!,,JamesValasco,1,1.0
748613975,https://www.tripadvisor.com/Hotel_Review-g60982-d3635742-Reviews-Marina_Tower_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Marina Tower Waikiki,"March 1, 2020","We had to change our booking last minute and ended up in this hell hole. When I booked online it was for room 2804. When we arrived we ended up in room 3504. I’ve attached photos. This place is a dump. We had stained towels, blood stains on the mattress, broken cupboards and filthy cutlery. For the first week the elevator worked then they turned it off due to high winds. Ironically the hotel in front of ours still has all of theirs running. Being on the 35th floor with bad knees and ankles and a partner who bodyboards climbing 35 floors was horrifying. It completely destroyed our holiday as our first trip to Hawaii and our first holiday as a couple. If you book this place your nuts!!! Whilst here we have tried many times to seek a refund through Airbnb but they are useless.",,Marinahelll2020,2,1.0
741645688,https://www.tripadvisor.com/Hotel_Review-g60982-d3635742-Reviews-Marina_Tower_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Marina Tower Waikiki,"January 27, 2020",Terrible place!!!! Don't rent here the elevators not workin!!! 0 elevators all the time and youll walk the stairs 30-40 floors! Cant park in loading zone they'll tow your car and not be responsible for it!!!,,Liz K,1,1.0
739949952,https://www.tripadvisor.com/Hotel_Review-g60982-d3635742-Reviews-Marina_Tower_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Marina Tower Waikiki,"January 18, 2020","Why has this place not been shut down yet ?The rooms are filthy, not only mine but also from the other guests I met on the stairways because none of the elevators where working.The toilet bowl and shower, the floors and the bedding where very dirty and stained.The sheet on top of the mattress had a blood and urine stain in the size of a dinner plate, than covered with another sheet.The worst accommodation ever. I have traveled the world in economy and luxury places .Even third world countries showed more respect and pride to a traveler.The elevator worked one time but kept on dropping between floors, it is outride dangerous.I tried to get part of my money back but the management refused. The location is the only good thing about this place.",,Cosmopolitan398708,1,1.0
738710670,https://www.tripadvisor.com/Hotel_Review-g60982-d3635742-Reviews-Marina_Tower_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Marina Tower Waikiki,"January 12, 2020","We were in the Best Western on business during Christmas but needed another night's stay before our flight on the 28th and Best Western wasn't available. It would appear that the New Year is prime time to visit Hawaii. After searching TripAdvisor, I came across this place. I read reviews, good and bad, with the main complaint being the elevator. So, reluctantly, I booked it for the one night (not to mention, our $300+ price was cheaper than the almost $1000 price for other places - and there weren't that many choices). First, there is no early check in, even though instructions said you could ask. So, precisely at 4pm, we got in to our room. The TV was on (we figured that was because the remote didn't work most of the time). As I entered the door to the room, I noticed a cabinet door ajar. I went to shut it to keep from hitting my head upon entering. It was open because it wouldn't stay closed. Once we got in to the room, I put one of our bags on the bed. I've seen trampolines with less bounce. And throughout the night, every time one of us moved, it almost launched the other one. Needless to say, we got very little sleep. While looking the place over, I noticed the faucet in the shower leaked. Also, the first time we washed our hands in the bathroom sink, it became apparently clear that it was clogged. It took hours to drain. Also, when I went to throw something away, I discovered the cabinet door hiding the trash can in the ""kitchenette"" was loose and almost fell off (it was being held by one hinge). As for the elevator, I do believe I read reviews from a couple of years back with guests complaining about the elevator ( just how long doesn't take to fix an elevator?). When we checked in, there was one of the two elevators working, so, yes, we had a long wait. Thankfully, we had to leave before sunrise, so the elevator wasn't too much of a problem. Also, since we did leave before sunrise, we discovered that there are no lights in the tight, small parking garage, so you might want to make sure you have a flashlight. We stayed here because there were few choices, but I wonder if we would have been just as comfortable sleeping in our Jeep. ","Lewisburg, Tennessee","bitsmom_tn</div><div class=""userLoc""><strong>Lewisburg, Tennessee</strong>",56,1.0
738383047,https://www.tripadvisor.com/Hotel_Review-g60982-d3635742-Reviews-Marina_Tower_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Marina Tower Waikiki,"January 10, 2020","DO NOT BOOK THIS PROPERTY, it is a nightmare, elevators have been shutdown for our entire stay have to climb 38 floors in stairwell that is littered with garbage and urine, with no airflow. According to live in residents there is no budget or timeline to fix the elevators. Only plus side is the view if you have ocean view room, but that alone is not worth it, save yourself the headache and book elsewhere.",,phatguy,0,1.0
736691055,https://www.tripadvisor.com/Hotel_Review-g60982-d3635742-Reviews-Marina_Tower_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Marina Tower Waikiki,"January 3, 2020","The images I have attached pretty much sum it up. I am considering filling a formal complaint with the consumer protection of the state of Hawaii.Here are some of the main issues we encountered:Sheets, pillow cases, and towels were all heavily stained. I found nail clippings and hair on the sheet. Even the fridge had not been emptied! The toilet bowl was very dirty. The shower was moldy, and the shower drain was clogged.I sent the same pictures I have accompanied with this review in an email and also a few text messages to their management, but have not received any response yet (a week after we checked out). We ended up calling them to just get clean sheets and towels.We happened to be in the unit when someone finally showed up to replace the stained sheets and towels. The person struggled with finding clean sheets: He went through four sheets until he finally found a clean one. Even he himself was surprised!We had not been told about the situation with the elevator (45 minute wait time as in the notice in one of the images). The building has two elevators and for a period during our stay both were down. We had to take the stairs. The unit we stayed at was on the 29th floor.The broken door handles of the microwave and the fridge, and the use of two twin mattresses instead of a queen or king mattress (see the images) indicate how poorly maintained this place is. DO NOT BOOK WITH MARINA TOWER WAIKIKI!",,SG_2048,1,1.0
734957748,https://www.tripadvisor.com/Hotel_Review-g60982-d3635742-Reviews-Marina_Tower_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Marina Tower Waikiki,"December 27, 2019","We love waikiki and the views were absolutely breathtaking from the 36th floor condo. the owner of the condo was excellent to work with as well. we stayed in 3603 and i would highly recommend the actual condo itself.The elevators are another story.We had a special dinner planned and, since I am so uber famous, felt it necessary to have my hair and make up done. I return to the building to go up and get dressed and on the way up- alone-(because Im fancy like that and had my own private elevator- aka no one else was dumb enough to get on said elevator) the elevator stopped. On the 30th floor. after 15 minutes of crying screaming for help -sweating off the miracle make up job some poor lady did to my face...the lights go out and the elevator slips down a few feet so im now stuck staring at the all between the 29thand 30th floors. I have never had anxiety or a panic attack of any sort since Prince died and im afraid that evening i did. That or I just peed my pants- who knows.People were trying to help, no one could get the doors open but the fire department came and after 40 minutes and six firemen later(SIX firemen, ladies. you read that right) they were able to wedge the door open so i could be pulled out. Ive never wanted to grab a fireman so badly. or have I. But my boyfriend was there and naturally my first option for an ab grab. I hate to leave a bad review as the owner of the condo is wonderful, but I had to walk up and down 36 flights of stairs the remainder of our trip anytime I came and went, which I am sure sounds like a dream if you're a CrossFit junkie which I am not. plus side i now have a butt the Kardashians would envy and I slept like a baby on the red eye home which made for a quiet and relaxing return flight for the boyfriend.",,MissMary122882,0,2.0
725282464,https://www.tripadvisor.com/Hotel_Review-g60982-d3635742-Reviews-Marina_Tower_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Marina Tower Waikiki,"November 9, 2019","If you are thinking of staying here, think again.It is the most disgusting place I have ever stayed in. We had prepaid this room and as they have no check in counter (not suprised as they would have a constant line up of people complaining) we had to check in on line. The following day we noticed that there had been approx 5 seperate chargers on my friends credit card from Marina Towers totalling over $1000. They are theives. We got our travel agent to try and sort this out and two weeks later we still are waiting to receive the full amount back as promised. When we arrived to the room on the 39th floor in the shaky glass elevator that only one of two were working we were so gutted to see the room was filth. The toilet hadn't been cleaned, there was hardly any toilet paper left on the roll, the shower looked like it hadn't been cleaned in years. Soap scum and mould everywhere.. The kitchen was a disgrace. The sheets were stained and the pillows were completely yellow . We had to arrange to have the room cleaned the following day. I've stayed in some older, basic hotels before but this was next level. We were then told that maybe our expectations were too high. Not sure that having a room cleaned before arrival is much of an expectation. We wore our shoes the whole time as we were scared to walk on the carpet, the lounge chair was also heavily stained. I was really looking forward to staying in Waikiki as it was my first time to Hawaii and this experience really ruined it for me. Since being home I have searched around and there are so many other options of places to stay for the same money we wasted on this place. So disappointed. ","Bli Bli, Australia","michellemG9216LQ</div><div class=""userLoc""><strong>Bli Bli, Australia</strong>",3,1.0
721934174,https://www.tripadvisor.com/Hotel_Review-g60982-d3635742-Reviews-Marina_Tower_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Marina Tower Waikiki,"October 28, 2019","We unfortunately booked this hotel without first reading the reviews as I was in a bit of a rush at the time. I wish I had of read the reviews because I can tell you, they’re all true, it’s an awful place to stay and very very unorganised. From the moment we arrived we had problems. Had to wait 4 hours before being let into our room even after emailing the hotel a week prior to our stay that we would be arriving at 8am and would like to check in early or at least drop our bags. There was nobody in sight and when I called the number for the hotel nobody answered. We luckily found a cleaner who stored our bags away for us and then we went for a walk to the nearby shopping centre and had to kill a few hours after our 11 hour flight. Finally, we got into our room... I don’t think it has been updated since first being built, tiles were lifting, the carpet was heavily stained, bathroom was disgusting and the light in there did not work. If you want to take the elevator to your room. Depending on what floor you’re staying on, it could take up to 40 mins to get there as only 1 elevator is in operation for the 40 odd floors. During the middle of our stay, even that elevator broke down and we had to walk up 15 levels each time to get to and from our hotelWhen we checked out, we got to the airport and realised we had left our vape (e-cigarette) in our room. So I quickly emailed the hotel before our flight to let them know as room service would not yet have been into our room. I was hoping they could get it for us. I asked if they could post it and I would send them the money for postage or even just let us know if it is there and we would arrange pickup from a friend. Never heard back from them. Tried to call them, no answer. Please, do yourself a favour and don’t make the same mistake that we did.... do not stay here! Hopefully this review saves someone’s time.","Hobart, Australia","brenton32</div><div class=""userLoc""><strong>Hobart, Australia</strong>",1,1.0
