review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
734314472,https://www.tripadvisor.com/Hotel_Review-g60982-d87039-Reviews-Marine_Surf_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Marine Surf Waikiki,"December 23, 2019","Great Accommodation for a relaxing get away full kitchen so you can cook meals if you want some units have a dishwasher , laundry on every floor. The units are not serviced but that was not a problem great location and Thomas and Deb really easy to deal with and very reasonable priced. If you are looking for 5 Star this is not for you but if you want good accommodation at a reasonable price consider this place","Brisbane, Australia","Dizee21</div><div class=""userLoc""><strong>Brisbane, Australia</strong>",8,4.0
731912854,https://www.tripadvisor.com/Hotel_Review-g60982-d87039-Reviews-Marine_Surf_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Marine Surf Waikiki,"December 10, 2019","Visiting Honolulu for the marathon. Rented this studio condo as part of an add-on after reserving the flight. Said it could fit four... it was quite a tight fix but acceptable. The bed seemed to be a double as it was quite small for 2 people. The couch opened up so two additional people could fit. There were adequate kitchen utensils, cups and plates. Also enough blankets, pillows and towels provided. It was all very clean and well kept. Parking was also included in the price.The location was terrific, lots of places to eat and shop right downstairs and in the many blocks around us. It was about 3 blocks to the beach.The only negative was the live bands playing at a bar on the street one over from the hotel. We had a room on the 17th floor in back. The continuous AC blocked most of the music.Would consider staying there again, with fewer people. Was a good value.","Alameda, California","Kelly I</div><div class=""userLoc""><strong>Alameda, California</strong>",0,4.0
717322045,https://www.tripadvisor.com/Hotel_Review-g60982-d87039-Reviews-Marine_Surf_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Marine Surf Waikiki,"October 11, 2019","Perfect location, and parking included in the cost. That’s what did it for me! But the place was also great in itself. A small condo, bed, kitchenette, lanai, and bath - what else do I need for a few days? Walking distance to the beach and Waikiki, Easy access to get to North Shore, Kailua, Kahala and ... where to next? Easy check-in, clean, and comfortable. ","Banning, California","104stevenp</div><div class=""userLoc""><strong>Banning, California</strong>",66,5.0
678869804,https://www.tripadvisor.com/Hotel_Review-g60982-d87039-Reviews-Marine_Surf_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Marine Surf Waikiki,"June 4, 2019",Marine surf Waikiki is a lovely building close to all we really enjoyed the view from the wind jammer condo on the eleventh floor Tom was nice he e- mailed me before we arrived while we were there and after to make sure we enjoyed our time the beach gear was an added bonus chairs cooler and snorkeling gear and beach towels provided and umbrella the keys were easy to get and there was plenty of info of things to do in the condo bonus you don’t have to pay for parking and no resort fees,"Binghamton, New York","Tammy R</div><div class=""userLoc""><strong>Binghamton, New York</strong>",3,5.0
665350519,https://www.tripadvisor.com/Hotel_Review-g60982-d87039-Reviews-Marine_Surf_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Marine Surf Waikiki,"April 10, 2019","The best part of this condo is its location. About a 5 minute walk to the beach (at the Royal Hawaiian), 30 seconds from an ABC Store, and so many great restaurants within a quick walk. A very safe area.The condo is clean, well stocked and comfortable. Everyone has their own preferences for a bed... but, we found it quite comfortable. Great city view from the balcony.Very secure building. Great basic pool and deck area... quiet. Only one other person there when we were there. And a few times, just us.Dedicated parking is convenient and included.Our host met us at the condo and gave us a run down of everything. Very friendly.The only drawback, which isn’t a dealbreaker, is that the area is noisy in the early morning. Generally, we were awake then anyways.","Edmonton, Canada","Rick G</div><div class=""userLoc""><strong>Edmonton, Canada</strong>",21,4.0
660398679,https://www.tripadvisor.com/Hotel_Review-g60982-d87039-Reviews-Marine_Surf_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Marine Surf Waikiki,"March 22, 2019","We ordered through a third-party vacation rental site. The owner of the property was very friendly and helpful. If you're looking to be in the middle of the chaos that is Waikiki/Honolulu through the wee-hours of the night, then this is it. The price was fair for our stay, but this was no ""quiet getaway"". We had to run the AC fan all night just so that we could deaden the hip-hop DJ at the corner when it was time to get some sleep. And twice every morning all of the dumpsters in the area were slammed around up and down the street directly below our room. and to make it worse, there were un-sealed, wooden louvers instead of window pane for one of the windows, letting in every sound outside. I guess this was to give you the open-air feel? Thankfully, we didn't come to Hawaii to stay in our room, not that anyone really does, but we didn't come to ""party"" all day and night, either.","Memphis, Tennessee","MidsouthFoodies</div><div class=""userLoc""><strong>Memphis, Tennessee</strong>",34,2.0
636121549,https://www.tripadvisor.com/Hotel_Review-g60982-d87039-Reviews-Marine_Surf_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Marine Surf Waikiki,"November 27, 2018","It was my last 'taste' of Hawaii - the last person I interacted with before boarding a plane to the mainland. And it left a sour taste in my mouth, indeed. Not that I get the impression most people in management (anywhere in Oahu) actually care. It was 5:30 in the morning and the parking garage was virtually empty - 9 open spaces - next to the McDonalds where I was hoping to run into so I could bring my elderly mother some orange juice as a reward for getting up for an early flight. I was in McDonalds a total of 6 minutes. And I assure you, with 9 open parking spaces at 5:30 in the morning, not a human being on Earth was remotely disturbed by my action. But it didn't stop Haole from literally screaming at me and telling me to move my car. So I moved it to the street and picked up my orange juice to go - and left. But I left scarred by his unnecessary behavior. Where I live, if it is 5:30 AM and someone wants to use one of 9 open parking spaces to pick up their to-go order and are in the space for fewer than 6 minutes, I would gladly tell them I'd watch their car to make sure it all went smoothly. That's what's called being human. I get that during busy times, what I was doing at the Marine Surf parking space might have presented an issue - and I would not have tried. But at 5:30 AM? Get REAL. And try and find some of that spirit that the islands insist are part of their unique culture. This fellow belongs in a prison setting - not hospitality. Aloha!","Salt Lake City, Utah","sfdann</div><div class=""userLoc""><strong>Salt Lake City, Utah</strong>",293,2.0
618719650,https://www.tripadvisor.com/Hotel_Review-g60982-d87039-Reviews-Marine_Surf_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Marine Surf Waikiki,"September 22, 2018","Marine Surf Waikiki apartments are a great accommodation option in Waikiki. The service desk in the lobby is open each day, although only from 9am on weekendsThe rooms are comfortable, and bathrooms clean.The pool is basic but nice - you'll be more likely to spend time at the beach anyway, so probably doesn't matter too much.There are numerous places to eat and shop, such as two restaurants located literally next door.The front door and lift need fob keys to access, so ensure you have this arranged for check-in, and try to arrange two fobs if you're not staying alone.The guest laundry requires a 'smart card' which costs $5 to purchase from the service desk in the lobby. This is just to buy the card, with no credit value.You then take the card down the hall towards the guest letterboxes and use an automated machine to add credit, which can be used in the laundries. $3 will cover one wash and one dry cycle.","Adelaide, Australia","BonoAussie</div><div class=""userLoc""><strong>Adelaide, Australia</strong>",46,5.0
613971095,https://www.tripadvisor.com/Hotel_Review-g60982-d87039-Reviews-Marine_Surf_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Marine Surf Waikiki,"September 4, 2018","My husband and son and I stayed here for 4 days. We stayed in unit 1410 and it needs some work. The building location was wonderful, only a few blocks to the beach and the building was maintained very well. However our unit had fixtures falling apart in the bathroom and the bed was super hard. The fold-out sofa bed was very old and broken so the bottom half was almost on the floor. There is no dishwasher which is not a problem if a dish rack would have been provided, but it was not. There was cleaning supplies which was nice but there was a broom and no dust pan or anything to pick up what you sweep. All in all it was a great location and great for the price but the unit we had could use some TLC.","Hacienda Heights, California","MrsHeath2014</div><div class=""userLoc""><strong>Hacienda Heights, California</strong>",21,3.0
588438424,https://www.tripadvisor.com/Hotel_Review-g60982-d87039-Reviews-Marine_Surf_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Marine Surf Waikiki,"June 18, 2018","We booked through Waikiki Place and generally that was fine. I would have preferred not having to text/call to coordinate a key pick up but it’s not a big deal. The building was nice, a little older and a few blocks from the ocean. Easy walk to restaurants, Waikiki Beach, shopping. Noisy but that’s more location than anything else. The room was tiny—more of a studio than anything else. There was a pull out couch but it was very uncomfortable, and the bed was super stiff too. Still, the kitchen was nice, the bathroom/shower was great, and we didn’t plan to spend a ton of time in the room. This is not a resort—there are no amenities and it’s not beachfront. You don’t get your room cleaned, new towels, anything. Just an FYI if that’s the experience you are looking for. Probably wouldn’t stay again with more than two people given the tiny size. I’d rather pay more and get ocean front with fresh towels.",,anonymousK3971MF,3,4.0
