review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
751527717,https://www.tripadvisor.com/Hotel_Review-g14129573-d503002-Reviews-Mercure_Tokyo_Ginza-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Mercure Tokyo Ginza,"March 20, 2020","this was our 2nd time staying at Mercure Ginza. This time as gold Accor member. The high~light of our stay was still the location of the hotel. It was close to the train station, restaurants and shopping centers. We stayed for 3 nights, but never tried their breakfast. The room was upgraded from standard to 1 level above, not much of a big difference except for the pod coffee machine. The room was small and it was expected. The staffs were very kind and pleasant. Overall we had a good experience staining at Mercure Ginza.","Ubud, Indonesia","ubudstory</div><div class=""userLoc""><strong>Ubud, Indonesia</strong>",0,4.0
749363387,https://www.tripadvisor.com/Hotel_Review-g14129573-d503002-Reviews-Mercure_Tokyo_Ginza-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Mercure Tokyo Ginza,"March 5, 2020",Direct access to Tokyo subway (although a little bit difficult with luggage on stairs). Easy to navigate around Tokyo. Very friendly staff. Comfortable room - allowed early check after overnight flight from Australia,"Melbourne, Australia","GrandTour27087449247</div><div class=""userLoc""><strong>Melbourne, Australia</strong>",1,4.0
747328318,https://www.tripadvisor.com/Hotel_Review-g14129573-d503002-Reviews-Mercure_Tokyo_Ginza-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Mercure Tokyo Ginza,"February 24, 2020","Was the first and great experience in Tokyo we are looking forward to come back next year, for I hope the same great experience we had this year. The welcome from the team was very good and we really feel at home during our time in Tokyo. ",,carlamilovanov,0,5.0
745541133,https://www.tripadvisor.com/Hotel_Review-g14129573-d503002-Reviews-Mercure_Tokyo_Ginza-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Mercure Tokyo Ginza,"February 16, 2020","Bed was comfortable, loved having a bath tub. Easy walking distance to shops and restaurants. Got a complementary late checkout as an ALL silver member and a free drink. The Manager was very helpful with information on our train route booking to get to Hakuba. Very pleasant stay.","Lake Macquarie, Australia","Anna777L</div><div class=""userLoc""><strong>Lake Macquarie, Australia</strong>",8,5.0
744951238,https://www.tripadvisor.com/Hotel_Review-g14129573-d503002-Reviews-Mercure_Tokyo_Ginza-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Mercure Tokyo Ginza,"February 13, 2020","Small rooms , clean rooms , long corridors .... restaurant serves ok international dishes . Location is fabulous near the main Ginza corridor but in a quiet street, close to lots of restaurants for all budgets . I have stayed here several times .... and love the quiet neighborhood.","Auckland, New Zealand","JonathanD2030</div><div class=""userLoc""><strong>Auckland, New Zealand</strong>",4,4.0
744934169,https://www.tripadvisor.com/Hotel_Review-g14129573-d503002-Reviews-Mercure_Tokyo_Ginza-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Mercure Tokyo Ginza,"February 13, 2020","If hotel provide us the international outlet and razor, i will give room 5/5Staff are very friendly and polite Too little Japanese Breakfast but overall breakfast is goodWelcome drink is not separate between level","Bangkok, Thailand","parwatt2020</div><div class=""userLoc""><strong>Bangkok, Thailand</strong>",0,5.0
744754753,https://www.tripadvisor.com/Hotel_Review-g14129573-d503002-Reviews-Mercure_Tokyo_Ginza-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Mercure Tokyo Ginza,"February 12, 2020","I stayed here for 5 nights with my wife and our 2.5-year-old son and the first thing that first comes to mind is that location is great if you are looking to stay in Ginza. It's only about a 10-minute taxi drive from/to Tokyo Station. When you go out of the hotel, there are many convenience stores nearby (some of them 24 hours) and McDonald's (24 hours as well) and Starbucks are literally only a 10-second walk from the hotel. So you can never be deprived of food. If you walk a few minutes, you'll see many upscale or branded stores in Ginza. Yurakucho station is also literally on B1 floor of the hotel. Ginza Station is also only a 5-minute walk. Very convenient location.Staff were professional, friendly, and welcoming.We booked a twin superior room and although it's not spacious (hotel rooms in general in Tokyo are small), it's relatively bigger than the rooms in comparable 3-star or 4-star hotels in Tokyo, especially in Ginza. The twin beds are also a bit wider. Nevertheless, the room was clean and there were complimentary bottled waters refilled everyday.Breakfast was also very good. It served Japanese food and international selections.Overall, it was an excellent stay and we definitely would like to come back here next time we visit Tokyo.",,cypher_pakgo2019,22,5.0
744173014,https://www.tripadvisor.com/Hotel_Review-g14129573-d503002-Reviews-Mercure_Tokyo_Ginza-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Mercure Tokyo Ginza,"February 10, 2020","This hotel is what all other hotels should strive for. I left my glasses in the room after I checked out. I was so distraught that morning, my flight was cancelled by American Airline, my phone only has data. I went down to the lobby and told the helpful ladies by the front desk, they called AA for me but after 15 minutes, we knew that they were not going to pick up. I was so flustered that morning so I forgot my glasses. I didn't realize until I got to Narita Airport. I emailed them and they were just so helpful and let me know they found it. I flew back to the states when I got the email. I asked them to mail it back to me and I would pay the charges. The hotel staff wrapped my glasses so carefully in bubblewraps and then put it in a tin can so that it would get crushed during shipping.I mean, who gives this kind of customer service anymore? I am so touched and grateful that this hotel uphold their committment of service and ensure their guests are taken care of, even after check out.Thank you Mercure Ginza! This is an experience I will never forget.",,pandalingling,0,5.0
744041452,https://www.tripadvisor.com/Hotel_Review-g14129573-d503002-Reviews-Mercure_Tokyo_Ginza-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Mercure Tokyo Ginza,"February 9, 2020",The service from all staff is always of the highest standard - rooms are always very clean and well maintained - due to this I always return for my visits to Tokyo there is no requirement to look elsewhere ,"Cardiff, United Kingdom","neilivory</div><div class=""userLoc""><strong>Cardiff, United Kingdom</strong>",0,5.0
743105145,https://www.tripadvisor.com/Hotel_Review-g14129573-d503002-Reviews-Mercure_Tokyo_Ginza-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Mercure Tokyo Ginza,"February 4, 2020","We recently had a great 4 night stay at this lovely little hotel.Everything went smoothly from the moment we made the reservation.We booked two rooms and emailed reservations and they allocated them side by side.Check in was seamless Mae who checked us in and looked after us on a daily basis with our breakfast vouchers, her service was absolutely fantastic. We are Gold Accor members and we were really grateful to have a very early check in from around 9:00am as we were straight off a very early morning flight.Breakfast was a really good mix and choice of Western and Asian cuisine and they did change certain dishes every day which kept it interesting. Also we got discount off our breakfast being Accor members which made it really economical.We had the privilege rooms and they were well laid out and really spacious by all standards, they also came with complimentary mini bar snacks, juice and soft drinks.This was handy for hungry teenagers after a long day walking around Tokyo.We were also given drink vouchers for a complimentary welcome drink in the bar.We were greeted by a such a nice young man Kenichi who was most attentive and helpful, and to our delight and surprise when we asked if they had champagne they offered us a complimentary glass of Mumm, which was absolutely lovely. This was such a lovely way to celebrate being in Tokyo!We were also lucky enough to meet the Hotel Manager Hiroshi Sasaki, who was charming and happy to help in anyway, and gave us lots of suggestions on what to eat and what to do when we were in Tokyo. We did discuss the hotel needing a restaurant for dinner and or lunch and Hiroshi said they are working on it, but for now the restaurant only serves breakfast (which is really good).This hotel is a real gem in Ginza, its so conveniently located, it is just a few minutes walk to the subway and it is close to lots of cute little inexpensive eateries. It is also in close walking distance to convenience stores, that sell everything from snacks to pre-made meals and even alcohol.We will certainly stay here again when in Tokyo!","Queensland, Australia","7Martine7</div><div class=""userLoc""><strong>Queensland, Australia</strong>",50,5.0
