review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
736523682,https://www.tripadvisor.com/Hotel_Review-g60763-d6701149-Reviews-Midtown_West_Hotel-New_York_City_New_York-or0.html?filterLang=en,Midtown West Hotel,"January 3, 2020","I chose this place because it's close to Penn station. The location is the only thing going for this 'hotel'.The room was cold. The toilet wouldn't flush. The faucet was leaking.The strangest thing was the blood like splatters I found in the bath tub.I was on the top floor, so the blood could be coming from the roof. I couldn't find where the blood was dripping from. They were soon washed away by the leaking faucet, so I have no proof if they were indeed blood or they ever existed.This is a place I would never return.","Boston, Massachusetts","pacmom04</div><div class=""userLoc""><strong>Boston, Massachusetts</strong>",4,1.0
731194194,https://www.tripadvisor.com/Hotel_Review-g60763-d6701149-Reviews-Midtown_West_Hotel-New_York_City_New_York-or0.html?filterLang=en,Midtown West Hotel,"December 7, 2019","Me and my friend had very bad experience with this hotel. It started even with the first check-in. The manager Erin is very rude and not professional to treat customers. She used threatening language for a small matter of miscommunication. She behaved like this hotel is her and she can do anything she likes. Anyway I was sent to the top floor room. When I opened the door, I found the room is not made: the bed is a mess, the towels are on the floor. There is even a towel in the toilet! I called the front desk about this and ended up moving to another room on the same floor. However, the heating in the room is bad and I did not have much sleep because of the cold and noice. I had a room on the 8th street side and It kept producing noice throughout the night. Next morning when I talked with my friends, founding most of them had no heating either. They all complained about the noice. One friend said his tv is not working (I did not even bother to test mine) and another complained that there is no hot water in his room. The worst things are that when we came back the afternoon, my friend found his room door is wide open and there is nobody around! Fortunately, he did not lost anything. However my other friend is not that fortunate, he found his iphone charger and Apple watch charger are missing from his room! They both reported the incidents to the front desk immediately. My friend was asked to check if his chargers were misplaced anywhere in the room. But the room is so small that it is even difficult to misplace anything! Anyway, If you don't care about the service, the safety and noice, you can at least found the only good thing about this hotel is its location. For me, this is my worst nightmare experience and I will avoiding this kind of hotels.",,674yuanp,0,1.0
725268429,https://www.tripadvisor.com/Hotel_Review-g60763-d6701149-Reviews-Midtown_West_Hotel-New_York_City_New_York-or0.html?filterLang=en,Midtown West Hotel,"November 9, 2019","The hotel people are very nice and inviting. The rooms were clean albiet spartan. This is definitely for those just looking for a clean place to go to sleep after a long day. It is not a hotel filled with amenities and spaciousness in rooms. This is clean bare bones living. Downside is that it is centrally heated and my room was warm. I could of opened the window but with NYC noice it was a debate between which one would keep me up worse. Also the hot water is very very hot, so careful as easy to scald oneself if not careful. Otherwise, go in with your eyes open knowing it is bare bones living. Upside is easy walk to Penn Station and trains to everywhere.","Charlotte, North Carolina","Sane_Adventurer</div><div class=""userLoc""><strong>Charlotte, North Carolina</strong>",20,3.0
724719081,https://www.tripadvisor.com/Hotel_Review-g60763-d6701149-Reviews-Midtown_West_Hotel-New_York_City_New_York-or0.html?filterLang=en,Midtown West Hotel,"November 7, 2019","I ended up leaving this property after being there for an one hour. It is dirty. Staff are rude. I asked for a refund and they only gave me 10% off. I was so fed up that I ended up leaving anyway and paying double the price and leaving after finding hair on the floor and residue on the walls. It may look like a bargain, but you get what you pay for!","Washington, DC","Kamilah B</div><div class=""userLoc""><strong>Washington, DC</strong>",0,1.0
713732774,https://www.tripadvisor.com/Hotel_Review-g60763-d6701149-Reviews-Midtown_West_Hotel-New_York_City_New_York-or0.html?filterLang=en,Midtown West Hotel,"September 28, 2019",Excellent location MSG across the road. Very central location. Hotel has no lift which is a disadvantage however you'll get over it as you walk losds in Manhattan anyway. Staff at the hotel very polite and helpful. The most impressive staff member helped me to bring my very heavy case down the stairs on his shoulder and I was so very grateful to him for his help. I didn't even ask he offered the help and said that he was only doing his job. Rooms are small but were fine for me. The rooms could do with a coat of paint and some more storage for your clothes. Comfy bed. Shower gels maybe need looking at esp thw lack of howvere more were supplied when I asked for more.,,tony_ahern,0,4.0
710894563,https://www.tripadvisor.com/Hotel_Review-g60763-d6701149-Reviews-Midtown_West_Hotel-New_York_City_New_York-or5.html?filterLang=en,Midtown West Hotel,"September 18, 2019",There is no lift and this wasn’t advised upon booking. Might be ok for the young but to have to walk 62 stairs each time to our room on 4th floor wasn’t pleasant. Thankfully someone carried bags upon requestBreakfast available in community room was okLocation to Penn Station idealRoom a shoe box in size and bathroom a matchbox ,"Mooloolaba, Australia","471caroll</div><div class=""userLoc""><strong>Mooloolaba, Australia</strong>",3,1.0
696714218,https://www.tripadvisor.com/Hotel_Review-g60763-d6701149-Reviews-Midtown_West_Hotel-New_York_City_New_York-or5.html?filterLang=en,Midtown West Hotel,"August 7, 2019","The staff are very friendly and helpful. The breakfast is minimal but good and they have tea and coffee available all day in the lobby. My room was originally for 3 people but ended up just being me. Since I was there for a number of days, it was fine for me since I had more space for my items. As it was, I don't think 3 people would fit super comfortably, but those are the sacrifices you make when on a budget. The bathroom was very nice and upgraded, just wish there was more counter space. I was here for business and leisure and really appreciated the close proximity to Penn station and walking distance to many locations. The pizza place next door is also good, but staff are quite rude. The noise outside is also constant, but that's something you get with New York and budget hotels.Overall, a great option for travelers on a budget.","Los Angeles, California","zapporah85</div><div class=""userLoc""><strong>Los Angeles, California</strong>",3,4.0
687323212,https://www.tripadvisor.com/Hotel_Review-g60763-d6701149-Reviews-Midtown_West_Hotel-New_York_City_New_York-or5.html?filterLang=en,Midtown West Hotel,"July 6, 2019","location, location, location. The best place to stay in NYC whithout breaking the bank. The hotel is literally one block from penn station which let you save money and time from and to the airport. Also everything is reasonably walking distance. The room is really small not much space but its good to rest. No elevator","Zaragoza, El Salvador","guevaraburgos</div><div class=""userLoc""><strong>Zaragoza, El Salvador</strong>",1,5.0
684742561,https://www.tripadvisor.com/Hotel_Review-g60763-d6701149-Reviews-Midtown_West_Hotel-New_York_City_New_York-or5.html?filterLang=en,Midtown West Hotel,"June 27, 2019","The hotel met our expectations, and it was a perfect location for us traveling from Pennsylvania Station early next day. The room was a bit small, but it had all we needed, a comfortable bed (I like a bed with a hard mattress). The bathroom was small, but clean and with a very nice complementary body lotion. ","Trondheim, Norway","runanilss</div><div class=""userLoc""><strong>Trondheim, Norway</strong>",0,4.0
677434673,https://www.tripadvisor.com/Hotel_Review-g60763-d6701149-Reviews-Midtown_West_Hotel-New_York_City_New_York-or5.html?filterLang=en,Midtown West Hotel,"May 29, 2019","Loved this hotel, it is in a great location so close to times square and Macy's for shopping. Next to subway about 3/4 blocks down to get to where you want to be. I would totally recommend using subway rather than taxi/Ubers they cost so much and you spend majority of the time just in traffic. Google tells you what subway to use and where to get off easy as that! It costs next to nothing as well. We used airtrain to get to this hotel so took us about 50 mins to get to the hotel from JFK.The hotel itself has everything you need, we was on 4th floor so the sound/noise wasn't as bad as if you were to be on the ground floor I imagine. You are in New York no matter where you stay within walking distance you will have noise.We had a private bathroom, bath/shower was lovely and easy to use. Bed was super comfy. Very clean. If you want maid service you have to put the sign on your door everyday which we did and came back to fresh sheets everyday! The staff are lovely and really helpful. Checking in and out was hassle free. They have breakfast which is bagel and muffins with orange juice and coffee for on the go (added bonus for us because we didn't even realise it was included). You are surrounded by lots of little corner shops, pizza shops, dunkin donuts, taco bell, some bars just literally within steps so when you get back and just want to crash, you won't have to go far for food! We went to rooftop bars one night and walked there and back so everything really is close (when used Google all the time to get from a to b).Only downside is there is no lift. They have some rooms downstairs. For us it was fine but after 4 days of being on your feet all day everyday and have a stupidly heavy suitcase from all the shopping getting down them stairs at check out was hard work lol. Staff would have probably helped if asked as they are really nice.I would definitely recommend. When I go back to New York and want to be close to times square I am staying here again for sure!",,RLB263,0,5.0
