review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
753348674,https://www.tripadvisor.com/Hotel_Review-g60763-d209382-Reviews-Millennium_Hilton_New_York_One_UN_Plaza-New_York_City_New_York-or0.html?filterLang=en,Millennium Hilton New York One UN Plaza,"May 7, 2020","I stayed at the corner room with king size bed in the past (twice). This time around, I got a room half the size. When I called the reception, I was told only certain floors are available. They don't open the floors where nurses stay at during COVID19.It makes no sense to me that I paid a few hundred bucks to stay at smaller room with no other options. I am grateful that the city is offering free hotels for healthcare professionals especially since I am a healthcare provider myself in NYC, but I regret choosing to pay to stay at this hotel. Do not book for another month or two (FYI, my room is bigger than the hotel room).","Maywood, New Jersey","jlW4979PQ</div><div class=""userLoc""><strong>Maywood, New Jersey</strong>",1,1.0
678343273,https://www.tripadvisor.com/Hotel_Review-g60763-d209382-Reviews-Millennium_Hilton_New_York_One_UN_Plaza-New_York_City_New_York-or0.html?filterLang=en,Millennium Hilton New York One UN Plaza,"June 2, 2019","We stayed here as my husband was attending a working group at The UN.The proximity is fabulous. Right across the road from The UN. We stayed in a King Corner suite with sensational views in one corner to The Chrysler and Empire State buildings and the other to the East River. I never tired of the view!Beds VERY comfortable and great amenities in the room, including a desk.6 minute walk to closest subway entrance (Grand Central and 42nd street). Cross town Buses less than 50m away.Unfortunately we arrived the day before Memorial Day and we had to wait almost 2 hours for our room to be ready. After a long flight it was very tough to stay awake! Only staff we really remembered was Robert, the front door man. The rest very polite and would always greet you when passing.Great security with beautiful K9 puppies and handlers who checked all luggage (due to proximity to UN)We didn’t get breakfast at the hotel due to the exorbitant charge but visited John’s cafe (about 100 metres away) daily.We’d certainly stay again.",,Elle H,26,5.0
752578719,https://www.tripadvisor.com/Hotel_Review-g60763-d209382-Reviews-Millennium_Hilton_New_York_One_UN_Plaza-New_York_City_New_York-or0.html?filterLang=en,Millennium Hilton New York One UN Plaza,"April 13, 2020","Lovely hotel in midtown NYC, nicely fitted out room with a beautiful view of the Hudson river and NYC. I received perfect hospitality during my stay here. The price was fair not too expensive given the great location. I would definately recommed staying here if you're on a business trip or a couple.",,794katiew,0,5.0
752532919,https://www.tripadvisor.com/Hotel_Review-g60763-d209382-Reviews-Millennium_Hilton_New_York_One_UN_Plaza-New_York_City_New_York-or0.html?filterLang=en,Millennium Hilton New York One UN Plaza,"April 12, 2020",The hotel is in an excellent location for walking to most attractions in a quieter part of town by the UN building well equipped gym and even an indoor tennis court.This is our 2nd stay.The breakfast has an excellent choice of hot and cold selection cooked fresh from the grill this isn’t worth having and sets you up for the day.,"Bishops Stortford, United Kingdom","djmmyv</div><div class=""userLoc""><strong>Bishops Stortford, United Kingdom</strong>",9,5.0
750976591,https://www.tripadvisor.com/Hotel_Review-g60763-d209382-Reviews-Millennium_Hilton_New_York_One_UN_Plaza-New_York_City_New_York-or0.html?filterLang=en,Millennium Hilton New York One UN Plaza,"March 15, 2020","Stay there for 7 Nights for vacation & Birthday at NYC. Although the challenging time due to the corona virus situation the team do all he can for give us a good stay!We must mention Patrick Goad for his affords to give us a memorable stay! Actually this was my third visit this year and each time I enjoyed my stay but this time was a real ""stay to remember"" Patrick do all he can for us and all the others, in front desk and restaurant during breakfast give us a perfect feeling - we absolutely will be back!! also we should mention very good hot breakfast large rooms and nice Jim.","San Francisco, California","Haim D</div><div class=""userLoc""><strong>San Francisco, California</strong>",15,5.0
749748930,https://www.tripadvisor.com/Hotel_Review-g60763-d209382-Reviews-Millennium_Hilton_New_York_One_UN_Plaza-New_York_City_New_York-or5.html?filterLang=en,Millennium Hilton New York One UN Plaza,"March 7, 2020","Terrific experience at the Millennum HiltonThe location is so convenient, the staff are terrific and UNIONIZed so I could feel good about being there (knowing the staff were paid reasonably well). and the service was great.","Washington, DC","Heather B</div><div class=""userLoc""><strong>Washington, DC</strong>",3,5.0
749472099,https://www.tripadvisor.com/Hotel_Review-g60763-d209382-Reviews-Millennium_Hilton_New_York_One_UN_Plaza-New_York_City_New_York-or5.html?filterLang=en,Millennium Hilton New York One UN Plaza,"March 6, 2020","Location close to work. Staff were very attentive and made the stay awesome. Executive lounge had a nice view of the city and staff in there takes good care of visitors. Rooms were clean, and large for NYC. Front desk staff and bell staff were pleasant and helpful. Restaurant Ambassador Grill was good food and good value. Staff were great. ","Toronto, Canada","CherylS1101</div><div class=""userLoc""><strong>Toronto, Canada</strong>",2,5.0
749419756,https://www.tripadvisor.com/Hotel_Review-g60763-d209382-Reviews-Millennium_Hilton_New_York_One_UN_Plaza-New_York_City_New_York-or5.html?filterLang=en,Millennium Hilton New York One UN Plaza,"March 5, 2020",This was our first time in NY. We were given a room on the 33rd floor with a view you would never forget. The room cleaners were friendly and helpful as were the conceirge. The security with the dog are friendly and the dog is adorable. Some people may not like being checked before entering but this wasnt a problem for us as it made us feel more safe. This is less than 10 mins walk to Times Square/grand central so good location without all the noise! We would stay here again. ,"Newcastle upon Tyne, United Kingdom","loughmyster</div><div class=""userLoc""><strong>Newcastle upon Tyne, United Kingdom</strong>",39,5.0
748057397,https://www.tripadvisor.com/Hotel_Review-g60763-d209382-Reviews-Millennium_Hilton_New_York_One_UN_Plaza-New_York_City_New_York-or5.html?filterLang=en,Millennium Hilton New York One UN Plaza,"February 27, 2020","Hotel is situated just a 5-10 minute walk from Grand Central station so good location. After a day walking round NY however still seems quite a way!! The rooms are nice and well equipped with great views over the river however the actual beds are tiny! We had a room for 3 people which was meant to have 2 king size beds in but in reality they weren't even standard doubles! We did ask to change rooms but no luck there and they were a little rude at the time as well! The porter staff however were helpful and friendly at all times. Do not have a drink in the bar unless you have won the lottery!! 1 gin and tonic was 20 dollars!!! We didn't have breakfast at hotel but there were some great cafes just at top of street, also a good supermarket a couple of blocks away that sold everything you could need.","Northampton, United Kingdom","Tania B</div><div class=""userLoc""><strong>Northampton, United Kingdom</strong>",4,4.0
747924190,https://www.tripadvisor.com/Hotel_Review-g60763-d209382-Reviews-Millennium_Hilton_New_York_One_UN_Plaza-New_York_City_New_York-or5.html?filterLang=en,Millennium Hilton New York One UN Plaza,"February 27, 2020","Stayed here several times. Dated executive lounge but with extremely friendly and serviceminded staff. Functional and clean hotel rooms. Front desk staff overall on the verge of being rude or not serviceminded. When visiting in February the executive lounge was shut down after 2pm daily due to ""repairs"" but no signs of that when visiting it. Also no prior info that it would have limited business hours. This hotel needs to work on its business behaviour.",,Trail403527,1,3.0
747794400,https://www.tripadvisor.com/Hotel_Review-g60763-d209382-Reviews-Millennium_Hilton_New_York_One_UN_Plaza-New_York_City_New_York-or10.html?filterLang=en,Millennium Hilton New York One UN Plaza,"February 26, 2020",The station is right in front of hotel. So convenient to get subway to anywhere. Bathroom is old and need rennovation or maintain better. Got a junior suite with pull-out sofa but sofa has broken spring. Carpet is old and smell.,"San Jose, California","186jacquelinev</div><div class=""userLoc""><strong>San Jose, California</strong>",6,3.0
747376169,https://www.tripadvisor.com/Hotel_Review-g60763-d209382-Reviews-Millennium_Hilton_New_York_One_UN_Plaza-New_York_City_New_York-or10.html?filterLang=en,Millennium Hilton New York One UN Plaza,"February 24, 2020",It was a great stay. The hotel is in a great location and good staff overall. If you are a diamond member you are treat great. The only issue I had was the late checkout I did a triple check but still it was an issue. Always verify with the staff and make sure the notes are in the system. It was a headache especially on the last day. This would have been a 5 star rating otherwise. But I would recommend and will come back if in the NYC area.,"Washington DC, District of Columbia","dloback</div><div class=""userLoc""><strong>Washington DC, District of Columbia</strong>",0,4.0
747265451,https://www.tripadvisor.com/Hotel_Review-g60763-d209382-Reviews-Millennium_Hilton_New_York_One_UN_Plaza-New_York_City_New_York-or10.html?filterLang=en,Millennium Hilton New York One UN Plaza,"February 24, 2020",Next door to the United Nations is a wonderful Hilton Hotel waiting to treat you with Diplomat level service. My room had a great view of the East River and I could walk next door to the United Nations. The room was spacious and beautifully decorated with a lounge sofa and King Sized bed. The front desk and bell service was top notch and I just loved being in my room after a hard days work. Superb!,"Houston, Texas","Texas_artB</div><div class=""userLoc""><strong>Houston, Texas</strong>",44,5.0
747153822,https://www.tripadvisor.com/Hotel_Review-g60763-d209382-Reviews-Millennium_Hilton_New_York_One_UN_Plaza-New_York_City_New_York-or10.html?filterLang=en,Millennium Hilton New York One UN Plaza,"February 23, 2020","First the good; hotel is well located, great views (we had a city facing room in the West tower), very limited street noise, beds are comfortable and the rooms are a very decent size for NYC. Renovated bathrooms stocked with tons of towels and toiletries. Staff we encountered were all very helpful and friendly, especially the sniffer dog. Club floor breakfast is quite good for a 4 star Hilton; pastries, yogurts, cold boiled eggs, toast and bagels with peanut butter and cream cheese, jams, juices and cereals, hot tea and coffee that your could take to go. Really nice fruit! Strawberries, pineapple, blueberries, melon.Now the bad; the walls are paper thin! We could verbatim hear our neighbours conversations, tv and snoring through the walls.Would stay hear again in a heartbeat but for that one rather significant negative. Even the blackout curtain sheets were good, if only they had better insulation!","Vancouver, Canada","breezy51</div><div class=""userLoc""><strong>Vancouver, Canada</strong>",18,4.0
746906954,https://www.tripadvisor.com/Hotel_Review-g60763-d209382-Reviews-Millennium_Hilton_New_York_One_UN_Plaza-New_York_City_New_York-or10.html?filterLang=en,Millennium Hilton New York One UN Plaza,"February 23, 2020",What a fabulous hotel. I booked this hotel for my Wife's 50th & Daughters 18th Birthday treat. I emailed the hotel and asked if they could get a nice room with a view and what a response. Patrick the Reservations Manager picked out his favourite room with a view and he nailed it. Amazing views of the Manhattan skyline and even better at night. The hotel was immaculate and all the staff extra friendly. Hotel is central to all the main attractions and most within walking distance. i would definitely recommend this hotel.,,pjcave,1,5.0
746074458,https://www.tripadvisor.com/Hotel_Review-g60763-d209382-Reviews-Millennium_Hilton_New_York_One_UN_Plaza-New_York_City_New_York-or15.html?filterLang=en,Millennium Hilton New York One UN Plaza,"February 19, 2020","I dont usually do reviews on sites such as Tripadvisor unlessi am either massively impressed by something or really disappointed- in this case im afraid it was the latter.Due to no fault of the hotel we had a massive delay in JFK airport (i think it was Presidents day when we arrived so very slow!) but when we got out we were so tired and really looking forward to getting to the hotel, having a nice shower and hitting the road to see what NY had to offer.On arrival at the hotel, things didnt seem to bad. There was no porter, which you would expect at a large hotel but there was a nice security guard who welcomed us with his dog. No front of house staff, so myself and our wife has no interaction with anyone other then the security guard. I wish this continued.....We went to reception to check in like 2 excited kids (first time in NY) and greeted the reception staff how we would have been expected to be greeted- the response was a lift of a head (from her phone) and a short, not warm- “checking in”. We let that pass, however not a good impression.Me and my wife are celebrating our 5th wedding anniversary- so as you cheekily do, requested a new view, maybe an upgrade if possible- the response was “your room is allocated, and i can do anything about this”- which completely contradicts the other reviews from guests who have? Anyway, again let this slide.We went down a dark dingy corridor behind reception and got in our lift to our room. We got to our room and it wasnt too bad, the view not great but nice and it seemed cleaned. How wrong were we? Pubic hair in the sink, really dirty cups in the room, no water (would have been a nice touch)- i could continue but i hope you all get my drift! At this point we thought dont worry, have a shower and crack on- the pressure in the shower is basically non existent- quiet possibly the worst shower we have ever used!!! Determined to not let this get in the way off us enjoying the rest off our holiday, we got ready and went to reception to see if they had any tips on the whats around, how to get around town etc. We avoided the extremely rude receptionist we spoke to initially (who was still on her phone) and went to speak the other one. Her response “Google it”- i mean for god sakes! Just appalling service.We are not 2 nights into a 4 night stay and honestly the staff have been nothing but rude, unfriendly and unhelpful. Note to management- if you want to represent your brand in the right way, employ individuals that have the same care for customers and experience as you advertise. The guys you have working here honestly dont!!Never will i return to this hotel and as someone who regularly uses the Hilton group i will be avoiding you going forwards.We are still staying in the hotel for another couple of nights so if anything does happen to change my opinion i will happily consider updating this review but as it stands- STAY AWAY! Actually considering checking in somewhere else if this gets worse and will be complaining to British Airways also (we booked a package deal through them!)- sometimes money just is not everything!Positive: bed is comfy but hotel needs an update in general!Awful awful experience from a very unhappy customers!","London, United Kingdom","rajbathia</div><div class=""userLoc""><strong>London, United Kingdom</strong>",0,1.0
745952077,https://www.tripadvisor.com/Hotel_Review-g60763-d209382-Reviews-Millennium_Hilton_New_York_One_UN_Plaza-New_York_City_New_York-or15.html?filterLang=en,Millennium Hilton New York One UN Plaza,"February 18, 2020","Doormen were friendly, front desk check in and check out was friendly great experience. Room is dated (looks like reno's happening though) but comfortable. Executive Lounge wasn't open during my stay but had great breakfast and drinks at the Ambassador Grill.","Toronto, Canada","RichardH28</div><div class=""userLoc""><strong>Toronto, Canada</strong>",1,4.0
745514687,https://www.tripadvisor.com/Hotel_Review-g60763-d209382-Reviews-Millennium_Hilton_New_York_One_UN_Plaza-New_York_City_New_York-or15.html?filterLang=en,Millennium Hilton New York One UN Plaza,"February 16, 2020","My boyfriend surprised me with a hotel night stay at this hotel.... was able to book a room in 2019, upgraded with our Hilton Rewards. The corner rooms are absolutely gorgeous with the complimentary robes. Came back for 2020 Valentine's day. This time stayed in the regular king room. Still absolutely gorgeous views and stunning accommodations. The room was very clean except for one critique, the air vents had some slight dust. There is no room service until after lunch time but there are so many many restaurants and bars within one block walking distance. ","Mount Vernon, New York","RenitaDG325</div><div class=""userLoc""><strong>Mount Vernon, New York</strong>",0,5.0
744688243,https://www.tripadvisor.com/Hotel_Review-g60763-d209382-Reviews-Millennium_Hilton_New_York_One_UN_Plaza-New_York_City_New_York-or15.html?filterLang=en,Millennium Hilton New York One UN Plaza,"February 12, 2020","20 min walk to Times Square, gorgeous view of the river, clean room!Currently being renovated, so some minor stuff, but overall, it's a gorgeous hotel!The coffee shop in the lobby comes in handy in a pinch, and the restaurant is decent, as well!","Buffalo, New York","kellymY782OZ</div><div class=""userLoc""><strong>Buffalo, New York</strong>",6,4.0
744625222,https://www.tripadvisor.com/Hotel_Review-g60763-d209382-Reviews-Millennium_Hilton_New_York_One_UN_Plaza-New_York_City_New_York-or15.html?filterLang=en,Millennium Hilton New York One UN Plaza,"February 12, 2020",Amazing experience! Love the views and I actually slept great in that Governor's Suite. More than enough space and the suite was quiet. October in New York is perfect and the weekend I was there offered the perfect Fall weather. Views from this place are amazing!,,I5295GBjamesp,0,5.0
743996846,https://www.tripadvisor.com/Hotel_Review-g60763-d209382-Reviews-Millennium_Hilton_New_York_One_UN_Plaza-New_York_City_New_York-or20.html?filterLang=en,Millennium Hilton New York One UN Plaza,"February 9, 2020","The Millenium Hilton at One UN Plaza is top tier. Staff was great and exhibited excellent hospitality throughout our weekend stay. Room service was fast and decent. Breakfast at the Ambassador restaurant was great. If you have business at the UN, this location can’t be beat. If you’re in New York for fun, you’d only be three blocks from Grand Central station and the chance to hook up with the tour buses. Northwest Corner rooms on high floors have commanding views of both midtown and the east river. So far, my favorite location in NYC.","High Point, North Carolina","BobShirley68</div><div class=""userLoc""><strong>High Point, North Carolina</strong>",2,5.0
743858569,https://www.tripadvisor.com/Hotel_Review-g60763-d209382-Reviews-Millennium_Hilton_New_York_One_UN_Plaza-New_York_City_New_York-or20.html?filterLang=en,Millennium Hilton New York One UN Plaza,"February 9, 2020",What an amazing hotel from arriving to leaving the staff were so attentive and friendly. There is a fantastic coffee shop on the premises with lovely fresh pastries and cakes. The room we had on the 40th floor was jaw dropping gorgeous with stunning views.,,Pauline L,4,5.0
743756986,https://www.tripadvisor.com/Hotel_Review-g60763-d209382-Reviews-Millennium_Hilton_New_York_One_UN_Plaza-New_York_City_New_York-or20.html?filterLang=en,Millennium Hilton New York One UN Plaza,"February 8, 2020",The service is good. The hotel itself seems outdated and definitely feels like needs a renovation. It’s in a good location if you don’t wanna be in the middle of the city. But it definitely needs some attention when it comes to upgrading the building. Feels old and crusty. ,,Carlos D,0,3.0
