review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
749734028,https://www.tripadvisor.com/Hotel_Review-g14129573-d7002465-Reviews-Millennium_Mitsui_Garden_Hotel_Tokyo-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Millennium Mitsui Garden Hotel Tokyo,"March 7, 2020","The location is very central. Very short walking distance to several metro lines. There are lots of restaurants around. The rooms are a little small; however, the space is used efficiently. Our room has a very nice minimalistic decoration that we enjoyed to spend time in the room. The rooms were very clean, i especially loved the bathroom and the wc which was a technologic piece of art. The rooms were better than many 5 star hotels. The only missing thing is the room service. We’ve booked 3 rooms, it was good gesture of the front desk staff that he accepted early check in even if the hotel was fully booked.Thank you very much for the service once again.",,OziAtch,3,5.0
749182920,https://www.tripadvisor.com/Hotel_Review-g14129573-d7002465-Reviews-Millennium_Mitsui_Garden_Hotel_Tokyo-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Millennium Mitsui Garden Hotel Tokyo,"March 4, 2020",This hotel has a great location in Ginza and was incredibly well priced. Right next to the metro and easy to walk to a lot of attractions. The staff was so friendly and helpful. The rooms were quiet and stocked with everything you could need.,"Seattle, Washington","kellsbellsseasworld</div><div class=""userLoc""><strong>Seattle, Washington</strong>",0,5.0
740988699,https://www.tripadvisor.com/Hotel_Review-g14129573-d7002465-Reviews-Millennium_Mitsui_Garden_Hotel_Tokyo-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Millennium Mitsui Garden Hotel Tokyo,"January 24, 2020","A nice modern and well maintained four start hotel just in middle Ginza and direct access to the subway. Comfortable rooms, with wonderful beds, in size somewhat bigger than similar hotels in the area. All rooms seem nice, although would prefer the ones with bath, which makes the general bathing area a bit larger.No downsides at all, being the staff very professional, attentive and efficient anytime.","Chuo, Japan","AlexPira</div><div class=""userLoc""><strong>Chuo, Japan</strong>",100,5.0
738595171,https://www.tripadvisor.com/Hotel_Review-g14129573-d7002465-Reviews-Millennium_Mitsui_Garden_Hotel_Tokyo-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Millennium Mitsui Garden Hotel Tokyo,"January 11, 2020",Stayed here for two nights in late December 2019. Check in was efficient and staff spoke good levels of English. The room was new and modern and more spacious than expected. There was a sofa and coffee table and also a desk for working on. The bed was quite comfortable. The hotel is very conveniently located. Diagonally across the road from Mitsukoshi. 5-10 minutes walk to central Ginza and 10 minutes walk to Tsukiji outer market (still much more fun than Toyosu by the way). If you are into sake there is a Dassai store with sake tasting right next door. The airport limousine bus does not stop at this hotel but it is a short taxi ride from the hotel to Tokyo station for the Narita Express. My room faced walls and did not have much natural light. However I did not stay in the room during the day much anyway.,Hong Kong,"chezzz88</div><div class=""userLoc""><strong>Hong Kong</strong>",40,5.0
738183173,https://www.tripadvisor.com/Hotel_Review-g14129573-d7002465-Reviews-Millennium_Mitsui_Garden_Hotel_Tokyo-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Millennium Mitsui Garden Hotel Tokyo,"January 9, 2020","The room we had was bigger than other hotel rooms of the same location and price rangeClean and all necessary in room amenities available.Bed on the soft side for me. Linen soft and comfortable.Strong shower pressure. Excellent location for metro, eating and shopping. Walked once to Asakusa and took 90mins with interesting sights along the way. Plenty of cafes, high end restaurants and convenience stores in the vicinity.Not so good - very poor in room WiFi connection; lobby sofas always taken up by people who sit there for hours (maybe they are checked out guests or to be checked in guests?) Otherwise we had a wonderful stay!Anna","Hong Kong, China","Champers1604</div><div class=""userLoc""><strong>Hong Kong, China</strong>",3,4.0
734400276,https://www.tripadvisor.com/Hotel_Review-g14129573-d7002465-Reviews-Millennium_Mitsui_Garden_Hotel_Tokyo-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Millennium Mitsui Garden Hotel Tokyo,"December 23, 2019","Stayed at this hotel for 3 nights. Took cab from airport, cost around ¥8500. We arrived almost 11pm. We walked around to find something to 3. The good thing was located at ginza area. There were places opened till late. We stayed at smoking room. Hotel provide air purifier, which most of hotel in Japan did. Good location the room was rather small. But the location paid it off. Only 300m to higashi station. If you want to go ginza station, just go underground, around 600m walk. Very convenient. From hotel to Tokyo station, only ¥740. Very near and morning, easy to find taxi. ","Singapore, Singapore","7Deewee</div><div class=""userLoc""><strong>Singapore, Singapore</strong>",28,4.0
734316853,https://www.tripadvisor.com/Hotel_Review-g14129573-d7002465-Reviews-Millennium_Mitsui_Garden_Hotel_Tokyo-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Millennium Mitsui Garden Hotel Tokyo,"December 23, 2019",There is no more conveniently located hotel for tourists in the Ginza area. It is very busy and bustling. The front-desk staff fall over themselves to help and advise. Excellent buffet breakfast. Next to all the main dept. stores and in walking distance of all the main shopping area. Also to the Kabuki theatre. There is an elevator outside the main entrance straight down to two main lines on the metro/subway system.,"Herzliya, Israel","thecricklewuddian</div><div class=""userLoc""><strong>Herzliya, Israel</strong>",14,4.0
732161073,https://www.tripadvisor.com/Hotel_Review-g14129573-d7002465-Reviews-Millennium_Mitsui_Garden_Hotel_Tokyo-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Millennium Mitsui Garden Hotel Tokyo,"December 11, 2019","I stayed at Millennium Mitsui Garden Hotel Tokyo from 11/28-12/3. I was very satisfied with everything about this hotel. The room was small but very clean. The bathroom was nice. Great location (between Ginza Station and Higashi Ginza Station). The hotel staff were very friendly and helpful. Housekeeping staff were also great. As for airport transportation, I took the Limousine Bus from Narita and got off at Courtyard by Marriott Tokyo Ginza Hotel (approx. 3~4 min walk to Millennium Mitsui Garden Hotel). Also took the Limousine Bus from Courtyard by Marriott Tokyo Ginza to Haneda Airport. Very convenient.",California,"yySFyy</div><div class=""userLoc""><strong>California</strong>",23,5.0
731364385,https://www.tripadvisor.com/Hotel_Review-g14129573-d7002465-Reviews-Millennium_Mitsui_Garden_Hotel_Tokyo-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Millennium Mitsui Garden Hotel Tokyo,"December 8, 2019","This hotel is in an upscale area, close to the subway line and only about 10 steps from the closest subway stop. Excellent service at the hotel, front desk clerks speak English, signs in English. Room is small by North American standards but very functional and very clean...no complaints. ","Kingston, Canada","seetheworldbw2</div><div class=""userLoc""><strong>Kingston, Canada</strong>",2,5.0
728582438,https://www.tripadvisor.com/Hotel_Review-g14129573-d7002465-Reviews-Millennium_Mitsui_Garden_Hotel_Tokyo-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Millennium Mitsui Garden Hotel Tokyo,"November 24, 2019","Our flight from LAX to Tokyo got cancelled on October 12th due to typhoon Hagadis and we were unable to get on another flight until several days later. I tried several times that same day to call both the hotel directly and the Agoda booking service to cancel our reservation but the phones were down, my calls would not connect through. After returning to the US I again called Agoda and got nowhere. No consideration for our circumstances. I was told we were a no show and were charged the full amount for the 2 nights we had booked. TERRIBLE CUSTOMER SERVICE","Sun City, Arizona","Mary Jane W</div><div class=""userLoc""><strong>Sun City, Arizona</strong>",7,1.0
