review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
745517338,https://www.tripadvisor.com/Hotel_Review-g1066444-d14132415-Reviews-Mitsui_Garden_Hotel_Nihonbashi_Premier-Chuo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Mitsui Garden Hotel Nihonbashi Premier,"February 16, 2020","I had booked four rooms for my team and requested for early check in but when I reached hotel , early check in was refused . I offered to pay for the early check in and they demanded two and a half times the normal room rent . I came at around 11 30 AM with my team and for only two three hours early check in , I had to pay for two rooms around 53000 yen . This amount is almost three times the tariff available on any of Hotel booking websites . I had no option but to take two rooms on exorbitant tariffs . Very bad experience .",,SureshK2467,0,1.0
743122835,https://www.tripadvisor.com/Hotel_Review-g1066444-d14132415-Reviews-Mitsui_Garden_Hotel_Nihonbashi_Premier-Chuo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Mitsui Garden Hotel Nihonbashi Premier,"February 4, 2020",Stayed for 3 nights. The theme/decor of the Hotel is very chic and it was extremely clean. The room is a bit small but it was functional.The area is very clean. Also there is a convenience store just downstairs.,"Singapore, Singapore","hayaaah88</div><div class=""userLoc""><strong>Singapore, Singapore</strong>",1,4.0
742959165,https://www.tripadvisor.com/Hotel_Review-g1066444-d14132415-Reviews-Mitsui_Garden_Hotel_Nihonbashi_Premier-Chuo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Mitsui Garden Hotel Nihonbashi Premier,"February 3, 2020","I stayed at the Mitsui Garden Nihombashi for 3 nights in February while on a business trip to Tokyo. The staff are all wonderfully polite and helpful, and the hotel is very clean and has a nice bar and restaurant. Unfortunately, my room had no desk to work from, and the TV programming had only one channel in English. Would recommend a global vote brand in lieu of this hotel. ","Raleigh, North Carolina","mjbernatz</div><div class=""userLoc""><strong>Raleigh, North Carolina</strong>",87,3.0
737774858,https://www.tripadvisor.com/Hotel_Review-g1066444-d14132415-Reviews-Mitsui_Garden_Hotel_Nihonbashi_Premier-Chuo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Mitsui Garden Hotel Nihonbashi Premier,"January 8, 2020","Stayed for two nights in a superior king with Tokyo Tower view. Room was in excellent condition. Sizewise ok for two people but not spacious as all rooms in Tokyo so far. Friendly staff, the Japanese bath is a highlight.Didn’t try breakfast.The hotel bar didn’t look very appealing, there’s more in the neighbourhood.Great location, metro and rail directly or under the hotel, Tokyo Station even in walking distance.","Heidelberg, Germany","Claus t</div><div class=""userLoc""><strong>Heidelberg, Germany</strong>",1,5.0
731710375,https://www.tripadvisor.com/Hotel_Review-g1066444-d14132415-Reviews-Mitsui_Garden_Hotel_Nihonbashi_Premier-Chuo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Mitsui Garden Hotel Nihonbashi Premier,"December 9, 2019","Stayed there for 9 days with my 2 girls. We booked a triple room which was around 26 sqm which I suppose is a standard sized room. But due to the fact that they needed to squeeze in 3 beds, the room was pretty tight for the 3 of us. Check in was pretty smooth, the receptionist can speak a little bit of English, and even those who don't will try their best to explain things as clear as possible. Room is clean, with sufficient amenities provided. Best thing is that they provide a set of pyjamas for each guest, so for those who is staying longer stays and want to keep the luggage light, you don't need to worry about bringing pyjamas. No bathrobes, but that's not a real problem for us. One thing about the longer stay is that there is no coin operated washing machine/ dryer. So we had to bring sufficient clothes to change for our 9 days there. Hope this can improve in the future.The best thing is the public bath. Although it's ""public"", but if you go at the right hour, there is usually only 3 or 4 other people in the bath at any one time. Also was convenient for us as we didn't need to wait for the use of the room bathroom to take a bath and can just do it at the public bath which has full shower amenities, including lockers. After the bath, one can use the massage chairs for some relaxation. The hotel is directly connected to the train station of Mitsuhoshimae and Shin-Nihombashi. There is no need to come out from the station at all, but the exit is quite hidden and you may easily miss it, so we lugged our luggage up the exit staircase on the first day. Do ask the hotel staff where the exit is, for convenience. There is also a lift that is near the exit that connects to the train station. Very convenient. The station is only 2 stops fro Ginza and Tokyo Station. Very well connected. But if you like to stay in a lively area, this is not it. The streets are practically empty most of the time, espeically after sunset. There are a couple of malls nearby - Coredo, Mitsukoshi, Yuito, but they are selling more of the upmarket stuff. So if you want to have a bit of night time vibrance, you would need to take a train down to the next stops.","Singapore, Singapore","Wenglairene</div><div class=""userLoc""><strong>Singapore, Singapore</strong>",29,4.0
730949633,https://www.tripadvisor.com/Hotel_Review-g1066444-d14132415-Reviews-Mitsui_Garden_Hotel_Nihonbashi_Premier-Chuo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Mitsui Garden Hotel Nihonbashi Premier,"December 6, 2019","friendly ,efficient mid sized hotel. excellent location ,quiet, upmarket area of Tokyo for the discerning guest. Five minutes walk from the tube and five minutes by taxi to Tokyo main line. By no means five star however more than competent in every way. Pleasant helpful staff and nice relaxed breakfast area. Would say this is excellent value by japan standards. room was small but adequate but tranquility and quietness was biggest plus.highly recommendable.","Greater London, United Kingdom","martine294</div><div class=""userLoc""><strong>Greater London, United Kingdom</strong>",5,4.0
730119126,https://www.tripadvisor.com/Hotel_Review-g1066444-d14132415-Reviews-Mitsui_Garden_Hotel_Nihonbashi_Premier-Chuo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Mitsui Garden Hotel Nihonbashi Premier,"December 1, 2019",This is one of the best hotels I have ever stayed in! The staff are so helpful and respectful. The service is amazing! Rooms are a little small but they’re certainly efficient! I highly recommend this hotel!,"Moncton, Canada","Mae L</div><div class=""userLoc""><strong>Moncton, Canada</strong>",9,5.0
723927853,https://www.tripadvisor.com/Hotel_Review-g1066444-d14132415-Reviews-Mitsui_Garden_Hotel_Nihonbashi_Premier-Chuo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Mitsui Garden Hotel Nihonbashi Premier,"November 4, 2019","Modern well appointed hotel. Room was 20 sq m and well thought out so felt bigger. Shower only (no bath) but a good one. There is a bath-house for guest use open until late if you need a soak. I asked for a quiet room and it was silent! Downside was no view - just the side of the next building, but suited me. Stayed 4 nights and never disturbed. There is a JR station one stop to Tokyo station next to the hotel and many more transport options nearby. Loads of excellent dining options for any budget close by. Opposite the Mandarin which is one or the worlds greatest hotels, but value for money the Mitsui smashes it. ","Singapore, Singapore","Bob M</div><div class=""userLoc""><strong>Singapore, Singapore</strong>",126,4.0
718256227,https://www.tripadvisor.com/Hotel_Review-g1066444-d14132415-Reviews-Mitsui_Garden_Hotel_Nihonbashi_Premier-Chuo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Mitsui Garden Hotel Nihonbashi Premier,"October 14, 2019","I stayed at this hotel for 4 nights last week whilst i was on a business trip. It clearly is targeted at the business traveller. Overall, the hotel is great but its' location ticks all the boxes. There is a train station attached to the hotel and this is a plus. The rooms are very compact, much smaller than a European standard (but housekeeping does a good job).There are 2 elements that are missing in the hotel : It does not have a gym and this is a must for a business traveller. The breakfast focuses on the Asian client and get very monotonous as it didn't change over the 4 days i stayed there.Staff are pleasant but would need to improve in their English skills before the Tokyo Olympics. Would I go stay here again ? Yes, of course.","London, United Kingdom","bhaven123</div><div class=""userLoc""><strong>London, United Kingdom</strong>",9,4.0
710714471,https://www.tripadvisor.com/Hotel_Review-g1066444-d14132415-Reviews-Mitsui_Garden_Hotel_Nihonbashi_Premier-Chuo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Mitsui Garden Hotel Nihonbashi Premier,"September 17, 2019","Very well situated, modern and comfortable. The staff are very friendly and helpful they cannot do enough for you. We really enjoyed our stay and the late checkout of 12 midday was extremely helpful as we had a late flight home. ","Moruya, Australia","A4003IYpeterv</div><div class=""userLoc""><strong>Moruya, Australia</strong>",95,4.0
