review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
753357594,https://www.tripadvisor.com/Hotel_Review-g1066451-d666515-Reviews-Mitsui_Garden_Hotel_Shiodome_Italia_gai-Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Mitsui Garden Hotel Shiodome Italia-gai,"May 8, 2020","Beside ""hello, your passport please"" , the staff doesn't speak english, the room was very small, the breakfast wasn't very good, we usually had to eat somewhere else. We've been in Japan for a week before Tokyo, staying in Kyoto and Osaka, we were used with the size of the rooms and the japanese food for breakfast and we didn't have any problems there. We booked a massage thinking that they must have a kind of spa in house, they didn't mention while booking at the reception that the masseurs will come to the room and give the massage while climbing in your bed. Not to mention the quality of the massage... while a day before we had somewhere else the best massages ever, at the hotel we had the worst! They should fire those masseurs! At 10 PM, instead of feeling relaxed, we were angry that we couldn't communicate with the masseurs and later with no one at the reception when we asked for new bedsheets because the masseurs not only the put their feet in the bed were we put our faces, but they threw the pillows on the floor. Horrible experience!","Bucharest, Romania","CarmenI401</div><div class=""userLoc""><strong>Bucharest, Romania</strong>",0,2.0
742066655,https://www.tripadvisor.com/Hotel_Review-g1066451-d666515-Reviews-Mitsui_Garden_Hotel_Shiodome_Italia_gai-Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Mitsui Garden Hotel Shiodome Italia-gai,"January 30, 2020","The good: clean, comfortable and quiet in an otherwise busy neighbourhood. Easy access to mini supermarkets' combinis and the metro/JR lines. Easy walk to Hammamatsucho to get the monorail to Haneda; and a short jaunt to Shimbashi for late night eats. Ginza is also walkable.We liked the Ippudo along the next street :-)The bad: Inflexibility of staff. We were staying 6 nights. I cannot believe that it was impossible to let us use the bathroom the morning of our arrival after a red-eye flight. Shame.",,Al-Net-Olo,38,3.0
741416505,https://www.tripadvisor.com/Hotel_Review-g1066451-d666515-Reviews-Mitsui_Garden_Hotel_Shiodome_Italia_gai-Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Mitsui Garden Hotel Shiodome Italia-gai,"January 26, 2020","Japanese like their heating, and by default the rooms are far too warm for us. We turn off the heater and use the aircon to lower the room temperature to around 20 degrees for a good sleep.But in this particular hotel you can only use the heater in wintertime. You can turn off the heater but the aircon is not available during winter. The window can be opened to cool down the room but it only opens a little, and does not let much air in, and there is too much outside traffic noise to sleep. So the room is either too warm or too noisy for a good sleep.Apart from the room temperature the hotel is excellent. The service is outstanding, the room is spotlessly clean, the location very convenient, especially for Haneda Airport and there are plenty of dining options in the area. I would stay again, but perhaps phone ahead to ask them to turn off the room heating before I arrive.","Adelaide, Australia","slgc</div><div class=""userLoc""><strong>Adelaide, Australia</strong>",33,4.0
718836463,https://www.tripadvisor.com/Hotel_Review-g1066451-d666515-Reviews-Mitsui_Garden_Hotel_Shiodome_Italia_gai-Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Mitsui Garden Hotel Shiodome Italia-gai,"October 16, 2019",Stayed here because during the weekend its so expensive everywhere else because of the world cup rugby. Supposed to stay 2 nights because of the typhoon Hagibis my flight was cancelled so only got to stay for a short one night only. Reception is very nice and can speak english. Check in process and checkout was every fast and efficient. Location is in a quiet area but if your room facing the rail track it can be quite noisy. The subway is walking within 10-15 mins either way shiodome or hammamatsucho station if you dont mind. The room itself is just decent enough for japanese hotel ard 18-20m. Not big nor too small for japanese std. Just recently renovated so its not weary. Got nice public bath at top floor which is nice if you like onsen. Overall experience here was a nice stopover just wish my room is not facing rail track coz i am a light sleeper got awake easily. Train only stop from 1 am to 5 am i think. ,"Serpong, Indonesia","abecm</div><div class=""userLoc""><strong>Serpong, Indonesia</strong>",57,4.0
715107868,https://www.tripadvisor.com/Hotel_Review-g1066451-d666515-Reviews-Mitsui_Garden_Hotel_Shiodome_Italia_gai-Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Mitsui Garden Hotel Shiodome Italia-gai,"October 3, 2019","This is an excellent hotel - clean, friendly, good value and easy access from Haneda International Airport.We are staying here two more times during our stay in Japan.Good access to other transport systems","Staffordshire, United Kingdom","Garonne9</div><div class=""userLoc""><strong>Staffordshire, United Kingdom</strong>",140,5.0
714606776,https://www.tripadvisor.com/Hotel_Review-g1066451-d666515-Reviews-Mitsui_Garden_Hotel_Shiodome_Italia_gai-Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Mitsui Garden Hotel Shiodome Italia-gai,"October 1, 2019","Service is far better than other hotels around. Has Japanese style large public bath for relaxing. However, if you need the Internet for your business, I think you would better avoid this hotel. This is the long-lasting issue of this hotel. The speed of the Internet is far too low to be considered as useful. You will have lots of trouble downloading files, browse the Internet, impossible to have tele/video conference.","Greensboro, North Carolina","TakashiNMB</div><div class=""userLoc""><strong>Greensboro, North Carolina</strong>",1,4.0
714222937,https://www.tripadvisor.com/Hotel_Review-g1066451-d666515-Reviews-Mitsui_Garden_Hotel_Shiodome_Italia_gai-Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Mitsui Garden Hotel Shiodome Italia-gai,"September 30, 2019","A warm welcome, polite and friendly. Very clean.Decent-sized room (at least for me) with a view, not a wall opposite.Nice location, easily walking distance to Shiodome and Shimbashi.Convenience store very near the entrance. Hence 'convenience'....","Castres, France","PedritoC</div><div class=""userLoc""><strong>Castres, France</strong>",6,5.0
711309160,https://www.tripadvisor.com/Hotel_Review-g1066451-d666515-Reviews-Mitsui_Garden_Hotel_Shiodome_Italia_gai-Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Mitsui Garden Hotel Shiodome Italia-gai,"September 19, 2019","The hotel is ok, not too big, not too small. What we really liked was the location as it was more in an office area, which meant it was very quiet and chilled at night. We really appreciated this after coming back from the really busy and crazy areas of Tokyo. Lots of stations close by and loads of restaurants in the area. The hotel has a great supermarket in front which came in very handy.",,Yadaira O,9,4.0
708931805,https://www.tripadvisor.com/Hotel_Review-g1066451-d666515-Reviews-Mitsui_Garden_Hotel_Shiodome_Italia_gai-Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Mitsui Garden Hotel Shiodome Italia-gai,"September 11, 2019","We arrived drenched and the reception staff offered towels. There is additional per hour rate for early check-in. Otherwise, wait till 3pm. The surrounding of this hotel is quiet, good for walks. Rooms and linen were clean. In our 4 days stay, before moving into another hotel, I noticed the reception staff were often stressed.",Melbourne,"189liza</div><div class=""userLoc""><strong>Melbourne</strong>",3,3.0
699986005,https://www.tripadvisor.com/Hotel_Review-g1066451-d666515-Reviews-Mitsui_Garden_Hotel_Shiodome_Italia_gai-Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Mitsui Garden Hotel Shiodome Italia-gai,"August 17, 2019",Close to hamari ryu gardens and tokyo tower and hamamatsucho station of the yamanote line.Modern and comfortable but a bit expensive (specially breakfast)Try to get one of las floor rooms. Impressive views tokyo night.,"Eibar, Spain","javier a</div><div class=""userLoc""><strong>Eibar, Spain</strong>",49,3.0
696338635,https://www.tripadvisor.com/Hotel_Review-g1066451-d666515-Reviews-Mitsui_Garden_Hotel_Shiodome_Italia_gai-Minato_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,Mitsui Garden Hotel Shiodome Italia-gai,"August 6, 2019","It is a good 8-10mins walk from Shiodome train station. Room is a bit dated and requires maintenance. Stay away from the fabric sofa, it is not clean. I'm sensitive to dirty fabric sofa and i got rashes after the first night stay. The rash heal after i checked out.","Singapore, Singapore","Elaine Y</div><div class=""userLoc""><strong>Singapore, Singapore</strong>",1,3.0
695744559,https://www.tripadvisor.com/Hotel_Review-g1066451-d666515-Reviews-Mitsui_Garden_Hotel_Shiodome_Italia_gai-Minato_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,Mitsui Garden Hotel Shiodome Italia-gai,"August 5, 2019","I was happy to discover that the hotel is well located, within 7 minutes of 3 different train lines. Our room was clean & in good condition. The bathroom could be newer but again it was clean. Front desk staff don’t really speak English but I guess that’s Tokyo. ","Barcelona, Spain","FoodieinBCN</div><div class=""userLoc""><strong>Barcelona, Spain</strong>",26,4.0
