review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
755255067,https://www.tripadvisor.com/Hotel_Review-g60982-d87102-Reviews-Moana_Surfrider_A_Westin_Resort_Spa_Waikiki_Beach-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,"Moana Surfrider, A Westin Resort & Spa, Waikiki Beach","May 19, 2020","ProsGreat location(center of Waikiki) in front of the beach, feels like a historic hotel, room was clean, quiet, comfy, nice. Beach club was nice and the breakfast was good .ConsThe price is not cheap, rooms are small and perfect for just 1 person, could hear noises from the hallway and doors shutting, the parking is not good because there is a lot of Japanese weddings and parking are full.Overall the westin is great hotel but the rooms are small and comfortable ","Huntington Beach, California","emergencyexit84</div><div class=""userLoc""><strong>Huntington Beach, California</strong>",1,4.0
752581095,https://www.tripadvisor.com/Hotel_Review-g60982-d87102-Reviews-Moana_Surfrider_A_Westin_Resort_Spa_Waikiki_Beach-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,"Moana Surfrider, A Westin Resort & Spa, Waikiki Beach","April 13, 2020",This place is my vision of Paradise! Total first class service at the Moana. Outdoor dining. Pool and clean beach with frozen drinks from the pool bar! Hawaiian Weather. Gorgeous scenery... Diamond Head and Waikiki Beach from our outdoor balcony. Can’t wait to return. For couples or Families this has it all! Well worth the flying time.,,K912B,1,5.0
752102958,https://www.tripadvisor.com/Hotel_Review-g60982-d87102-Reviews-Moana_Surfrider_A_Westin_Resort_Spa_Waikiki_Beach-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,"Moana Surfrider, A Westin Resort & Spa, Waikiki Beach","March 31, 2020","After reading reviews that were all over the place, we eventually trusted our travel agent who has similar tastes as ours and obtained a reservation at the Moana Surfrider. In the booking of our room some 9 months before this our first ever trip to Hawaii, a request was made for a corner room in the historic Banyan Wing. Knowing this was “the” original hotel admittedly carried a certain attractive allure. Yes, upon arrival from the airport, the entryway was crazy busy with guests, valets, bellmen, and street-walking passersby swarming about the hotel entrance. There was equal chaos leading to the check-in desk as we maneuvered our own luggage around hotel employees and other guests—with no one offering assistance. The stone-faced front desk clerk that eventually waved us forward seemed inordinately brusque—perhaps it was the end of her shift and ready to head home. Speaking very hurriedly with an obviously tired memorized greeting, she seemed annoyed by our request for clarification of one of the points she made—promptly pushing a mass produced handout toward us along with our keycard, indicating “this would answer all our questions” before briskly turning away from us to signal that was the end of our encounter. Stumbling toward an elevator, once again dragging our bags behind, we were lucky that this lift carried us to our assigned floor—crossing our fingers the entire way that our room would be acceptable. Opening the door, indeed a corner room as we had requested greeted us with a lovely beachside view draped by the landmark banyan tree. While the room was smaller than we typically are accustomed in Texas, it was certainly adequate particularly since there was room to open our luggage and still navigate the room without tripping. The flower-themed colors & decor did provide a certain Old World Hawaiian charm to the room!The double bed was comfortable and the room clean although definitely of “vintage construction”. Our bathroom was relatively small but bearably ample for our modest needs. While it quickly fogged up while taking a shower, our sleeping quarters did not seem to be particularly muggy or humid in comparison. There was a beach party outside on our first night, spirited by throbbing music with heavy bass lasting past midnight; however, with ear plugs and travel weary bodies we finally drifted off to sleep. Upon awakening the next morning as the morning sun peaked through the window shutters, my wife turned and asked me what did I think about Hawaii and the Moana Surfrider so far? My reply was simply: “This ain’t Texas!”","Benbrook, Texas","Texman</div><div class=""userLoc""><strong>Benbrook, Texas</strong>",323,3.0
751642872,https://www.tripadvisor.com/Hotel_Review-g60982-d87102-Reviews-Moana_Surfrider_A_Westin_Resort_Spa_Waikiki_Beach-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,"Moana Surfrider, A Westin Resort & Spa, Waikiki Beach","March 22, 2020","We travel to Waikiki a few times a year. Always stay at the Moana Surfrider. They have the best location on the beach if you love to surf, standup paddle, snorkel or just swim in the crystal clear water. On top of all that, the staff at the pool side towel desk are the most friendly people we have ever met at any hotel. Gloria is always smiling, Moe is alway friendly and Lee is always ready to tell a joke and gives the best local restaurant recommendations any traveler could ask for. Take my advice and don’t bother looking for anywhere else to stay if you are planning a trip to Waikiki.",,TGGHawaii,1,5.0
751565203,https://www.tripadvisor.com/Hotel_Review-g60982-d87102-Reviews-Moana_Surfrider_A_Westin_Resort_Spa_Waikiki_Beach-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,"Moana Surfrider, A Westin Resort & Spa, Waikiki Beach","March 21, 2020","This hotel opened on March 11, 1901, and was the first hotel built in Waikiki. This is an hour-long free historical tour and is offered every Monday and Wednesday beginning at 11 a.m. No booking required and the meeting area is on the second-floor lobby of the Moana’s Banyan Wing.We really enjoyed this tour run by the very knowlegeable Ms Kehaulani Kam.This tour coincided with the hotel's 119th birthday. After the tour we went downstairs for the hotels birthday celebration and indulged in free champagne and cupcakes ansd a speach by the hotel manager.We also met one of the surfboard manufacturers of the original timber surfboards.Its a great free activity to do in Honolulu.","Melbourne, Australia","tommomelbourne</div><div class=""userLoc""><strong>Melbourne, Australia</strong>",3352,5.0
751410740,https://www.tripadvisor.com/Hotel_Review-g60982-d87102-Reviews-Moana_Surfrider_A_Westin_Resort_Spa_Waikiki_Beach-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,"Moana Surfrider, A Westin Resort & Spa, Waikiki Beach","March 19, 2020",Dating back to 1901 this is a classy hotel very smartly presented. Right on the famous beach with a beautiful garden bar with a stunning Banyan Tree at its heart. The beach overlooks the beach offering great drinks and snacks. The restaurant is exquisite offering fabulous outside dining as well as inside.Don’t stay anywhere else!,"Tenterden, United Kingdom","333Douglas</div><div class=""userLoc""><strong>Tenterden, United Kingdom</strong>",118,5.0
750977407,https://www.tripadvisor.com/Hotel_Review-g60982-d87102-Reviews-Moana_Surfrider_A_Westin_Resort_Spa_Waikiki_Beach-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,"Moana Surfrider, A Westin Resort & Spa, Waikiki Beach","March 15, 2020",I am a Bonvoy member and was upgraded to the original tower erected 1901. The first hotel in Waikiki. We loved the service and cleanliness and sheer beauty of this space. I would highly recommend this if you have to stay in Waikiki. ,"Corinth, Texas","timrachels</div><div class=""userLoc""><strong>Corinth, Texas</strong>",16,5.0
750877829,https://www.tripadvisor.com/Hotel_Review-g60982-d87102-Reviews-Moana_Surfrider_A_Westin_Resort_Spa_Waikiki_Beach-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,"Moana Surfrider, A Westin Resort & Spa, Waikiki Beach","March 14, 2020",This was an amazing hotel. I’m a bonvoy Marriott platinum member and I received an ocean view upgrade and had access to the lounge every day. The location is great. It’s right on the beach and there are a ton of restaurants and stores within walking distance. If you get hot on the beach and don’t feel like going in the ocean the pool is right there. At night after a nice dinner come back to the hotel and sit on the rocking chairs on either the front or back porch for a relaxing time. The room was a decent size and the bathroom had your standard tub/shower combo. Also the toilet seats were heated which was different. The gym was very nice for being a hotel gym. Had plenty of equipment and was a decent size. There is a $37 per day resort fee which sucks but it does come with some amenities that I didn’t really look into. The parking is also very expensive so I recommend parking at the banyan condominiums where parking is only $80 for the week. The staff were all very friendly. They were willing to help with bags and greeted me and my fiancée with Hawaiian leis which I didn’t think they did anymore but they do. I had an issue with the delivery of a specialty proposal cake (they lost my order) but the man I talked to on the phone was very apologetic and took care of the issue right away. There’s plenty of ABC stores around if you want to save a few bucks and stock up on snacks and drinks for your room. ,"Philadelphia, Pennsylvania","bigfrank0</div><div class=""userLoc""><strong>Philadelphia, Pennsylvania</strong>",10,5.0
750698283,https://www.tripadvisor.com/Hotel_Review-g60982-d87102-Reviews-Moana_Surfrider_A_Westin_Resort_Spa_Waikiki_Beach-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,"Moana Surfrider, A Westin Resort & Spa, Waikiki Beach","March 13, 2020","When we arrived by Uber from airport, the bell person greeted us with Lei (the Hawaiian flower necklace). Super friendly and welcoming! Front desk staff who checked us in was great. (I asked her name, but sorry I can't remember.) Warm welcome with nice smile, calm and friendly. She also gave us a voucher for free pineapple soft serve! I never had pineapple soft serve before,and it was delicious! Thank you!She also got us room upgrade with amazing Waikiki beach view to wish my happy birthday (it was my birthday trip), and the view was unreal. The hotel have the old building, which is the original, and a new building. We got the old building, which seemed out dated, and room was small with no patio, but I was aware of that it is the 'first lady' hotel with history. The location can't be any better if you want to experience the Waikiki beach. It's right at the center of the beach, and it's only few steps from your room. The provide beach towels (they charge for the resort fee, and it's part of the service I believe. Totally worth it!) So you can be at the beach day and night. We actually went out few times a day to enjoy the beach. We also had breakfast there, and it was fantastic. Everything was fresh, and staff was so friendly. The beach bar at night was great too. Live music and the ocean wave sound, great good and service. The banyan tree in the center is beautiful to look. We really enjoyed the time at this hotel, and I highly recommend! They have a great concierge desk for all tourists needs as well. Lots of shopping and food options surrounding. If you want to be in urban environment in Hawaii, and need all convenience with you, stay in Waikiki, and this beautiful hotel!","Vancouver, Canada","Miareviews</div><div class=""userLoc""><strong>Vancouver, Canada</strong>",4,5.0
750277446,https://www.tripadvisor.com/Hotel_Review-g60982-d87102-Reviews-Moana_Surfrider_A_Westin_Resort_Spa_Waikiki_Beach-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,"Moana Surfrider, A Westin Resort & Spa, Waikiki Beach","March 10, 2020","We took out one year old and three year old to this hotel for a holiday on the way through to Australia from California. My husband has platinum elite status with bonvoy so we were able to access the lounge which was open form breakfast and wine and appetizers in the evening and you could pop in for snacks and drinks during the day. It was good to have a place to take the kids when they needed a snack. Most people have noted the pool was small but it suited our needs and the beach access was invaluable with little kids. We actually managed to pick up some pool floats for the kids from the pool attendants who said that people leave them behind all the time and they are always throwing them out, another group gave us sand toys and a boogie board which we later passed to another group with kids at the end. We were upgraded to the top floor and had a partial ocean view. The room was spacious and quiet and we were able to put the 1 year old in the bathroom. There were lots of tours that could be arranged within the hotel but we decided to just enjoy the beach and took the kids to the aquarium which we could walk to from the hotel. Overall we had a great time and would go again!",,FelicityS203,3,5.0
