review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
752475677,https://www.tripadvisor.com/Hotel_Review-g60763-d14149815-Reviews-Moxy_NYC_Chelsea-New_York_City_New_York-or0.html?filterLang=en,Moxy NYC Chelsea,"April 10, 2020","I stayed at the Moxy NYC Chelsea for a trip to NYC from California for work in early March. I was always curious about the Moxy brand also working at Marriott and the hotel lived up to my expectations of it being aimed towards Millenials (like myself) but also fitting the budget. The hotel itself was in the perfect location as it was a close walk to the subway stations and felt like a safe area. There's even a flower shop next door which is nice to walk out to in the morning. I absolutely loved the aesthetic of the hotel, and even the staff's uniform was so stylish! All the staff I encountered at the front desk were super friendly, including Maria and a few others I forgot the names of.The rooms are small but what do you expect in New York? You should also be minimally in the room and exploring anyhow! I stayed in a King room the first night and it was the first time I've seen a sink in the same area as the bedroom; I could see this as an issue if you are staying with someone and need to blowdry your hair while someone else is sleeping. However, this is not an issue in the double-bedded rooms so keep that in mind (the whole bathroom area is behind a closed-door versus in same room as the bedroom). Other than that, I loved the aesthetic and also loved how there was a steamer in the room. Another heads up, walls seem thin and I could constantly hear the neighbors talking or doors slamming in the hallway. The rooftop bar was also lovely! I went on a Saturday night and it was packed; expect long lines for the bar and pricey beverages. However, you can't beat the atmosphere and those views. I also visited the Moxy Times Square bar but I preferred how this one was much more classy.Overall, I really loved my stay at the Moxy NYC Chelsea and will absolutely recommend to anyone traveling to NYC. I'm dreaming about the next time I can return and stay there again!","San Jose, California","Cris-annL</div><div class=""userLoc""><strong>San Jose, California</strong>",3,5.0
751143560,https://www.tripadvisor.com/Hotel_Review-g60763-d14149815-Reviews-Moxy_NYC_Chelsea-New_York_City_New_York-or0.html?filterLang=en,Moxy NYC Chelsea,"March 16, 2020","The rooms are simple, but new and open with a lot of sunlight. The location is decent and centrally located. However, what made my stay enjoyable were the employees. Every single one of them was great and they always had smiles on their faces. Great customer service and they certainly ensured that my days got off to a good start. I will definitely be staying here again.","Evanston, Illinois, United States","W8780ODmaxb</div><div class=""userLoc""><strong>Evanston, Illinois, United States</strong>",2,5.0
750818110,https://www.tripadvisor.com/Hotel_Review-g60763-d14149815-Reviews-Moxy_NYC_Chelsea-New_York_City_New_York-or0.html?filterLang=en,Moxy NYC Chelsea,"March 14, 2020","I’m no stranger to New York and I was really looking forward to this visit. I booked the Moxy Chelsea having read it was recommended for its fantastic views of the city and rooftop bar. Well it didn’t disappoint! We had a great view downtown from the 30th floor which we enjoyed waking up to and watching the city go by at night. The rooftop bar - Fleur Room was a nice treat too with some great views. The rooms were small, but just about the right size. Everything worked and we didn’t miss the extra space - very high quality. The location was good for getting around by subway with the 1-2-3 line stopping at 28th on the corner. The street is known as the flower district which was great to walk through on a sunny morning. I couldn’t recommend this hotel and it’s friendly staff more. ",,Breffni G,1,5.0
750569885,https://www.tripadvisor.com/Hotel_Review-g60763-d14149815-Reviews-Moxy_NYC_Chelsea-New_York_City_New_York-or0.html?filterLang=en,Moxy NYC Chelsea,"March 12, 2020",We enjoyed our stay at the Moxy Chelsea! We were visiting for my daughter’s 21st birthday and the hotel provided a great room on the 29th floor with a wonderful view of the Empire State Building. They left balloons and decorated our window. All of the staff we encountered were very friendly and accommodating. We ate at Feroce and it was delicious. We also went up to The Fleur Room for a great view of the city. We liked that the hotel was centrally located between Uptown and Downtown because we went all over. We also used the subway and the stop was just a block. ,North Carolina,"NCTravelMouse</div><div class=""userLoc""><strong>North Carolina</strong>",13,5.0
750117602,https://www.tripadvisor.com/Hotel_Review-g60763-d14149815-Reviews-Moxy_NYC_Chelsea-New_York_City_New_York-or0.html?filterLang=en,Moxy NYC Chelsea,"March 9, 2020","The location is great. The rooms are small, but are good for a quick stay. The lounges are really nice and the cocktails at happy hour were delicious!Mini fridge if you ask for one! Staff is super friendly and helpful. Will stay again!","Long Island, New York","ctness88</div><div class=""userLoc""><strong>Long Island, New York</strong>",3,4.0
750054340,https://www.tripadvisor.com/Hotel_Review-g60763-d14149815-Reviews-Moxy_NYC_Chelsea-New_York_City_New_York-or5.html?filterLang=en,Moxy NYC Chelsea,"March 9, 2020","Top notch experience start to finish. 3 college friends took a 3night 4 day trip to NYC. Starting with the reservations. We each booked separately using different methods and all got excellent rates and rooms ( booking.com, Amex travel, and hotels.com) . Before arriving, as I was somewhat hosting this get together, I inquired about getting an early checkin. I also requested a mini refrigerator,. There is no charge for that. You just have to request. They explained to me what to do to increase the likelihood of getting early check in. We had a very early morning flight and wished to change clothes and clean up a bit before heading out sightseeing. They made a note on each of our rooms that we would like early check in. I was told to call a number they gave me when we were in route from the airport. We did that and 2 of our rooms were ready early ( like 10:30 ish). There was a 3rd room available provided she switch from a king bed to 2 doubles which she did. The staff at the front desk was fantastic and check in was a breeze. When we were leaving they gave us clear concise information about our request related to taking the subway to the Brooklyn Bridge, including information on how to we could now use Apple Pay for the subway instead of needing a metro card. ( not all stations can do that yet). Our rooms..small and tight ( fine for 1 -2people)with amazing views. The design was really different than anyplace I’d been, but very efficiently laid out for use of space. My room had a king bed and the mini refrigerator arrived about 5 minutes after I got to the room. As you enter the bathroom is on yours right in a divided space with sliders like you might see on a double closet. One half has the commode and the other side is the shower. On the left as you enter is a full length mirror followed by a very modern sleek sink /vanity area with mirror above and open wrought shelving below that was stocked with towels and a blow dryer AND garment steamer. Ample plugs in the area for small appliances &/or phone. So probably the biggest difference from a typical hotel room was no closet or dressers or tables ( except 2 small night tables on both sides of bed). Attached the the wall was a pull down table/desk. Pretty cool. When you opened it on the back we’re fabric pockets for stuff like pens, phone , note pad , maybe even a tablet, and the table top is a good size. Plenty of room for a laptop and working papers beside, and again several outlets. A folding chair is hanging flush on one of the MANY pegs around the room. The pegs and provided hangers replaced a need for a closet. I actually loved this. I could put my outfits for the week including accessories on the pegs and visibly see them all laid out. I didn’t even bother with the hangers as the pegs were big enough ( subtle time saver hanging/unhanging ) . Not a big deal for most but I have a handicap with one hand and hanging clothes isn’t always simple for me. Under the bed are built ins that replace the need for dresser. Hanging on the peg is a foldout luggage table or you can store your luggage under the bed. I loved the efficient room features, including the many outlets and overall design. Easily worked for me. Now the food and drinks... every morning (7am-11am)free coffee on the 2nd floor ( no coffee maker in room). There is also a coffee shop at entrance to hotel with delicious coffee. Food looked good but I didn’t get to try any. There is a happy hour 5-7 with certain drinks being half price which is still expensive for this Florida girl. But this is NYC and I fully expected this. The drinks I tried each time were delicious and unique. I believe the Peroni beer was the happy hour beer the day we were there. The service was excellent. One night after a day of sightseeing we were to tired and just ate the tapas type food at the bar which was absolutely delicious, some chicken tenders type thing, an amazing grilled cheese type thing, truffle popcorn and these were not your normal versions of this stuff . I just can’t recall the other ingredients or sauce. We didn’t eat at the restaurant since we had dinner plans the other nights. It sure smelled good though whenever we were nearby. The rooftop bar was a lot of fun. Terrific views of the city all around, including getting to see the Empire State Building light show . It is an enclosed ( not open air garden type) bar. Monday not crowded at all. Tuesday night was rainy so it was definitely busier, but not bad. The crowd seemed to primarily be young to middle age professionals. The music was good but not so loud to make conversations difficult. We loved that we could just be at our hotel for after dinner socializing and just go to our room downstairs when we were ready to call it a night. A big reason for selecting this hotel. The other reason we selected this hotel is that we wanted to be in a different area of the city. In this case in the Chelsea area not far from Chelsea market and the High line. Walking distance to a lot of things and easy access to the subways. It is in the flower district and the flowers in the shops by the hotel are breathtaking. Location was perfect for us.","Apollo Beach, Florida","Kimkrankin</div><div class=""userLoc""><strong>Apollo Beach, Florida</strong>",4,5.0
749670268,https://www.tripadvisor.com/Hotel_Review-g60763-d14149815-Reviews-Moxy_NYC_Chelsea-New_York_City_New_York-or5.html?filterLang=en,Moxy NYC Chelsea,"March 7, 2020",This was my second stay and both exceptionally pleasant from check in to the comfort of the rooms.I had the please of being welcomed by the amazing Danielle at the Front Desk who is just amazing and consistent with her high level of professionalism and genuine Customer Service.Look forward to another stay very soon.,"Jersey City, New Jersey","destin2travel</div><div class=""userLoc""><strong>Jersey City, New Jersey</strong>",2,5.0
749435472,https://www.tripadvisor.com/Hotel_Review-g60763-d14149815-Reviews-Moxy_NYC_Chelsea-New_York_City_New_York-or5.html?filterLang=en,Moxy NYC Chelsea,"March 5, 2020","We spent one week of blissful holidays with my wife in the 22nd floor of this awesome design gem in midtown Manhattan with an amazing view of the Empire State Building, extremely helpful staff and great facilities.","Athens, Greece","andonis33t</div><div class=""userLoc""><strong>Athens, Greece</strong>",0,5.0
749377363,https://www.tripadvisor.com/Hotel_Review-g60763-d14149815-Reviews-Moxy_NYC_Chelsea-New_York_City_New_York-or5.html?filterLang=en,Moxy NYC Chelsea,"March 5, 2020","I travel to New York for work almost every month, and despite the fact that the rooms are a bit spartan, I keep coming back to the Moxy (and recommend it to colleagues and friends) because of Feroce bar and restaurant. Overall a great hotel for business travelers, groups of friends, young couples. Probably not a good fit for families with young children.","San Francisco, California","roccosann</div><div class=""userLoc""><strong>San Francisco, California</strong>",2,4.0
748948396,https://www.tripadvisor.com/Hotel_Review-g60763-d14149815-Reviews-Moxy_NYC_Chelsea-New_York_City_New_York-or5.html?filterLang=en,Moxy NYC Chelsea,"March 3, 2020","I absolutely love, love, love this hotel! The location is absolutely perfect, about a 4 block walk to subways connecting east and west. It's a small hotel but super clean and the service was just amazing, everyone was very friendly and responsive. The rooms are small, but that is to be expected in NYC, but what I love about this hotel is that every room seems to have natural sunlight and this is really important to me to have. Many NYC hotels you get stuck in a room looking at the side of another building. The rooftop bar has a great view of the Empire State Building. All in all, I love this hotel, I've stayed here twice and it will be my go-to from now on!","Santa Monica, California","jkcsekhar</div><div class=""userLoc""><strong>Santa Monica, California</strong>",10,5.0
