review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
751035792,https://www.tripadvisor.com/Hotel_Review-g60763-d14095381-Reviews-Moxy_NYC_Downtown-New_York_City_New_York-or0.html?filterLang=en,Moxy NYC Downtown,"March 15, 2020","From the moment we walked in the door we were greeted and treated like one of the gang, the staff was very approachable which made the stay in a large unfamiliar city much more comfortable. Megan D. provided top notch service and went above and beyond our expectations! The Moxy definitely has a fun and playful vibe, I loved this combined with the modern and distinct decor all the while being impeccably clean.",,krystalklear10,0,5.0
750880298,https://www.tripadvisor.com/Hotel_Review-g60763-d14095381-Reviews-Moxy_NYC_Downtown-New_York_City_New_York-or0.html?filterLang=en,Moxy NYC Downtown,"March 14, 2020",I loved drinking at the bar with Brian C. The man is excellent vibes. We came for one drink and stayed for five because we were giving out. Highly recommend! Will be coming back soonP.s. Brian reminds me of Vinny Chase,,jdelsolar,0,5.0
750330115,https://www.tripadvisor.com/Hotel_Review-g60763-d14095381-Reviews-Moxy_NYC_Downtown-New_York_City_New_York-or0.html?filterLang=en,Moxy NYC Downtown,"March 10, 2020","I’m originally from Manhattan and had to go back recently for a weekend. As a native New Yorker, I can honestly say The Moxy’s a true steal for its location and price. It’s near everything downtown (including One World Trade and other attractions) and is only a short subway ride away from the rest of what New York City has to offer. I highly recommend it!",NYC,"joshuadcarey</div><div class=""userLoc""><strong>NYC</strong>",0,5.0
750321994,https://www.tripadvisor.com/Hotel_Review-g60763-d14095381-Reviews-Moxy_NYC_Downtown-New_York_City_New_York-or0.html?filterLang=en,Moxy NYC Downtown,"March 10, 2020","Excellent hotel, fab location close to Ground Zero, modern, nice clean rooms, lovely bar meeting area, good security access to lifts. Friendly helpful staff. No night noise. Subway just round the corner. Highly recomnended",,claire l,4,5.0
749915420,https://www.tripadvisor.com/Hotel_Review-g60763-d14095381-Reviews-Moxy_NYC_Downtown-New_York_City_New_York-or0.html?filterLang=en,Moxy NYC Downtown,"March 8, 2020","My frequent stays at the Moxy only improve as I continue to return to this location. I am always provided excellent customer service, recommendations, and amenities within the room that make the experience pleasant. Any issues are always dealt with immediately and always professional. One of the many employees there Rachel and another employee there named Rich are very polite every visit and I always look forward to seeing them at the Moxy I look forward to returning soon.",,493ginetteb,0,5.0
749528463,https://www.tripadvisor.com/Hotel_Review-g60763-d14095381-Reviews-Moxy_NYC_Downtown-New_York_City_New_York-or5.html?filterLang=en,Moxy NYC Downtown,"March 6, 2020","Great bar area with games, good dj and solid food. The space is large and comfortable. They have solid happy hours deals. Brian C mixes one of the best spicy margaritas around. Friendly staff. A trendy gem in FIDI.",,F3808EGjohnb,0,5.0
749270069,https://www.tripadvisor.com/Hotel_Review-g60763-d14095381-Reviews-Moxy_NYC_Downtown-New_York_City_New_York-or5.html?filterLang=en,Moxy NYC Downtown,"March 5, 2020","The service was kind, helpful and resourceful. The room had a smoke smell and the room did not feel clean. Would not go back to this hotel. The front desk people helped with parking, taxi and questions we had. Richard was extra helpful!!",,fluturam2020,0,5.0
747384955,https://www.tripadvisor.com/Hotel_Review-g60763-d14095381-Reviews-Moxy_NYC_Downtown-New_York_City_New_York-or5.html?filterLang=en,Moxy NYC Downtown,"February 24, 2020","I came to New York for a longer than normal stay. I needed a great location close to the office but also close to the action. The Moxy Downtown was perfect for both. The rooms are cool and funky and very minimal, totally my style. When I first arrived on a Thursday night there was a Dj spinning music at the bar, I got to use my free drink coin and it was on. Half way through my stay, I started to feel like I needed a little more room, I had done a lot of shopping and started to run out of room. I mentioned this to the concierge Rachel, and she helped me out. She got me into something just a little bit bigger and it made a world of difference. Thank you Rachel + Moxy NYC for making my stay magical. :)","Denver, Colorado","Mario Z</div><div class=""userLoc""><strong>Denver, Colorado</strong>",0,5.0
747314507,https://www.tripadvisor.com/Hotel_Review-g60763-d14095381-Reviews-Moxy_NYC_Downtown-New_York_City_New_York-or5.html?filterLang=en,Moxy NYC Downtown,"February 24, 2020","Very functional hotel near the financial district of Manhattan. Easy walk to Broadway, The Brooklyn Bridge and the Fulton Street subway station. Close to local restaurants and stores. We stayed in room 1101 - King bed with a city view.The Moxy has a cool bar and relaxation area which is always hopping in the evenings! However, the Moxy is one of those chic, hip, no frills hotels so do not expect a refrigerator in your room or a safe or an iron. The rooms also have an interesting window hatch between the bedroom and the shower with a sliding photo that can be used to block the view...but control of the sliding photo is on the bedroom side!(Maybe a problem if you are traveling with kids ) Also, and I’m sure this is the hotels fault, but every time the air came on, you would get a faint smell of weed. The only other complain would be that the sheets felt like they were made of parchment paper and not very comfortable.",,UkDj,1,3.0
747251975,https://www.tripadvisor.com/Hotel_Review-g60763-d14095381-Reviews-Moxy_NYC_Downtown-New_York_City_New_York-or5.html?filterLang=en,Moxy NYC Downtown,"February 23, 2020","We recently stayed at the Moxy whilst on a short visit to NYC. The hotel is located in a good location and it takes less than a minute to get onto the subway. It’s also very close to Wall Street, China Town, Brooklyn Bridge and the World Trade Centre. The property was easy to find and it has a good selection of nearby stores and restaurants. The hotel staff were mostly very good. The luggage porter was excellent and was definitely the most helpful and friendly member of the team. The hotel reception is rather small, but I guess it does the job. The colleague that checked us in was very pleasant and helpful. However, we did drop by the reception on one occasion and the woman behind the desk was very unhelpful, blunt and rather rude.The decor and theme of the property was fitting and rather well done. However it’s most definitely a property for the younger crowd and millennials. The room was really rather small (but this is NYC) and it had a good view. However it did lack some of the amenities that we would have wanted at our fingertips e.g. coffee facilities, but that was most likely poor planning on our behalf. In the room the fan was either on full or auto which is rather annoying, it would be nice to be able to select a continuous low fan. The bed was comfortable however the duvet is incredibly thin, it was much more of a blanket rather than that of a duvet. We did sleep well and on the whole we found the room quiet in a busy city. You have to take two elevators to get between ground level and your room which is rather annoying and a feature of properties that we tend to dislike. It may sound trivial, but having to wait for two elevators in a busy hotel when all you need to do is quickly get to or from your room is pretty annoying. We wouldn’t stay here again but I can appreciate that it’s (Moxy) just isn’t a brand of Marriott for us. Between me and my partner we stay at Marriott hotels around 300 days per year. So we’re very loyal to the brand however this just isn’t for us. The hotel felt much more like a youth hostel than a hotel and that’s not what we wanted. ","Windsor, United Kingdom","MattLi6</div><div class=""userLoc""><strong>Windsor, United Kingdom</strong>",1,3.0
