review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
749626451,https://www.tripadvisor.com/Hotel_Review-g1066459-d12817652-Reviews-Moxy_Tokyo_Kinshicho-Sumida_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Moxy Tokyo Kinshicho,"March 6, 2020","Highly recommend Moxy Tokyo, just make sure you know a bit the unique concept when you book but I personally love it: really cool and beautifully designed atmosphere, excellent value for money with all the facilities needed (gym, library, games, ironing room, bicycle rental..) but the best is really the people - very welcoming and friendly staff. Will surely be back, thanks for a great stay!","Hirakata, Japan","Thomas V</div><div class=""userLoc""><strong>Hirakata, Japan</strong>",7,5.0
749383309,https://www.tripadvisor.com/Hotel_Review-g1066459-d12817652-Reviews-Moxy_Tokyo_Kinshicho-Sumida_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Moxy Tokyo Kinshicho,"March 5, 2020",Had the pleasure of staying one night in this fun themed hotel. The room are not big but adequate and cool designed. The reception is also the Café and the bar where a DJ play music in the evening. The food is convenient but good.I will surely come back!,,torstenfogp,5,4.0
747450590,https://www.tripadvisor.com/Hotel_Review-g1066459-d12817652-Reviews-Moxy_Tokyo_Kinshicho-Sumida_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Moxy Tokyo Kinshicho,"February 24, 2020",The hotel is very clean and hip and there's a direct bus from Haneda airport. The rooms are very large by Japanese standards. The location is also very close to a train station with plenty of dining options. I would stay here again!,,mingc2020,0,4.0
746418259,https://www.tripadvisor.com/Hotel_Review-g1066459-d12817652-Reviews-Moxy_Tokyo_Kinshicho-Sumida_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Moxy Tokyo Kinshicho,"February 20, 2020","From the check in at the bar to the DJs and bands in reception at night, the cleverly efficient furniture and the little touches - Moxy was definitely a good choice. The “crew” were super friendly and helpful and spoke great English. The rooms are small - as would be expected for Tokyo - and the breakfast options were appropriately balanced between local and international. The location is convenient to the train station and there are a ton of stores and restaurants nearby. ","Buenos Aires, Argentina","Brenden O</div><div class=""userLoc""><strong>Buenos Aires, Argentina</strong>",6,4.0
745402482,https://www.tripadvisor.com/Hotel_Review-g1066459-d12817652-Reviews-Moxy_Tokyo_Kinshicho-Sumida_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Moxy Tokyo Kinshicho,"February 16, 2020","I was looking for a nice hotel for a night's stay in central Tokyo and was happy to find Moxy. It is a part of the Mariott chain but very chic, retro and functional.The staff was friendly and the checking was efficient in a 'bar like' front office. Checking comes with a welcome drink too. The rooms are compact with a comfortable bed. Just what you need for a good night's sleep","Anytown, USA","M B</div><div class=""userLoc""><strong>Anytown, USA</strong>",809,5.0
744074398,https://www.tripadvisor.com/Hotel_Review-g1066459-d12817652-Reviews-Moxy_Tokyo_Kinshicho-Sumida_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Moxy Tokyo Kinshicho,"February 10, 2020","I will be honest that when i arrived i was sceptic about the hotel.Check in at the bar is not usual. But when we discovered the room we where  agreeably surprised. Clean,good size all you need for a stay in Tokyo. 5 min to the stationBreakfast presented in trendy format but all you need and the warm dishes where also offered warm,what is a problem in many hotels.Good price quality","Phuket, Thailand","Bangkoktraveler_10</div><div class=""userLoc""><strong>Phuket, Thailand</strong>",32,5.0
742810602,https://www.tripadvisor.com/Hotel_Review-g1066459-d12817652-Reviews-Moxy_Tokyo_Kinshicho-Sumida_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Moxy Tokyo Kinshicho,"February 3, 2020","The hotel is very close to the train station. The 7-11 is just across the hotel. They offer free bottle of waters and free lockers. Highly recommend this place, the decoration in the room is very trendy and cute. Really enjoy staying in this hotel.",,eater325,0,5.0
740114610,https://www.tripadvisor.com/Hotel_Review-g1066459-d12817652-Reviews-Moxy_Tokyo_Kinshicho-Sumida_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Moxy Tokyo Kinshicho,"January 19, 2020","We just came back from a trip in Thailand & Vietnam. We needed a place to stay for 3 days. And Moxy is just perfect for young couples. The staff is great, the rooms are not too small. There is a nice a gym... For me it’s a 5 star ! ","Montreal, Canada","ninobirdz</div><div class=""userLoc""><strong>Montreal, Canada</strong>",2,5.0
740103712,https://www.tripadvisor.com/Hotel_Review-g1066459-d12817652-Reviews-Moxy_Tokyo_Kinshicho-Sumida_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Moxy Tokyo Kinshicho,"January 19, 2020","I stayed for 5nights(12-17/1/2020)​, it was really good time.When I checked in, staffs were so friendly, Also really good location, 5min away fromKinshicho Station,​ See​ you​ again​ soon​:)​#​Wandee​ room​ 407","Bangkok, Thailand","JohnNYC7777</div><div class=""userLoc""><strong>Bangkok, Thailand</strong>",2,5.0
738889397,https://www.tripadvisor.com/Hotel_Review-g1066459-d12817652-Reviews-Moxy_Tokyo_Kinshicho-Sumida_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Moxy Tokyo Kinshicho,"January 13, 2020","This is typical Moxy with efficient space and millennial oriented amenities. And with that is staff with no proper manners.There’s incident where a staff accidentally hit me with the elevator door. While it’s quite hard but not dangerous. The staff only quickly ask if I was alright. Without apologizing, he quickly turn back and giggling with another Japanese guest, in Japanese. Left me in quite awkward situation in the rest of the elevator trip. He didn’t show any caring nor remorse about what just happened.They did, however, apologize to me later only after I report the incident to Marriott, where I find it’s pointless. Lack of manner isn’t what I would expect from Moxy, especially in Japanese standard.","Bangkok, Thailand","zrthmn</div><div class=""userLoc""><strong>Bangkok, Thailand</strong>",3,1.0
738370668,https://www.tripadvisor.com/Hotel_Review-g1066459-d12817652-Reviews-Moxy_Tokyo_Kinshicho-Sumida_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,Moxy Tokyo Kinshicho,"January 10, 2020","This is a very trendy, party atmosphere hotel in a very good location. There is always coffee and tea available in the lobby. The lobby also offers great lounging space, games, fireplace, a bar, a cafe and a photo op wall dedicated to IG users. As usual, the female reception staff are friendly if you are male. Initially, we had one room booked for 4 people but once we saw the size of the room, we immediately booked a second room. The beds are like an XL Twin which can make sleeping challenging for a couple. The is no space or closer for luggage so we placed ours on the window ledge. There are a stools and a table that hang on the wall but there's not enough space to place them anywhere. The bathroom is very nice, the best part of the room actually...very spacious. A four-night stay was $1,073. This is a nice, clean hotel near the train and bus stations and plenty of eating locations. I would recommend. ",,juniperb23,9,4.0
736177427,https://www.tripadvisor.com/Hotel_Review-g1066459-d12817652-Reviews-Moxy_Tokyo_Kinshicho-Sumida_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,Moxy Tokyo Kinshicho,"January 1, 2020","Having stayed at and loved the Moxy in Osaka 18 months ago, I thought I would try Moxy Tokyo. The room is tiny. There is literally no space to leave a suitcase on the floor (and be able to access the bed).The furniture hanging on the wall is useless because there isn’t any floor space to put it. 2 squares metres would make an enormous difference to the rooms. The bathroom is better sized but not a traditional Japanese bathroom as one reviewer has suggested.",,katiem2015alexandria,3,3.0
735971068,https://www.tripadvisor.com/Hotel_Review-g1066459-d12817652-Reviews-Moxy_Tokyo_Kinshicho-Sumida_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,Moxy Tokyo Kinshicho,"December 31, 2019","We stayed at the hotel for three nights. The staff was really friendly, and the rooms were small but comfortable. The bathroom was good too.The downside of this hotel is the location. After a very long flight and train ride, we were looking forward to a good night of sleep. Unfortunately, the hotel is located in a red light district, and there was a lot of noise during the night. This was quote innoying, and die to the pack of sleep we felt pretty tired during the day. So despite the friendly staff and nice rooms, I would not recommend this hotel.",,Evelyn198731,0,3.0
733693101,https://www.tripadvisor.com/Hotel_Review-g1066459-d12817652-Reviews-Moxy_Tokyo_Kinshicho-Sumida_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,Moxy Tokyo Kinshicho,"December 19, 2019","The Moxy Tokyo Kinshicho Hotel is a really trendy hotel and the staff were very pleasant. It’s less than a 10-minute walk to the train station, and while it’s in what appears to be a red light district no one bothered me and I felt safe the whole time (as I did throughout Japan). The bathroom and shower are quite spacious compared to other hotels I’ve stayed at, there are plenty of pegs to hang clothes and the bed was very comfortable (I’m 6’ tall). The room doesn’t have a lot of space but it’s a new hotel and the breakfast in the morning was very good. There is a working area in the lobby, a small pool table and they appear to have quite a few DJ events in the evenings, so if your looking for a cool Western type hotel this is a good spot to pick. ","Detroit, Michigan","JPintheD</div><div class=""userLoc""><strong>Detroit, Michigan</strong>",68,4.0
731859108,https://www.tripadvisor.com/Hotel_Review-g1066459-d12817652-Reviews-Moxy_Tokyo_Kinshicho-Sumida_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,Moxy Tokyo Kinshicho,"December 10, 2019","I really enjoyed this hotel. Friendly atmosphere, especially around the bar. Central bar so can sit all around it. Easy going cheerful breakfast and very pleasant staff. The hotel doesn’t go big on facilities so don’t look for a pool or a gym. There’s a small games area. It’s in a nice area and about 5 minutes walk from Kinshicho underground. Plenty of restaurants in the area. All the ones we visited were very good. We specifically liked the local curry places.","Colchester, United Kingdom","tonyemms</div><div class=""userLoc""><strong>Colchester, United Kingdom</strong>",5,5.0
729937417,https://www.tripadvisor.com/Hotel_Review-g1066459-d12817652-Reviews-Moxy_Tokyo_Kinshicho-Sumida_Tokyo_Tokyo_Prefecture_Kanto-or15.html?filterLang=en,Moxy Tokyo Kinshicho,"November 30, 2019","I unexpectedly had to spend the night in Tokyo after missing a connecting flight due to weather. The room was just what I needed for one night, but I think it might be too small and in too remote of a location for a longer Tokyo vacation.Moxy rooms are intended to be very small and this hotel is no different. I had to no place to open my large hard suitcase in the room, except in front of the door. It would be difficult to manage more than one person and more than one suitcase in this room.The bathroom is great. It’s a traditional Japanese bathroom, so a little larger than you normally find in a Moxy.The night I arrived was just before a Rugby World Cup game in Tokyo, so the lobby bar/common area was packed with people. It was quite lively and fun. The staff were also great. They booked a cab for me to take me to the airport at 4am and it showed up promptly!The neighborhood is interesting but I found it totally safe. There is a 7-11 right across from the hotel so easy access to an ATM and other sundries. I’ve never stayed in this neighborhood in my past trips to Tokyo, it’s a bit far from from the more popular areas like Shinjuku, Shibuya, etc. it’s about a 25 min ride to Haneda with no traffic at 4:30am.",Washington,"melanies284</div><div class=""userLoc""><strong>Washington</strong>",88,4.0
728271320,https://www.tripadvisor.com/Hotel_Review-g1066459-d12817652-Reviews-Moxy_Tokyo_Kinshicho-Sumida_Tokyo_Tokyo_Prefecture_Kanto-or15.html?filterLang=en,Moxy Tokyo Kinshicho,"November 22, 2019","The room was clean and comfortable. I choose this hotel because it was close to the HPE office and subway station. But after I walked-in the room, I regret it. The room was very small with no closet space to keep clothes. There was no enough room to put a table or chair to work on. The bed is only full size which is very small for any big and tall people to sleep on. Maybe this is a Japanese standard? The area is very creepy and maybe “red light” area. Please be aware..... it was noise late nights till dawn because of the bar and nightclub activities in the area. I was unable to sleep because I could hear noises from the street at night. Too expensive to pay for this size of a room.",,Cootimaa M,4,2.0
724855219,https://www.tripadvisor.com/Hotel_Review-g1066459-d12817652-Reviews-Moxy_Tokyo_Kinshicho-Sumida_Tokyo_Tokyo_Prefecture_Kanto-or15.html?filterLang=en,Moxy Tokyo Kinshicho,"November 7, 2019","Room is very small, no place for luggage case.Breakfast choice is limited.Too expensive, as it for the facilities.5 minutes walk from Kinshicho station.Chain motel standard but luxury hotel price.2 miles distance from Sky Tree tower.Hotel is located in a seedy district.Anyway, I don't recommend this motel.","Dalian, China","Travel812568</div><div class=""userLoc""><strong>Dalian, China</strong>",0,2.0
724190928,https://www.tripadvisor.com/Hotel_Review-g1066459-d12817652-Reviews-Moxy_Tokyo_Kinshicho-Sumida_Tokyo_Tokyo_Prefecture_Kanto-or15.html?filterLang=en,Moxy Tokyo Kinshicho,"November 5, 2019","This hotel is spunky and different. A fun place. The manager Meiko is what separates it. Her recommendations for sushi, ramen and bars where absolutely perfect! Be aware that the hotel is not located in a big bar district though and is a long subway ride (or $50 Uber) from the more touristy areas of Tokyo.","Kansas City, Missouri","VTJay</div><div class=""userLoc""><strong>Kansas City, Missouri</strong>",6,4.0
723131810,https://www.tripadvisor.com/Hotel_Review-g1066459-d12817652-Reviews-Moxy_Tokyo_Kinshicho-Sumida_Tokyo_Tokyo_Prefecture_Kanto-or15.html?filterLang=en,Moxy Tokyo Kinshicho,"November 1, 2019","Stayed here in October. While not the most central hotel for visiting Tokyo, most sights were very accessible from Kinshicho station. The station is serviced by both JR and Tokyo metro, with direct service to sights like Shibuya, Shinjuku and Skytree. And yes it is true that you are in a red-light district, but I felt safer here than most any other large city in the world.Originally staying 5 nights, we had to extend the stay for an extra 2 nights due to Typhoon Hagibis. It was a very surreal night when the Typhoon came in. But I have to say I was really impressed and quite humbled by how well the staff took care of us. You can image a hotel full of guests descending down to the lobby for drinks and food and while they were busy, they managed with supreme sincerity and had fun. FYI - the showers was one of the best hotel showers I've every seen.",Canada,"TravelFoodGuy</div><div class=""userLoc""><strong>Canada</strong>",26,5.0
721719821,https://www.tripadvisor.com/Hotel_Review-g1066459-d12817652-Reviews-Moxy_Tokyo_Kinshicho-Sumida_Tokyo_Tokyo_Prefecture_Kanto-or20.html?filterLang=en,Moxy Tokyo Kinshicho,"October 27, 2019","Most of the guests were under 40 but it is just a more ""Casual Friday"" Marriott. It was bright and the staff are multi-lingual. It is very close to the Sumo Stadium and the Edo-Tokyo Museum (Also Good For The Young At Heart)",Japan,"100nights19flights</div><div class=""userLoc""><strong>Japan</strong>",12,5.0
718685356,https://www.tripadvisor.com/Hotel_Review-g1066459-d12817652-Reviews-Moxy_Tokyo_Kinshicho-Sumida_Tokyo_Tokyo_Prefecture_Kanto-or20.html?filterLang=en,Moxy Tokyo Kinshicho,"October 15, 2019","We stayed for 6 nights in October 2019. The hotel is quirky, informal and has great staff.We received a warm welcome and complimentary drink on arrival. The bar area has a good atmosphere and is open 24 hours. Good guest laundry facilities.Small breakfast buffet was ample.Easy walking distance from Kinshicho station.The room was very clean and had good facilities. Modern furnishings and good bathroom with shower. We would stay again. ","Watton, Norfolk, England","louisab1970</div><div class=""userLoc""><strong>Watton, Norfolk, England</strong>",181,5.0
718462624,https://www.tripadvisor.com/Hotel_Review-g1066459-d12817652-Reviews-Moxy_Tokyo_Kinshicho-Sumida_Tokyo_Tokyo_Prefecture_Kanto-or20.html?filterLang=en,Moxy Tokyo Kinshicho,"October 14, 2019","Very nice and cool place with excellent, warm and friendly service. Rooms are small but well designed. Stayed here because I couldn’t get back to the US after the cancellation of my original flight. I will certainly come back. The whole staff is good but the one woman, who appears to be in charge (discretely and professionally) is superb. ","New York City, New York","Mark T</div><div class=""userLoc""><strong>New York City, New York</strong>",3,5.0
718359030,https://www.tripadvisor.com/Hotel_Review-g1066459-d12817652-Reviews-Moxy_Tokyo_Kinshicho-Sumida_Tokyo_Tokyo_Prefecture_Kanto-or20.html?filterLang=en,Moxy Tokyo Kinshicho,"October 14, 2019","I've stayed at a lot of Marriott hotels yet my first thought when I walked in is ""This is a Marriott?"" The Moxy is a younger hipper version of a Marriott. Young friendly people checking us in, neon signs, cozy barn themed rooms and an affordable breakfast in the morning. I would definitely stay here again!","Portland, Oregon","TakingTheBigBreak428</div><div class=""userLoc""><strong>Portland, Oregon</strong>",60,5.0
717770004,https://www.tripadvisor.com/Hotel_Review-g1066459-d12817652-Reviews-Moxy_Tokyo_Kinshicho-Sumida_Tokyo_Tokyo_Prefecture_Kanto-or20.html?filterLang=en,Moxy Tokyo Kinshicho,"October 12, 2019","It’s my first choice when staying in Tokyo. Clean, warm service, great location. I’m trying to email the hotel. I’ve been trying to call but can’t get an answer. It may be because of the typhoon. Can someone give me the name/email of the general manager? Or a way to email or what’s app the hotel, since phone number hasn’t been working?",,Singsmart,0,5.0
717313830,https://www.tripadvisor.com/Hotel_Review-g1066459-d12817652-Reviews-Moxy_Tokyo_Kinshicho-Sumida_Tokyo_Tokyo_Prefecture_Kanto-or25.html?filterLang=en,Moxy Tokyo Kinshicho,"October 11, 2019","I loved my stay at the Moxy Tokyo. First impression is incredible. You feel so relaxed and comfortable when you walk in and instead of a cold stone reception desk, you actually check in with the friendly and enthusiastic bar tenders. Yep, you check in at the bar. How cool is that? You’ll find yourself surrounded by comfy couches, a crackling fireplace, ping pong tables, board games, etc. This place is like a ritzy college dorm! Perfect for solo travelers, but I saw guests of all types too. The room was very comfortable. I loved the hallway and room design that felt like you were in an artist loft condo. The breakfast was tasty with multi-cultural cuisines. The location is incredible. It’s a quick walk to two different subway stations with quick connections to anywhere in Tokyo. I really liked that you could walk one direction and find nearby bars & restaurants or walk the opposite and you’re in a quiet, residential neighborhood. I’m now a huge fan of Moxy hotels and highly recommend the Tokyo Moxy.","Minneapolis, Minnesota","javolkma</div><div class=""userLoc""><strong>Minneapolis, Minnesota</strong>",46,5.0
716953922,https://www.tripadvisor.com/Hotel_Review-g1066459-d12817652-Reviews-Moxy_Tokyo_Kinshicho-Sumida_Tokyo_Tokyo_Prefecture_Kanto-or25.html?filterLang=en,Moxy Tokyo Kinshicho,"October 10, 2019","The whole hotel is on another level! Funky bar area, super nice and comfortable rooms and situated in a lively area that caters for everyone's needs! Their breakfast was a delight (just wished I had a bigger plate so it does not look like I am greedy when going for seconds and 3rds lol. I will definitely book with them again, check in was at 15:00 we were there early due to short distance from previous hotel to them but rooms were ready and the friendly staff checked us in.","Cape Town Central, South Africa","griffin165</div><div class=""userLoc""><strong>Cape Town Central, South Africa</strong>",0,4.0
715698385,https://www.tripadvisor.com/Hotel_Review-g1066459-d12817652-Reviews-Moxy_Tokyo_Kinshicho-Sumida_Tokyo_Tokyo_Prefecture_Kanto-or25.html?filterLang=en,Moxy Tokyo Kinshicho,"October 6, 2019","This hotel is in a good location,just outside of the center of Tokyo. It is close to Kinshicho station from which it's just a few stops to a lot of attractions within Tokyo.The hotel itself has a nice relaxing atmosphere. The rooms were nice and clean. Although a bit small, they weren't as small as we'd feared. We found the bathroom area of the room to be surprisingly luxurious. Breakfast was a nice mix of Japanese and Western style foods. Complementary coffee and tea was available throughout the day for hotel guests.The area around the hotel can be a bit noisy however. It didn't bother me personally since I'm a pretty heavy sleeper, however my wife did wake up a time or two.Overall we've enjoyed staying at Moxy Tokyo Kinshicho very much as we used it as our home base from which to explore Tokyo.","Amersfoort, The Netherlands","Marcel B</div><div class=""userLoc""><strong>Amersfoort, The Netherlands</strong>",1,4.0
715454023,https://www.tripadvisor.com/Hotel_Review-g1066459-d12817652-Reviews-Moxy_Tokyo_Kinshicho-Sumida_Tokyo_Tokyo_Prefecture_Kanto-or25.html?filterLang=en,Moxy Tokyo Kinshicho,"October 5, 2019","Ground level ambient is kind of fun, all activities circling around the bar-registration desk; yes, the bar is the registration desk when you check in-out. So you can use your time for calming your thirst at the same time you check in.No wallet; there is a complimentary drink that the hotel provides.In addition in our case, not sure if it was a temporary promotion, we were also given a tee-shirt with the hotel logo.Having said taht, the room was small where the ""wardrobe"" was a number of wall hangers and the ""working desk"" also hung up foldable table and chair.To be true, albeit small, the room was not so small as in other japanese style hotels we have been and we could easily go by.Additional comments: the hotel is located at walking distance from the Kinshicho train station and you can access Kinshicho for free from Tokyo Station using the JR pass if you have it. It's three or four stops so you can do it in less than 15 minutes. Other: there is a highway running right behind the hotel and the sound of cars passing may bother those with light sleep; other sounds that can be bothersome are the day and night crows cawing.The hotel is located in a lively zone with a good number of night clubs.","Manama, Bahrain","Relax623602</div><div class=""userLoc""><strong>Manama, Bahrain</strong>",8,3.0
712397706,https://www.tripadvisor.com/Hotel_Review-g1066459-d12817652-Reviews-Moxy_Tokyo_Kinshicho-Sumida_Tokyo_Tokyo_Prefecture_Kanto-or25.html?filterLang=en,Moxy Tokyo Kinshicho,"September 23, 2019",I have stayed in the Moxy NYC and love the design and decor. The Tokyo location is nearly identical. It is conveniently located about a 5-7 minute walk from Kinshichō train station so easy access to the Narita express. And there are plenty of restaurants within walking distance. The hotel has decent breakfast buffet with a mix of American and Japanese dishes. The bar is lively and the staff is friendly and extremely helpful. After my initial stay I traveled for several days in northern Japan. When I returned to Tokyo and got back to the Moxy it felt like coming home. ,"Arlington, Virginia","mdubee</div><div class=""userLoc""><strong>Arlington, Virginia</strong>",2,5.0
711763932,https://www.tripadvisor.com/Hotel_Review-g1066459-d12817652-Reviews-Moxy_Tokyo_Kinshicho-Sumida_Tokyo_Tokyo_Prefecture_Kanto-or30.html?filterLang=en,Moxy Tokyo Kinshicho,"September 21, 2019","LOCATIONThe hotel is located only few steps away from Kinshicho station. HOTEL & ROOMThe design is very cool. It somehow combines some traditional local elements with the coolness and freshness of the Moxy brand. My room was quite spacious (compared to other hotels in Tokyo). It is nicely designed and features everything one would need for a holiday trip.STAFFWhen it comes to the staff, I had very different experiences. If you book directly via Marriott/Moxy, there is the possibility to chat via the Marriot Bonvoy app. At the moxy chat, before Check in, I could chat with the hotel staff to inform them about special wishes etc. The person behind the chat was super attentative and made everything we needed possible. (I.e. special request of high floor, away from elevators, two rooms next to each other). Staff at Check in and Check out was extremely friendly and super helpful. They did everything with enthusiasm and you could feel that they love to make their guests feeling welcome. On the other hand, we made an experience at the bar where they were not really friendly and welcoming. They made us rather feel unwelcome being at 1AM at the bar (despite the fact that they offer a 24/7 bar). So in General, i can absolutely recommend this hotel. It exceeded my expectations in some aspects. And the value for Price is absolutely ok.","Jena, Germany","Trek107325</div><div class=""userLoc""><strong>Jena, Germany</strong>",1,4.0
708099831,https://www.tripadvisor.com/Hotel_Review-g1066459-d12817652-Reviews-Moxy_Tokyo_Kinshicho-Sumida_Tokyo_Tokyo_Prefecture_Kanto-or30.html?filterLang=en,Moxy Tokyo Kinshicho,"September 9, 2019","I had a week stay at the Moxy. The lobby area is very fun and stylish. The front desk staff were very helpful and pleasant. Although the decor is lovely in the lobby and the surrounding areas, the rooms are fairly small. We stayed in the two twin bed room. The space between the wall and the bed was probably about three inches. It was two of us in the room and it was not the best setup. Even though the room has two beds, it's really only comfortable for one person. The hotel is in a good location, depending on what your plans are. We were able to walk to a few places, but had to use a taxi for most attractions. Everything was always a 20-30 minute taxi ride. A lot of the of our plans were in the Shibuya Station area. If you believe that's where the majority of your travels will take you, you may want to find something closer to that area. If my room were bigger, I would've enjoyed my stay much more. The guest service I received made up for the lack of space in the room. They were very accommodating. Space and location would be the only reason I wouldn't stay at this hotel a second time. If you plan on staying, from pics, it looks like the room with one bed has a bit more space. If you don't mind the limited space and the distance from certain areas, by all means book this hotel. You won't regret it. At least you know the room size. I wish I paid more attention to that, at least I would've been prepared.",Ohio,"callmeRoyalTee</div><div class=""userLoc""><strong>Ohio</strong>",16,4.0
705490696,https://www.tripadvisor.com/Hotel_Review-g1066459-d12817652-Reviews-Moxy_Tokyo_Kinshicho-Sumida_Tokyo_Tokyo_Prefecture_Kanto-or30.html?filterLang=en,Moxy Tokyo Kinshicho,"September 1, 2019","Great stay at the Moxy Tokyo Kinschicho! It's our first time staying at a Moxy Hotel and loved it. Where else can you get a latte at the same desk that you check in at and have the same person do it?! Very open, welcoming space that inspires community. Almost like Starbucks as a hotel. Spotlessly clean, modern and hip, great food and a great staff of management and employees. The rooms are a little on the smaller side here but what they lack in size, they make up in creativity and modern design. We will definitely stay at a Moxy Hotel again and especially loved this one. ",,Claudia R,14,5.0
