review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
751810485,https://www.tripadvisor.com/Hotel_Review-g60763-d75737-Reviews-Night_Theater_District-New_York_City_New_York-or0.html?filterLang=en,Night Theater District,"March 25, 2020","My daughter and I visited from Memphis,TN in March 2019 for spring break to see Broadway. The hotel was very nice and accommodating. Most memorable was the accommodating and informative concierge, Patrick! He was a wealth of knowledge regarding Broadway and places to dine, and always greeted us with a smile. We came back a year later for spring break once again, and he even remembered us from the previous year! We will definitely stay at Night on our next visit to NYC!",,634brittanyb,0,5.0
747620596,https://www.tripadvisor.com/Hotel_Review-g60763-d75737-Reviews-Night_Theater_District-New_York_City_New_York-or0.html?filterLang=en,Night Theater District,"February 25, 2020","We stayed here for a week and although didn't enjoy the rooms themselves, Patrick made us have a fantastic stay! He was super friendly and made my partner feel happy (somehow!) after losing his wallet. Would definitely recommend just for him! (And the location is also very good! You are literally staying at times square)","London, United Kingdom","CiaraRhiannonSmith</div><div class=""userLoc""><strong>London, United Kingdom</strong>",1,5.0
741204743,https://www.tripadvisor.com/Hotel_Review-g60763-d75737-Reviews-Night_Theater_District-New_York_City_New_York-or0.html?filterLang=en,Night Theater District,"January 25, 2020","I booked the hotel for 3 nights.Overall It was not a very comfortable stay.First, location is nice but can be very hectic since it’s too busy and fussy since there is too many tourists in this area.Cleaness and management was below my expectations.( what I expect for the 4star hotels)There was lots of human hair on the bathrobe. So l asked them to change it twice since there was hair on the second robe too.And the carpet was spotty the bathroom faucets were lose.Bed linens were too old had scratch feeling flakes on them.There were too many holes in the closet.The room is too dark and it’s lack of lighting. I had trouble with adjusting the lights.There were facility fee which included gym outside the building but never instructed by anyone.When I check out I told the front desk about these issues but they only told me to email them.When I email them they refused to accept what happened and did not apologized.They keep saying that there were no evidence for that.So I will share the photo of evidence here.",,884crystall,0,2.0
740334286,https://www.tripadvisor.com/Hotel_Review-g60763-d75737-Reviews-Night_Theater_District-New_York_City_New_York-or0.html?filterLang=en,Night Theater District,"January 20, 2020","I would highly recommend this hotel due to the staff at the front desk, the staff at restaurant, and the house keeping staff. Everyone was nice and responsive to our needs. In addition, it’s right next to Time Square and next to the major subway station at 42nd. The decor was dark and sexy, so I wouldn’t recommend it for kids. There is parking next door at a reasonable price and the rooms are not bad if you are looking to spend your time out and about. I would stay here again.",,cathyadames,0,5.0
739887983,https://www.tripadvisor.com/Hotel_Review-g60763-d75737-Reviews-Night_Theater_District-New_York_City_New_York-or0.html?filterLang=en,Night Theater District,"January 18, 2020","* Perfect location* The decoration is dark - we liked it and found it stylish* Nice stuff* Good japanese restaurant (you can take away as well) * Tea, coffee and hot water available in the mornings free of charge as self service* Nice restaurants for breakfast, lunch and dinner near by* Good subway connections* No screaming kids* Broadway musicals easy to reach* High quality bath productions available every day* Luggage room available free of charge* Flexible and good cleaning (if you want to postpone the cleaning from morning to afternoon, just agree with the cleaning lady) * The heating system did not work correctly but was fixed right away we reported to the staff* The air condition/heating system is noisy* The furnitures are partly worn, they need updating in near futureHighly recommended! ","Nurmijarvi, Finland","SirpaStar</div><div class=""userLoc""><strong>Nurmijarvi, Finland</strong>",1,4.0
737653396,https://www.tripadvisor.com/Hotel_Review-g60763-d75737-Reviews-Night_Theater_District-New_York_City_New_York-or5.html?filterLang=en,Night Theater District,"January 7, 2020","We booked the penthouse here for two nights to stay after our cruise from NYC to Canada and back to NYC. We were so excited to stay here and have our own terrace in NYC!! This was a huge part of the trip we were very much looking forward. We called a month or two ahead and paid for the whole stay in full and even verified that once we got there we would not have to pay anything so we can plan our expenses accordingly. Come the day of flying to NYC from FL we land in NYC only to find out we have NO ROOM!!!!! Imagine flying to a new state for the first time with two young children to find out the hotel you have the confirmation for has canceled on you with absolutely no head up or warning. They somehow ""lost the card on file"" and could not help us any further. We had to book a last-minute hotel 30 minutes out of the city luckily they weren't fully booked out. The hotel manager had zero remorse for what happened they said over and over there is nothing they can do to help us.","Fort Lauderdale, Florida","nicoleashle</div><div class=""userLoc""><strong>Fort Lauderdale, Florida</strong>",3,1.0
734516194,https://www.tripadvisor.com/Hotel_Review-g60763-d75737-Reviews-Night_Theater_District-New_York_City_New_York-or5.html?filterLang=en,Night Theater District,"December 24, 2019","Had to wait 15 minutes for someone to check us in. Guy turns up in a hoody, with air pods in - not professional at all.Was then confronted with an expensive “resort fee” that covered the “free WiFi” and gym which i didn’t need, but had to pay. Room was missing half the advertised amenities (like an iron). Room was dated and in desperate need of upgrading. The “city view” was of a back alley. Had a better city view from the street outside. Room was next to an outside generator, could hardly sleep. Whole ambiance would have been good in 2000, but not 2019.",,semajmallih,3,1.0
732281977,https://www.tripadvisor.com/Hotel_Review-g60763-d75737-Reviews-Night_Theater_District-New_York_City_New_York-or5.html?filterLang=en,Night Theater District,"December 12, 2019","Very Noisy, couldnt sleep at all, No robes, had to ask for them, room was not ready for guest ...TV not working the whole trip... as I said I had to ask for robes and towles ...we were only ones who didnt get umbrellas , couldnt fine mini bar till last day when packing , it was hidden under the table, with long tablecloth on it so I didnt know it was there ...room so small you cant walk past eachother ... but NOISY as heck, got locked out of room a few times, ...NO LIGHT in rooms, its so dark I couldnt see to put my makeup on...sadm, sad... just a big disapointment for $1400.00 ...Hopefully they refund part of this, only nice thing was front Desk person Patrick....wont ever stay there again, oh and I got pink eye from dirty pillow case ...","Las Vegas, Nevada","maryg59_13</div><div class=""userLoc""><strong>Las Vegas, Nevada</strong>",19,2.0
729020478,https://www.tripadvisor.com/Hotel_Review-g60763-d75737-Reviews-Night_Theater_District-New_York_City_New_York-or5.html?filterLang=en,Night Theater District,"November 26, 2019","The total price for two nights came to c. $729 for a single room with a view of the air shaft. After check in, room was promised to be ready in an hour and was not. The room was TINY, the bathroom has a step up and is a definite fall hazard and the shower had NO pressure. Only free coffee and tea between 7-9 am and it took 8 hours to get a wash rag on my second day. NOT worth the money!",,962andrzeje,4,2.0
726306376,https://www.tripadvisor.com/Hotel_Review-g60763-d75737-Reviews-Night_Theater_District-New_York_City_New_York-or5.html?filterLang=en,Night Theater District,"November 13, 2019",This place is extremely close to time square. And the staff is very helpful in guiding their customers. Overall for the price point this is a good place to stay in. At first my wife and I were a little worried cause the deco and pictures suggest it’s a sex club but once we checked in and got the good service we were happy. The deco is set up for the younger crowd but grows on you. ,,Adventure14579,0,5.0
726262139,https://www.tripadvisor.com/Hotel_Review-g60763-d75737-Reviews-Night_Theater_District-New_York_City_New_York-or10.html?filterLang=en,Night Theater District,"November 13, 2019","Just got back from a weekend in NYC, what to say about ""The Night?"" So this was a fun couples weekend in NYC, so we did not mind that the lobby featured photos with full-frontal nudity and looked like a place the vampires on True Blood would hang... I mean we were in NYC to party right? That said, If I had brought kids I would have needed to cover their eyes in the lobby, and on every floor when I got out of the elevator. The staff was very nice with us. I do not think they were vampires, but the girl in the sushi resturant may have been... she only comes out at night.",,davemurry1,0,4.0
722841795,https://www.tripadvisor.com/Hotel_Review-g60763-d75737-Reviews-Night_Theater_District-New_York_City_New_York-or10.html?filterLang=en,Night Theater District,"October 31, 2019",I had countless emails back and forward to arrange a bottle to be delivered to my brothers room for his wedding day. I even had sent a form with a copy of my credit card details and drivers license with clear instructions despite having confirmation in the emails that this would be done.On the day I called the hotel to check and see if it had been delivered which they said it had. I checked with my brother later on and it had not been delivered. I called the hotel again and they said he was not staying there. I confirmed the room number with my brother and called the hotel again and they agreed it had not been delivered. At this point my brother and his fiancé were leaving the hotel to go and get married. I am in Australia and this was the only way to put a personal message to them and moment I can never get back.I’m so disgusted and disappointed with this hotels customer service.They were also rude and inpatient on the phone.,"Melbourne, Australia","Niknikniknik88</div><div class=""userLoc""><strong>Melbourne, Australia</strong>",8,1.0
720171652,https://www.tripadvisor.com/Hotel_Review-g60763-d75737-Reviews-Night_Theater_District-New_York_City_New_York-or10.html?filterLang=en,Night Theater District,"October 21, 2019","The hotel is in a perfect location, very clean, modern has a mini bar. If you need anything just call the front desk. It’s very dark in the hallway and in the room it was hard to put my makeup on. I would recommend this hotel.","Stafford, Virginia","LALA238</div><div class=""userLoc""><strong>Stafford, Virginia</strong>",36,4.0
717361978,https://www.tripadvisor.com/Hotel_Review-g60763-d75737-Reviews-Night_Theater_District-New_York_City_New_York-or10.html?filterLang=en,Night Theater District,"October 11, 2019",Wow wow wow what a lovely stay ! I highly recommend this hotel not only because it is located in the heart of times square in walking distance to times square subway station but also because the staff are so friendly & the rooms are super comfortable with a sexy interior. I would also recommend their lounge & restaurant red moon for an authentic asian dinner and a cocktail happy hour. Special thanks to the luggage guy with long hair (sorry i didnt get your name) for his directions & recommendations around the city. Will most def be back ! ,"Island of Malta, Malta","kel_094</div><div class=""userLoc""><strong>Island of Malta, Malta</strong>",0,5.0
715904236,https://www.tripadvisor.com/Hotel_Review-g60763-d75737-Reviews-Night_Theater_District-New_York_City_New_York-or10.html?filterLang=en,Night Theater District,"October 6, 2019","Excellent place to stay. The ambience is amazing. Leena, the best bartender was AWESOME!!! Leena is the bomb. Best Experience ever!!!!!!Thanks to LeenaAlso ran into DaBaby coming out of Hard Rock, represent North Carolina",,Starr G,97,5.0
715021844,https://www.tripadvisor.com/Hotel_Review-g60763-d75737-Reviews-Night_Theater_District-New_York_City_New_York-or15.html?filterLang=en,Night Theater District,"October 3, 2019","my sister booked this for me for 3nts in Sep. Location is the USP for this hotel right in the Theatre district, amidst the action and colorful times square with restaurants, lot of attractions and hop-on ho-off bus tours starting points. Their front desk staff is courteous and helpful. Specially the wonderful and amiable Daniela Sava. She is a gem and was helpful throughout even before my sister confirmed my booking she patiently answered my sister's questions and guided her. She was caring enough to safely keep somethng i forgot in room at checkout and emailed my sister about the same so i could come and pick it up. Thank you Daniela, you made my stay at the hotel even more memorable.Some cons though1) The rooms are quite small so not ideal for families2) Water bottles were not provided daily in the room even though I paid the mandatory property fee of $25+plus taxes which entitled me for this water","Bengaluru, India","chhavil2017</div><div class=""userLoc""><strong>Bengaluru, India</strong>",25,5.0
712056952,https://www.tripadvisor.com/Hotel_Review-g60763-d75737-Reviews-Night_Theater_District-New_York_City_New_York-or15.html?filterLang=en,Night Theater District,"September 22, 2019","Pros:- Modern, dark with sexy feeling. I love the combination of black and white in the decor!- Less than a block from Time Square. Killer LOCATION!- Clean and Quite.- Reasonable prices.Con:- Small room with a tiny bathroom.","Philadelphia, Pennsylvania","Sari_Livin_Out_Loud</div><div class=""userLoc""><strong>Philadelphia, Pennsylvania</strong>",14,3.0
