review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
749846426,https://www.tripadvisor.com/Hotel_Review-g1066457-d12123803-Reviews-Nine_hours_Shinjuku_North-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,nine hours Shinjuku-North,"March 8, 2020","To be honest the first time I did the capsule hotel thing I was a bit nervous. I did it because you have to try it once in Tokyo. However, after the 1st time I booked the Nine Hours in Shinjuku I booked another night. Now, two years later I'm back and this place hasn't changed it's awesome. Super efficient just what a solo traveler wants. I want my time spent out exploring Tokyo. When I come back to my accommodation I don't need a room, the locker holds my backpack and they can store your larger luggage, no extra charge. The solid shower before heading to the airport is worth the stay. Large bathroom with an awesome clean shower and everything you need to get your day started. I came here for the experience and left as a lifetime customer.","Soldotna, Alaska","KenaiDriftAnglers</div><div class=""userLoc""><strong>Soldotna, Alaska</strong>",4,5.0
747890686,https://www.tripadvisor.com/Hotel_Review-g1066457-d12123803-Reviews-Nine_hours_Shinjuku_North-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,nine hours Shinjuku-North,"February 27, 2020","I stayed at 9hours for 2 nights. The hotel is really modern and clean. The checkin checkout process went quickly and the staff is very friendly!The room : capsules are clean and comfortable, there is a light and plug to charge your phone. The capsules are not isolated, you can hear everything thats happening in the room, if you’re unlucky and have to sleep with noisy people it could be a bit annoying. But most of people are very respectfull. Keep in mind it’s a hostel you can’t require full silence.The bathroom: is very modern, there are a lot of toilets and showers, no need to wait for your turn!Maybe they should put some music in the bathrooms. I understand the bedrooms should be quiet but the Silent Vibe in the bathroom is a bit creepy.. ( but that’s just my vibe, I put music everywhere I go)Breakfast: If you add I think 3 euros you have breakfast included in your stay. Breakfast is not at the hostel it’s in a restaurant 1 min from the hostel. I would not recommend it. It’s not the best breakfast and I think the area offers so much more food to discover than to go to this place.Lobby: it’s a comfortable place to chill/work/chat. I think it’s a good hotel for 1 or 2 nights but not for a long time because you can not unpack. Your luggage stays in the lockers so you have to be a bit organized (preparing your clothes for the next day, your bathroom amenities to go shower,..). The hotel provides towels , a pijama slippers and toothbrush, soap etc which is really cool!Overall very nice experience , I would totally recommend! ",,Clarahdb,5,5.0
744403186,https://www.tripadvisor.com/Hotel_Review-g1066457-d12123803-Reviews-Nine_hours_Shinjuku_North-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,nine hours Shinjuku-North,"February 11, 2020","Very nice capsule hotel.Location is nice and easily reachable if you are flying from Haneda or Narita.Low price. Capsule are large enough.Really clean.Staff great.Only negative point: the mattress are thin.Don’t expect comfort. But definitely not big deal.I would go back, no doubt.","Montreal, Canada","luckypaulG</div><div class=""userLoc""><strong>Montreal, Canada</strong>",21,5.0
737715713,https://www.tripadvisor.com/Hotel_Review-g1066457-d12123803-Reviews-Nine_hours_Shinjuku_North-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,nine hours Shinjuku-North,"January 7, 2020","Nine Hours was recommended to me and as my visit to Robot Restaurant was late, I wanted somewhere simple to stay. Nine Hours certainly accommodated that. From the very entrance, this place oozes simplicity, futuristic styling and good service. Elevator takes you to the 8th floor where you check-in with staff who have a reasonable grasp of the English language. They explain how Nine Hours works e.g. if you're staying more than one night you check out at 10 and check back in later. The 'all women' capsules are on the 6th floor however, the showers are on another level (I didn't need them). As soon as you get out of the elevator on the 6th floor, there are lockers for your gear, toilets and handbasins. The capsules are through another door that indicates ""quiet"". If you have trouble climbing up a few stairs, ask for a capsule on the floor level. There are slipon slippers for each capsule which you dispose of before you leave. I crawled into mine, pulled the blind down to give me some privacy and just soaked up the peace. First thing I noticed was how clean it was and no odours or smells. Nice. There are two small shelves moulded into the capsule which are useful for putting your devices while they charge (note that the plug is a little tricky - put your plug in a small way, then turn sideways 90 degrees and push). If found the mattress a little hard but the pillow just fine. Unfortunately for me being tall, the doona (duvet) was a little short. There is very little outside noise, really the only sound is the airconditioning maintaining a constant temperature. Once people started arriving to bed down for the night it got noisy. Consider it a funky dormitory. You can hear people coming and going, snoring, coughing etc. but there is the privacy of your capsule that makes it interesting. It also feels very safe being amongst just women. Check out was quick and simple. There is a large space on the 8th floor where you can look at views of Shinjuku from the floor to ceiling windows both north and south. That, along with a massive table, benches and chairs, there is plenty of time to catch up on work if you need to. It's modern and sparse but somewhat inviting. Located within the Korean District and not from the Robot Restaurant, there is plenty to see and do in and around Nine Hours. I would highly recommend a visit. ","Melbourne, Australia","urbandrifter</div><div class=""userLoc""><strong>Melbourne, Australia</strong>",4029,5.0
736910138,https://www.tripadvisor.com/Hotel_Review-g1066457-d12123803-Reviews-Nine_hours_Shinjuku_North-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,nine hours Shinjuku-North,"January 4, 2020","This place is fantastic for short stays. It accommodates for anything you might need in transit, it is very clean and everything is considered in detail. Also, the staff are super friendly and helpful :)Just remember, it is called 9h because it is only open for 9. You still have to check out at 10am and can check back in at 1pm, if you are staying longer than one night.",,VlastaJ4,0,5.0
736632151,https://www.tripadvisor.com/Hotel_Review-g1066457-d12123803-Reviews-Nine_hours_Shinjuku_North-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,nine hours Shinjuku-North,"January 3, 2020","My friend and I visited Shinjuku on yesterday and we stayed at this location! It’s location is the middle of all the action yet once you’re inside it’s a great break. The staff were friendly and spoke a little English which was helpful with directions etc. The showers are on another floor which was a bit of a task, and there weren’t outlets at each mirror. I enjoyed my stay and it was perfect for my short stay in Shinjuku. ","Atlanta, Georgia","353starj</div><div class=""userLoc""><strong>Atlanta, Georgia</strong>",4,4.0
736122946,https://www.tripadvisor.com/Hotel_Review-g1066457-d12123803-Reviews-Nine_hours_Shinjuku_North-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,nine hours Shinjuku-North,"January 1, 2020","I was curious to stay for one night of my solo trip to Tokyo in a capsule, and this was kept surfacing as a good option. I'm so glad I chose to stay here! It was so clean, so quiet and I honestly slept so much better than I'd anticipated. This was perfect for a one-night capsule experience, and I would recommend to anyone looking to do the same.","Los Angeles, California","theadventuresofamy</div><div class=""userLoc""><strong>Los Angeles, California</strong>",3,5.0
730976232,https://www.tripadvisor.com/Hotel_Review-g1066457-d12123803-Reviews-Nine_hours_Shinjuku_North-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,nine hours Shinjuku-North,"December 6, 2019","if you're a bit organized for capsule hotel, for 1-2 nights is very nice. the hotel is young, cheap and clean. the showers are quite big. there is no air conditioned in the capsule. check in and out are very fast","Sendai, Japan","Dalila B</div><div class=""userLoc""><strong>Sendai, Japan</strong>",10,4.0
729667807,https://www.tripadvisor.com/Hotel_Review-g1066457-d12123803-Reviews-Nine_hours_Shinjuku_North-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,nine hours Shinjuku-North,"November 29, 2019","I was always curious to try a capsule hotel and it was much more comfortable than what I was thinking. Also, I was amazed by how clean and organized the shared facilities was! There are plenty of shower rooms and toilets and all are very clean and comfortable to use. This may look like a bag packer choice but has very high standards. The neighborhood is Korean town, full of restaurants and Korean-pop shops and lots of teenagers hanging around.","Geneva, Switzerland","I30sh</div><div class=""userLoc""><strong>Geneva, Switzerland</strong>",26,5.0
727526621,https://www.tripadvisor.com/Hotel_Review-g1066457-d12123803-Reviews-Nine_hours_Shinjuku_North-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,nine hours Shinjuku-North,"November 19, 2019","Everything is kept immaculately clean, the bathrooms are in top shape, and the pods are incredibly comfortable and clean. The staff and friendly, helpful and speak good English. The location is great. Each day you receive a “starter pack with toothbrush, towel, slippers and Pajamas. My only comment would be to ask guests if they’d like slippers and a toothbrush as people are becoming increasingly conscious about waste. Thank you for an incredible stay 9 hours! ",,globalexplorerr,8,5.0
