review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
751453110,https://www.tripadvisor.com/Hotel_Review-g14133673-d1090409-Reviews-Nishitetsu_Inn_Shinjuku-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Nishitetsu Inn Shinjuku,"March 19, 2020","Booked a single room which was small by western standards but it was very comfortable & had everything that i needed, even including a little kettle to have a cup of tea in the morning. (you get your tea bags from reception for free)I did have a problem when i became ill , and needed a doctor. What a hassle. The night staff had no idea what to do. They ended up ringing me an ambulance, and after attending hospital i had to return home & cut my holiday short after only 2 days. It took the reception staff about 90 minutes to work out what to do. I can not believe that in today's world,in a big city like Tokyo, that you don't have a doctor service on call. Maybe something to look into.","Coolum Beach, Australia","mgh1965</div><div class=""userLoc""><strong>Coolum Beach, Australia</strong>",83,3.0
744096667,https://www.tripadvisor.com/Hotel_Review-g14133673-d1090409-Reviews-Nishitetsu_Inn_Shinjuku-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Nishitetsu Inn Shinjuku,"February 10, 2020","Nishshitetsu- in Shinjuku , walkable to central Shinjuku - checkin was fast and efficient- Hotel room small but ok as with Japan standard- No ventilation in bathroom making it very stuffy snd wet after shower- Staffs are courteous and polite- Beds and linen are fresh and clean- Small single packet of toiletries are placed near to the elevator - Room cleanup was done nicely - Checkout was key drop off box","Hong Kong, China","lennytim828</div><div class=""userLoc""><strong>Hong Kong, China</strong>",95,3.0
741983559,https://www.tripadvisor.com/Hotel_Review-g14133673-d1090409-Reviews-Nishitetsu_Inn_Shinjuku-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Nishitetsu Inn Shinjuku,"January 29, 2020",Exceptional value for money. Spotlessly clean hotel with a nice sized room by tokyo standards. Room had a lot of extras ideal for a trip from overseas. Room was cleaned every day even though i missed the cleaning time and still returned to the room cleaned. If you opt to not have your bed clothes cleaned on a certain day they leave a complementary bottle of water. Stayed in a single room. Perfect size. A bath is a nice touch after a long day walking. TV has no English channels though.Staff were very friendly and helpful.Parking is also available at 2k yen over night. Slept soundly every night. Couldn't hear any room noise even though the hotel is off a major road. 24hr McDonalds across the road if your badly stuck for western food. many 7/11s within a short walk. 5 min walk to shinjuku station. Would stay again for sure.,Ireland,"Johnny-Big-Pockets</div><div class=""userLoc""><strong>Ireland</strong>",2,5.0
739088806,https://www.tripadvisor.com/Hotel_Review-g14133673-d1090409-Reviews-Nishitetsu_Inn_Shinjuku-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Nishitetsu Inn Shinjuku,"January 14, 2020","Excellent economy-class hotel - good quality-price ratio. Small but clean and cozy and quiet rooms, helpful staff. The main attraction is of course the location - 2 min from Nishi Shinjuku subway and 7 min from the huge transport hub - Shinjuku Station. Will definitely return here if I visit Japan again.",,fy0d0rt,4,5.0
737405384,https://www.tripadvisor.com/Hotel_Review-g14133673-d1090409-Reviews-Nishitetsu_Inn_Shinjuku-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Nishitetsu Inn Shinjuku,"January 6, 2020","I stayed in a single room at this hotel and found it to be excellent. While typically small, it was very well planned out with everything I needed. The bed was comfortable and the room very clean. Our floor had a room with vending machines and a microwave oven. It would be handy to heat up food from the nearby 7/11 and Lawsons. We had western style breakfasts down the road at Jonathan’s which was good. We had dinner in the yakitori restaurant under the hotel which was delicious. The location was great and I would definitely stay here again. ","Newcastle, Australia","DeGios</div><div class=""userLoc""><strong>Newcastle, Australia</strong>",43,5.0
735326055,https://www.tripadvisor.com/Hotel_Review-g14133673-d1090409-Reviews-Nishitetsu_Inn_Shinjuku-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Nishitetsu Inn Shinjuku,"December 29, 2019","The room is tiny (barely fits one bed and a restroom with tub/shower), but other than that it’s highly recommended. Front desk speaks English and staff was very helpful. We were able to borrow an umbrella on a rainy day and they stored our luggage for us for a couple hours after check-out too. Located about a minute away from Nishi-Shinjuku station, and about 10 minute walk away from JR Shinjuku station. All in all, clean room with excellent service. Free coffee and tea is an added bonus. Coin laundry is available on two separate floors. You can also pick up essential personal items such as toothbrush, hair brush, bath sponge, etc. in the lobby by the elevator. Lastly, the coffee shop downstairs has great coffee and pastries for breakfast. ","Los Angeles, California","ahwang727628</div><div class=""userLoc""><strong>Los Angeles, California</strong>",3,4.0
734244549,https://www.tripadvisor.com/Hotel_Review-g14133673-d1090409-Reviews-Nishitetsu_Inn_Shinjuku-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Nishitetsu Inn Shinjuku,"December 23, 2019","Comfortable, all necessities are provided ， a smartphone is provided for you to use, is convenient. Near to station however if you need to travel with your luggage before 6 am do note that the elevator at exit 1 is closed.",,htan897919,0,5.0
733191516,https://www.tripadvisor.com/Hotel_Review-g14133673-d1090409-Reviews-Nishitetsu_Inn_Shinjuku-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Nishitetsu Inn Shinjuku,"December 17, 2019",I can't fault it the location and amenities were all as good as could be expected. WiFi worked great and the staff were very professional and helpful whenever I interacted them. A place I would definitely book again if I was to return to Tokyo.,,skotar247413,0,5.0
732960593,https://www.tripadvisor.com/Hotel_Review-g14133673-d1090409-Reviews-Nishitetsu_Inn_Shinjuku-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Nishitetsu Inn Shinjuku,"December 15, 2019","Hotel’s location is near by train station , and station entrance have elevator can be used . Hotel’s service is very friendly. There is a fruit stand next to the hotel , the fruit is much cheaper than convenient store .","Taipei, Taiwan","ChiehFang</div><div class=""userLoc""><strong>Taipei, Taiwan</strong>",0,5.0
730511592,https://www.tripadvisor.com/Hotel_Review-g14133673-d1090409-Reviews-Nishitetsu_Inn_Shinjuku-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Nishitetsu Inn Shinjuku,"December 3, 2019",Make sure you book the correct type of room. I’ve accidentally booked a smoking room and the room really stinks. Luckily the room has got a air purifier which helped a lot. Room is very very small. Limited space to open up 2 luggages in a room. Amenities are all provided. There’s a cafe right below the hotel. Getting food around the area is not difficult. 8-10mins walk from Shinjuku Station / west exit. ,,jteo364888,0,4.0
