review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
753457337,https://www.tripadvisor.com/Hotel_Review-g60982-d14100457-Reviews-OHANA_Waikiki_East_by_Outrigger-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,OHANA Waikiki East by Outrigger,"May 12, 2020","On a whim I took my 3 kids and myself to HI. I used Hotwire to book and got this hotel. I enjoyed my stay and found it to be family friendly (the pool was a huge hit for my kids!), the decor and aesthetic was very Hawaiian, and the walk to the beach was quick! The staff were amazing and went above and beyond to make our short stay memorable. My only gripe is the pushy timeshare people. Even with my youngest having a meltdown the lady wouldn’t stop trying to get me to attend the meeting, spend $ to go, etc. it made me feel uncomfortable leaving the lobby since we had to go past her.","Anchorage, Alaska","meganmichelle907</div><div class=""userLoc""><strong>Anchorage, Alaska</strong>",0,4.0
752313599,https://www.tripadvisor.com/Hotel_Review-g60982-d14100457-Reviews-OHANA_Waikiki_East_by_Outrigger-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,OHANA Waikiki East by Outrigger,"April 6, 2020",First room too noisy bed not made up for our children and no linen supplied for us. Not enough towels for four people. Noisy as re neighbours. Second room rain coming in thru window fridge leaked waited two hour for room to be cleaned nothing was said as to why we had to wait. Third room smelt musty wet carpet from bathroom into main room. None of the rooms we could open ranchsliders. Staff were excellent though at front desk. The hotel is far too old and needs to be refurbished. ,"Auckland, New Zealand","kim-maree s</div><div class=""userLoc""><strong>Auckland, New Zealand</strong>",1,1.0
751573708,https://www.tripadvisor.com/Hotel_Review-g60982-d14100457-Reviews-OHANA_Waikiki_East_by_Outrigger-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,OHANA Waikiki East by Outrigger,"March 21, 2020","PRO'S - close to waikiki beach - close to main street - friendly staff (Events - Aaron was very helpful) - lay out of 2 bedroom suite great - close to launderette - across the road from ALAMO car rental - close proximity to PINK LINE trolley service - kitchen had a fridge, 2 burner electric stove, mini microwaveCON'S - hotel=old -hotel=needs desperate updating - room - sticky carpet (probs due to humidity) - room - mould on shower door - room - found ear buds (about 20) behind bed - room - initially had 3 of everything (ie cutlery, crockery, towells, beach towells) we booked for 5 people. Took 36 hours and a second reminder to finally deliver to room - room - windows in the 2 bedrooms were siliconed shut - room - found hair (not ours) in shower, on pillows, on carpet. - room - not cleaned thourougly everyday. - beds not made properly (sheets not tucked in ) - found hair in bedroom drawers (not ours) - room - did not supply sheets for duvet bed (even after asking) - room - shower was dark (needed to leave shower door open to see)","Melbourne, Australia","taniak523</div><div class=""userLoc""><strong>Melbourne, Australia</strong>",25,2.0
748009705,https://www.tripadvisor.com/Hotel_Review-g60982-d14100457-Reviews-OHANA_Waikiki_East_by_Outrigger-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,OHANA Waikiki East by Outrigger,"February 27, 2020","We were very disappointed in the condition of the rooms in this hotel. We have stayed at other Outrigger Hotels in the past and have always felt they were a great mid-range hotel. Unfortunately this one needs some serious updating. The rooms were spacious and the bed was comfortable, but the wallpaper was peeling, the grout in the bathroom was dirty, the shower door would not close and the baseboards and trim work were all banged up. We also had reserved a King Room, but upon check in, were told None were available, and also no Queen's. We had no choice but to accept double beds. Not at all happy about that. However, on the upside, the price was reasonable for Waikiki and the location was Fantastic. Very close to all major shopping, eating places and the Beach. It was OK for a two day layover, but that's about it.",Arizona,"allarea</div><div class=""userLoc""><strong>Arizona</strong>",8,2.0
744850893,https://www.tripadvisor.com/Hotel_Review-g60982-d14100457-Reviews-OHANA_Waikiki_East_by_Outrigger-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,OHANA Waikiki East by Outrigger,"February 13, 2020","This was a decent hotel. It was clean and the staff were friendly. The room had a minifridge, toaster and microwave so we had breakfast in our room to help to reduce costs.We had a king sized bed which was quite comfortable.From this location it was only a couple of blocks from Waikiki beach and many shops and restaurants. We were moved from our original room as the air conditioner was producing a constant drip of water onto the carpet and we couldn't open our balcony door. The staff was quite accommodating and the move was not difficult.The swimming pool was quite cold (I don't think it was heated) so we didn't use it as much as we would have liked. The hot tub was comfortable. I only gave this hotel 3 stars because of the noisy construction going on next door and across the street. Noise from the construction started most mornings before 7am. I know this is not the fault of our hotel but its something for a visitor to consider if going to Honolulu in the near future. The construction in both locations is just starting so will likely be ongoing for some time.I note that all of the hotels charge an ""ammenity"" fee. The fee for this hotel was $20.00 US per night and charged when you check out of the hotel. I think this fee is underhanded and a hidden fee to make the hotel more money while making their room price appear more reasonable. I would much rather have hotels be upfront about the total cost of a room in their advertised pricing as opposed to adding this fee to the fine print. Be careful when looking into hotels as this fee of $20.00 was one of the lower fees for hotels in the area. This can add quite a cost to your holiday.","Assiniboia, Saskatchewan, Canada","27west</div><div class=""userLoc""><strong>Assiniboia, Saskatchewan, Canada</strong>",2,3.0
741802614,https://www.tripadvisor.com/Hotel_Review-g60982-d14100457-Reviews-OHANA_Waikiki_East_by_Outrigger-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,OHANA Waikiki East by Outrigger,"January 28, 2020",Great Experience here.... room service was on time and good privacy. Great and helpful stuff and sufficient room space. Would recommend for family stays and vacation. One of the stuff even helped me get my food heated up .,,mewan56,0,4.0
737921185,https://www.tripadvisor.com/Hotel_Review-g60982-d14100457-Reviews-OHANA_Waikiki_East_by_Outrigger-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,OHANA Waikiki East by Outrigger,"January 8, 2020","This was the third time we had the pleasure of staying at the Ohana Waikiki East. Each time we had a great experience. Not only did we get a clean comfortable room with excellent service, but also I believe we got one of the best deals in Waikiki. It helped that we used Hotwire's Mystery Hotel deal. Guessing the hotel is pretty easy by the way. We did use the Gym, beach towels, and the restaurant for breakfast. We also had a balcony for early morning and late evening relaxation. Daytime can be a little hot. The hotel is conveniently located to excellent shopping, public transportation, and of course, the Waikiki Beach. Another perk was the free use of the Pink Line Double Decker tour bus. The staff at the front desk was particularly friendly and extremely helpful. Highly reccomended.","Minto, Canada","tolo565</div><div class=""userLoc""><strong>Minto, Canada</strong>",16,4.0
736734902,https://www.tripadvisor.com/Hotel_Review-g60982-d14100457-Reviews-OHANA_Waikiki_East_by_Outrigger-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,OHANA Waikiki East by Outrigger,"January 3, 2020","I read a lot of the reviews before booking this hotel and all of them said a great location, all main sites are a walkable distance. I don't walk a lot and I can say that this hotel is close to everything! Waikiki Beach is less than a 5 minute walk at a nice leisurely pace. Main drag with shops and markets is a 4 minute walk. The hotel is still stuck in the 80s with it's decor but it has everything you need and is clean! So who cares?","Wellington, New Zealand","Doridos</div><div class=""userLoc""><strong>Wellington, New Zealand</strong>",2,5.0
735754455,https://www.tripadvisor.com/Hotel_Review-g60982-d14100457-Reviews-OHANA_Waikiki_East_by_Outrigger-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,OHANA Waikiki East by Outrigger,"December 30, 2019","This is the first time that we stayed more of the center of Waikiki and we didn't like it. The streets are noise at night from the buses. The mattress is not comfortable at all.We arrive early,they didn't let us in our room because was early but if we pay 70 dollars no problem. I have never experienced something like that before.",,201285,1,2.0
724234285,https://www.tripadvisor.com/Hotel_Review-g60982-d14100457-Reviews-OHANA_Waikiki_East_by_Outrigger-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,OHANA Waikiki East by Outrigger,"November 5, 2019","This is my second stay at the ohana east and once again for the price this is an great place to stay.Close to the beach and shops. We had a nice quiet room. Small shower didn’t bother us, and this time we had a kitchenette, which was great for reheating leftovers and in room dinners.Thank you!Hope to be back! ","Sydney, Australia","Laura K</div><div class=""userLoc""><strong>Sydney, Australia</strong>",2,5.0
