review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
750305270,https://www.tripadvisor.com/Hotel_Review-g60982-d214685-Reviews-OHANA_Waikiki_Malia_by_Outrigger-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,OHANA Waikiki Malia by Outrigger,"March 10, 2020",If you are visiting Honolulu on a budget this hotel is good... although not on Waikiki beach it is within a 10 minute walk. But this is a “budget” hotel. No bells and whistles... pool is not really much of anything... decor is dated (think 1980s Holiday Inn). The staff is friendly but the cleaning staff unfortunately tended to be smokers so after my room was cleaned I would come in to that smell and would have to open the patio doors to air it out so I just started putting the do not disturb on the door so they wouldn’t clean.,"Medicine Hat, Canada","crisk2147</div><div class=""userLoc""><strong>Medicine Hat, Canada</strong>",0,3.0
678880397,https://www.tripadvisor.com/Hotel_Review-g60982-d214685-Reviews-OHANA_Waikiki_Malia_by_Outrigger-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,OHANA Waikiki Malia by Outrigger,"June 4, 2019","Came in late and this hotel was so great! Front desk is so kind, nice and helpful. Room was clean and the beds were so comfy. Wish we could have stayed here for more nights. Central to everything you need or want.",,Monica W,4,5.0
750121846,https://www.tripadvisor.com/Hotel_Review-g60982-d214685-Reviews-OHANA_Waikiki_Malia_by_Outrigger-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,OHANA Waikiki Malia by Outrigger,"March 9, 2020","2 nights here. Bed was comfortable shower pressure was good, room was a good size. Hotel and rooms a bit dated but it seems most hotels here are...Fantastic location central to everything can walk everywhere. Included in the resort fee... pink line bus which is handy....Would stay again",,fglover75,0,4.0
746245019,https://www.tripadvisor.com/Hotel_Review-g60982-d214685-Reviews-OHANA_Waikiki_Malia_by_Outrigger-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,OHANA Waikiki Malia by Outrigger,"February 19, 2020","We had a large, comfortable room with king size bed, a very quiet room on the 14th floor, although it overlooked Kuhio Avenue. The staff were all very friendly & helpful and those on the front desk gave us a lot of useful advice. We were able to make use of the large swimming pool at Ohana Waikiki East, less than 5 minutes walk, the Malia only having an indoor lap pool. The hotel is located in a very pleasant area & we felt very safe when walking out to restaurants & bars at night.",,VivienneN32,7,4.0
746226779,https://www.tripadvisor.com/Hotel_Review-g60982-d214685-Reviews-OHANA_Waikiki_Malia_by_Outrigger-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,OHANA Waikiki Malia by Outrigger,"February 19, 2020","The property is in a decent location with courteous, friendly employees. Definitely not worth $250+ a night, however- as there are hotels just as nice for about 1/2 this rate all around Honolulu. Tried to sign up for their frequent guest program, was unable to do so due to glitch in system. After a trip to the front desk, calling Outrigger Central in Colorado- they had to call me back to give me my special Discovery membership number. When I inquired if my number was plugged into my current stay's folio, the clerk says ""I'm sorry, but we don't participate in that program."" What the hell ?? Why did I sign up for your frequent guest program ?? What's my incentive to stay here again ?? What a waste of time. Offering a frequent guest program that only certain Outrigger Hotels utilize, good luck trying to decipher which ones do. Forget this place, will never return- after going through this nonsense today.","Las Vegas, Nevada","Greenblaster13</div><div class=""userLoc""><strong>Las Vegas, Nevada</strong>",1,1.0
744179008,https://www.tripadvisor.com/Hotel_Review-g60982-d214685-Reviews-OHANA_Waikiki_Malia_by_Outrigger-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,OHANA Waikiki Malia by Outrigger,"February 10, 2020","I stayed at this hotel with a friend, as we were looking for something well located but still cheap (which is hard to find in waikiki). The hotel was ok. The beds were comfortable and the rooms were of a decent size (we had 1.5 beds and a small balcony facing the street). On the other hand they can't call this bath tub a pool cause it is really not one!! But since the ocean is pretty close by, we didn't really need it. I also get that the hotel is old and would probably need a bit of renovations, but it could be cleaner I have to admit... but beds were clean and comfortable, which is what is important in the end! But the hotel employees were what we loved the most about that place. They were always there help us and answer all of our questions. I would recommand the Ohana waikiki Malia hotel.","Montreal, Canada","vanessaburon</div><div class=""userLoc""><strong>Montreal, Canada</strong>",6,3.0
742266127,https://www.tripadvisor.com/Hotel_Review-g60982-d214685-Reviews-OHANA_Waikiki_Malia_by_Outrigger-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,OHANA Waikiki Malia by Outrigger,"January 31, 2020","Great little hotel in the heart of Waikiki, a short stroll to the beach , with many shopping facilities great restaurants a free transportation system to get around with a hop on hop off wherever you please . A nice drinking hole and restaurant","Sydney, Australia","Steve T</div><div class=""userLoc""><strong>Sydney, Australia</strong>",2,4.0
741867042,https://www.tripadvisor.com/Hotel_Review-g60982-d214685-Reviews-OHANA_Waikiki_Malia_by_Outrigger-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,OHANA Waikiki Malia by Outrigger,"January 28, 2020","The staff is wonderful, friendly accommodating and hard-working. The location is so fun. You can walk to the beach or places to eat and it’s awesome waking up and looking out over a bustling island city. My feedback is more for the parent company—outrigger, because I believe that the issues with this hotel need to be addressed by them. This hotel is badly neglected. We had a one bedroom kitchenette in the Luana tower and it was hard to get comfortable because everything in the room appears as if it’s been there since the 70’s. I don’t mind the oldschool beachy style of the rooms but the lamps, wallpaper, drapes and furniture actually look and feel like they’ve been there for decades. Very old and in poor condition. Housekeeping was great about tidying but there are some things the owners need to address—like throwing out old, grimy upholstered chairs and benches, putting fitted sheets on the beds and a vanity in the bathroom. Instead of a regular fitted and flat sheet our beds had a bare mattress with a blanket folded on top of it for extra cushioning and a flat sheet tucked in on top of that, followed by another flat sheet and the flowered bedspreads. They were great about bringing extra pillows and blankets as needed but I thought the lack of fitted sheets and the extra blanket between the mattress and sheet was really odd. There was nothing but a tiny glass shelf directly above the toilet in the bathroom so if your toiletries don’t fit on the little shelf you must place them on the back of the toilet. Either way you risk dropping your belongings in the toilet. The water pressure was great but bathroom fixtures are rusty, the grout is black, there was what appeared to be a blood stain on one of the flower printed bed covers and there were stains (from food?) all over the nasty yellow wall paper. The green carpet is separating from the baseboards and in the space under the counter where the mini fridge was there was a huge gap next to the fridge where the top layer of flooring was missing leaving whatever is under the floor exposed. Like others said there are hardly any outlets and you have to reach behind old furniture to access them. The lamps are so old and dusty-looking that I didn’t want to touch them to turn them on. It is well past time for outrigger to throw out the old, tired, wooden and upholstered furniture. Also, we paid resort and hotel fees upfront so no surprises there but I didn’t like that there was a random unauthorized $50 hold that was placed (and eventually released) on my account the day we checked out. TL;DR Nice staff and fantastic location but I would not recommend this hotel and I would not stay here again unless they replaced the flooring, wallpaper, drapes and furniture at minimum.",California,"usvserrybody</div><div class=""userLoc""><strong>California</strong>",0,2.0
739712577,https://www.tripadvisor.com/Hotel_Review-g60982-d214685-Reviews-OHANA_Waikiki_Malia_by_Outrigger-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,OHANA Waikiki Malia by Outrigger,"January 17, 2020","Excellent location of the hotel. Rooms were ok, but could've  been nicer. However,  we didn't spend a lot of time in the rooms, we were out every morning.  Beds were uncomfortable,  outdated furniture and no tub. Only showerAlso, the maids don't wash or wipe the kitchen,  coffee carafe, dishes or microwave (I cleaned it myself).  So....it wasn't as clean as I would've liked. Look at pics. Dust n food particles. Grimy finger prints on the kettle.Maids were annoying and constantly knocking on the door. I'll probably stay elsewhere if I go back.",,Defender-Vee45,2,2.0
738608450,https://www.tripadvisor.com/Hotel_Review-g60982-d214685-Reviews-OHANA_Waikiki_Malia_by_Outrigger-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,OHANA Waikiki Malia by Outrigger,"January 12, 2020","Location is good, 10 minutes from the beach and 15 minutes from the Hawaii Convention Center, with plenty of restaurants nearby. The wardrobe was very dusty and looked like it hadn't been cleaned in a while. I told the reception but still it wasn't cleaned. Service was ok. I got a good deal compared to other Waikiki hotels.","Munich, Germany","paolooo067</div><div class=""userLoc""><strong>Munich, Germany</strong>",28,3.0
737936369,https://www.tripadvisor.com/Hotel_Review-g60982-d214685-Reviews-OHANA_Waikiki_Malia_by_Outrigger-Honolulu_Oahu_Hawaii-or10.html?filterLang=en,OHANA Waikiki Malia by Outrigger,"January 8, 2020",Walked in and it smelled musty. Charges a resort fee but has no right to call it self a resort. Looks like it’s from the 1970s.. ugliest wallpaper and small bathroom I have ever seen. Did not give us the room that are travel agent booked and we paid for. Maybe update your hotel and then call yourself a resort and maybe don’t put misleading untrue pictures of your hotel on your website. Will stay in a Hilton next time .. a hotel that can be trusted and not lie to people like this hotel does. Save more money folks and stay someone nicer! Shame on this hotel for false advertisement!,"Chicago, Illinois","Worldtravelerandpret</div><div class=""userLoc""><strong>Chicago, Illinois</strong>",1,1.0
737414287,https://www.tripadvisor.com/Hotel_Review-g60982-d214685-Reviews-OHANA_Waikiki_Malia_by_Outrigger-Honolulu_Oahu_Hawaii-or10.html?filterLang=en,OHANA Waikiki Malia by Outrigger,"January 6, 2020",The hotel has a great location as it is central to everything and a short walk to the beach. It is also attached to an IHOP. We didn’t know that we had access to the trolley with our room key until the last day so make sure to ask about freebies. The rooms were grimy and the microwave looked like it hadn’t been cleaned in awhile. The staff was friendly and for a budget it was decent but don’t expect to relax in your room as the beds aren’t too comfy. ,,caram340,7,3.0
737041430,https://www.tripadvisor.com/Hotel_Review-g60982-d214685-Reviews-OHANA_Waikiki_Malia_by_Outrigger-Honolulu_Oahu_Hawaii-or10.html?filterLang=en,OHANA Waikiki Malia by Outrigger,"January 5, 2020","Even though the hotel rooms and the furniture seemed a little outdated, the central location was very convenient. The rooms had two twins and one queen bed, why can't more hotels provide this? For a family of four, it was so helpful to get enough sleep due to the convenient sleeping situation. All the staff were very friendly, accomodating and very patient in answering our questions and helping with our needs. We had a very comfortable stay here due to the wonderful staff. Thank you.",,SusmiKapa,1,4.0
736182725,https://www.tripadvisor.com/Hotel_Review-g60982-d214685-Reviews-OHANA_Waikiki_Malia_by_Outrigger-Honolulu_Oahu_Hawaii-or10.html?filterLang=en,OHANA Waikiki Malia by Outrigger,"January 1, 2020","1. I found a spider in my bed.... no wonder since the room and the furniture are very old. 2. The bathroom is very tight. The closet glass door goes out of rail, I had to fix it myself.2. The concierge staff named Manny is very rude. I booked a two double beds room for me and my hub. He asked me twice how many ppl are there in my room, even after I confirm it’s for 2. It’s none of your business whether or not we sleep in the same bed!!!With the same amount of money, I’d rather live in an Airbnb out of Waikiki and rent a car!",,CGPSA2019,1,1.0
735675046,https://www.tripadvisor.com/Hotel_Review-g60982-d214685-Reviews-OHANA_Waikiki_Malia_by_Outrigger-Honolulu_Oahu_Hawaii-or10.html?filterLang=en,OHANA Waikiki Malia by Outrigger,"December 30, 2019",If you're going to Oahu..and you haven't got a fortune to spend.. this is the place for you. Just a 5minute walk from Waikiki beach.. it's at the centre of everything going on in the area. Very friendly and helpful staff ..clean rooms.. couldn't ask for more.,"Gorey, Ireland","robJ6710QA</div><div class=""userLoc""><strong>Gorey, Ireland</strong>",1,5.0
735005542,https://www.tripadvisor.com/Hotel_Review-g60982-d214685-Reviews-OHANA_Waikiki_Malia_by_Outrigger-Honolulu_Oahu_Hawaii-or15.html?filterLang=en,OHANA Waikiki Malia by Outrigger,"December 27, 2019","We booked through a travel agent. This hotel is a little older but very clean. The room was great for 3 unrelated guests: a queen, 2 twin beds and kitchenette. It is in the heart of Waikiki. Everything is in walking distance or your room key hives you access to a trolley. The staff are friendly and helpful. Highly suggest you stay here!",,Kimberlucz,1,5.0
734368865,https://www.tripadvisor.com/Hotel_Review-g60982-d214685-Reviews-OHANA_Waikiki_Malia_by_Outrigger-Honolulu_Oahu_Hawaii-or15.html?filterLang=en,OHANA Waikiki Malia by Outrigger,"December 23, 2019","Spent a long weekend at this hotel & had an absolutely wonderful time. Staff are friendly, helpful and courteous. Rooms are clean, quiet, comfortable and roomy. Location super convenient. Will be back!","Half Moon Bay, California","cminshall</div><div class=""userLoc""><strong>Half Moon Bay, California</strong>",2,5.0
734223143,https://www.tripadvisor.com/Hotel_Review-g60982-d214685-Reviews-OHANA_Waikiki_Malia_by_Outrigger-Honolulu_Oahu_Hawaii-or15.html?filterLang=en,OHANA Waikiki Malia by Outrigger,"December 22, 2019","This hotel is very convenient to take trolley buses, so I always select package tour of the hotel. Coffee and tea are prepared in the room with a coffee maker, it is good for breakfast.As same as other hotels, shower is not so good to use. I recommend Japanese one when you renovate next time!!??The staff members are friendly and kind,",,Michiko M,1,3.0
730274538,https://www.tripadvisor.com/Hotel_Review-g60982-d214685-Reviews-OHANA_Waikiki_Malia_by_Outrigger-Honolulu_Oahu_Hawaii-or15.html?filterLang=en,OHANA Waikiki Malia by Outrigger,"December 2, 2019","This is an email I sent to Napua Ho Senior Sales Manager - I am a travel agent and took 21 guests to the hotel.I must say that you are a part of a super organization. The hotel and amenities were great. Clean and Comfortable. All of your staff, I only got Robert's name, were very efficient, helpful and kind to us. Every member of the group sends their thanks for all you did for us. Thanks again and I will for sure refer your hotel to any client that is seeking accommodation in Honolulu.",,Inspiration289479,2,5.0
729109027,https://www.tripadvisor.com/Hotel_Review-g60982-d214685-Reviews-OHANA_Waikiki_Malia_by_Outrigger-Honolulu_Oahu_Hawaii-or15.html?filterLang=en,OHANA Waikiki Malia by Outrigger,"November 26, 2019","My son and I spent a week at this hotel and had a wonderful time. We had a one bedroom unit and it was comfortable and spacious. Located in the Center of Waikiki made everything within easy walking distance. The staff were very helpful, friendly and courteous. A special thank you to our pleasant housekeeper and All the front desk staff, especially Shawn, Victor, Troy and Pam, You guys made us feel so welcome. I would request this hotel in future travels. Thank you for a wonderful visit.","Charlottetown, Canada","PEIslandfolks</div><div class=""userLoc""><strong>Charlottetown, Canada</strong>",1,5.0
728905968,https://www.tripadvisor.com/Hotel_Review-g60982-d214685-Reviews-OHANA_Waikiki_Malia_by_Outrigger-Honolulu_Oahu_Hawaii-or20.html?filterLang=en,OHANA Waikiki Malia by Outrigger,"November 25, 2019","This is the second time I’ve stayed at this hotel & will again.I love that it’s basically in one of the best locations in Waikiki, central to everything.I suggest including the resort fee in the price of the accommodation. Having WiFi & the pink trolley is great, plus I use my drawstring bag all the time.I can’t wait to come back.","Broadbeach, Australia","elizhar76</div><div class=""userLoc""><strong>Broadbeach, Australia</strong>",22,4.0
726840552,https://www.tripadvisor.com/Hotel_Review-g60982-d214685-Reviews-OHANA_Waikiki_Malia_by_Outrigger-Honolulu_Oahu_Hawaii-or20.html?filterLang=en,OHANA Waikiki Malia by Outrigger,"November 16, 2019",Friendly and helpful staff and located in the middle of it all. Walkable to any of Waikiki's destinations. Pam at the front desk was especially pleasant with a friendly smile. For the price I was very satisfied and taken care of during my stay. Would return.,,chloetheq,1,5.0
726682938,https://www.tripadvisor.com/Hotel_Review-g60982-d214685-Reviews-OHANA_Waikiki_Malia_by_Outrigger-Honolulu_Oahu_Hawaii-or20.html?filterLang=en,OHANA Waikiki Malia by Outrigger,"November 15, 2019","I stayed here with my partner and family before they left and I did some solo travel (my next accommodation was a nightmare and Iwould have come straight back to the Ohana Malia but you were booked out). The hotel was lovely - staff were always so friendly and helpful. Rooms were spacious and clean. I do wish that the rooms had a microwave rather than having to go use a communal one on another level but it’s not a huge deal. It was super handy to have free access to the bus around Waikiki that stopped right out front. We really loved the local bar next door, Rivals Sports Lounge - it became our local. Definitely recommend this hotel. ","Brisbane, Australia","vargasgirl1984</div><div class=""userLoc""><strong>Brisbane, Australia</strong>",48,5.0
726385095,https://www.tripadvisor.com/Hotel_Review-g60982-d214685-Reviews-OHANA_Waikiki_Malia_by_Outrigger-Honolulu_Oahu_Hawaii-or20.html?filterLang=en,OHANA Waikiki Malia by Outrigger,"November 14, 2019","I stayed here for 6 nights and would definitely stay again. I wasn't satisfied with my first room for a several reason, I think it was located in the old part of the building. But luckily I was able to change the room and the new room was great. It was a newer, spacious room and a huge bed with a great pillow selection. The room was very clean, Wi-Fi worked well in the room. The service in the reception was great, especially Pam was amazing. Location of the hotel is just the best. It's in the center of Waikiki so all of the shopping centers and restaurant are right outside and there is just a few minutes walk to the beach. Bus stops are right next to the hotel so it's easy to explore Oahu and see other places/beaches/towns as well. The hotel offers a free shuttle bus to Ala Moana Center and there's also two great and calm beaches near by, if the Waikiki beach feels too crowded.","Helsinki, Finland","Annuliina S</div><div class=""userLoc""><strong>Helsinki, Finland</strong>",5,5.0
