review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
732810370,https://www.tripadvisor.com/Hotel_Review-g60763-d93374-Reviews-Off_Soho_Suites-New_York_City_New_York-or0.html?filterLang=en,Off Soho Suites,"December 15, 2019","On a recent business trip to NY I was looking for a strategically located hotel near Manhattan. I came across Off Soho by chance and after reading a few reviews, decided to give them a chance. When I first arrived, I disnt know what to expect judging from the exterior, but as soon as I walked in, I really like the vibe. My room was a three room suite with hardwood floor, spacious en suite bathroom, and queen size bed. The room was exceptionally clean, the temperature perfect, and quiet other than the typical street noise. The desk manager Gabe was first rate and took vare of my every need. I will definitely stay with them again!","Ocala, Florida","ElginC</div><div class=""userLoc""><strong>Ocala, Florida</strong>",18,5.0
731291780,https://www.tripadvisor.com/Hotel_Review-g60763-d93374-Reviews-Off_Soho_Suites-New_York_City_New_York-or0.html?filterLang=en,Off Soho Suites,"December 7, 2019","Friends came to meet us in the room before going out to eat. The clerk rudely raised his voice demanding that people wait in the lobby and did not let our friends in the room. He said we would be too loud because they were shared rooms. It was 9:00pm on a Saturday and there was no curfew or quiet hours mentioned on the website. He “allowed” us 20 minutes in the room and threatened to throw us out if we were late. Had the economy suite for 2, which consisted of 2 foot-wide beds and a room the size of a queen bed.",,PootStooo,0,1.0
692064421,https://www.tripadvisor.com/Hotel_Review-g60763-d93374-Reviews-Off_Soho_Suites-New_York_City_New_York-or0.html?filterLang=en,Off Soho Suites,"July 23, 2019","We had booked to stay in this accommodation, however when we got there we realised that the area was super dodgy/sketchy. The room itself was ok- what you would expect from a budget hotel. Everything was clean. However when we went for a walk, we did not feel safe. We ended up cancelling our reservation and moving to another hotel.",Perth,"RRVan</div><div class=""userLoc""><strong>Perth</strong>",23,3.0
683547547,https://www.tripadvisor.com/Hotel_Review-g60763-d93374-Reviews-Off_Soho_Suites-New_York_City_New_York-or0.html?filterLang=en,Off Soho Suites,"June 22, 2019","Pros:location is perfect, easy 5-10mins walk to various subway stations, and near to all the charming streets full of fine cafes, restaurants and shops that come so alive on weekends! Suites are roomy, with big bathroom, spacious kitchen with stove stop, kettle, microwave and fridge, Ikea sofa bed in living room and spacious bedroom. Reception staff are approachable and easy going. Fresh towels changed everyday, sheets changed every other day, lift landing on every floor, and coin operated washer dryer in basement. Suite room has iron and ironing board.Cons:The aircon in bedroom was very loud and noisy. One of the ceiling light metal rim fell and almost hit our head. Clothes hanger was faulty and housekeeping didn't fix it. Housekeeping kept giving us big bottles of hair conditioners and small tubes of random brand shampoos. Bathroom window had a missing window blind panel, we had to put a cereal box cover to block the opening. Hope the property will look into all these.Will stay here again if the aircon are fixed and does not make loud noises.",Singapore,"JulieSingapore</div><div class=""userLoc""><strong>Singapore</strong>",25,4.0
677213696,https://www.tripadvisor.com/Hotel_Review-g60763-d93374-Reviews-Off_Soho_Suites-New_York_City_New_York-or0.html?filterLang=en,Off Soho Suites,"May 28, 2019","We stayed five nights in an Economy Suite. The bedroom was very tight, and we shared a kitchen and bath with another bedroom, and it was not a problem. It is located conveniently to subways, and the pricing is OK, but don't expect anything special unless you upgrade. The beds are very comfortable, and the staff is very pleasant and accommodating. If you want your bedding changed, you need to let the desk know and leave a key - otherwise only just the kitchen and bathroom are cleaned daily, and towels changed out.","Hallandale Beach, Florida","Jerry J</div><div class=""userLoc""><strong>Hallandale Beach, Florida</strong>",136,3.0
675996922,https://www.tripadvisor.com/Hotel_Review-g60763-d93374-Reviews-Off_Soho_Suites-New_York_City_New_York-or5.html?filterLang=en,Off Soho Suites,"May 23, 2019","We spent 5 nights at this place; it is a ageing 'Dump'. Our unit was certainly not as pictured on the website or in the promotional videos. The place is old and it shows its age everywhere you look – the photos are not representative of all units!! There maybe one or a few units that have been refurbished, but we didn't stay in one; nor did we see any through open doors. Our stay started with the toilet blocking and water flooding all over the bathroom floor (and the manager left the rubber plunger with us ""just in case it happens again""!!).The front door could not be accessed with the key; the gym was ‘unavailable’; the towels are old, small and thin. The kitchen is out of the 1960’s with little amenity - the paint and veneer on the cupboards and drawers is peeling. There is no electric kettle (you have to heat a kettle on old gas stove, the ignition system of which has had it!!). We had to make up our bed when we arrived (sheets and blankets were provided). You have to fight for a tea towel. There was no plug for the kitchen sink. The TV in our room was minuscule and had no news channels programmed into it – no CNN even!! The website promotes a Limo service from JFK, but it is not organised by the management (our travel agent tried in vain to have them organise a limo - but they can't or won't) and I overheard a couple trying to organise the service back to JFK - with no success and much frustration. We could not in good faith recommend this place to anyone and would certainly never go back.On the plus side - towels were replaced daily, and the housekeeping staff were most helpful.","Sydney, Australia","connery007</div><div class=""userLoc""><strong>Sydney, Australia</strong>",46,2.0
669132965,https://www.tripadvisor.com/Hotel_Review-g60763-d93374-Reviews-Off_Soho_Suites-New_York_City_New_York-or5.html?filterLang=en,Off Soho Suites,"April 25, 2019","Awesome location in lower Manhattan. Rooms are small but clean and comfortable. Staff are happy to help with admin tasks such as printing etc. Highly recommended if you are looking for a cheap, great value hotel in a prime location in lower Manhattan.","Auckland Central, New Zealand","barryl382</div><div class=""userLoc""><strong>Auckland Central, New Zealand</strong>",0,4.0
655119360,https://www.tripadvisor.com/Hotel_Review-g60763-d93374-Reviews-Off_Soho_Suites-New_York_City_New_York-or5.html?filterLang=en,Off Soho Suites,"February 26, 2019","In case you can think of OSS as a room or apartment owned by good friends who let you stay there at minimal cost ($150 per night), it does not get better. The rooms are clean, the beds comfortable. Stock your fridge with the basics from Wholefoods nearby.The location is brilliant, close to the true NYC feel, great restaurants, cute shops, a bit rough still. During our week visit we had our children stay at the modern CitizenM. We had more space, a kitchenette and a separate bathroom. Privacy. We are spoiled travelers but in NYC, and when there for more than 2 or 3 days, we would much rather spend our money on food, theater and the arts. Have the feeling to live in NYC and not be in all the same aquarium style high-rises. You can still have a drink on these rooftops or work in their lobbies if you like. OSS is clean and the staff suits the place excellently. Not hipsters but beautiful New Yorkers. For breakfast we found Ceci-Cela (same block literally on other side) to be one of the best options in the city. Relaxed, affordable and great quality French bakery. We were there every morning.The location is within minutes walking from essential subway lines. Grand, Bowery, Spring, Prince. You can be on Broadway or in Central Park in 15 minutes. Uber was there always within 2 minutes. Don't forget to visit ICP basically next door.","Berlin, Germany","Paul V</div><div class=""userLoc""><strong>Berlin, Germany</strong>",1,5.0
634453061,https://www.tripadvisor.com/Hotel_Review-g60763-d93374-Reviews-Off_Soho_Suites-New_York_City_New_York-or5.html?filterLang=en,Off Soho Suites,"November 19, 2018","The hotel was clean and spacious. I originally booked the Deluxe Suite, which I guess only comes with two twin beds and a futon (even though the pictures show that there's a queen bed, that's actually an upgraded room) - but when I checked in, I asked for that configuration and the front-desk guy was able to upgrade me to it, which was very nice of him. The location is perfect! Very close to Chinatown, soho shops, etc.. I would definitely stay here again.","Reston, Virginia","xquizitpinay</div><div class=""userLoc""><strong>Reston, Virginia</strong>",3,5.0
631004881,https://www.tripadvisor.com/Hotel_Review-g60763-d93374-Reviews-Off_Soho_Suites-New_York_City_New_York-or5.html?filterLang=en,Off Soho Suites,"November 5, 2018","If you want to feel like a NewYorker , this is the place. Sure it was a bit noisy but thats part of the downtown New York charm. Wahlid, the hotel night manager, as well as the rest of the friendly staff made us feel at home and was very helpful on all occasions. The rooms are comfortable and homey. The location of the hotel is perfect and walking distances from most downtown areas (Soho, Nolita, Chinatown, Little Italy, etc) In all we had a great and comfortable time. Thx WAWA !!",,raul rodrigo D,0,5.0
