review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
751854331,https://www.tripadvisor.com/Hotel_Review-g60982-d87091-Reviews-Pacific_Marina_Inn-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Pacific Marina Inn,"March 26, 2020","We had an excellent experience with the Inn. They picked us up from a late night flight, though I had to call 3 times to get an answer, and the room was comfortable, clean and quiet. Everyone was very friendly and helpful.",,Carol J,10,5.0
751425846,https://www.tripadvisor.com/Hotel_Review-g60982-d87091-Reviews-Pacific_Marina_Inn-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Pacific Marina Inn,"March 19, 2020","If I had not already prepaid for this armpit I would have rather slept in my rental car. I could have saved the $117 rate plus the $10 resort (?) fee due at check in. It did not bother me that it is in a district of warehouses. What did bother me was the run down condition, the poor house keeping (evidenced by an obvious long black hair hanging off the ""fresh"" hand towel) and the level of some of the other guests staying here. I suspect a number of these people may have been staying on a subsity voucher from their appearance and a number of cars that were certainly owned by locals and were not from a rental company. The Chinese restaurant it front was the same caliber as the motel. Every 15 minutes I was subjected to the stench of a smoker as if wiffed into my room.Baffled by the good reviews. Can it be that those reviewers actually stayed in the same dump I did?","Traverse City, Michigan","Bill H</div><div class=""userLoc""><strong>Traverse City, Michigan</strong>",286,1.0
751184714,https://www.tripadvisor.com/Hotel_Review-g60982-d87091-Reviews-Pacific_Marina_Inn-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Pacific Marina Inn,"March 17, 2020","The Pacific Marina Inn is very close, clean, well priced w/ a pool, bar & decent restaurant. Most travelers have flown at least 6 hrs & are connecting to another long -haul flight, perfect for an over night layover. The rooms are simple, but plenty confortable.",Michigan,"bigmik12</div><div class=""userLoc""><strong>Michigan</strong>",39,5.0
750990942,https://www.tripadvisor.com/Hotel_Review-g60982-d87091-Reviews-Pacific_Marina_Inn-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Pacific Marina Inn,"March 15, 2020","This place is ok, clean, close to the airport fun little karaoke bar.Staff were friendly except we were catching the shuttle to the airport at 11:30 and got a call at 11:01 to get out of our room. Not so friendly, would not stay there again.",,lindakA6645GO,0,3.0
750340515,https://www.tripadvisor.com/Hotel_Review-g60982-d87091-Reviews-Pacific_Marina_Inn-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Pacific Marina Inn,"March 10, 2020","In January my friend and myself stayed in Pacific Marina Inn in Hinolulu .The stay was a nightmare . We slept on top of the bed with our beach towels and our cloths on., fearing we would catch something. The walls were parched up . The sink was falling off the walls and the mini fridge was in the bathroom. The room was freezing and all night someone was walking back and forth outside our room .. I put my luggage in front of the door. The manager would not give us another room or money back.",,NewAdventure20,0,1.0
749907999,https://www.tripadvisor.com/Hotel_Review-g60982-d87091-Reviews-Pacific_Marina_Inn-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Pacific Marina Inn,"March 8, 2020","We like staying at Pacific Marina for two main reasons: the free and closely accessible parking (if you can get one), which makes it easy to go back to your car to retrieve things or run out in a hurry; and the bar downstairs. The pool area is also nice and, since we frequent Oʻahu, the location is very convenient for to most the places we end up going to. But the rooms are hit or miss as far as cleanliness and comfort. For this last trip, our bed was extremely uncomfortable. Just hard like every spring is just done. My husband and I had sore backs every morning. Time to throw out these mattresses. (Oh, and pretty much every “Queen” size bed we’ve had there was not a Queen, they were Full-size mattresses.) I don’t know if this hotel is going to be affected by the rail system coming through—like if they have to close down because they are in the path—and that’s why the rooms aren’t being changed out, upgraded, or given on super good cleaning/painting head to toe. If that’s what is happening, then I understand and will keep staying there while it’s still around. But if they are staying, I hope they do some major cleanup and upgrades soon. There should be some investment into the hotel for the good of their guest, especially the retiring ones.",,huakaihuakai,0,3.0
749754744,https://www.tripadvisor.com/Hotel_Review-g60982-d87091-Reviews-Pacific_Marina_Inn-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Pacific Marina Inn,"March 7, 2020",I love how it's so quite and the house keepers are so nice and how the front and the little store workers are so friendly and nice. I have a question to ask..If I wanted to rent every month how much would it be??,,FranchelleCastro,0,5.0
748811449,https://www.tripadvisor.com/Hotel_Review-g60982-d87091-Reviews-Pacific_Marina_Inn-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Pacific Marina Inn,"March 2, 2020","The only reason we stayed here was its closeness to the airport and it suited that purpose. Stayed late February for the one night.Rang for the free shuttle from the airport to be picked up, gave location details and around 30 minutes later we were picked up. The inn is old, the room was old, the bed is old, the entire facility is old.Noise both inside room and out is loud. An old air conditioner tried hard to keep the room cool, but due to noise we had to turn this off. Even with ear plugs in, the noise from outside and other air conditioners near by still impacted sleep.Our third floor room overlooked the pool. the noise from the people in the pool went well into the night.Our room had a musty smell.The over bath tub shower was hot and good pressure.The food at the Chinese Restaurant within the premises was good, tasty and hot.Would not recommend, and would not stay here again.","Melbourne, Australia","Wizardoz1944</div><div class=""userLoc""><strong>Melbourne, Australia</strong>",124,2.0
747443374,https://www.tripadvisor.com/Hotel_Review-g60982-d87091-Reviews-Pacific_Marina_Inn-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Pacific Marina Inn,"February 24, 2020",Pros is that it is close to the airport and the base. If you go on the backside of the hotel there are tennis courts and soccer field that is nice. Cons are that is not worth the price and parking was a nightmare. Looked like in the middle of an industrial area. While i stayed they had a TV shooting of a television show and they closed off parking to paying guest and did not make arrangements for parking in another area. Rooms are small but the service was great and I did not like paying in advance. usually only cheap motels insist on payment in advance. I stayed for a week and was required to pay in advance. Should set running of your card like rent a car companies do and charging when you leave. The housekeepers were awesome and I forgot my key in the room and the housekeeper was not allowed to open my room. Surprised to find the hotel in what looked like an industrial area.,"Guam, Mariana Islands","G1255ZObills</div><div class=""userLoc""><strong>Guam, Mariana Islands</strong>",76,3.0
746300747,https://www.tripadvisor.com/Hotel_Review-g60982-d87091-Reviews-Pacific_Marina_Inn-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Pacific Marina Inn,"February 20, 2020","We stayed here only a few nights when we first arrived and the night before we went home, and I must include both good and bad.Good: Close to airport, shuttle runs every 30 minutes but you have to call if you come.in at airport (wish we knew that before, we waited 1 hours until we got the shuttle by luck picking up another passenger). Driver was really nice, she gave us good information about Kaui where we was for 4 days. Her name was Ashlen. She told us about kaui to go to breneke beach, wemea canyon, about good restaurants and to go in the river tube tour which we did all of them because she sughest it.we want to thank her but we did not see her when we got back. When we go back on last night, we had other girls driver who was so rude and yelled at us andshe was older, no help. Check out we meet geno and he was too nice so he make up for rude driver. He apologize for her which is okay for us.geno is so welcoming, he told us where to eat and let us storage our things so we can go out for the day. So helpfulBad: first room we move room because have hair everywhere. They give us new room, its OK. Second time drunk man follow me to room and he was weird but we want to call cop I think he is working for hotel, but he is so drunk and he want to talk to me and my husband almost fight to him. Not professional. I tell manager old guy, but he don't care. He said that guy is working there and can't do nothing. Don't stay here if he works, he is weird and follows lady's.","Las Vegas, Nevada","Kiara702</div><div class=""userLoc""><strong>Las Vegas, Nevada</strong>",0,3.0
