review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
750782145,https://www.tripadvisor.com/Hotel_Review-g60982-d86973-Reviews-Pacific_Monarch_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Pacific Monarch Hotel,"March 13, 2020","Cannot thank Danny in particular at the Aqua Pacific Hotel, wow, what a fantastic, enjoyable trip and Danny's friendly, bubbly service was absolutely an incredible bonus to our family, within such great walking distance to the beach and city life, I would highly recommend staying here for your next trip to hawaii, very family friendly, we will definitely be back.Jess Bryant",,jessbryant1807,0,5.0
749403091,https://www.tripadvisor.com/Hotel_Review-g60982-d86973-Reviews-Pacific_Monarch_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Pacific Monarch Hotel,"March 5, 2020","If you are looking for accommodation slightly off the beach that iis comfortable, consider this propeprty. Good rooms and facilities. However, the best part is the people who work there. Efficient, friendly and always ready to help.","Sydney, Australia","colinsheehan1</div><div class=""userLoc""><strong>Sydney, Australia</strong>",3,4.0
745922553,https://www.tripadvisor.com/Hotel_Review-g60982-d86973-Reviews-Pacific_Monarch_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Pacific Monarch Hotel,"February 18, 2020","My wife and I stayed at the Pacific Monarch from February 1st to 14th, 2020. We loved it here. Yes, it's not the Hyatt or the Four Seasons, but it has everything you are looking for at a reasonable price. My wife and I are pretty selective about where we stay. This place worked. We had a suite on the 29th floor and would recommend to anyone that they try and get a higher room and an '02' room (any room that ends in 02). Separate bedroom, small living room, full kitchen with stove/oven, M/W double sink. and adequate bathroom. The best of this room however was the Lanai, the deck, the balcony. We could access it from either our bedroom sliding doors or through the living room. It's huge - we had seven people on it. it has a GREAT view of the ocean. It gets morning sun and partial afternoon sun. You can move around to get sun or shade throughout the day. We spent a LOT of time on the lanai. It's also private, you cant hear or see any of your neighbors in the building. We loved this lanai a lot and you will too. Other amenities in the building? Beach towels, nice pool on the roof. Location is about 200 meters from the beach. Staff is excellent. Place was clean and cleaned well daily. We had very good service from Danny and Rose. We'd recommend Pacific Monarch and would stay here again next time we're in Waikiki.","St. Albert, Canada","DonW322</div><div class=""userLoc""><strong>St. Albert, Canada</strong>",6,5.0
737292324,https://www.tripadvisor.com/Hotel_Review-g60982-d86973-Reviews-Pacific_Monarch_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Pacific Monarch Hotel,"January 6, 2020",Excellent location and extremely friendly and accommodating staff. It's a very basic hotel but it is clean and convenient. Pool area isn't anything special but we spent most of the time on the beach. The closest grocery store is about a 30 minute walk away. You need to take the bus or rent an uber. Hotel is on the bus route.,"Jakarta, Indonesia","Expedition248055</div><div class=""userLoc""><strong>Jakarta, Indonesia</strong>",1,4.0
736652272,https://www.tripadvisor.com/Hotel_Review-g60982-d86973-Reviews-Pacific_Monarch_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Pacific Monarch Hotel,"January 3, 2020",We have stayed here many times . Staff are very friendly always willing to help. Although the decor is dated you can’t beat the location. Having stayed in a few different rooms I would always pay extra for the one bedroom ocean view room,,Companion251338,0,4.0
735057452,https://www.tripadvisor.com/Hotel_Review-g60982-d86973-Reviews-Pacific_Monarch_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Pacific Monarch Hotel,"December 27, 2019","There was a musty smell upon entry to the elevator & room. The electric portable stove burner was rusty. The coffee pot was a13 cup capacity, only 2 packets provided enough for 8 cups. Otherwise stay was good.",,nlbrowning07,0,4.0
728455397,https://www.tripadvisor.com/Hotel_Review-g60982-d86973-Reviews-Pacific_Monarch_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Pacific Monarch Hotel,"November 23, 2019","The Aqua pacific monarch was great value for money. The hotels location was fantastic and only a short stroll to the beach. The provision of beach towels and beach chairs were a great help. The room was a good size with a partial sea view which was fantastic, the room was very well equipped with everything thing you could need for a week in Waikiki. The only downside was the room faced the diamond head crater and was in full sun all day and the air conditioning struggled to keep the room cool and was quite noisy. The stall were very helpful and accomodating. Overall a great stay and wouldn’t hesitate in booking to stay there again.","Adelaide, Australia","Simon H</div><div class=""userLoc""><strong>Adelaide, Australia</strong>",12,5.0
727664657,https://www.tripadvisor.com/Hotel_Review-g60982-d86973-Reviews-Pacific_Monarch_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Pacific Monarch Hotel,"November 19, 2019","Pacific Monarch has one really good feature - location. It is two short blocks from the beach. Other than that it is just a plain-jane hotel, which makes the ""resort fee"" a joke. There is a cafe and a restaurant there but neither have a view of the ocean or beach. We didn't eat at either one. The rooms were clean but the last renovation was done somewhat sloppily. The furniture was pretty beaten up. Scratches and water spots were common in all three rooms. Some rooms have a nice view of the ocean and I think all rooms have some ocean view.","Phoenix, Arizona","JamesE3072</div><div class=""userLoc""><strong>Phoenix, Arizona</strong>",4,3.0
723904177,https://www.tripadvisor.com/Hotel_Review-g60982-d86973-Reviews-Pacific_Monarch_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Pacific Monarch Hotel,"November 4, 2019","The hotel had an amazing location, 5mins to the beach and we got a partial ocean view / mountain view room. The room was super clean and comfortable with ample space. The kitchen facilities was enough for a short stay and coffee was replenished daily. The only down side was the loud construction outside and the super loud air conditioner, but luckily there was a fan in the room. The hospitality was great as management put on a cocktail party each week so you can mingle with other guests. The staff were super friendly and helpful. You can also rent DVDs for free which was a huge plus. I thought the bed was comfortable but my partner disagrees. The rooftop pool deck was also a plus with amazing ocean front views and mountain views on the other side.","Sydney, Australia","valerie x</div><div class=""userLoc""><strong>Sydney, Australia</strong>",11,4.0
722875228,https://www.tripadvisor.com/Hotel_Review-g60982-d86973-Reviews-Pacific_Monarch_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Pacific Monarch Hotel,"October 31, 2019",Great location close to the beach and main shopping district Older style hotel with rooftop pool and viewing area Rented a privately owned apartment on 31st floor clean and quite modern decor aircon was poor and noisy... cooktop was annoying and kept flashing errors and after reading reviews seems the property managers Ali’s beach rentals are still putting the wrong cookware in the apartment... and everyone is still complaining...Very slim balcony is something to think about if you like sitting outside... very narrow and intimidating with only 2 old plastic chairs to use if you’re game...,"Adelaide, Australia","getlost333</div><div class=""userLoc""><strong>Adelaide, Australia</strong>",4,3.0
