review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
752403069,https://www.tripadvisor.com/Hotel_Review-g60982-d87092-Reviews-Pagoda_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Pagoda Hotel,"April 8, 2020","Everything very very good, except couldn't do work requires internet. Great staff, very friendly, patient, helpful front desk staff. Room is clean, bright, bathroom is clean, everything is stocked well and nicely.Except I needed to do urgent work, sending some video through internet, it was very very slow. ","Honolulu, Hawaii","sansanpeace</div><div class=""userLoc""><strong>Honolulu, Hawaii</strong>",0,4.0
752024578,https://www.tripadvisor.com/Hotel_Review-g60982-d87092-Reviews-Pagoda_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Pagoda Hotel,"March 30, 2020","Room was selected online although there wasn't an online tour that could of assured what the room looked like before reserving . The room smelled like corn chips and some funky tangy spoiled dip. Had to freshen it up with some febreze and Giovanni Versace cologne oh yes yes! The playstation was an nice upgrade it needs an new controller left an good movie in there hopefully someone will enjoy it. The room and the entire hotel is overdue for renovations all over as well as updated amenities. Almost slipped and fell out of the tub, there is no made in rough surface mat that is needed to assure guests won't injure themselves trying to clean them selves up. The was alot of dust and debree everywhere as well as broken or disabled hangers that can cause major health problems and insurable risks to guests and employees. The windows where needing cleaning and didn't provide an good outlook or view to the ocean or city area. The carpet smelled very musty and a few stains where in there and it seemed contagious as well as an few insects flying around mating on anything they wanted to mate on. The bed was comfy although the sheets and covers smelled like tobacco products felt like I was dumped into an astray next to an filthy trash can. The microwave worked although it was handicapped in remembering how many seconds to heat up my eatable items and it smelled like melting plastic so I threw away my hot food and was forced to buy an tuna sandwich from the convenience store right under my room. The convenience store looked okay from the outside although inside it smelled like there was an power outage, the floors need sweeping and mopping and products properly placed on the shelves instead of the floor that was kinda unsanitary to the fullest degree. Some of the products was out of date and warm when they should of been cold dripping wet. The elevator seemed okay although it was faulty and felt like an amusement park ride with out the seat belt. The roof needs pro sealing.!","Honolulu, Hawaii","delvon2020</div><div class=""userLoc""><strong>Honolulu, Hawaii</strong>",0,1.0
751879728,https://www.tripadvisor.com/Hotel_Review-g60982-d87092-Reviews-Pagoda_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Pagoda Hotel,"March 26, 2020","Stayed at the Pagoda hotel last night, this place should be ashamed charging $100 a night. It is more like a $50 a night hotel.The website pictures must have been taken with a Snapchat filter because the hotel looks kinda like the pictures, only worse. Hallway and rooms smell musty. Not sure what was going on with the smoke detector, but there was a washcloth over it. The bathroom door was so dirty on both sides. There isn't a chain lock on the front door, and I just didn't feel very safe here. The area isn't the best area either, but it is close to the Walmart. The only reason I gave it 2 stars is because they offer free movie rentals at the vending machine and have a PlayStation 3 in the room. They are also next door to a cool restaurant that has tons of Koi fish. The lady at the front desk gave us food for the fish. There is a mini fridge, microwave, and toaster in the room. We won't be coming back here.",USA,"sdchickie</div><div class=""userLoc""><strong>USA</strong>",41,2.0
751013818,https://www.tripadvisor.com/Hotel_Review-g60982-d87092-Reviews-Pagoda_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Pagoda Hotel,"March 15, 2020","From head to toe this property is terrific. Great Pagoda experience... ""Reviews must be 200 characters (minimum)"" are you all kidding""? If I used that many characters it would be in a derogatory review...","Kauai, Hawaii","makafrogfreddy</div><div class=""userLoc""><strong>Kauai, Hawaii</strong>",0,5.0
749306604,https://www.tripadvisor.com/Hotel_Review-g60982-d87092-Reviews-Pagoda_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Pagoda Hotel,"March 5, 2020","My wife & I arrived for a week's stay but am now required to stay a month after a pending operation next week....my wife leaves today without me. Debbie cheerfully confirmed my room via phone and Carlos' beaming smile awaited us and check-in was a breeze. We had breakfast & was welcomed by Tori's & Esa's aloha & Anna's great coffee! We had a problem with our phone and Leilani (our new friend) cheerfully got it replaced. We invited friend's for the Seafood Buffet & we all thoroughly gorged and enjoyed the fantastic food....unbeatable deal and well worth it! Shopping is handy we strolled to Walmart a couple times to buy necessities but there is also a small fully-stocked shop in Pagoda's lobby for drinks, sandwiches, snacks, soap, etc.. I end here after a week and will review the rest of my stay after my operation next week.","Pago Pago, American Samoa","Wayne M</div><div class=""userLoc""><strong>Pago Pago, American Samoa</strong>",7,4.0
749148213,https://www.tripadvisor.com/Hotel_Review-g60982-d87092-Reviews-Pagoda_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Pagoda Hotel,"March 4, 2020",Pagoda hotel location is fabulous. It’s walking distance to everything. Aka Moana center beach Waikiki Downtown. salt area. The rooms are rundown. The carpets and decades old and years of dust on the sprinklers and fire alarms. The ceiling looks like starting of mold. Ugh. ,,Gpbnyc,1,2.0
747657387,https://www.tripadvisor.com/Hotel_Review-g60982-d87092-Reviews-Pagoda_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Pagoda Hotel,"February 25, 2020","I really enjoyed my stay at the Pagoda - it is a little bit of an older hotel, but the lobby and rooms are renovated and modern. The room was clean and comfy, the beds very comfortable and koi pond and restaurant/bar are very charming and comfortable to eat in and have drinks. The views are good and shower was great and nice and hot! I didn't have the dinner buffet, but the breakfast buffet is delicious and priced right. All of the staff were very friendly. I only had two issues while there: A minor cleanliness issue in my first room, which when I told the front desk agent (didn't get her name) she immediately moved me to another room with a smile. Also, I could not get the tv off of anything but the menu screen - none of the remote buttons did anything - but did not bother to mention it as I decided to just go to bed. The neighborhood was decent, with several good restaurants nearby as well as some fast food and WalMart for supplies and the hotel also has a shop for supplies and gifts. I will choose this hotel again, since it is much better than other hotels in the affordable price range. I would be great to stay here as a couple.","Lihue, Hawaii","shaunl693</div><div class=""userLoc""><strong>Lihue, Hawaii</strong>",8,4.0
739894726,https://www.tripadvisor.com/Hotel_Review-g60982-d87092-Reviews-Pagoda_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Pagoda Hotel,"January 18, 2020","Pagoda Hotel is located on the island of O’ahu.Check-in was very fast.All employees at the Pagoda are very nice and accommodating. Especially Ron.Look out for him at the front desk.There is a $200 security deposit. You have an option of paying cash or charging it to your credit/ debit card.Cash security deposits are returned to you upon checkout after the staff checks to make sure that the room is not trashed. It takes several days for security deposits placed on your card to be returned.WiFi is free.There is a small pool, a laundry room and a mini convenience store located on the ground floor.There is also a free DVD dispenser on the ground floor.DVDs are loaned out one at a time.Free daily local newspapers are located right next to the DVD dispenser.Free sunscreen is also available from the front desk.There is also a free, air conditioned shuttle that stops at all other Aqua properties. The drivers are very nice and are more than happy to give you advice on what to do and where to eat.Since there are numerous Aqua hotels, the stops will vary.You can check the shuttle’s route progression on the screen that is in the hotel’s lobby.The shuttle usually stops at the Pagoda every 15-20 minutes.Consider using the shuttle if you want to check out Waikīkī and other areas of Honolulu.There is also a Pagoda restaurant that “floats” on a koi pond. Buffet and ala carte is available.Prices are reasonable and be sure to ask for the restaurant coupons upon check-in.Parking is located across the street right next to Ross Dress For Less.Our room was located next to the elevator and there was no problem with noise.Our room was clean and included a microwave and mini fridge.Housekeeping and maintenance is very quick and friendly. The Pagoda is in walking distance of numerous restaurants, stores, nail salons, Don Quixote, Wal-Mart, Ala Moana shopping center, Walgreens, and Target.Choose the Pagoda if you would like affordable accommodations and a very welcoming staff.","Island of Hawaii, Hawaii","excessbaggage808</div><div class=""userLoc""><strong>Island of Hawaii, Hawaii</strong>",1,5.0
738309731,https://www.tripadvisor.com/Hotel_Review-g60982-d87092-Reviews-Pagoda_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Pagoda Hotel,"January 10, 2020","Hotel is old but nice. They wrap blankets in sheets, but carpet looked dirty. In room microwave oven and frige. Free parking and great location. If you're kamaaina, they have special rates usu. lower than anything on internet. each room has 2nd sink and small counter OUTSIDE the bathroom. Makes getting ready to go out quicker for families. Microwave oven and frige make eating leftovers easy. Grocery store 5 minute walk away. Walmart, Samsclub, Ross all across the street. Not as nice as big name hotels. ",Hilo,"John J</div><div class=""userLoc""><strong>Hilo</strong>",8,5.0
737418903,https://www.tripadvisor.com/Hotel_Review-g60982-d87092-Reviews-Pagoda_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Pagoda Hotel,"January 6, 2020","This is a 12 story hotel within walking distance of the Ala Moana mall and Waikiki beaches. This is not a new and modern resort, but the rooms are comfortable and the price is nice. Each room is cooled by a through the wall AC unit. Service from the staff is great. For added security, you need to use your room key to operate the elevators in the late afternoon and evening. You pay for parking which is in a convenient garage across the street. The only thing keeping this from a 5 star rating is the age of the facility. I would gladly stay here again.","Cohasset, Minnesota","BernieMat</div><div class=""userLoc""><strong>Cohasset, Minnesota</strong>",25,4.0
730267094,https://www.tripadvisor.com/Hotel_Review-g60982-d87092-Reviews-Pagoda_Hotel-Honolulu_Oahu_Hawaii-or10.html?filterLang=en,Pagoda Hotel,"December 2, 2019","MOLD EXPOSURE VERY HIGH! We came to the Pagoda Hotel for a 2 day conference. It was suggested we stay at the Pagoda and were offered a special rate for our stay which added up to $179 per night. We were given a ""deluxe"" room. On the 12 th floor, we found our room and entered to immediately notice a moldy smell. The carpet at the end of the bed was in a small depression, and the carpet itself was wet and spongy. On the interior of the A/C window unit you could see it was covered with black mold, and there was actually a huge - 1/4 inch mold spore hanging on the edge of the window frame, just above the a/c unit. There was mold coming through the paint on the ceilings, walls, and in the shower the mat was circled with mold. It looked as if a recent paint job had been intended to cover the mold seeping through. Attending our conference in the room above the Koi pond was no better - mold smell blowing all day through the a/c, with many of the attendees complaining about trouble breathing, raspy throats, and hoarse voices by day 2. By the end of our stay I was so sick that I was unable to speak directly with the hotel staff, altho they did a great job of ignoring us as we checked out and waited for our ride to the airport. Now that I am home and beginning to feel better, I am following up so no one else has to experience this dangerous place. MY ADVICE IS DO NOT STAY HERE. MOLD EXPOSURE IS EXTREMELY HIGH.  I have attempted to contact the health department, and have yet to speak with an actual person. I have today called corporate office for Aston Aqua, the owners of the Pagoda Property and await a return call.",,centralcoastagal,0,1.0
727874251,https://www.tripadvisor.com/Hotel_Review-g60982-d87092-Reviews-Pagoda_Hotel-Honolulu_Oahu_Hawaii-or10.html?filterLang=en,Pagoda Hotel,"November 20, 2019","We flew in from Australia at 6:30am and even though our room would not be ready till 3pm, Carlos looked after us and we were able to get a room at 10am. After a 9 hour flight with 2 kids, this small gesture was AMAZING! He made the check in experience quick and easy. My daughter had a virus and vomited on the bed... the cleaning staff fixed our bedsheets straight away and we are so grateful! The staff are friendly and we come here all the time because of our experience. 100% recommend this place if you have small children!","Devonport, Australia","sia g</div><div class=""userLoc""><strong>Devonport, Australia</strong>",2,5.0
727098363,https://www.tripadvisor.com/Hotel_Review-g60982-d87092-Reviews-Pagoda_Hotel-Honolulu_Oahu_Hawaii-or10.html?filterLang=en,Pagoda Hotel,"November 17, 2019",Older hotel. Elevator service could be better but kitchenette servicable and building is clean and quiet. Staff is very accomodating. Good location for shopping and long term stay. Not close to the beach but travel is easy.,,Diana H,0,4.0
725983955,https://www.tripadvisor.com/Hotel_Review-g60982-d87092-Reviews-Pagoda_Hotel-Honolulu_Oahu_Hawaii-or10.html?filterLang=en,Pagoda Hotel,"November 12, 2019","The Pagoda holds a sweet memory for me, but it needs renovation. The staff was wonderful! The rooms need new towels...they were a bit stained.The koi are beautiful!!! I enjoyed spending time sitting and watching",,Amy E. F,0,3.0
723587833,https://www.tripadvisor.com/Hotel_Review-g60982-d87092-Reviews-Pagoda_Hotel-Honolulu_Oahu_Hawaii-or10.html?filterLang=en,Pagoda Hotel,"November 3, 2019","From the start, staff was very friendly, especially Mr. Carlos Acob! Shout out to this front deskman! The room was kept tidy and clean by housekeeping and we didn’t find anything like hair left in the sink from previous guests as some of the locals commented when i told them where i was staying.Locking myself out of my room was not intimidating or anything since the security was willing to help and understanding.The movie rental kiosk is pretty good since it has some recent movies and even a very sparse selection of video games.It was definitely a pleasant stay and a good cheap place to have if you’re just looking for a place to sleep and stay.Only thing is the towels weren’t always replaced for everyone since it was a 3 person rental. But everything else was great!",,Slick_ADR,0,4.0
721840719,https://www.tripadvisor.com/Hotel_Review-g60982-d87092-Reviews-Pagoda_Hotel-Honolulu_Oahu_Hawaii-or15.html?filterLang=en,Pagoda Hotel,"October 27, 2019","Pagoda is a good and clean hotel, with a an ideal location. It is within walking distance to WalMart, Don Quijote, Ross, and Ala Moana Center. Its restaurant is excellent. For a smoker, it is a real hassle.",,Excursion49800859473,0,3.0
