review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
752097539,https://www.tripadvisor.com/Hotel_Review-g14129528-d2528953-Reviews-Palace_Hotel_Tokyo-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Palace Hotel Tokyo,"March 31, 2020","Booked thru AMEX Fine Hotels/Resort (FHR) program. Got upgraded to corner grand deluxe room - has walk in wardrobe and larger bath - with view of Imperial Palace Plaza. Nice welcome tray of fruit for our wedding anniversary. Room was well appointed with luxe robes/slippers. Large ensuite bath with best washlet during our stay in Japan. Nightly turndown service with hydrating sleep masks provided. Daily breakfast was provided with the FHR program - the property's Grand Kitchen had a wonderful breakfast - had the choice of a la carte, set Western or Japanese menu, or buffet. I highly recommend the buffet as it offers both Western and Japanese food. Fresh, quality, tasty, and unlimited! On property also had dinner at Sushi Kanesaka - omakase only; and dessert (a magnificent mango treat) in the Palace lounge with live Jazz. Swam in the indoor pool - swim caps provided. Well appointed locker room with robes, slippers, and shower. Overall, a magnificent property - great hospitality, location, amenities, food/beverage.","Orange, California","cyclopseye</div><div class=""userLoc""><strong>Orange, California</strong>",32,5.0
741766015,https://www.tripadvisor.com/Hotel_Review-g14129528-d2528953-Reviews-Palace_Hotel_Tokyo-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Palace Hotel Tokyo,"January 28, 2020","I can't imagine a better place to stay in Tokyo. We splurged and got the club floor rooms with the balcony. It was totally worth it. The club floor had a great breakfast buffet with hot options (pancakes) they brought to your table. The club had afternoon snacks, and drinks at night. The balconies on the rooms were the best, with an expansive view over the Imperial palace. I've attached some pictures from our rooms. The service was discrete and efficient. We ate at the kaiseki restaurant, Wadakura, and also at the Grand Kitchen when we'd had our limit of Japanese cuisine. Both were great. They had a nice wine list at the grand kitchen. The rooms were extremely up to date and comfortable. The bathrooms were gleaming. The location is right near a major junction of the subway lines, so you could directly get to many places without a change. My family really enjoyed it as a base to explore Tokyo, and we'll be staying there again the next time we visit. It was faultless.","Wellesley, Massachusetts","V340DBcraigs</div><div class=""userLoc""><strong>Wellesley, Massachusetts</strong>",4,5.0
751980151,https://www.tripadvisor.com/Hotel_Review-g14129528-d2528953-Reviews-Palace_Hotel_Tokyo-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Palace Hotel Tokyo,"March 29, 2020","2 night stay before heading to Hong Kong for mandatory quarantine - so i was extremely anxious.The hotel was running 20% occupancy I was told. Everything was very good. 99% staff with face masks and hand gel readily available. My room was a spacious with a big balcony overlooking the Imperial palace grounds. If I chose - would prefer room with no carpet.Quiet air-concomfy bed (firm mattress )Bathroom was good - separate show /bath/ toilet / Anne Semonin amenities . Breakfast was good - no buffet, which is sensible at this time. Ordered everything I wanted and it was served by masked staffF&B - reasonable vegetarian options for lunch / dinner in the restaurant, particularly good service staff in the ground floor restaurant.  Japanese restaurant was enjoyable ... but service was a bit erratic.Staff: excellentLocation: 9 mins walk from Tokyo Station. Great for walking around the Palace. Perfect for me.Hopefully can return visit in happier times","Hong Kong, China","carolinesY8953FI</div><div class=""userLoc""><strong>Hong Kong, China</strong>",129,5.0
750722777,https://www.tripadvisor.com/Hotel_Review-g14129528-d2528953-Reviews-Palace_Hotel_Tokyo-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Palace Hotel Tokyo,"March 13, 2020","Our room was lovely , the service was excellent, we loved this hotel , great location great experience ..I would recommend this property to anyone ..of course during coronavirus..no buffet at breakfast..understandable",New York,"emjaytx</div><div class=""userLoc""><strong>New York</strong>",95,5.0
747806244,https://www.tripadvisor.com/Hotel_Review-g14129528-d2528953-Reviews-Palace_Hotel_Tokyo-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Palace Hotel Tokyo,"February 26, 2020","We have stayed at some of the most prestigious global hotels globally, each year selecting a new country. The Palace Hotel in Tokyo exceeds even the highest 5 STAR expectations on all levels.Right from the moment and method the hotel administrates check in Hotel Guest Services (Yui Kudo) and the entire 24hr Extremely professional Concierge team; Additional to the Club Lounge each day (Fareen Takahashi) and team go above and beyond the expectations and obligations.Room and Cleaning and staff on hand in all areas was absolutely flawless. A credit to all staff and Mr Masaru Watanabe.Thank you and see you very soon.Darren & Jacqui room 2131.",,DAIRUI-123,0,5.0
745723536,https://www.tripadvisor.com/Hotel_Review-g14129528-d2528953-Reviews-Palace_Hotel_Tokyo-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Palace Hotel Tokyo,"February 17, 2020","Excellent hotel - lovely facilities and lovely service. Very friendly and attentive staff, eg they wrote down all my destinations in Japanese on cards to give taxi drivers. Rooms are spectacular and with tons of thoughtful details and amenities. Lovely location near palace gardens and walking distance to shopping.","Basel, Switzerland","baselgirl_1000</div><div class=""userLoc""><strong>Basel, Switzerland</strong>",45,5.0
744042033,https://www.tripadvisor.com/Hotel_Review-g14129528-d2528953-Reviews-Palace_Hotel_Tokyo-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Palace Hotel Tokyo,"February 9, 2020","My family and I stayed at this hotel from January 31st to February 6. This is my 3rd stay at the Palace Hotel and it did not disappoint again!Although the gym and Evian spa could be upgraded, I thought the food and restaurant offering was spectacular. Some of the best restaurants in Tokyo are found in this hotel. My husband and I enjoyed the sushi restaurant, the tempura restaurant was spectacular with limited seating. Chinese restaurant was great as well.Location is perfect next to the palace, and great for park walks and fresh air. Easily assessable to Ginza area and could walk to shops.The staff were all very friendly and offered very good sanitization and hygiene kits to us. We thought the level of detail and room decor was very modern. We switched rooms in the middle of our stay. We had a corner room with a balcony which was amazing (see photos) but as our stay got extended we wanted to save money so moved to a room without balcony and it was as beautiful. I highly recommend the Tokyo palace hotel, it is one of our favorite city hotels. Designs are more modern than the Grand Hyatt. And what I loved most was the amount of ceiling lights and options I had on the light switch.","Hong Kong, China","vickieliky</div><div class=""userLoc""><strong>Hong Kong, China</strong>",0,5.0
742454458,https://www.tripadvisor.com/Hotel_Review-g14129528-d2528953-Reviews-Palace_Hotel_Tokyo-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Palace Hotel Tokyo,"February 1, 2020","The staff here goes above and beyond, and the rooms are perfect. The location next to the moat overlooking the Imperial Palace grounds is stunning and on a practical level, it is only a couple of blocks from the train station. The only reason for 4 instead of 5 stars is that the restaurant is average for dinner (we ate dinner there twice), although the breakfast buffet is extensive and very good. One other thing is that they don't let you know that there are a lot of casual restaurants and noodle shops in the arcade under the hotel, down the escalator. Unfortunately, they were closed when we were looking for a casual meal, but it's worth checking out.","Bethesda, Maryland","Anna J</div><div class=""userLoc""><strong>Bethesda, Maryland</strong>",13,4.0
741431296,https://www.tripadvisor.com/Hotel_Review-g14129528-d2528953-Reviews-Palace_Hotel_Tokyo-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Palace Hotel Tokyo,"January 26, 2020",We stayed at Palace Hotel Tokyo in Nov 2017 and this review is kind of late. The hotel was recently renovated at the time of our stay and I think they did an excellent renovation. Location is just right across from Imperial East Garden and it is nice to be able to just walk around the garden in the morning. Our state included breakfast at the lounge and they provide high quality breakfast. Concierge is pretty helpful and was able to help us with our dining reservations prior to our arrival. I would definitely go back to stay at this hotel again in the future. ,"Vancouver, Canada","WWIJAYA</div><div class=""userLoc""><strong>Vancouver, Canada</strong>",20,5.0
740415023,https://www.tripadvisor.com/Hotel_Review-g14129528-d2528953-Reviews-Palace_Hotel_Tokyo-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Palace Hotel Tokyo,"January 21, 2020","One of my favourite hotels. Staff are extremely courteous and professional but never overly so. The rooms are perfect- clean, quiet, comfortable, a/c does exactly what it should, bathroom facilities are excellent with all essentials provided and the bed is very comfortable. I liked the addition of the Bose mini speaker this time round, won't have to bring mine next time! Breakfast is good with a lot of choice, the eggs Benedict/Royal are very good. Bar on the 6th floor is very quiet and comfortable and the staff in there are always friendly welcoming. the range of wines and spirits is impressive and prices not too bad.All in all a top class hotel and one which I always enjoy staying at.","London, United Kingdom","171andyt</div><div class=""userLoc""><strong>London, United Kingdom</strong>",16,5.0
