review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
752426478,https://www.tripadvisor.com/Hotel_Review-g60982-d13912965-Reviews-Paniolo_at_the_Equus-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Paniolo at the Equus,"April 9, 2020","Great position for Honolulu and Waikiki. We are mid 60’s travellers and found the hotel great for us to walk both to Diamond Head and Down Town Honolulu.Easy checkin. The room had all it said it had. Our room was near the front so a little noisy but nothing we couldn’t handle. Staff mostly very friendly and helpful. I think the room might have benefitted from a little more attention when being cleaned especially in the bathroom, also the bottom sheet on the bed never covered the mattress! We had a great breakfast in the bar area on the last day. All in all a great little place to stay.",Suffolk,"love2holidaySuffolk</div><div class=""userLoc""><strong>Suffolk</strong>",20,4.0
751802234,https://www.tripadvisor.com/Hotel_Review-g60982-d13912965-Reviews-Paniolo_at_the_Equus-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Paniolo at the Equus,"March 25, 2020","We recently stayed here in March and this hotel went above and beyond expectations! If your looking to stay close to the beach/shopping of Waikiki but also have a cozy and personalized experience this is the place! We did not want to stay at another bleached out/chain resort for our honeymoon to Hawaii, so we chose the Equus, and were not disappointed! We had a better experience than we ever thought possible for such a touristy city like Waikiki.  I'm a little bit of a pillow snob, and oh theirs were so fluffy and comfortable! Every employee, reception/bar/coffee/valet, were extremely friendly and helpful! We ended up extending our stay instead of visiting at our families home to stay with them, that's how much we loved this hotel! You cannot have a better hotel and staff that is locally owned in Waikiki, definitely a hidden gem.I will recommend this hotel to everyone that I know that is planning a trip to Oahu.",,S5750RWsarahh,0,5.0
751573465,https://www.tripadvisor.com/Hotel_Review-g60982-d13912965-Reviews-Paniolo_at_the_Equus-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Paniolo at the Equus,"March 21, 2020","Our 10 year anniversary, was spent with these wonderful people. The receptionist was amazing, that started an awesome vacation (even In the coronavirus days). This place is HIGHLY recommended. Staff is very friendly, nice location, all around awesome stay.",,jcfatness,0,5.0
751429960,https://www.tripadvisor.com/Hotel_Review-g60982-d13912965-Reviews-Paniolo_at_the_Equus-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Paniolo at the Equus,"March 19, 2020","After an exhausting day of hiking, Chad at the Paniolo was really able to help me relax. Kept the cocktails just the way I liked them, I like whiskey so being in Hawaii I was expecting not too many people to assist with rum drinks. Chad also provided great local advice on places to go and things to see. After my time here, I traveled to North Shore but I really missed this cute, fun spot in Waikiki.","San Diego, California","ambero842</div><div class=""userLoc""><strong>San Diego, California</strong>",0,5.0
750479578,https://www.tripadvisor.com/Hotel_Review-g60982-d13912965-Reviews-Paniolo_at_the_Equus-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Paniolo at the Equus,"March 11, 2020","I have not yet stayed in this hotel yet, but I just called to book it and my experience with Rene was wonderful. He was very accommodating, and made me so excited for my vacation! I can not wait for our first trip to Hawaii because of this experience.",,macielocke,0,5.0
750306569,https://www.tripadvisor.com/Hotel_Review-g60982-d13912965-Reviews-Paniolo_at_the_Equus-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Paniolo at the Equus,"March 10, 2020","This was our second stay at The Equus, a couple of years apart. It's a wonderfully central location with a fair price ($220/day) for Honolulu. The staff is particularly accommodating, our appreciation especially to Rene who coordinated with the exceptional housekeeping staff to move us from the noisy second floor room to the sixth floor half-way through our stay. The second floor room did provide a star-studded fireworks display for new year's celebrations however! The hotel is showing age, sliding patio door barely latched, but we weren't looking for luxury, just a landing place for adventures with family. Highly recommend and will return. ","South Lake Tahoe, California","AlohafromOahu</div><div class=""userLoc""><strong>South Lake Tahoe, California</strong>",15,5.0
749612317,https://www.tripadvisor.com/Hotel_Review-g60982-d13912965-Reviews-Paniolo_at_the_Equus-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Paniolo at the Equus,"March 6, 2020","I just wanted to comment that the Paniolo bar is a really fun small and intimate bar setting. Rory was phenomenal and treated every guest great at the bar. I can’t recommend this place enough, had a wonderful time",,T3804IMians,0,5.0
749315045,https://www.tripadvisor.com/Hotel_Review-g60982-d13912965-Reviews-Paniolo_at_the_Equus-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Paniolo at the Equus,"March 5, 2020","Great customer service from all the staff! Lincoln in Valet was always attentive and ready to help out. Great cafe/bar, bartenders like Bailey and the Guys (sorry guys, can’t remember your names!) mixing up great drinks and super friendly Helpful with local places to see and places eat.",,601deenas,0,5.0
748567606,https://www.tripadvisor.com/Hotel_Review-g60982-d13912965-Reviews-Paniolo_at_the_Equus-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Paniolo at the Equus,"March 1, 2020",This is the third time we have stayed here - fantastic location - friendly staff - personal service. We feel so welcomed here and you are so close to a locals beach away from tourist areas - close to Ala moana and the quieter end of Waikiki,,xavier77,0,5.0
748394205,https://www.tripadvisor.com/Hotel_Review-g60982-d13912965-Reviews-Paniolo_at_the_Equus-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Paniolo at the Equus,"February 29, 2020","We stayed for 2 nights in between stays at other places in Waikiki. Great spot!! Close to the beach and shopping. The staff were very friendly and helpful. Lincoln, a valet, was so friendly and easy to deal with. The room was as very clean and the bed super comfy. Would definitely stay here again.","Saskatoon, Canada","Kelly D</div><div class=""userLoc""><strong>Saskatoon, Canada</strong>",5,4.0
