review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
751492319,https://www.tripadvisor.com/Hotel_Review-g60763-d15135187-Reviews-Park_Terrace_Hotel_on_Bryant_Park-New_York_City_New_York-or0.html?filterLang=en,Park Terrace Hotel on Bryant Park,"March 20, 2020","We booked the Park Terrace for both its location and excellent reviews and it did not disappoint. We arrived just as NY restaurants and bars closing due to coronavirus. The staff were amazing, particularly Craig. They made sure we were well fed and extended they're breakfast for most of the day. Our check out was extended at no extra cost. Will definitely be back.",,Sandra W,0,5.0
749547117,https://www.tripadvisor.com/Hotel_Review-g60763-d15135187-Reviews-Park_Terrace_Hotel_on_Bryant_Park-New_York_City_New_York-or0.html?filterLang=en,Park Terrace Hotel on Bryant Park,"March 6, 2020","This hotel is so convenient to everything I love about New York. Walking distance to everything mid-town, Times Square, Central Park. Diamond district 5th Avenue shopping, all within minutes walks. The 6th floor bar, lounge was always accommodating and the staff was very friendly and helpful! Will go back","Baton Rouge, Louisiana","GaryStewart</div><div class=""userLoc""><strong>Baton Rouge, Louisiana</strong>",1,5.0
751488321,https://www.tripadvisor.com/Hotel_Review-g60763-d15135187-Reviews-Park_Terrace_Hotel_on_Bryant_Park-New_York_City_New_York-or0.html?filterLang=en,Park Terrace Hotel on Bryant Park,"March 20, 2020","I can say that this hotel is the best place to stay in NYC. A spacious room, comfortable bed and complimentary breakfast for guests! I was so impressed by their complimentary fresh and high quality breakfast. Good location, very friendly staff, clean and well organized facilities. Nothing to complain. It was an absolute pleasure to stay here. The atmosphere did warm up and the staff were attentive from start to finish.","Seoul, South Korea","sallynor</div><div class=""userLoc""><strong>Seoul, South Korea</strong>",0,5.0
751246747,https://www.tripadvisor.com/Hotel_Review-g60763-d15135187-Reviews-Park_Terrace_Hotel_on_Bryant_Park-New_York_City_New_York-or0.html?filterLang=en,Park Terrace Hotel on Bryant Park,"March 17, 2020","Excellent hotel. Fantastic location. The staff are an asset to this hotel. Always a friendly smile from all. Modern hotel. Complimentary upgrade for birthday celebration and yummy cupcakes on arrival, beautiful and lovely touch. Complimentary breakfast also a bonus. Breakfast presented well and great choice. I would not hesitate to recommend this hotel to others and it will be my 1st choice for future trips.",,TravellerScot1,0,5.0
751047825,https://www.tripadvisor.com/Hotel_Review-g60763-d15135187-Reviews-Park_Terrace_Hotel_on_Bryant_Park-New_York_City_New_York-or0.html?filterLang=en,Park Terrace Hotel on Bryant Park,"March 15, 2020","We stayed for five days and couldn’t fault a thing! The service from the staff towards us was brilliant and made us feel at home! Everyone from reception , concierge to the restaurant were great! Thank you for making our trip to New York that much better ! Will definitely return !","Wokingham, United Kingdom","smithiEE</div><div class=""userLoc""><strong>Wokingham, United Kingdom</strong>",0,5.0
750935223,https://www.tripadvisor.com/Hotel_Review-g60763-d15135187-Reviews-Park_Terrace_Hotel_on_Bryant_Park-New_York_City_New_York-or5.html?filterLang=en,Park Terrace Hotel on Bryant Park,"March 14, 2020","I was in a delux room but it is small! 2 Luggage is to much for the room.. nice simple design hotel good for a short trip, but if you are kind of person spend time in room than I dont think it is a right hotel! break feast room had not a enough sitting area while I was there and food was limited.. hanging facilities etc just not convenient in the room ... Not a bad hotel but just need to be aware of these to avoid disappointment.. who ever took the room photos I think he was a very good photographer :-)",,Aydin Y,13,3.0
750748776,https://www.tripadvisor.com/Hotel_Review-g60763-d15135187-Reviews-Park_Terrace_Hotel_on_Bryant_Park-New_York_City_New_York-or5.html?filterLang=en,Park Terrace Hotel on Bryant Park,"March 13, 2020","Fantastic stay. Everyone was so nice and friendly. Service was top notch. Amenities were awesome - beds and pillows great, quiet rooms - could not hear any street traffic, breakfast was amazing, fresh and delicious. The outdoor terrace was very cool and heaters kept us comfortable. Location was perfect, too.",,Escape762731,3,5.0
750608189,https://www.tripadvisor.com/Hotel_Review-g60763-d15135187-Reviews-Park_Terrace_Hotel_on_Bryant_Park-New_York_City_New_York-or5.html?filterLang=en,Park Terrace Hotel on Bryant Park,"March 12, 2020",I really have only good things to say about this hotel. The staff is fantastic. They serve an excellent breakfast. The rooms are on the small side (typical for NYC) but very comfortable. The gym is small but well equipped. They also have a laundry room. The location of the hotel is great as well as it is right near the theater district and across from Bryant Park. this hotel is a 10.,"San Francisco, California","Singlelatte2013</div><div class=""userLoc""><strong>San Francisco, California</strong>",1,5.0
750475651,https://www.tripadvisor.com/Hotel_Review-g60763-d15135187-Reviews-Park_Terrace_Hotel_on_Bryant_Park-New_York_City_New_York-or5.html?filterLang=en,Park Terrace Hotel on Bryant Park,"March 11, 2020","I booked the hotel for boyfriend birthday and put a note during the booking. They end up preparing a birthday amenity for him ( I ♡ the card ), super sweet! The hotel is right next to Bryant park, room is clean and staff is attentive! Definitely would come back again.",,mingyanl2017,0,5.0
750348826,https://www.tripadvisor.com/Hotel_Review-g60763-d15135187-Reviews-Park_Terrace_Hotel_on_Bryant_Park-New_York_City_New_York-or5.html?filterLang=en,Park Terrace Hotel on Bryant Park,"March 10, 2020","Everything about the stay was fabulous. The room was huge for New York standards. Not only did we get some complimentary goodies to snack on, the concierge team brought us pastries to help celebrate my moms birthday. Included breakfast was great (although could be crowded at times). Room was clean, comfortable, quiet. Every hotel employee we came across was friendly and welcoming. Terrace was beautiful and location was perfect.","Arlington, Virginia","paigeausten</div><div class=""userLoc""><strong>Arlington, Virginia</strong>",7,5.0
750347172,https://www.tripadvisor.com/Hotel_Review-g60763-d15135187-Reviews-Park_Terrace_Hotel_on_Bryant_Park-New_York_City_New_York-or10.html?filterLang=en,Park Terrace Hotel on Bryant Park,"March 10, 2020","Hotel is perfectly.located near times square at Bryant Park. Staff was friendly and our Deluxe Room well maintained and sufficient in terms of size.One of two elevators was not working for several days. This was kind of annoying cause you had to wait a long time getting to the top floors. Anyhow, I guess this was a one time problem We liked the free water service on the floor and the option that we could get mail delivered to the hotel. What we didn't like too much was the breakfast system.They only offer very limited seating - so every day the room was so crowded that we either took a breakfast box to the room or had to wait a long time for a table. As there was no order in who gets a table people were literally fighting for places.As well they don't offer a typical breakfast menuEveryrhing is good - but not what your used to.No fried or scrambled egg but rather bagless with cream cheese. Several sausages, boiled egg and fruits. We would have rather had a classical buffet incl pancakes and French toast / baked beans. Nevertheless it was good and we can recommend the hotel!!!","Berlin, Germany","TravelConsultOne</div><div class=""userLoc""><strong>Berlin, Germany</strong>",78,4.0
750264187,https://www.tripadvisor.com/Hotel_Review-g60763-d15135187-Reviews-Park_Terrace_Hotel_on_Bryant_Park-New_York_City_New_York-or10.html?filterLang=en,Park Terrace Hotel on Bryant Park,"March 10, 2020",Starting off at the front desk the staff was beyond friendly and super informative. Getting up to my room i was pleasantly surprised at how well the room was laid out and how new everything felt. Was a little smaller than expect for a deluxe room but still great. The complementary snack and soda in the room was a nice touch and the bed was super comfortable. Then on top of that the Terrace Bar was Fantastic! Fantastic service and Fantastic drinks. Menu could use some beefing up as its rather limited in regards to food but the view from the Terrace was phenomenal and with heated lamps was perfect. Will defiantly stay there again.,"Washington DC, District of Columbia","quickrunaz</div><div class=""userLoc""><strong>Washington DC, District of Columbia</strong>",6,5.0
750117950,https://www.tripadvisor.com/Hotel_Review-g60763-d15135187-Reviews-Park_Terrace_Hotel_on_Bryant_Park-New_York_City_New_York-or10.html?filterLang=en,Park Terrace Hotel on Bryant Park,"March 9, 2020","The hotel is a new one, designed to modern standard and very much well located on 40 street, overlooking Pyrant park and New York public library. Virtually in the middle of Manhattan attractions. Room, breakfast, terrace lounge and cleanliness are all extraordinary. The most gorgeous of all was staff and service. I would definitely recommend.","Cairo Governorate, Egypt","maahameed</div><div class=""userLoc""><strong>Cairo Governorate, Egypt</strong>",0,5.0
750076363,https://www.tripadvisor.com/Hotel_Review-g60763-d15135187-Reviews-Park_Terrace_Hotel_on_Bryant_Park-New_York_City_New_York-or10.html?filterLang=en,Park Terrace Hotel on Bryant Park,"March 9, 2020","Stayed at the Park Terrace hotel with by boy friend for 5 nights to do some sight seeing in NY and the hotel was absolutely perfect for us! The location is brilliant. Close to everything you could want, a subway station at the end of the street to get anything that isn't close and still quite at night. Room was small-ish (average by NY standards) but was very well laid out so we had plenty of space. The rooms were very modern and the facilities were quite good. The water bottle refill station on each floor was a great touch too, very convenient. Breakfast was very nice too.",,Relax629718,0,5.0
749771795,https://www.tripadvisor.com/Hotel_Review-g60763-d15135187-Reviews-Park_Terrace_Hotel_on_Bryant_Park-New_York_City_New_York-or10.html?filterLang=en,Park Terrace Hotel on Bryant Park,"March 7, 2020","The rooms are really nice, clean, and just what you need. The staff is very friendly and anticipatory of your needs. The breakfast awesome. Lots of healthy options and fantastic donuts and pastries. Great cocktails too. I’d stay here again for sure. ","Scottsdale, Arizona","446jgreen</div><div class=""userLoc""><strong>Scottsdale, Arizona</strong>",0,5.0
749747823,https://www.tripadvisor.com/Hotel_Review-g60763-d15135187-Reviews-Park_Terrace_Hotel_on_Bryant_Park-New_York_City_New_York-or15.html?filterLang=en,Park Terrace Hotel on Bryant Park,"March 7, 2020","This is the only place I will stay when I come into town and now I was lucky enough to share it with my daughter. I have never seen better service in my life. The best breakfast, the best view, the best of the best! Thank you❤️","Atlanta, Georgia","jenpeters77</div><div class=""userLoc""><strong>Atlanta, Georgia</strong>",0,5.0
749711886,https://www.tripadvisor.com/Hotel_Review-g60763-d15135187-Reviews-Park_Terrace_Hotel_on_Bryant_Park-New_York_City_New_York-or15.html?filterLang=en,Park Terrace Hotel on Bryant Park,"March 7, 2020","Our recent stay at Park Terrace was excellent in every way.The rooms are super clean and very comfortable. The location is very convenient and easy to get around with metro station close by and easy walking distance to everything.The staff was friendly,always helpful and made us feel welcome and at home.A shout out to Noah and Jenna at the front desk for going the extra mile for us, very professional and accomplished at their positions.Highly recommend this hotel ❤️","Calgary, Canada","371myras</div><div class=""userLoc""><strong>Calgary, Canada</strong>",2,5.0
749687233,https://www.tripadvisor.com/Hotel_Review-g60763-d15135187-Reviews-Park_Terrace_Hotel_on_Bryant_Park-New_York_City_New_York-or15.html?filterLang=en,Park Terrace Hotel on Bryant Park,"March 7, 2020","First time staying here, found it on booking.com. Really good find. Located on Bryant Park, great service, high quality breakfast buffet with local foods, Nespresso machines. This is on my personal preferred list now ","Los Angeles, California","samjford</div><div class=""userLoc""><strong>Los Angeles, California</strong>",0,5.0
749483948,https://www.tripadvisor.com/Hotel_Review-g60763-d15135187-Reviews-Park_Terrace_Hotel_on_Bryant_Park-New_York_City_New_York-or15.html?filterLang=en,Park Terrace Hotel on Bryant Park,"March 6, 2020","Start your day with a delicious breakfast highlighting local pastries, cheeses and meats. Fresh juices ( ginger carrot is my favorite), yogurt, fresh fruit and a barista to make you a specialty coffee. Sit in the large open outdoor patio or the comfortable dining room. Rooms are comfortable And modern with locally made soaps and shampoos. Bottled water filling station and Espresso in your room. Excellent service. Gym is open 24/7. Best of all, it’s only 30 steps to Bryant park where you can sit and enjoy the changing seasons. My go-to hotel for trips to NYC.","Alstead, New Hampshire","alsteadbluebird</div><div class=""userLoc""><strong>Alstead, New Hampshire</strong>",2,5.0
749316592,https://www.tripadvisor.com/Hotel_Review-g60763-d15135187-Reviews-Park_Terrace_Hotel_on_Bryant_Park-New_York_City_New_York-or15.html?filterLang=en,Park Terrace Hotel on Bryant Park,"March 5, 2020","Excellent service, clean, modern rooms, breakfast living area cosy and warm, well prepared snacks . Perfectly located next to Bryan Park. They gym is also excellentElevators need to improve though they are slow and would need outside signs to at least know in which floor the lift is ","Basel, Switzerland","robertosK526RI</div><div class=""userLoc""><strong>Basel, Switzerland</strong>",0,5.0
