review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
750684329,https://www.tripadvisor.com/Hotel_Review-g60982-d86970-Reviews-Pearl_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Pearl Hotel Waikiki,"March 12, 2020","I could go on and on about how I didn't like this place, but if you're looking on Tripadvisor you can already see for yourself what you're getting. I booked on Hotwire and it only cost $97, but then they rob you when you get there with a $32 per night amenity fee. When I asked the lady at check in what amenities I get for my $32 she was speechless, then she said ""beach towels"" . Haha, beach towels that are old, stained, thin, thread bare, small and probably cost them $2 a piece when they bought them in bulk. YOU CAN DO WAY BETTER","Paia, Hawaii","dak1ne</div><div class=""userLoc""><strong>Paia, Hawaii</strong>",11,2.0
746911837,https://www.tripadvisor.com/Hotel_Review-g60982-d86970-Reviews-Pearl_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Pearl Hotel Waikiki,"February 23, 2020","Worst places to stay ever, the windows don’t close properly, people smoke in the car park below and it echoes through the room. I don’t know why it says it has a pool because it doesn’t. And wifi? Yeah right, it only works if you’re standing well outside of your room. Will never stay here again and I recommend you don’t either.",,annanG9542ND,2,1.0
745061036,https://www.tripadvisor.com/Hotel_Review-g60982-d86970-Reviews-Pearl_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Pearl Hotel Waikiki,"February 14, 2020","Well a few pointsThe bad, very noisy location, WiFi is spotty and had to continually log on, had to let shower run for several minutes to get something that resembled hot water, room is very dated and many stains on the carpet, refrigerator rusted and a little dirty on the inside.The good, large room, free beach towels and chairs, close to the beach, 10 minute easy walk, ton of shopping and restaurants close by, bed was reasonably comfortable. Large balcony, not much of a view but if you want to sit outside.If on a budget not a bad choice but you get what you pay for, We did not feel it was worth the $200 CAD per night, especially having to pay the Resort Amenity Fee ($32.19 USD per night), thankfully we only spent two nights there",Alberta,"Blacknail</div><div class=""userLoc""><strong>Alberta</strong>",4,2.0
741459365,https://www.tripadvisor.com/Hotel_Review-g60982-d86970-Reviews-Pearl_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Pearl Hotel Waikiki,"January 26, 2020","Stayed at the Pearl Hotel in Hawaii, had a marvelous time there.Staff is very friendly and helpful. Right in the middle of the city, close to International Market and just a five minute walk to the beach.",,lisae564,0,5.0
740298104,https://www.tripadvisor.com/Hotel_Review-g60982-d86970-Reviews-Pearl_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Pearl Hotel Waikiki,"January 20, 2020",My family and I were here for a funeral and Pearl Hotel staff made this trip more comfortable for us during this hard time . Check in was easy and fast. The staff was very friendly and went out of their way to make our stay comfortable. They were very accommodating and always checked on us to make sure everything was Good. I would definitely stay here again and recommend this hotel to others.,,Avanisi,0,5.0
740230468,https://www.tripadvisor.com/Hotel_Review-g60982-d86970-Reviews-Pearl_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Pearl Hotel Waikiki,"January 20, 2020","Hotel was not the nicest but it was by no means a bad hotel. Front desk people were very helpful, the paid parking did kinda suck but that's just downtown Waikiki. The cups in the bathroom were very dirty but then again I've never stayed somehwere they were clean.",,TrevNazz,0,3.0
738168732,https://www.tripadvisor.com/Hotel_Review-g60982-d86970-Reviews-Pearl_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Pearl Hotel Waikiki,"January 9, 2020","We checked in last minute, just for a night. And boy, it was a great night, the staff there were great, so helpful.. Braddah (front desk) went up grade our room to suite last minute cuz we local kamaaina with that aloha spirit. We had the best time here and I recommend it to all my family and friends!!! Thank you folks again for your hospitality and aloha. And we will be back because of the hospitality and aloha.",,Bumbai710808,0,5.0
737162738,https://www.tripadvisor.com/Hotel_Review-g60982-d86970-Reviews-Pearl_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Pearl Hotel Waikiki,"January 5, 2020","Everyone was very helpful and welcoming, they have an answer for any question. The room was well taken care of and clean, the amenities were perfect (especially the beach towels that we forgot from home lol!)If we come back to the Waikiki area, we will 100% lay our heads here again!",,78ginnyb,0,5.0
735465506,https://www.tripadvisor.com/Hotel_Review-g60982-d86970-Reviews-Pearl_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Pearl Hotel Waikiki,"December 29, 2019","Good service clean place friendly people friendly guest and friendly worker as well as the clerk clean and well maintain great location nice people spacious room especially the one, two and three bedroom suites with balconies. Standard rooms are also spacious and the bathroom also",,Scenic287312,0,4.0
733132608,https://www.tripadvisor.com/Hotel_Review-g60982-d86970-Reviews-Pearl_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Pearl Hotel Waikiki,"December 16, 2019","Great location in Waikiki large room with balcony, clean and friendly staff. Wifi needs some work as it is slow and drops out all the time. They are doing some renovations, so hopefully they will work on their wifi as well ",,snaylo897966,0,4.0
