review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
752330732,https://www.tripadvisor.com/Hotel_Review-g60982-d87095-Reviews-Queen_Kapiolani_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Queen Kapiolani Hotel,"April 6, 2020","My wife and I stayed there in mid-February 2020 for 4 nights. We can't recommend it highly enough. We splurged for their Premier Ocean View room and it was worth every penny and more. The view from this room was the best we've ever had at any hotel we've stayed at in our 37 years of marriage. First, the location is excellent if you don't want to be stuck in the middle of all the high rises in the middle of Waikiki while looking at the side of a building from your window/balcony. Our room looked out at unobstructed views of Diamond Head to the east and the Pacific Ocean and the beach to the south. Plus, the Kapiolani Park is right below and spreads out to the east. So, you can go over there and walk around and see whatever events are going on. While we were there there was a local artisan fair going on. And a few minutes walk away there is a wonderful little cafe/restaurant right on the beach where you can go for breakfast or lunch called the Barefoot Beach Cafe. Don't miss that! You can order your food and eat it in the open air right next to the ocean. The rooms are very nice and clean, but not the most modern you will find. But, the location is the main thing here. The staff was great. Always friendly and welcoming. The restaurant there is fine, but you have so many options nearby that you don't have to eat there. Overall, you can't beat the value given the incredible views.",Michigan,"KurtH_77</div><div class=""userLoc""><strong>Michigan</strong>",0,5.0
729841230,https://www.tripadvisor.com/Hotel_Review-g60982-d87095-Reviews-Queen_Kapiolani_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Queen Kapiolani Hotel,"November 30, 2019","Stayed at the @QueenKapiolaniHotel and from the minute we arrived the Aloha spirit was evident. Fantastic atmosphere and staff. The location is perfect, the zoo is right across the street and Waikiki Beach is a 3 minute walk away. We stayed on the Diamond Head side of hotel and had a great view of Mount Leahi which is Diamond Heads local name. Great coffee shop and restaurant in the lobby along with a couple of shops. Lots of food and shopping near the hotel. Room was great too, clean and well maintained even though it has been here for decades. It was recently renovated. Best part...the people that work here!","Haiku, Maui, Hawaii","278rext</div><div class=""userLoc""><strong>Haiku, Maui, Hawaii</strong>",4,5.0
752207647,https://www.tripadvisor.com/Hotel_Review-g60982-d87095-Reviews-Queen_Kapiolani_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Queen Kapiolani Hotel,"April 3, 2020","Overall a really nice hotel. Location is great - not on the beach but close enough. With the exception of one unhelpful front desk clerk, all service staff was attentive and friendly. Paying extra for the ocean view room gets you that view if you walk out on your balcony and lean over the railing so don't trust the pictures published online and save yourself the $32/night.","Avon, Colorado","SaraF2Colorado</div><div class=""userLoc""><strong>Avon, Colorado</strong>",0,4.0
751954149,https://www.tripadvisor.com/Hotel_Review-g60982-d87095-Reviews-Queen_Kapiolani_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Queen Kapiolani Hotel,"March 28, 2020","Hotel and rooms are clean, staff are friendly, location is great. Had an ocean view room, so had a great sight of Diamond Head every day. Pool area was clean and comfortable, small and kind of retro pool.","Colorado Springs, Colorado","joelsE6146FM</div><div class=""userLoc""><strong>Colorado Springs, Colorado</strong>",5,5.0
751835513,https://www.tripadvisor.com/Hotel_Review-g60982-d87095-Reviews-Queen_Kapiolani_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Queen Kapiolani Hotel,"March 25, 2020","Every one of the staff, front desk, housekeepers, valet, coffee shop treat each guest with special Aloha fitting the name of the hotel. It was a stressful time because of the Coronavirus but that did not stop the staff from giving their best.","Hilo, Hawaii","michaelgralapp</div><div class=""userLoc""><strong>Hilo, Hawaii</strong>",0,4.0
751785988,https://www.tripadvisor.com/Hotel_Review-g60982-d87095-Reviews-Queen_Kapiolani_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Queen Kapiolani Hotel,"March 25, 2020","We stayed at the Queen for a couple of nights, returning there after maybe 15 years or so. The place was totally remodeled and upgraded, and I was very pleased with the transformation. We were there for a memorial service as my brother in law passed away, so the fun aspect was rather non existent, but the room we had had a wonderful and relaxing vibe. The only negative was the price of parking at $45 per night. Personnel were all friendly and welcoming and pleasant even amidst the Covid 19 scare ",,kimssc81,0,4.0
751717061,https://www.tripadvisor.com/Hotel_Review-g60982-d87095-Reviews-Queen_Kapiolani_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Queen Kapiolani Hotel,"March 23, 2020",This was a lovely hotel with wonderful service. The Deck restaurant with a view of Diamond Head is charming and had great food and cocktails. Our ocean view room was amazing! QK was also steps away from the beach and some great restaurants. Would definitely love to come back here again someday soon. ,"Freeport, New York","ramonahaq</div><div class=""userLoc""><strong>Freeport, New York</strong>",0,5.0
751570916,https://www.tripadvisor.com/Hotel_Review-g60982-d87095-Reviews-Queen_Kapiolani_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Queen Kapiolani Hotel,"March 21, 2020","We had our wedding at QK in November with 75 guests. The venue is perfect! We had our ceremony on the deck, with a stunning view of Diamond Head. Our guests watched the sunset during cocktail hour on the deck before moving into the modern ballroom for our reception. Reina was an absolute dream to work with! She was very responsive, flexible and really took the time to address all of our needs. On the day of, Reina was instrumental in making sure everything ran smoothly and took care of many last minute details. We can’t thank her enough!Most of our guests were from the mainland and QK was the perfect location! Everyone loved the pool/deck area, hotel decor and being in such a convenient area. Julie was very helpful organizing our room block and making sure our guests staying at the hotel were well taken care of! The bellhops and valets were also super helpful in getting all of wedding stuff in/out of the hotel. Would highly recommend this venue for a wedding or any other event!","Honolulu, Hawaii","Toby11Beck</div><div class=""userLoc""><strong>Honolulu, Hawaii</strong>",0,5.0
751559364,https://www.tripadvisor.com/Hotel_Review-g60982-d87095-Reviews-Queen_Kapiolani_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Queen Kapiolani Hotel,"March 21, 2020",Loved every moment of our stay here. The location is fantastic right across from the Honolulu Zoo where you can hear all the animals in the morning from your balcony. Literally 5 minutes or less from the beach. The lobby is gorgeous and is an open concept the leads to the street and gives you an open air feel. The bar and restaurant are great. We had some of the best sliders I have ever had there at Happy hour. I can sing enough praise for this hotel and staff. We'll be back!,,Lfleon27,0,5.0
751463857,https://www.tripadvisor.com/Hotel_Review-g60982-d87095-Reviews-Queen_Kapiolani_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Queen Kapiolani Hotel,"March 20, 2020","Wonderful experience!! Kind and respectful staff, beautiful pool view, less than 5 minute walk to beach, less than 10 minute drive to shopping area, great bar food and drinks, and close to multiple good restaurants! I would book a room here again for sure!",,danielledU8044PB,0,5.0
751372538,https://www.tripadvisor.com/Hotel_Review-g60982-d87095-Reviews-Queen_Kapiolani_Hotel-Honolulu_Oahu_Hawaii-or10.html?filterLang=en,Queen Kapiolani Hotel,"March 18, 2020","Loved our stay at Queen Kapiolani! All the amenities one would hope for. Restaurant had great food, pool was wonderful, and the staff were all courteous and kind. The bed was incredibly comfortable and it was a dream waking up to a view of the beach everyday. Check in was smooth and efficient. Close proximity to local shopping, restaurants, and attractions. We were able to walk to Diamond Head for a morning hike, and to the main strip to have dinner each night. Would recommend to anyone! And would defintely stay here again.","Ramsey, NJ, United States","Thatsmitcray</div><div class=""userLoc""><strong>Ramsey, NJ, United States</strong>",0,5.0
751310164,https://www.tripadvisor.com/Hotel_Review-g60982-d87095-Reviews-Queen_Kapiolani_Hotel-Honolulu_Oahu_Hawaii-or10.html?filterLang=en,Queen Kapiolani Hotel,"March 18, 2020","If youre looking for a place where its close to the beach, a beautiful view of Diamond Head from their restaurant on site, wonderful customer service and just all around friendly? Queen Kapiolani is the place to be. We loveeedd this hotel, it had everything we needed for this short two day birthday celebration trip. Coffee and Frozen yogurt onsite, needed help with what to do, there is someone there to help and guide you. I didnt pick an ocean view but thinking about it now, next time i will. We will definitely be going back to Queen Kapiolani hotel for our next trip. Truly thankful. ","San Mateo, California","vwenonahk</div><div class=""userLoc""><strong>San Mateo, California</strong>",0,5.0
751276125,https://www.tripadvisor.com/Hotel_Review-g60982-d87095-Reviews-Queen_Kapiolani_Hotel-Honolulu_Oahu_Hawaii-or10.html?filterLang=en,Queen Kapiolani Hotel,"March 17, 2020","We stayed for 2 nights, we were « upgraded » to a diamond head view which was great but we were on 4th floor and basically in direct view of pool patrons and all the air vents. Rooms were very clean and comfy and the amenities were great. Parking not included and very expensive so if you can avoid using a car..I would. ",,Escape466052,0,4.0
750936160,https://www.tripadvisor.com/Hotel_Review-g60982-d87095-Reviews-Queen_Kapiolani_Hotel-Honolulu_Oahu_Hawaii-or10.html?filterLang=en,Queen Kapiolani Hotel,"March 15, 2020","So far Very happy with the great service I received specially Mr. Edmund who make sure my room is clean and well stocked. I appreciate you sir. The only thing is my room in 308 is very noisy loud music from the restaurant and noisy people from outside, it's hard to go sleep.",,flordeliza45,0,5.0
