review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
753570510,https://www.tripadvisor.com/Hotel_Review-g60982-d87097-Reviews-Royal_Grove_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Royal Grove Waikiki,"May 16, 2020",Super friendly and helpful staff! Front desk is always so nice and accommodating:) maids do an excellent job of keeping rooms clean and tidy :) we’ve been coming every weekend and they treat us like queens:) mahalo Royal Grove!!! You da best!!!,,96768,1,5.0
752942645,https://www.tripadvisor.com/Hotel_Review-g60982-d87097-Reviews-Royal_Grove_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Royal Grove Waikiki,"April 26, 2020","Hotel, good location, staff,front desk,maid, maintenance, all very friendly and polite. I would come back again, in the future. Thank you for a wonderful experience !!! It's a hard thing the world is going through now.","Honolulu, Hawaii","rickienakamura4</div><div class=""userLoc""><strong>Honolulu, Hawaii</strong>",0,5.0
752459547,https://www.tripadvisor.com/Hotel_Review-g60982-d87097-Reviews-Royal_Grove_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Royal Grove Waikiki,"April 10, 2020","Terrible! Awful! Dirty! Horrible! Hot! Small! And 0-NONE % CUSTOMER SERVICE Sloppy! Out of Date, Air Conditioning was a joke! It Took over three hours to even feel some kind of air/ wind in the hotel room","Honolulu, Hawaii","laieb0y</div><div class=""userLoc""><strong>Honolulu, Hawaii</strong>",0,1.0
751958353,https://www.tripadvisor.com/Hotel_Review-g60982-d87097-Reviews-Royal_Grove_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Royal Grove Waikiki,"March 28, 2020",The place seems humble and a bit old but for the price and the location it is worthy. The rooms were super clean as well as the bathroom. I have to say that the sink could a longer faucet because it was hard to wash our hands. Our room had a nice balcony were we could rest and our room offered a kitchen and a fridge really convenient in case you want to cook and also just to mingle a bit together. It has a small swimming pool which is convenient if you do not want to go to the really close Waikiki beach. But if you prefer to go to the beach it is less than 2 minutes walking. Staff at the hotel were really nice and helpful too. Besides being super close to the beach is near many Waikiki attractions as well as a shopping area. I believe for the prices they offer if you only need a place to sleep this is the prefect place.,"Norman, Oklahoma","DiegoValmon</div><div class=""userLoc""><strong>Norman, Oklahoma</strong>",13,5.0
751757115,https://www.tripadvisor.com/Hotel_Review-g60982-d87097-Reviews-Royal_Grove_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Royal Grove Waikiki,"March 24, 2020","The Royal Grove Waikiki, has excellent accommodations, quality customer care and great amenities. I will be happy to book a reservation in the future and recommend the Royal Grove Waikiki to my friends and business associates.",,Michael B,0,5.0
750146644,https://www.tripadvisor.com/Hotel_Review-g60982-d87097-Reviews-Royal_Grove_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Royal Grove Waikiki,"March 9, 2020",Everything you need is within a 5 minute walk including Wakiki beach. Hotel is old and dated and probably 1/2 the price of the larger updated high rises that surround it. We enjoyed our stay and spending time by the quiet pool area. Nothing fancy here but was clean and staff were there to assist you with your needs.,"Edmonton, Canada","724garryk</div><div class=""userLoc""><strong>Edmonton, Canada</strong>",0,4.0
749949662,https://www.tripadvisor.com/Hotel_Review-g60982-d87097-Reviews-Royal_Grove_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Royal Grove Waikiki,"March 8, 2020","Just stayed at the Royal Grove Hotel. The staff is very friendly and the location is very convienient. Unfortunatly, thats the only positive about the royal grove hotel. We had room 425 and I would recommand you avoid this room under all cost. We tried to do but it was the last avbl. The room is facing the big street and with old/broken windows, we could hear every car/bus and could not sleep the entire night. Rooms were also very old and not in a good shape. Finally, the shower was not working properly and we could not take a shower in the morning. After one night, we decided to go somewhere else...","Frankfurt, Germany","FlyFrederik</div><div class=""userLoc""><strong>Frankfurt, Germany</strong>",2,1.0
746193380,https://www.tripadvisor.com/Hotel_Review-g60982-d87097-Reviews-Royal_Grove_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Royal Grove Waikiki,"February 19, 2020","Hotel is old and showing its age. No parking so for the added cost of parking we could have stayed in a nicer place. Even with us just wanted a comfortable room to stay in as this was a special trip, and this room barely met those needs. The beds were far from comfortable and pillows were way too old. Do yourself a favor and book a nicer room.The staff was very friendly, about the only plus there was to staying here.","Portland, Oregon","jpicknell24</div><div class=""userLoc""><strong>Portland, Oregon</strong>",1,1.0
746171767,https://www.tripadvisor.com/Hotel_Review-g60982-d87097-Reviews-Royal_Grove_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Royal Grove Waikiki,"February 19, 2020",The whole stay at royal grove was wonderful. Central to everything including bus service. Really nice staff. My holiday generally in Hawaii has been a great experience. We tried out two rooms. Even the small room was quite sufficient. The larger room was overall cleaner and very tidy.,"California Desert, California","evekupa</div><div class=""userLoc""><strong>California Desert, California</strong>",0,5.0
745278994,https://www.tripadvisor.com/Hotel_Review-g60982-d87097-Reviews-Royal_Grove_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Royal Grove Waikiki,"February 15, 2020","This hotel is very old and run-down. You could see it from the street, in the hallways, etc. I find it dirty (not in a sense of not cleaning it up, but just very old, who knows how old are the stains on the spring boxes). The building sits at the very busy Kuhio avenue and it is low-rise, so you can hear all the noise, so if you have a weak sleep - you will have a bad time. There is a eat-out/in place downstairs as well as convenience store (with alcohol). Apart from street noise, this area is known for homeless people, so you could hear screams outside. Also, there is notice on the wall - do not leave valuables in room, safety box at front desk. Security seems to be an issue. Advertised as a non-smoking hotel, but cigarette butt almost hit my head while it was dropped from the hotel balcony. This is a walk-up building, easily accessible from street, particularly during daytime. Some positives - there is a daily housekeeping for making up beds, refreshing towels. Our unit had a fridge, stove, hot plate, toaster, microwave and coffee maker and some utensils, pots, glasses. It is also in the hearth of Waikiki, 5 minutes from the beach, with plenty shops and restaurants within walking distance. Front desk borrows beach towels and staff is friendly. Based on other visitors I could see in this hotel it seems that some (senior) like to return. A/C in room worked. But paying almost $200/night (with taxes) for 3 people (high season) for a very run-down hotel, it is not worth staying. I feel sorry not only for guests but also for housekeepers and the staff working in here, who really tried to keep it running.","Cambridge, Massachusetts","Azzi E</div><div class=""userLoc""><strong>Cambridge, Massachusetts</strong>",38,2.0
745242856,https://www.tripadvisor.com/Hotel_Review-g60982-d87097-Reviews-Royal_Grove_Waikiki-Honolulu_Oahu_Hawaii-or10.html?filterLang=en,Royal Grove Waikiki,"February 15, 2020","On the outside is looks passable. On the inside it is a different matter. Very old furnishings in the rooms, to the point of dilapidation. Rooms are accessed through long, gloomy corridors. The rooms don't have Wifi (!!!), almost unheard of in the 21st century. No security safe in the rooms. The AC is ancient (window type). The hotel desperately needs a thorough refurbishment indeed.",,flybr,0,2.0
744467087,https://www.tripadvisor.com/Hotel_Review-g60982-d87097-Reviews-Royal_Grove_Waikiki-Honolulu_Oahu_Hawaii-or10.html?filterLang=en,Royal Grove Waikiki,"February 11, 2020","SINCE the new management took over, the rates have skyrocketed and it’s all about making money. It used to be a family oriented hotel with some guests coming here for 50 years. They don’t accommodate returnees with a lower price. Probably be the last year we can afford to come here for 7 weeks. Positive note, 5 minutes from beach, friendly front staff, Gina and Donna.","Edmonton, Canada","Retirees47</div><div class=""userLoc""><strong>Edmonton, Canada</strong>",16,2.0
743211362,https://www.tripadvisor.com/Hotel_Review-g60982-d87097-Reviews-Royal_Grove_Waikiki-Honolulu_Oahu_Hawaii-or10.html?filterLang=en,Royal Grove Waikiki,"February 5, 2020","This hotel needs a complete renovation. Very dilapidated and overall outdated feel. Staff was nice and I had no issues with check in. The room was clean but again very old feeling. AC in room worked very well, comforter was very thin though which made it too cold. Location was fine but there are other budget hotels in the area I would stay at over this one due to quality. ","New York City, New York","Keri A</div><div class=""userLoc""><strong>New York City, New York</strong>",18,1.0
