review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
742525524,https://www.tripadvisor.com/Hotel_Review-g1066444-d307375-Reviews-Royal_Park_Hotel-Chuo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Royal Park Hotel,"February 1, 2020","The location next to the airport bus terminal is very convenient, but you need to use the metro or taxi, in order to reach the tourist areas. The rooms and the service are excellent as well as the breakfast.","Stockholm, Sweden","526max</div><div class=""userLoc""><strong>Stockholm, Sweden</strong>",64,5.0
738305151,https://www.tripadvisor.com/Hotel_Review-g1066444-d307375-Reviews-Royal_Park_Hotel-Chuo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Royal Park Hotel,"January 10, 2020","This was our second two week stay and as before the hotel, (executive floor) room and quality of service were excellent. From the lounge staff to the doorman everyone was polite, proactive and most efficient. The hotel is ideally located for getting around Tokyo and beyond with access to the Hanzomon line (SkyTree at one end and Shibuya at the other) through the hotel basement, and the Asakusa and Hibiya lines a five minute walk away.The Sumida river is close by and a lovely place to walk along in the day or evening.A special mention to the little flower shop in the basement - fantastic arrangements for the room at reasonable prices.The hotel contains several restaurants and in the immediate neighbourhood there are literally dozens of places to eat and drink.","Newcastle upon Tyne, United Kingdom","cdilla</div><div class=""userLoc""><strong>Newcastle upon Tyne, United Kingdom</strong>",7,5.0
730386009,https://www.tripadvisor.com/Hotel_Review-g1066444-d307375-Reviews-Royal_Park_Hotel-Chuo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Royal Park Hotel,"December 3, 2019","Have stayed here a number of times in recent years, the high level of service stays the same. Recently refurbished gym is good, executive lounge on the top floor with a great view. Rooms could perhaps do with modernisation and the lifts are still annoyingly slow, but recommended on the whole.","York, United Kingdom","DoctorToxic</div><div class=""userLoc""><strong>York, United Kingdom</strong>",107,4.0
727548716,https://www.tripadvisor.com/Hotel_Review-g1066444-d307375-Reviews-Royal_Park_Hotel-Chuo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Royal Park Hotel,"November 19, 2019",This hotel is in a convenient location : next to TCat terminal for transport to/ from airport. Subway next door and lots of restaurants nearby. I would definitely recommend staying on the Executive floors rather than standard floors. The 20th floor executive lounge had a super breakfast - fabulous buffet selections and was a good place to enjoy evening drinks with a view. The bell and concierge staff were all very friendly and tried to help in every way possible. Would definitely stay again.,"New York City, New York","PF2500</div><div class=""userLoc""><strong>New York City, New York</strong>",12,4.0
725715201,https://www.tripadvisor.com/Hotel_Review-g1066444-d307375-Reviews-Royal_Park_Hotel-Chuo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Royal Park Hotel,"November 11, 2019",This was my first visit to the Royal Park Hotel. The service was excellent from the front desk to the lounge. The location is central to restaurants and bars. I had multiple business meetings in the main floor restaurant / lounge area. The experience was excellent.,"Chapel Hill, North Carolina","Lil_big_traveller</div><div class=""userLoc""><strong>Chapel Hill, North Carolina</strong>",13,5.0
724811572,https://www.tripadvisor.com/Hotel_Review-g1066444-d307375-Reviews-Royal_Park_Hotel-Chuo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Royal Park Hotel,"November 7, 2019","Lovely hotel in every respect. The 20th floor receptions for happy hour, dinner options, and full breakfast is a significant benefit. Staff were consistently super friendly and efficient. Enthusiastically recommended.","South San Francisco, California","donquigleydeq</div><div class=""userLoc""><strong>South San Francisco, California</strong>",4,5.0
723429873,https://www.tripadvisor.com/Hotel_Review-g1066444-d307375-Reviews-Royal_Park_Hotel-Chuo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Royal Park Hotel,"November 3, 2019",We stayed for 6 nights in this excellent hotel. The rooms are of a high standard and service was excellent. The hotel is well situated with numerous restaurants within a 10 minute walk. The nearest metro and train station is a 5 minute walk away.Highly recommended ,"Street, United Kingdom","PhilR265</div><div class=""userLoc""><strong>Street, United Kingdom</strong>",61,5.0
718345814,https://www.tripadvisor.com/Hotel_Review-g1066444-d307375-Reviews-Royal_Park_Hotel-Chuo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Royal Park Hotel,"October 14, 2019",Reasonably good hotel that is well connected to the airport; well connected to walk to major sights and a real bonus that the limousine bus terminal from the airports is across the street.Excellent service was the stand out. Helpful concierge. The decor is a bit dated. Good gym / spa floor which is newly refitted.Executive floors with lounge access good.We were in Tokyo when the World Cup was on specially the Typhoon - we were help up in the hotel for a day and there was an earthquake. Perhaps a note from the management to explain the hotel would be safe and a concession on food and drinks may have been a nice touch (as I understand other hotels did!). Something to think about....,"Greater London, United Kingdom","MiloHols</div><div class=""userLoc""><strong>Greater London, United Kingdom</strong>",33,4.0
712597341,https://www.tripadvisor.com/Hotel_Review-g1066444-d307375-Reviews-Royal_Park_Hotel-Chuo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Royal Park Hotel,"September 24, 2019",The staff at the hotel are amazing! The staff are so polite and welcoming. The hotel rooms are great size considering the options in such a mega city and the vast range in costs.Location is perfect! Easy bus limousine transfer from Haneda to the TCAT. The TCAT is literally next door to the hotel. There is a subway with direct access to the hotel. It takes 10 minutes to get to Tokyo Station that also is the location for the Shinkansen. With subway immediately adjacent to the hotel anyway in Tokyo is easily accessible. The hotel provides a smart phone during your stay so you save on international data roaming!I found after a busy day and/or night exploring it was nice to return to the neighbourhood the hotel is located.,,FussyType,0,5.0
711812174,https://www.tripadvisor.com/Hotel_Review-g1066444-d307375-Reviews-Royal_Park_Hotel-Chuo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Royal Park Hotel,"September 21, 2019","This hotel is pefectly located, next to the Tokyo City Air Terminal and, directly abve Suitengamae subway station. Genuinely 4.5 stars with agood selection of restaurants and very attentive staff. A perfect base at a reasonable price for a stay in Tokyo.","Mornington Peninsula, Australia","Prague26</div><div class=""userLoc""><strong>Mornington Peninsula, Australia</strong>",4,5.0
