review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
752477527,https://www.tripadvisor.com/Hotel_Review-g1066443-d304296-Reviews-Sakura_Hotel_Jimbocho-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Sakura Hotel Jimbocho,"April 10, 2020","Thé hôtel located in good place ... You can visit many famous place .. The station about 2 min for the hotel ..Staff were very helpful and kind .. Thé room simple and confortable .. Thank you , for sûre i will come back again ^^","Tokyo, Japan","hhamchi</div><div class=""userLoc""><strong>Tokyo, Japan</strong>",0,4.0
739083248,https://www.tripadvisor.com/Hotel_Review-g1066443-d304296-Reviews-Sakura_Hotel_Jimbocho-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Sakura Hotel Jimbocho,"January 14, 2020","My family and I wanted to spend New Year’s in Tokyo, so we booked a week at Sakura Hotel Jimbocho. This is personally my 3rd/4th time staying here, so it’s safe to say I really like it here.Best part for me is the staff, led by Peter Chen. Yeah, the rooms are a little small, but it is the best value place I have stayed in Tokyo. Besides, what are you doing in Tokyo if you’re just going to stay in your room?Actually, I did stay in my room for a good chunk of our last trip since I got sick. And I was so thankful that the beds were plenty comfortable for me, and I was able to get back on my feet after only a couple of days.The all-you-can-drink tea (among other drinks) at the 1F had a lot to do with it.So thanks again to the crew at Sakura Jimbocho for taking care of me.","Matsue, Japan","SirEdge</div><div class=""userLoc""><strong>Matsue, Japan</strong>",0,5.0
752324195,https://www.tripadvisor.com/Hotel_Review-g1066443-d304296-Reviews-Sakura_Hotel_Jimbocho-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Sakura Hotel Jimbocho,"April 6, 2020","The employees are super nice and helpful, the rooms are cleaned daily and the location is perfect for exploring Tokyo by metro or on foot. We stayed two weeks and don't regret a single night! A small Tipp: If you travel with your significant other, take bunk beds. Most double beds are a bit on the short side for two people!","Hamburg, Germany","ShrimpLeChimp</div><div class=""userLoc""><strong>Hamburg, Germany</strong>",0,5.0
751951674,https://www.tripadvisor.com/Hotel_Review-g1066443-d304296-Reviews-Sakura_Hotel_Jimbocho-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Sakura Hotel Jimbocho,"March 28, 2020","Staff were welcoming, friendly, and had great recommendations for places to eat. The facilities (for showering, etc) were clean and the hotel was quiet and well-situated to explore Tokyo. Next time I’m in Tokyo, I’ll stay there again",,tokyotraveller2020,0,5.0
751894928,https://www.tripadvisor.com/Hotel_Review-g1066443-d304296-Reviews-Sakura_Hotel_Jimbocho-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Sakura Hotel Jimbocho,"March 27, 2020","I've stayed at some other Sakura Hotel locations before, and this, like the others is in a great location. Close to the station and many other tourist attractions and restaurants around kept the stay interesting and fun.","Ottawa, Canada","acetoned</div><div class=""userLoc""><strong>Ottawa, Canada</strong>",5,5.0
751733322,https://www.tripadvisor.com/Hotel_Review-g1066443-d304296-Reviews-Sakura_Hotel_Jimbocho-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Sakura Hotel Jimbocho,"March 24, 2020","The staff are very friendly and helpful, and all of them are speaking enough English for a real conversation. Which is very unusual in Japan, even at hotels of a much higher price class, I can tell you from experience.The rooms are small but tidy. For the price you simply can`t expect more at Tokyo. Especially at a hotel with this splendid location! From the underground station Jimbocho you reach everything in Tokyo in short time, and the Imperial palace, Yasukuni-Shrine, are in walking distance. And book lane is just arround the corner.This was my third stay there and I`m sure to come back in future. ","Nuremberg, Germany","aklein936</div><div class=""userLoc""><strong>Nuremberg, Germany</strong>",0,5.0
751600775,https://www.tripadvisor.com/Hotel_Review-g1066443-d304296-Reviews-Sakura_Hotel_Jimbocho-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Sakura Hotel Jimbocho,"March 22, 2020",Sakura hotel's staff were polite and helpful with all information you might need. The free breakfast was great and you could eat early. The price was very affordable and made up for the rooms being on the smaller side. Stayed here twice while we explored Japan. Will be booking again when we visit in the future. Loved it. We even got a free upgrade on our second stay!,,LuluLetten,0,5.0
750930264,https://www.tripadvisor.com/Hotel_Review-g1066443-d304296-Reviews-Sakura_Hotel_Jimbocho-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Sakura Hotel Jimbocho,"March 14, 2020","great location close to Jimbocho-station and Imperial Palace gardenvery friendly, helpful staffearly starting breakfastwould always return here when visting Tokyo again, if the good price is kept as it was","Ilmenau, Germany","nalte</div><div class=""userLoc""><strong>Ilmenau, Germany</strong>",0,5.0
750543987,https://www.tripadvisor.com/Hotel_Review-g1066443-d304296-Reviews-Sakura_Hotel_Jimbocho-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Sakura Hotel Jimbocho,"March 11, 2020","We stayed there on Feb, 2020 end for 3 days. The Guys at desk (Taz and others) are very much helpful and smiley. The breakfast is also ok with the price we paid (Soup was tasty and healthy). The location is very convenient (24X7 shops are nearby, Jimbocho station is 3-4 min walking etc) and very calm. Only negative thing is the room is small and compact, but thats not an issue for us. For the price and location, a room in Tokyo should not be bigger than this. Common toilet and bath rooms are very clean. Next i visit to Japan, i want to stay again in this hotel. Thanking you.",Dhaka,"Showkat_Ctg</div><div class=""userLoc""><strong>Dhaka</strong>",11,5.0
749829059,https://www.tripadvisor.com/Hotel_Review-g1066443-d304296-Reviews-Sakura_Hotel_Jimbocho-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Sakura Hotel Jimbocho,"March 8, 2020","I gained great experiences in my stay at this hotel. Staff gave good instructions on where to move around in Japan. Room was as clean as ever. Hygiene was perfect as expected. All in all, it was a very good hotel to stay in.","Berlin, Germany","maximiliansumardi</div><div class=""userLoc""><strong>Berlin, Germany</strong>",0,5.0
747857693,https://www.tripadvisor.com/Hotel_Review-g1066443-d304296-Reviews-Sakura_Hotel_Jimbocho-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,Sakura Hotel Jimbocho,"February 26, 2020","I stayed here 4 years ago and I have to say that the place still has the same feeling as it did way back in 2016. Staffs are super friendly and always greeting guests when they return back or heading out. I had a nice chat with a lady (sorry I did not get her name) when I was checking out about the property and Kaz (another staff) and how he was the one that checked me and my family out back in 2016. I didn't manage to talk to him as he was always working the night shift. Overall a pleasant place to stay, super cozy and several Family Mart's around which makes it easy to buy food / drinks. Would definitely stay at this place the next time I return to Japan!","Singapore, Singapore","delwynchang</div><div class=""userLoc""><strong>Singapore, Singapore</strong>",0,5.0
747819616,https://www.tripadvisor.com/Hotel_Review-g1066443-d304296-Reviews-Sakura_Hotel_Jimbocho-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,Sakura Hotel Jimbocho,"February 26, 2020","It was a lovely hotel for the basics. Great price, amazing staff and a really nice touch of complimentary coffee and toast, which definitely helped our budget. You could also get a selection of teas and soup. Great for backpackers. ","Doughiska, Ireland","2593</div><div class=""userLoc""><strong>Doughiska, Ireland</strong>",8,4.0
747285062,https://www.tripadvisor.com/Hotel_Review-g1066443-d304296-Reviews-Sakura_Hotel_Jimbocho-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,Sakura Hotel Jimbocho,"February 24, 2020","This was a terrific stay. Very nice, clean rooms and well kept bathrooms despite being shared. The cafe downstairs has some wonderful food options and they were able to accommodate my allergies with gluten free food options at breakfast. Plus, all the staff were very helpful and easy to communicate with.",,obennett2020,0,5.0
743373394,https://www.tripadvisor.com/Hotel_Review-g1066443-d304296-Reviews-Sakura_Hotel_Jimbocho-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,Sakura Hotel Jimbocho,"February 6, 2020","This is a super nice hotel. Although this was my first experience for one bed from 8 beds room, I found it was very clean hotel. Staff there are the best part of this hotel - they are friendly, warm-heart and helpful. ",,flyingblue0219,0,5.0
742940455,https://www.tripadvisor.com/Hotel_Review-g1066443-d304296-Reviews-Sakura_Hotel_Jimbocho-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,Sakura Hotel Jimbocho,"February 3, 2020","Stayed for five nights on an impromptu trip in Feb 2020. I hadn’t made any plans before i arrived, but had a couple of ideas. The staff were super helpful and in particular Kanae and Shin spent a long time helping me find a good day trip to go skiing. Big thanks to both of them!Rooms were clean and comfortable and bathroom facilities good. Close proximity to Jimbocho subway station makes travel around the city easy and plenty of nice restaurants within 5 minutes walk, as well as some good food and a good selection of beer in the cafe downstairs. Thanks everyone for a lovely stay.","Changsha, China","Lacesso</div><div class=""userLoc""><strong>Changsha, China</strong>",0,5.0
742716707,https://www.tripadvisor.com/Hotel_Review-g1066443-d304296-Reviews-Sakura_Hotel_Jimbocho-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or15.html?filterLang=en,Sakura Hotel Jimbocho,"February 2, 2020","Close to Akihabara and Tokyo Dome, this quality Hotel was perfect for my stay in Tokyo.I was able to meet a ton of people to travel with and explore Tokyo. The check in process was easy and the staff were very friendly.",,A3560EId,1,5.0
741864421,https://www.tripadvisor.com/Hotel_Review-g1066443-d304296-Reviews-Sakura_Hotel_Jimbocho-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or15.html?filterLang=en,Sakura Hotel Jimbocho,"January 28, 2020","Staffs at hotel are very helpful. I greatly appreciate the staff who helps me during my check-in in the middle of the night. The fact that he gives me valuable pointers, tips and helpful directions help me a lot as a first time tourist to Tokyo. Variety of tea and hot soup available for breakfast is amazing! I'll definitely stay here again when I visit Tokyo next time. With great hospitality, value for money and strategic location, there's no reason for me not to stay again in this place when I return next time. Staffs need to fix the hot shower though. I couldn't turn the water any cooler. It was scalding the skin on my head when I took my shower in the winter.","Kuala Lumpur, Malaysia","stargazer99tang</div><div class=""userLoc""><strong>Kuala Lumpur, Malaysia</strong>",18,4.0
741792145,https://www.tripadvisor.com/Hotel_Review-g1066443-d304296-Reviews-Sakura_Hotel_Jimbocho-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or15.html?filterLang=en,Sakura Hotel Jimbocho,"January 28, 2020","It was nice place to sleep and rest. The I slept was a tiny room, but it had bed and heater, tv. It can be unconfortable for some people who don't like to eat meals in public space, but for me it was nice.Cafe was clean, staffs were really nice and kind.Next time I go to Japan, I would like to go sakura hotel again.","Seoul, South Korea","Jaychoi493</div><div class=""userLoc""><strong>Seoul, South Korea</strong>",0,5.0
741172808,https://www.tripadvisor.com/Hotel_Review-g1066443-d304296-Reviews-Sakura_Hotel_Jimbocho-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or15.html?filterLang=en,Sakura Hotel Jimbocho,"January 25, 2020","This is a very nice hostel with a good location- you can easy to go to everywhere in Tokyo by metro. The staff are very friendly and helpful. Everyday I have to bother them a lot - ask how I can get here and there, and also I get the medical help for my stomach ache. All staff who work in reception counter and the cafe can speak very good English. I highly recommend this hotel. 这家青年旅馆地理位置很好，从酒店出发通过地铁和火车，你哪儿哪儿都能去。酒店的员工非常友善，并且乐于助人，在居住期间，我几乎每天都要跟他们询问乘车路线以及给我药物治疗我的胃痛，前台和咖啡厅的员工都能说很好的英语。我非常推荐这家酒店。","Leuven, Belgium","royalblue777</div><div class=""userLoc""><strong>Leuven, Belgium</strong>",5,5.0
740950817,https://www.tripadvisor.com/Hotel_Review-g1066443-d304296-Reviews-Sakura_Hotel_Jimbocho-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or15.html?filterLang=en,Sakura Hotel Jimbocho,"January 24, 2020","This is my first time in Japan. And I was not disappointed to stay here. Aside from the very clean toilets and comfortable room, I was amazed and so grateful to their staff specially with Shinichi Tada for helping us communicate and trace my lost money - ALL MY YEN was there on the envelope!! Imagine how I felt the moment I realize I lost it all! :( I was not expecting that this will be returned to me since I was not also sure if I left it in the street going back to the hotel. I was so delighted knowing that the staff on the store where I last checked my money kept my envelope!!! Japanese people are really honest!! I was able to get my money back because of Shinichisan! Sorry I was not able to ask for a selfie. But I will definitely be back in Tokyo and will be staying here again. Arigatou Gozaimasu!",,donnaeF2006WR,0,5.0
740464393,https://www.tripadvisor.com/Hotel_Review-g1066443-d304296-Reviews-Sakura_Hotel_Jimbocho-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or20.html?filterLang=en,Sakura Hotel Jimbocho,"January 21, 2020","Excellent Location.Best Place for International Visitors.24/7 cafe with delicious & Halal food.Staff are very cooperative, KAZUTO San is very nice guy He is very friendly and lovely.I highly recommend this Hotel for stay in Tokyo.",,justasdi143,0,5.0
739544336,https://www.tripadvisor.com/Hotel_Review-g1066443-d304296-Reviews-Sakura_Hotel_Jimbocho-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or20.html?filterLang=en,Sakura Hotel Jimbocho,"January 16, 2020","very good and smily people, helpfull ! very good and smily people, helpfull !very good and smily people, helpfull !very good ans smily people, helpfull !very good and smily people, helpfull !I am tired...",,jlcourthial,0,4.0
