review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
752921952,https://www.tripadvisor.com/Hotel_Review-g60763-d80112-Reviews-San_Carlos_Hotel-New_York_City_New_York-or0.html?filterLang=en,San Carlos Hotel,"April 25, 2020","I stayed here during the COVID 19 scare, needing a few days outside of my own apartment for my mental health and a change of location. The staff were very courteous and upgraded me to a suite, free of charge. The beds were soft and clean, and despite being in the middle of midtown there is great soundproofing and my stay felt serene. Enjoyed the full bath and bathrobe. Didn't take advantage of the room service but they are affilitated/attached to an Indochinese restaurant that I know to be very good. Will definitely recommend to my family and friends that they stay here--whenever they are allowed to visit again!","New York City, New York","Scarlett M</div><div class=""userLoc""><strong>New York City, New York</strong>",0,5.0
682777184,https://www.tripadvisor.com/Hotel_Review-g60763-d80112-Reviews-San_Carlos_Hotel-New_York_City_New_York-or0.html?filterLang=en,San Carlos Hotel,"June 19, 2019","I enjoy extensively researching my destination before traveling and chose The San Carlos Hotel because reviews told me it was located by a subway station in a safe, walkable neighborhood with excellent staff. I also liked that they had suites available at a reasonable price point—allowing our family of four to have ample room. The San Carlos Hotel was all this and more! My husband, who travels for work often, told me we must stay here again the next time we are in NYC. This is high praise coming from him! When we entered through the doors of the hotel each evening after a long day of sightseeing, we were always warmly greeted and felt relief to be back in our comfortable accommodations.The following story will explain why we will be returning to this wonderful hotel: Shortly after we checked in our first night in New York, my son told me he smelled smoke in our room. Then his eyes started to become very irritated and he didn’t feel well. He is very sensitive to smoke. We called the front desk and they sent the wonderful Manny up to assist us. He tried to determine where the smoke was coming from and my husband and Manny concluded that someone had been smoking in the hallway. Twenty minutes later the smell was stronger and we realized it was coming from under the door that adjoined our room to the room next door. Manny was still in the hallway trying to neutralize the smell of the smoke so we alerted him to the situation. He approached the front desk on our behalf and we were offered a new room with an upgrade for the entire duration of our stay! Wow! We were blow away by the fact that Manny and the front desk resolved our problem so quickly and without any fuss on our part. This experience made us loyal customers of The San Carlos Hotel each time we are in NYC! They take care of their guests.Details about the room: The hotel beds are comfortable with high end sheets. The room and bathroom were clean and comfortable. The kitchen area had a bigger mini-fridge that had plenty of room for half gallon sized cartons. We ordered breakfast items from Target (delivered via Shipt) and enjoyed starting our day slowly enjoying breakfast in the room. There was also a microwave and small coffee maker. For Father’s Day we ordered bagel sandwiches from Ess-A-Bagel (on the next street over) and avoided the LONG line by ordering via Yelp. Location is amazing! We bought unlimited 7 day metro cars and rode the subway all over Manhattan. So simple using City Mapper app. Subway stations are very close to the hotel. We walked easily to 5th Avenue shopping, Top of the Rock, great dining (loved The Smith), St. Patrick’s Cathedral, and Grand Central Station. The whole family felt safe exploring the area surrounding the hotel as it was full of tourists, professionals, and locals. Safer and different vibe from the chaos of Times Square.Excellent experience! We will be back!",,284meredithb,11,5.0
752576353,https://www.tripadvisor.com/Hotel_Review-g60763-d80112-Reviews-San_Carlos_Hotel-New_York_City_New_York-or0.html?filterLang=en,San Carlos Hotel,"April 13, 2020","We came over on the 13th march on my wifes 50th birthday , unfortunatelly it was the day that lockdown commenced but even though all the attractions were closed and gradually the bars and restaurants followed suit , the welcome and friendship we received from Evelyn and the gang was so warm and attentive , especially helping us to have a room for the extra night when we found that our flight home had been cancelled. Spacious rooms and location was appreciated and ideal for all the walking we did around the fantastic city . Obviously not the best time to visit but glad that the staff looked after us . Thanks ",,kevincoch,0,5.0
751527153,https://www.tripadvisor.com/Hotel_Review-g60763-d80112-Reviews-San_Carlos_Hotel-New_York_City_New_York-or0.html?filterLang=en,San Carlos Hotel,"March 20, 2020","We stayed in this hotel with our two sons of 11 and 14 yo for 6 nights. We had a room with two very comfortable double beds and a ‘kitchenette’. The latter was a bit disappointing as we had expected a little kitchen. Instead the kitchenette turned out to be a microwave, fridge, coffee machine and cutlery for two people. However, in practice this was enough for us to have breakfast in the room each day. The hotel does not provide breakfast, but we bought bread from a lovely bakery nearby and had breakfast in our room in our own time. Ideal for a family with teenagers. The room was cleaned daily, not super good, but sufficient. Also a good gym. The best feature of the hotel is its location. Walking distance to Central Park and Rockefeller Central. Bus stop and metro around the corner. The staff are friendly. All in all, we certainly would recommend this hotel. It is a very good value for money! ",,margotc15,33,5.0
751408642,https://www.tripadvisor.com/Hotel_Review-g60763-d80112-Reviews-San_Carlos_Hotel-New_York_City_New_York-or0.html?filterLang=en,San Carlos Hotel,"March 19, 2020","We had a great stay at this hotel. It was in a great position for touring around and the staff were more than helpful to any request we made. That is all the staff we encountered during our 5 day stay. Good location for Central Park, the shops and a decent walk downtown. The big hop on hop off bus stop was only a few blocks down. Plenty of eateries around the Hotel ranging in price. Would definitely stay again. ",,RICHARD M,0,5.0
751321655,https://www.tripadvisor.com/Hotel_Review-g60763-d80112-Reviews-San_Carlos_Hotel-New_York_City_New_York-or5.html?filterLang=en,San Carlos Hotel,"March 18, 2020","The San Carlos Hotel is an amazing hotel that is centrally located in NYC. The hotel offers well appointed guest rooms, amenities and staff that are friendly, professional and extremely nice to the guests. We used the gym available to guests which was outfitted with enough equipment to enjoy my workout. This has become our go to hotel in NYC, we love the San Carlos Hotel. ",,Odyssey47751195699,0,5.0
751317326,https://www.tripadvisor.com/Hotel_Review-g60763-d80112-Reviews-San_Carlos_Hotel-New_York_City_New_York-or5.html?filterLang=en,San Carlos Hotel,"March 18, 2020",We have stayed here three times over the last two or three years. Enough that the staff remembers us. They are always accommodating and super helpful. The rooms always seem like a great value (I've paid more for less on the side of the Turnpike somewhere!).,"Euclid, Ohio","FKHamilton1</div><div class=""userLoc""><strong>Euclid, Ohio</strong>",0,5.0
751313527,https://www.tripadvisor.com/Hotel_Review-g60763-d80112-Reviews-San_Carlos_Hotel-New_York_City_New_York-or5.html?filterLang=en,San Carlos Hotel,"March 18, 2020",Excellent hotel !! Walking distance to many sights and restaurants. Super comfortable beds. Very clean. Friendly and helpful staff. Nice decor in the lobby. This will be my home in NY. My message has been written,"Brampton, Canada","Hania W</div><div class=""userLoc""><strong>Brampton, Canada</strong>",22,5.0
751312503,https://www.tripadvisor.com/Hotel_Review-g60763-d80112-Reviews-San_Carlos_Hotel-New_York_City_New_York-or5.html?filterLang=en,San Carlos Hotel,"March 18, 2020","Evelyn and Fabio are the personification of outstanding customer service! For the past 10 years, I have been a monthly visitor to NYC; San Carlos is my home away from home. I highly recommend you make it yours. ",,BoardingPass152323,0,5.0
751017911,https://www.tripadvisor.com/Hotel_Review-g60763-d80112-Reviews-San_Carlos_Hotel-New_York_City_New_York-or5.html?filterLang=en,San Carlos Hotel,"March 15, 2020","Great location. Within walking distance of Grand Central, Chrysler Building, Times Square, Broadway and Central Park. Two good cafes across the street for breakfast. Subway just around the corner. Hotel and room decor good although a couple of bits of wallpaper coming off in the room but not really an issue. Comfortable bed. Room had added benefits of coffee/tea making facilities, fridge and microwave. Bath as well as shower which was good for having a soak at the end of the day. Would definitely recommend this hotel.","Edinburgh, United Kingdom","LBerry67</div><div class=""userLoc""><strong>Edinburgh, United Kingdom</strong>",0,4.0
