review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
747912402,https://www.tripadvisor.com/Hotel_Review-g60763-d2151571-Reviews-Selina_Chelsea-New_York_City_New_York-or0.html?filterLang=en,Selina Chelsea,"February 27, 2020","Great location, great room, great price. Located right by the Highline, this hotel thrives on being different without being weird or impractical. Great use of space in the room with ample space for luggage and a reasonably sized modern bathroom.Bed is on a slightly raised platform with the mattress then resting on the floor. Those with limited mobility who need the normal clearance between floor and the top of the mattress may not like this. Otherwise great. Got a great price but could be down to time of year (late Feb). Excellent check in staff as well.",vancouver,"vanbc2009</div><div class=""userLoc""><strong>vancouver</strong>",6,5.0
740510674,https://www.tripadvisor.com/Hotel_Review-g60763-d2151571-Reviews-Selina_Chelsea-New_York_City_New_York-or0.html?filterLang=en,Selina Chelsea,"January 21, 2020",I've stayed at this hotel twice because its convenient when I have my son and I'm working evenings. The rooms are very tiny. The last time I stayed the mattress was horrible. I work at a hotel and I know the GSA has no control over that. When I mentioned it to Mia (I think thats her name) She offered to change my room. & she did. She was very nice and accommodating. I will definietly stay here again.,"Brooklyn, New York","AlexisLeah</div><div class=""userLoc""><strong>Brooklyn, New York</strong>",0,5.0
739836118,https://www.tripadvisor.com/Hotel_Review-g60763-d2151571-Reviews-Selina_Chelsea-New_York_City_New_York-or0.html?filterLang=en,Selina Chelsea,"January 18, 2020","My husband and I were set to travel MLK weekend, and stay at the Selina Hotel. Unfortunately, I came down with the flu and had to cancel our trip to NYC. It was less than 24 hours notice when I called to cancel. The woman at the front desk who took my phone call, Mia, was so accommodating. She listened to me, wished me well and gave me her manager’s contact. When I reached out to the manger via email, she responded to me immediately and waived our cancellation fee. I am even more excited to stay at the Selina the next time we’re in the city. Thank you again to Mia and Kate for being so helpful and kind.",,laurenmedina,0,5.0
718675587,https://www.tripadvisor.com/Hotel_Review-g60763-d2151571-Reviews-Selina_Chelsea-New_York_City_New_York-or0.html?filterLang=en,Selina Chelsea,"October 15, 2019","Let’s start with the positives:+ The location next to the Highline, near galleries and the Hudson Yards is extremely convenient+ The staff is super friendly and helpful- The rooms are poorly lit and not well sound proofed – you can hear a lot of street noise and your hotel neighbors (bring earplugs and eye shades)- The low platform beds are waaay too soft and it’s awkward getting in and out of them – they are like having a mattress on the floor (in the middle of the first night, I started thinking of the bed as ‘the rotisserie of pain’ due to all of the tossing and turning and inability to get comfortable)- - The undisclosed $25 daily ‘facility fee’ that was charged in spite of the fact that the rooftop restaurant and public areas were closed (the ‘restaurant’ was relocated to the basement next to the boiler room). This fee should have at least been mentioned in the confirmation email.In sum, this hotel is just ‘ok’ and quite pricey for what it is ($400-450/night with all of the taxes and fees). I’d suggest going elsewhere – the Citizen M Midtown or the Yotel.",Bay Area,"PHWH</div><div class=""userLoc""><strong>Bay Area</strong>",3,2.0
713519076,https://www.tripadvisor.com/Hotel_Review-g60763-d2151571-Reviews-Selina_Chelsea-New_York_City_New_York-or0.html?filterLang=en,Selina Chelsea,"September 27, 2019","this is not a luxury hotel as it is advertised. Not even 3 star. It is 2 and half star. Under construction - as you enter there was the smell of solvent. I should of turned around then. But I went for the adventure of the americano - No lobby - dust. No restaurant. No place for coffee before 7am. No deli or place for amenities next door or on the street nearby. I didnt see a bar as advertised. So forget it - it isnt there. You are in the NYC trip off experience. There is a ""facility"" charge even if you dont use for wifi and luggage storage. Even tho the wifi is one of those sign in things where you swear to the allegiance of some corporate swank. You cant get a beverage in the hotel except during the breakfast time. So if you get up a 630 you are out of luck. There is no coffee in room. Or nite cap etc...The rooms are like closets. The bed is a mattress on the floor on small platform maybe 4-6 inch off ground- - so getting in and out of bed is a mobility issue- more like stop drop and roll - but i do yoga so i got my downward dog in- . And i mean it is a mattress on the floor - there is no box spring - so there is a bit of the roughing it - dorm life- No place to put your luggage - a squeeze - no hooks to put hand towels in bathroom so on the floor?. the water from my quick 2 min shower flowed into the room. the desk or i mean ""shelf"" for phone and bottle water - is barely room for a mac book pro so leave it at home - they are going more for the airlines tray size -so if you are in ""big"" business this isnt for you. so small there are no drawers for clothes -shelf in closet? that's cool but there isnt room or place to put the suitcase( and i brought a carry on) - the bathroom - lets say shower stall - the sink is so small ( how small - SMALL -) someone with large hands could only put 1 hand in the sink at a time_ there is no rack for a wash cloth or towel to hang nor door to hang on - poor design - one of those designs that the shower glass can see into the room- if you like to groom yourself and make yourself presentable such as makeup or shave or a little fluffing case or toiletries there is a small shelf about the size of a water glass with low lite and even though im tall the towels are high above the toilet - and it was a reach for me- so if you are average size they have a step stool to reach the towels. I kept thinking this place is like the puffy shirt in seinfeld kinda thing minus the laughs and i am a new yorker - also to be cute or designy they dont have a do not disturb sign but rather a black and white signage which god help me at midnite i couldnt recall if white was make up the room or do not disturb - wtf? it is advertised as a family hotel - and well i guess it is for i could hear the family next door fully all night. of course the next morning i complained and it was one of those scenarios where you arent believed and it is my problem - such as being told - well when I go to a hotel i just go to sleep - I pity the staff for having to work there- - there is one small uncomfortable metal chair - but if you have to do an email - etc.. i would work w a phone or ipad or telepathy - the robe was a turn off for it was made out of blue jean- the towels were good. But I have to give credit where credit is due and - I didnt see vermin didnt see puke and didnt see something sticky in a corner. So it could have been worse. And for that I am grateful.",westchester,"rainbowunicornmoon</div><div class=""userLoc""><strong>westchester</strong>",3,2.0
712439978,https://www.tripadvisor.com/Hotel_Review-g60763-d2151571-Reviews-Selina_Chelsea-New_York_City_New_York-or5.html?filterLang=en,Selina Chelsea,"September 23, 2019","I felt compelled to write this review because I really did not enjoy my stay. First off, the room was dirty, small, and not welcoming. The concrete floors looked dirty and the lights were VERY dim. The main light was not working and would just flicker whenever I tried to turn it on. The bathroom was dirty and the toilet was super high (why?) where your feet basically can't touch the floor when sitting on it. The concrete floors are cold and do not look clean. You'd think they offer you some slippers but after asking the front desk they said they ""eliminated"" all slippers recently (wtf?) and didn't have any. I basically had to wear shoes the entire time which was not comfortable. The shower took around 7-10 minutes for hot water to come out. The sink was also SUPER small and in an awkward position so whenever you're brushing your teeth or washing your face water would get everywhere on the floor. Bed was fine and comfortable. There was also no ironing board - you have to request it from the front desk. No roomcards for entry, they are actual super heavy keys that you need to lug everywhere. Save for one person, the staff was in general not that friendly and one looked like she just woke up from a nap when I asked for assistance. Lastly, everything is under construction so no access to main lobby restaurant or rooftop. The only good thing about this hotel is the location but you can probably get a higher quality and cheaper room somewhere else.","Los Angeles, California","crazylegsss</div><div class=""userLoc""><strong>Los Angeles, California</strong>",2,1.0
707550221,https://www.tripadvisor.com/Hotel_Review-g60763-d2151571-Reviews-Selina_Chelsea-New_York_City_New_York-or5.html?filterLang=en,Selina Chelsea,"September 7, 2019","Beware of this property. The website is of the hotel before a change of ownership, it is under construction now and is awful to stay there. There is no restaurant, no lobby—three chairs in the hallway is the only place to sit. Elevators break down, phones not working in the room. And to top it off, staff are unfriendly, unhelpful and off-putting",,GBorsotto,3,2.0
705356429,https://www.tripadvisor.com/Hotel_Review-g60763-d2151571-Reviews-Selina_Chelsea-New_York_City_New_York-or5.html?filterLang=en,Selina Chelsea,"September 1, 2019","This place is a great place to have a drink, stay and look at the Chelsea art scene or make an event memorable. The guys who run it are top notch in every sense. I think its one of those wonderful New York places that will become a classic.","New York City, New York","LeoLeoGG</div><div class=""userLoc""><strong>New York City, New York</strong>",6,5.0
703187040,https://www.tripadvisor.com/Hotel_Review-g60763-d2151571-Reviews-Selina_Chelsea-New_York_City_New_York-or5.html?filterLang=en,Selina Chelsea,"August 26, 2019","I've never written a review of a hotel before, but then again I've also never stayed at a hotel that completely misrepresented every aspect of what it offers. The rooms are uncomfortable and not in good shape. For example our bathroom door was really hard to close and the handle was not attached so fell off every time we used it. The air vents were moldy. There were loose wires in the closet. Whoever cleaned the room did not take out the trash or replace our water glasses. Finally, the hotel uses keys instead of room cards. We thought our keys didn't work and staff explained you just have to jiggle them around a lot - so we had to just jiggle the keys around for like 30 seconds any time we wanted to get into our room. Seriously???The website lists amenities like Le Labo bathroom products, tablet in room, in-room minibar, luxurious bathrobes, slippers, communal spaces, room service until 11 pm ... we did not have any of these. The bath products were cheap, no tablet, no mini bar, only 1 bathrobe that was made out of DENIM (seriously?), no slippers, no communal spaces at all, the restaurant was completely closed except for breakfast. You will be charged a $25 utility fee per night yet they claim the wifi is ""complimentary."" It's not complimentary if you have to pay for it...The entire ground floor is under construction. We booked this hotel with friends so we could hang out at the hotel - that was impossible. There is no lounge or anywhere to sit. The restaurant is completely closed except for breakfast. As other reviewers have mentioned, no one told us this when we booked the hotel. Our reservation confirmation actually says the restaurant is popular and advises us to make a reservation. LOL. Also the pool and rooftop area is closed but I think this is mentioned on the website. We were informed the pool was currently closed when we booked but assured that it would almost definitely be open by the time we came. It was not. Staff was unprofessional - one night, we got back to the hotel and an employee was literally blocking the entrance and yelling at a group of people down the street. When we tried to enter, he didn't move or acknowledge us in any way so we just had to squeeze around him.The only good things I can say is that our room was pretty quiet at night and the location was nice. If you are thinking about staying here, don't! If you've already booked a room, cancel it!!!","Durham, North Carolina","Stella K</div><div class=""userLoc""><strong>Durham, North Carolina</strong>",3,1.0
702600046,https://www.tripadvisor.com/Hotel_Review-g60763-d2151571-Reviews-Selina_Chelsea-New_York_City_New_York-or5.html?filterLang=en,Selina Chelsea,"August 24, 2019","Used to stay at Americano frequent for Folsom Street East and events at DC Eagle. If you check out the web site, there is a pool and rooftop bar in addition to the bar and restaurant on the ground floor. During my most recent visit, the roof is closed, the pool is closed, the bar and the restaurant are walled off. The facility fee of $25 was the last straw.Perhaps worth visiting once construction has been completed.",,Whydoineedauserna,1,1.0
