review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
751753881,https://www.tripadvisor.com/Hotel_Review-g14129528-d1235856-Reviews-Shangri_La_Hotel_Tokyo-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,"Shangri-La Hotel, Tokyo","March 24, 2020","One of the best Hotel's I've stayed at (and not just in Japan!) The service and staff were excellent, the facilities modern, and the location cannot be beat for train access. This is a true 5 star experience. Also, the view is outstanding, hard to beat looking out over Tokyo with your morning tea!Will definitely book for my next trip to Tokyo.","Boston, Massachusetts","PXT1</div><div class=""userLoc""><strong>Boston, Massachusetts</strong>",3,5.0
751319472,https://www.tripadvisor.com/Hotel_Review-g14129528-d1235856-Reviews-Shangri_La_Hotel_Tokyo-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,"Shangri-La Hotel, Tokyo","March 18, 2020","The Shangri-La Hotel Tokyo was the first accommodation experienced by a tour group of ten we were hosting on an Asia tour. We are incredibly pleased with the choice of staying in this beautiful, well appointed and idealy situated luxury Tokyo hotel. The Hotel's management and staff went well beyond expectation to make our stay extraordinary. Attention was carefully paid to ensuring our health safety as our stay coincided with the beginning of the Covid19 scare in Japan. Our every need and request was wonderfully and cheerfully accommodated and the Hotel manager went our of his way to make us feel welcome and at home in his establishment. We are thankful for the experience of having stayed here and can highly recommend the Shanri-La for its excellent central location, quality cuisine, superb cleanliness and unparalleled graciousness.","Washington DC, District of Columbia","rditrolio</div><div class=""userLoc""><strong>Washington DC, District of Columbia</strong>",1,5.0
749997820,https://www.tripadvisor.com/Hotel_Review-g14129528-d1235856-Reviews-Shangri_La_Hotel_Tokyo-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,"Shangri-La Hotel, Tokyo","March 8, 2020",really great hotel in a convinient location - very close to Tokyo station.Rooms were all very well kept and comfortable.there were also quite a number of dining options and had dinner with a set menu - the food was great.,"Sydney, Australia","bbearr</div><div class=""userLoc""><strong>Sydney, Australia</strong>",35,5.0
749456491,https://www.tripadvisor.com/Hotel_Review-g14129528-d1235856-Reviews-Shangri_La_Hotel_Tokyo-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,"Shangri-La Hotel, Tokyo","March 6, 2020","I had very lovely stay in Tokyo Shangrila hotel. Best thing about is of course the hostility, and very clean and nice atmosphere. On top of them, they had the best location that is in the city center, right above the train station.","Ulaanbaatar, Mongolia","Tuyahai</div><div class=""userLoc""><strong>Ulaanbaatar, Mongolia</strong>",9,5.0
745819425,https://www.tripadvisor.com/Hotel_Review-g14129528-d1235856-Reviews-Shangri_La_Hotel_Tokyo-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,"Shangri-La Hotel, Tokyo","February 17, 2020","Enjoyed an all-too-fast one night stay while transiting Japan. Definitely worth the train ride in to town. Check-in staff was lovely, room was large and immaculate, but most importantly silent, and the bed was soooo comfortable. I booked via American Express Fine Hotels, and the property credit covered a snack, breakfast, and lunch before my 4 PM departure. The room service food was delicious (laksa pic included). This is a top pick in Tokyo for sure. ","Irvine, California","amyp394</div><div class=""userLoc""><strong>Irvine, California</strong>",35,5.0
742133582,https://www.tripadvisor.com/Hotel_Review-g14129528-d1235856-Reviews-Shangri_La_Hotel_Tokyo-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,"Shangri-La Hotel, Tokyo","January 30, 2020","They made us feel special since we arrived, we started our honeymoon with the right foot.Arrival to Japan: someone from the hotel was waiting for us outside our train car at the train station with a sign from the hotel, it was a short 8 min walk to the hotel and he helped us with our luggage. He was EXTREMELY kind and helpful.Arrival to hotel: everyone wished us a happy honeymoon at all times, the staff was so so so kind, they held our luggage and lent us complimentary bikes, provided waters and towels and we went straight to the Imperial Palace in the bike and then went back to the hotel and did early check in. Room: incredible, huge shower, robes, slippers, comfortable bed, flawless sheets.Departure: we only stayed for the night and when we left they gave us 3 bears with little Shangri- la hotel robes and a box of chocolates with a honeymoon message signed individually by the staff in different colors. I believe they were going to put it in the room at turndown service but we had the non disturb sign in our door. We already want to go back to Japan and we will FOR SURE stay here when in Tokyo. ","Mexico City, Mexico","rxnbrcg</div><div class=""userLoc""><strong>Mexico City, Mexico</strong>",4,5.0
741875520,https://www.tripadvisor.com/Hotel_Review-g14129528-d1235856-Reviews-Shangri_La_Hotel_Tokyo-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,"Shangri-La Hotel, Tokyo","January 28, 2020","Great hotel and restaurant, excellent check in, great service, English widely understood, great view, the best hotel bed I have slept in , very handy to Tokyo station . Very easy to get around the area, some good shopping ","Auckland Central, New Zealand","843gregp</div><div class=""userLoc""><strong>Auckland Central, New Zealand</strong>",36,5.0
740108677,https://www.tripadvisor.com/Hotel_Review-g14129528-d1235856-Reviews-Shangri_La_Hotel_Tokyo-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,"Shangri-La Hotel, Tokyo","January 19, 2020","Next to the JR Tokyo station easy to in and out and Daimaru department store, many good restaurant near by it's convenient hotelWhole staffs are well prepared especially, the Horizon Club food and services are excellent. Fitness is a bit small/old Would suggest to stay this hotel in Tokyo",,대영 임,2,5.0
739999374,https://www.tripadvisor.com/Hotel_Review-g14129528-d1235856-Reviews-Shangri_La_Hotel_Tokyo-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,"Shangri-La Hotel, Tokyo","January 19, 2020","We stayed in a club room located on the 36th floor with a stunning view overlooking Tokyo. The room was spacious (especially regarding being in Japan) with large windows, again with a fantastic view overlooking Tokyo (even when lying in bed). The bathroom was also spacious with a separate toilet and a separate giant shower and a bathtub. The room was equipped with a Nespresso machine and snacks, cookies and chocolate. Pajamas are also included. And of course, being in Japan, the TV is a smart-TV with a soundbar. There is an ironing board and minibar as well.On the ground floor there is staff awaiting to serve you with the elevator and greeting you welcome. The reception is on the 28th floor. On this floor is also restaurants and a bar. The service throughout the entire hotel is excellent. There is an Italian restaurant, Piacere, which is very good. The menu for the gentleman/host includes all the prices, while the menu for the lady does not. A little bit posh, but very pleasant. Great food and service. Breakfast is also served here.The lobby lounge was also very nice. The service was, again, excellent.There was a gentleman that worked there that really made our stay extra pleasant. However, we do not recall his name, but we do know that he was from Indonesia and think he was a manager. Again, thank you for your exceptional super and pleasant service!On the 37th floor is the club lounge, where breakfast and evening drinks including snacks is served. For evening drinks, real champagne is served, which is always appreciated. The hotel is in the corner of Tokyo Station Mall, so it is close to the metro and other trains.If you arrive with train from the airport, it is possible to arrange for someone to meet you at the train and escort you to the hotel. It is called “meet and greet” and is complementary. We recommend you take this opportunity as it can be difficult to find your way upon arrival. There are lots of restaurants within walking distance of the hotel.This is by far, one of the best hotels that we have stayed in.","Stockholm, Sweden","Mango60</div><div class=""userLoc""><strong>Stockholm, Sweden</strong>",46,5.0
739575551,https://www.tripadvisor.com/Hotel_Review-g14129528-d1235856-Reviews-Shangri_La_Hotel_Tokyo-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,"Shangri-La Hotel, Tokyo","January 16, 2020","Of the three hotels we've stayed in in Tokyo, which previously included The Peninsula and Tokyo Station, this is now my absolute favourite. From the meet and greet at the train station platform through to saying goodbye as we left to fly home all the staff were wonderful and made every second of our stay feel special.It starts on the 28th floor of a shared office building, although it has its own ground floor entrance, so the views from all of its rooms are stunning. I am generally a terrible sleeper, more so in hotels, but I've never had such a good couple of nights sleep as I did here. Most comfortable bed I can ever recall using.It only has two restaurants, a Japanese one and an Italian; the Italian was only serving a special degustation menu whilst we were there which with it being the end of our holiday we couldn't face so didn't try. We did have breakfast which, as expected, was of an extremely high quality and one of the best I've ever had.All in all its a fantastic place, so good that it's become a destination in its own right for me...the only other hotel I can think of that makes me feel this way is The Mandarin Oriental in Bangkok. I will travel via Tokyo just to stay here even it its only for a stopover.","Sydney, Australia","TheClairvoyant</div><div class=""userLoc""><strong>Sydney, Australia</strong>",61,5.0
