review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
750809250,https://www.tripadvisor.com/Hotel_Review-g1066456-d307381-Reviews-Shibuya_Excel_Hotel_Tokyu-Shibuya_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Shibuya Excel Hotel Tokyu,"March 13, 2020","On a very well located area, Shibuya. various mode of transportations are nearby such as bus stations, trains, direct nex from narita Airport, direct mt fuji express line. There's also a airport bus express on lvl 5 where the lobby is located. Free wifi in room. Room is big compared to other normal Japan room. Toilet amenities is comparable to international 5 stars hotel. Recommend this hotel to all travellers.","Singapore, Singapore","ohnogal8</div><div class=""userLoc""><strong>Singapore, Singapore</strong>",3,4.0
747235069,https://www.tripadvisor.com/Hotel_Review-g1066456-d307381-Reviews-Shibuya_Excel_Hotel_Tokyu-Shibuya_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Shibuya Excel Hotel Tokyu,"February 23, 2020","One of the best hotels to stay at if you are at Dogenzaka. Lobby is at 4th floor and if you happen to stay in a room on higher floors, the view of the Shibuya crossing is all yours. The hotel is also accessible by the Limousine Bus from Haneda or Narita airport. If you're staying with family, try to book a room here as early as you can!","Singapore, Singapore","vlee888</div><div class=""userLoc""><strong>Singapore, Singapore</strong>",7,5.0
745620838,https://www.tripadvisor.com/Hotel_Review-g1066456-d307381-Reviews-Shibuya_Excel_Hotel_Tokyu-Shibuya_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Shibuya Excel Hotel Tokyu,"February 17, 2020","this is my 6 th stay here, the room is clean, spacious, bed is comfortable, linen is soft and super clean, same goes for the towel, amenities complete, only lacking is the ditness center, staff very courteous and kind. airport shuttle bus stop right in front of the hotel. highly recommendable.","Manila, Philippines","sannytan</div><div class=""userLoc""><strong>Manila, Philippines</strong>",2,5.0
743532544,https://www.tripadvisor.com/Hotel_Review-g1066456-d307381-Reviews-Shibuya_Excel_Hotel_Tokyu-Shibuya_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Shibuya Excel Hotel Tokyu,"February 7, 2020","Big rooms for this place in Tokyo. Location - splendid, right next to the metro. There was good breakfast for extra cash. There was no crib for babies so my 1.8 year old slept on a single bed places against the wall - not optimal but a lot of hotels in Japan don't have cribs for babies.Overall good hotel but for a very high budget",,Efrat H,9,5.0
741089326,https://www.tripadvisor.com/Hotel_Review-g1066456-d307381-Reviews-Shibuya_Excel_Hotel_Tokyu-Shibuya_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Shibuya Excel Hotel Tokyu,"January 25, 2020","An hour and a half by shuttle bus from Narita Airport. Stops right in front of the hotel. The hotel was in a very good location.The room that we stayed in was reasonably sized (but not spacious) . Downstairs, there was a nice looking cafe, but it seemed a little pricey, so we didn't go for it. Instead, we got our food from the shopping complex in the basement.There were various shops to choose from, from Starbucks to Japanese food shops(bento boxes). The hotel is also connected to the station.I recommend this hotel to anyone who wants to save time.","Singapore, Singapore","Paradise795648</div><div class=""userLoc""><strong>Singapore, Singapore</strong>",12,4.0
737968999,https://www.tripadvisor.com/Hotel_Review-g1066456-d307381-Reviews-Shibuya_Excel_Hotel_Tokyu-Shibuya_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Shibuya Excel Hotel Tokyu,"January 8, 2020","We stayed at the hotel a few days before and after New Year’s Day which was in a busy period. We interestingly didn’t feel as though the hotel was packed, which was great as we knew they were as we tried booking other rooms which weren’t available. The hotel is in the perfect location as it’s close to everything.The things we liked: - The hotel offers complimentary transfers to their sister hotels, which came handy as the express train from the airport was cancelled and we needed to take a bus from the airport (side note: we used the airport limousine bus to the hotel and I highly recommend it... It’s brilliant! The bus drive was 1.5 hours from the airport, has free wifi onboard and you can transfer from a sister hotel at no extra cost).- The rooms were cozy and and modern. - You are given a mobile phone (Handy) to take out which was great as it allowed free calls and internet access on the road. - You HAVE TO order room service as a robot delivers your items... Yip, an unassisted robot. - You’re a 2 min walk to Shibuya station which has multiple trains. - You’re a 2 minute walk from Shibuya crossing. - There’s 1 bar and 2 restaurants at the hotel. I wouldn’t recommend the bar as service was terrible on both nights we had drinks there.- There are dedicated areas on different floors for laundry (irons, washer, dryer and pants press), a drinks vending with an ice machine, shoe care room and a kitchen. - You’re connected to Shibuya Scramble Square and a few delis, external restaurants and coffee shops (Starbucks is 30 seconds from the hotel). The things we didn’t like: - There’s no concierge which ended up being an issue for booking trips. We couldn’t book tickets for TeamLab and because there’s no concierge we were just pointed to the same website with no further help than that. - The biggest issue is the traffic noise as it’s VERY loud. If you’re a light sleeper, ask for a room FAR away from the roads. This may affect your view, but I couldn’t sleep the first night, and after moving rooms, things were a little better, but still too noisy for me.- The check in was ok. It didn’t feel as though the reception wanted us to be there and was relatively moody. This is very different to the other hotels across Tokyo, Kyoto and Osaka. Interestingly, it was a similar experience at the newer hotel in Osaka. - There are only 2 local charging plug ports with only 1 plug point (ie no international plug points).- They mention there’s a gym but there are only 2 tiny gym spinning bikes, so don’t plan to do anything fitness related here.- When we checked out, we asked to store our luggage as we had a trip planned before heading out to Kyoto. It felt as though storing it was an issue because we needed to be very specific on the time that we could store our luggage. It was just a cold experience. Overall, a great location, but I think we’ll choose a different hotel when we’re back in Tokyo. The area (Shibuya) is a must to stay in though.","Cape Town, South Africa","TravelingRobs</div><div class=""userLoc""><strong>Cape Town, South Africa</strong>",16,3.0
736192114,https://www.tripadvisor.com/Hotel_Review-g1066456-d307381-Reviews-Shibuya_Excel_Hotel_Tokyu-Shibuya_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Shibuya Excel Hotel Tokyu,"January 1, 2020","When I am in Shibuya, I stay either at Cerulean Hotel or Excel Tokyu, but if I have the choice, it will always be the latter.Excel Tokyu is situated on the 5th floor of Mark City. It is on top of all the subway lines and the bus terminal. The hotel has a lift that goes directly down to the Shibuya Station. Whether I fly via Henada or Narita, there is a shuttle limousine door to door usually at half-hourly intervals.Mark City is a mall with many shops and restaurants. Connected to the mall is the Tokyu Premium Plaza for more shopping and a nice supermarket/food hall.Hotel rooms are relatively spacious. A standard single room is usually 20 sq m. I paid approximately HK$6500+ including tax and service for a 4-night stay booked through Trip.com and was upgraded to a twin room.Service at the hotel is not something to boast about but for me it is quite all right as I go in and out of the hotel hardly having to pass through the reception area.In general the hotel is adequately comfortable. Although Cerulean is a little bit of a higher standard, I still prefer this one for it convenient location.","Hong Kong, China","PatriciaHKG</div><div class=""userLoc""><strong>Hong Kong, China</strong>",10,4.0
736016131,https://www.tripadvisor.com/Hotel_Review-g1066456-d307381-Reviews-Shibuya_Excel_Hotel_Tokyu-Shibuya_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Shibuya Excel Hotel Tokyu,"January 1, 2020",We chose this hotel for the location and it was worth it. It is a nice hotel with standard features. Great view of the crossing. The night shirts were amazing. When I get back to Tokyo I would stay here again. ,,JoniBaloney1977,1,4.0
734858146,https://www.tripadvisor.com/Hotel_Review-g1066456-d307381-Reviews-Shibuya_Excel_Hotel_Tokyu-Shibuya_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Shibuya Excel Hotel Tokyu,"December 26, 2019","Besides the customer service is remarkable, the room is huge, clean and tidy compared other hotel. The city view to shibuya crossing is amazing. My wife is have fun taking photo in multiple scenario such as morning rushing and evening lighting. The best shot shall go to ""raining"" full of umbrella. Surely will stay again. I will never forget the service provided by them. It is an impressive service level especially the employee name Seryon Ban (Star of the day)","Kuala Lumpur, Malaysia","samuelttc</div><div class=""userLoc""><strong>Kuala Lumpur, Malaysia</strong>",1,5.0
734633465,https://www.tripadvisor.com/Hotel_Review-g1066456-d307381-Reviews-Shibuya_Excel_Hotel_Tokyu-Shibuya_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Shibuya Excel Hotel Tokyu,"December 25, 2019","Second time to stay in this hotel and will surely book it again when I visit Tokyo for the nth time. In the heart of Shibuya with a view of the Shibuya Scramble/Crossing. A lot of food choices, great shopping area, walking distance to Harajuku/Ometosando area. Airport buses from/to Haneda end/begin from this hotel","Manila, Philippines","lvndrgrl</div><div class=""userLoc""><strong>Manila, Philippines</strong>",42,5.0
