review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
750644202,https://www.tripadvisor.com/Hotel_Review-g1066456-d630480-Reviews-Shibuya_Granbell_hotel-Shibuya_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Shibuya Granbell hotel,"March 12, 2020","We were supposed to arrive on Monday March 16th, in view of the health situation in France we can not honor our trip, I sent 2 emails to the hotel without any response from them for a refund ! Lamentable and very disappointed, we won't come to this hotel next year for the postponement of our holidays in Japan.","Monaco-Ville, Monaco","momoetboboi</div><div class=""userLoc""><strong>Monaco-Ville, Monaco</strong>",17,1.0
750542263,https://www.tripadvisor.com/Hotel_Review-g1066456-d630480-Reviews-Shibuya_Granbell_hotel-Shibuya_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Shibuya Granbell hotel,"March 11, 2020","this hotel needs renovation, the front door doesnt work going to the lobby. also from the train station to the hotel is very far now. because like what the previous comment said, it had construction. you have to go the long way now.hotel room is very dusty and it seemed like housekeeping not doing good jobnot recommended","Basilan Island, Philippines","ericdX4744JW</div><div class=""userLoc""><strong>Basilan Island, Philippines</strong>",1,1.0
750028094,https://www.tripadvisor.com/Hotel_Review-g1066456-d630480-Reviews-Shibuya_Granbell_hotel-Shibuya_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Shibuya Granbell hotel,"March 9, 2020","dirrty and old .and far from shibuya crossing because of construction. the ongoing construction in that area will make you circle the place before reaching shibuya crossing. what once took only 10 mins , now takes 20 mins to get to shibuya crossing. mind you there is no elevator. so if you have luggage, poor you. thats what happened to me. the hotel also looks dusty. and the rooms are old and in dire need of renovations. management should change the bathroom, its too old. bed was with stain too","New Germany, Canada","108barbies</div><div class=""userLoc""><strong>New Germany, Canada</strong>",2,1.0
744528814,https://www.tripadvisor.com/Hotel_Review-g1066456-d630480-Reviews-Shibuya_Granbell_hotel-Shibuya_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Shibuya Granbell hotel,"February 11, 2020",We usually stay in 5 start hotels but we stayed there over New Years eve as that's apparently where the action is. We were at Keto plaza fShinjuku or a week before this.Japan closes down on New Years eve and we had no where to eat dinner.The hotel staff had no recommendations even though they should at least have some options for us. They know this happens every year so why not prepare the customers for this before hand!?We ended up buying prepacked food in near by 24 hr supermarket but when we asked reception for some cutleries they refused. Japanese seem so nice on the surface but so inflexible and their lack of care/empathy is astounding. The hotel is tiny and I felt dirty in there.This is supposed to be a 4 start hotel!,"Sydney, Australia","janetsidari2018</div><div class=""userLoc""><strong>Sydney, Australia</strong>",7,2.0
744326293,https://www.tripadvisor.com/Hotel_Review-g1066456-d630480-Reviews-Shibuya_Granbell_hotel-Shibuya_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Shibuya Granbell hotel,"February 11, 2020","Great location just next to the train station.Breakfast is good. Room is Japanese’s style, Meaning it’s very very small but clean and comfortable. No gym. Great WiFi. Free coffee and tea (from machine) at reception. ",Brazil,"Micagrow</div><div class=""userLoc""><strong>Brazil</strong>",6,4.0
743427236,https://www.tripadvisor.com/Hotel_Review-g1066456-d630480-Reviews-Shibuya_Granbell_hotel-Shibuya_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Shibuya Granbell hotel,"February 6, 2020","I was super-pleased with the friendliness and professionalism of the front desk staff. I had a problem (of my own making, not related to the room, hotel, etc) and they did a wonderful job of helping me fix it.Excellent access to all the fun of the Shibuya area and easy access to the rest of Tokyo from there.",Colorado,"tripmangler</div><div class=""userLoc""><strong>Colorado</strong>",20,5.0
742300055,https://www.tripadvisor.com/Hotel_Review-g1066456-d630480-Reviews-Shibuya_Granbell_hotel-Shibuya_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Shibuya Granbell hotel,"January 31, 2020",Hotel is very close to shibuya train station and crossing! Very clean rooms and comfortable stay. Helpful staff. But they should speak at least a bit english because they direct you different locations where you don’t ask. We stayed 2 times during our Japan trip. In second stay we asked for late check out just for more 20 or 30 mins but they directly wanted to charge it. It was not nice the way we got answer. It could be nice gesture to help. Apart from that very good location and surrounded with restaurants shopping centers.,"Dubai, United Arab Emirates","mimozaclk</div><div class=""userLoc""><strong>Dubai, United Arab Emirates</strong>",4,4.0
740698543,https://www.tripadvisor.com/Hotel_Review-g1066456-d630480-Reviews-Shibuya_Granbell_hotel-Shibuya_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Shibuya Granbell hotel,"January 22, 2020","Pleasant stay, the Granbell hotel is extremely well located, few steps away from the Shibuya station and few minutes from Shibuya crossing. The staff is particularly friendly and helpful at any time of the day and night.",,williamfQ6552RI,2,4.0
723743938,https://www.tripadvisor.com/Hotel_Review-g1066456-d630480-Reviews-Shibuya_Granbell_hotel-Shibuya_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Shibuya Granbell hotel,"November 4, 2019",Do not stay here rooms are so tiny u could not believe it!!!!!!!!!Not enough room swing a mouse!!Asked for bigger room told extra £3600 for 2 week stay!!!Do not stay here check room size of any hotel u book!!!,"Sydney, Australia","Jon W</div><div class=""userLoc""><strong>Sydney, Australia</strong>",2,1.0
722484136,https://www.tripadvisor.com/Hotel_Review-g1066456-d630480-Reviews-Shibuya_Granbell_hotel-Shibuya_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Shibuya Granbell hotel,"October 30, 2019","Modern, clean hotel with all you'll need in a great central location. Perfect for eating and shopping. Only set back was we were given smoking rooms which smelt of tobacco. Make sure you check this when you book.","London, United Kingdom","MrCLC</div><div class=""userLoc""><strong>London, United Kingdom</strong>",6,4.0
721345741,https://www.tripadvisor.com/Hotel_Review-g1066456-d630480-Reviews-Shibuya_Granbell_hotel-Shibuya_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,Shibuya Granbell hotel,"October 25, 2019","Good location in Shibuya. Somewhat hidden from the street, so hard to find. A bit worn out, small - but well furbished - rooms. Train noise when your room is located on the left side of the corridor. Staff not that helpful (for Japan) and little or no English - which surprised us for that location.","Leuven, Belgium","GuyGeerts</div><div class=""userLoc""><strong>Leuven, Belgium</strong>",114,3.0
