review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
747901009,https://www.tripadvisor.com/Hotel_Review-g1066456-d14212238-Reviews-Shibuya_Stream_Excel_Hotel_Tokyu-Shibuya_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Shibuya Stream Excel Hotel Tokyu,"February 27, 2020","The hotel is in a good location and the building is new.However, the rooms are small for what you pay for and the curtains are bad, so if you are a light sleeper, you will be woken up earlyAlso, the hotel is above a shopping/restaurant complex, which closes at 11 pm. Which means that if you stay up past that time, you will have a hard time getting to your room! I had a verbal confrontation with the security guards late at night because I was just trying to get into my hotel room and they would not let me! Will never stay here again...",,markcoolio123,0,1.0
747584236,https://www.tripadvisor.com/Hotel_Review-g1066456-d14212238-Reviews-Shibuya_Stream_Excel_Hotel_Tokyu-Shibuya_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Shibuya Stream Excel Hotel Tokyu,"February 25, 2020","Reviews for Hotels need to be based on the type or let's say CLASS the hotel qualifies as. This Hotel is a 3 Star ""Type ( Class?)"" of Hotel , where as the Four Seasons, Waldorf etc., are 5 Star Type/Class of Hotels. People give a Holiday In Express 5 Stars and then the Waldorf Astoria gets a 5 Star.. um what the heck?  Shibuya Stream Excel Hotel Tokyu.. I give this 3 Star Class Hotel a 4 star review.• Pros. Location is great, Staff is accommodating, Room was clean, Bed/Pillows were great, the Concept of Amenities available on each floor is cool. One floor is the Kitchen/Food Meister has microwave, rice cooker and other similar, another floor is the Clothes (?) Meister- has pants iron, ironing boards, shoe polisher etc., another has ice, etc . Very nice looking hotel lobby and halls.• Cons. Our room was TINY! #1320 and we paid for the upgrade! -Tiny Room Fridge is really just to keep things 'cool' not cold. - TV 98% Japanese stations (Other Japan Hotels have ample English channels). - The Breakfast included was a BIG WASTE of time and money.... you choose from one of 4 choices which are each small portions.... i.e, french toast is 1/2 piece of bread cut in half again and 1/2 piece of bacon, watered down tomato juice, very few choices at their so called buffer area. - HARD TO FIND..this hotel is very hard to find... the address you give to a taxi driver is a huge building and area and this hotel is floors 9-13 and their lobby on the 4th floor.","Naperville, Illinois","boomer810</div><div class=""userLoc""><strong>Naperville, Illinois</strong>",11,3.0
742341917,https://www.tripadvisor.com/Hotel_Review-g1066456-d14212238-Reviews-Shibuya_Stream_Excel_Hotel_Tokyu-Shibuya_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Shibuya Stream Excel Hotel Tokyu,"January 31, 2020","Pros :- location is prima ! Next to the brand new mall (Shibuya Stream) and lots of Shibuya’s many ‘attractions’ (food, shopping, Shibuya crossing, Hachiko statue, etc).- Hotel is relatively new.- Room : super clean and cozy. Great amenities.- Bedsets (pillow, duvet, sheets) : one of the best beds & pillows we have ever slept in. Wanted to buy the pillow, but they don’t sell it :(- Breakfast : very good, Japanese style with modern touch, very satisfying.- Torrent Restaurant : great New Year’s eve dinner ! Desserts are fabulous.- Robot ‘hotel attendant’ : very amusing and efficient ! It replaces human for doing small & easy tasks.- Taxi service to the nearest sister hotel (Cerulean Tower Tokyu Hotel) to reach airport bus was great. Super convenient & super clean taxi !Cons :- Room size : moderately small, but still acceptable, considering this is Tokyo.","Jakarta, Indonesia","traveladdictjkt</div><div class=""userLoc""><strong>Jakarta, Indonesia</strong>",28,5.0
740362369,https://www.tripadvisor.com/Hotel_Review-g1066456-d14212238-Reviews-Shibuya_Stream_Excel_Hotel_Tokyu-Shibuya_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Shibuya Stream Excel Hotel Tokyu,"January 20, 2020","Had 7 nights here after skiing, location is superb and fitout is great but the beds are the worst we’ve ever experienced. It was like sleeping on a concrete slab, my wife and I woke every morning feeling stiff and extremely sore, to the point we’ve booked in our chiropractor when we got home! The couch in the main lobby was more comfortable. We asked about the beds on our first night and there was an attitude of don’t care and there is no solution. Also weirdly, there is no towel rails in the bathrooms.If you need a softer bed then I can not recommend this hotel - shame as it has so potential ","Sydney, Australia","willr583</div><div class=""userLoc""><strong>Sydney, Australia</strong>",0,2.0
740004772,https://www.tripadvisor.com/Hotel_Review-g1066456-d14212238-Reviews-Shibuya_Stream_Excel_Hotel_Tokyu-Shibuya_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Shibuya Stream Excel Hotel Tokyu,"January 19, 2020","I stayed in this hotel for close to 10 days. The hotel is located in the middle of the busiest streets of Tokyo.Well connected by metro lines, the hotel compound also has 200+ restaurants making the stay complete in itself. The staff is friendly and the rooms have all the amenities needed for a good stay. Few things that can be improved:- In-room dining options can be provided for business travelers who are tired to go out; especially since it gets quite cold outside- vegetarian and vegan menus since the people who come and stay are global travelers- Keeping a microwave and some plates in the room for in-room eating- There was a kitchen on the 13th floor but there were no cooking utensils or guides to use the devices. This made the kitchen unusable for travelers like me. I tried asking the staff who was cleaning there but she did not understand English. - Pick and drop from an airport limousine drop point that can be charged.","Bengaluru, India","Disha C</div><div class=""userLoc""><strong>Bengaluru, India</strong>",32,4.0
737287004,https://www.tripadvisor.com/Hotel_Review-g1066456-d14212238-Reviews-Shibuya_Stream_Excel_Hotel_Tokyu-Shibuya_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Shibuya Stream Excel Hotel Tokyu,"January 6, 2020","I searched for a hotel room for two adults and one 5-year-old child through Hotels.com, using this occupancy information as the search criterion. This hotel seemed to fit the bill so I booked it. Imagine our surprise when, upon entering our room, we found that there was a queen-sized bed... and nothing else. A visit to the reception revealed that there are no rollaway beds/sofabeds or even floor mattresses available at this hotel. Not a single one.""Where is my child supposed to sleep?""The receptionist shrugs. Don't know, don't care.""Why are you advertising this room for 'up to 3 people' when that is obviously not truthful?""Another shrug.Further discussion revealed that they DID, in fact, have a room available that could fit an extra bed - for more than twice the price.(Now, if this hotel had any sense of customer service, they would've said ""Sorry, we messed up, please allow us to move you to a room that matches what you actually booked""... but evidently that's not how this hotel rolls.)At this point it was long past my child's bedtime so, begrudgingly, we paid the difference and received the key to the bigger corner room.Imagine our surprise (again!) when we entered the new, bigger room and there was still no extra bed! There was only a narrow, short, extremely hard chaise-longue whose shape did not allow for any practical addition of bedlinen. Speaking of which, there was none. Another call to the reception and they delivered us one (1) flat sheet and one (1) very scratchy woollen blanket. No pillow, no blanket cover. We make do the best we can with what we've got. Every morning the housekeeping un-made the sorry excuse of a bed back into a chaise-longue. We had to keep re-making it over and over again. None of us got much rest during our stay in Tokyo and we were glad to leave at the end.Families: THIS HOTEL DOES NOT WANT YOUR CUSTOM. I'd strongly advise you to stay away.The attitude of the staff makes it impossible for me to recommend this hotel to anyone, with children or not.","Espoo, Finland","DDiana6</div><div class=""userLoc""><strong>Espoo, Finland</strong>",22,1.0
730361447,https://www.tripadvisor.com/Hotel_Review-g1066456-d14212238-Reviews-Shibuya_Stream_Excel_Hotel_Tokyu-Shibuya_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Shibuya Stream Excel Hotel Tokyu,"December 2, 2019","We loved Shibuya Stream Excel! First and foremost you cannot beat the location! It’s literally on top of the metro station, in the middle of Tokyo. The hotel is spotless, and the staff was so incredibly helpful, which went out if their way to assist us. I asked about the toll highways and moments later a letter with detailed directions, calculated toll fees to our destination, including a personal bakery recommendation arrived. We regretted staying in another hotel in Shinjuku a few days later. The hotel’s laundry room (equipped with washers pre-loaded with soap and softener) is an awesome amenity for those that like to pack light. We got Starbucks in the morning, which is in the same complex, avoiding the overpriced breakfast they offer there. There’s a ton of restaurants within the complex as well as a high end mall. We can’t wait to visit soon again!",Malibu,"Heidi C</div><div class=""userLoc""><strong>Malibu</strong>",0,5.0
729647676,https://www.tripadvisor.com/Hotel_Review-g1066456-d14212238-Reviews-Shibuya_Stream_Excel_Hotel_Tokyu-Shibuya_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Shibuya Stream Excel Hotel Tokyu,"November 29, 2019","First of all, the room was much smaller than first time around (even though it was in same price category and bed is the same size) and it was on a different side of the hotel so this time had a lot of street noise especially from the major train station downstairs. This made the ridiculous ceiling lamp, which you can’t help but hit your head on repeatedly even more of a nuisance (form over function for sure!)Secondly, when booking found the price varied wildly from night to night: as much as several hundred dollars difference dollars for a single, even though I was booking months in advance. So I wasn’t able to string as many nights together here as I would’ve liked, and had to split up my stay with another hotel (which was good, and so will probably stay in that one place next time instead of here).The staff was friendly, as usual. Just a few strange things that made the stay less enjoyable... First of all, I made the mistake of trying to do laundry this time around. They have one coin washer/dryer FOR THE ENTIRE HOTEL!!!!! Then, instead of having an iron and ironing board in the room as many Japanese hotels do, or a trouser press at least (as almost all Japanese hotels do), they direct you to their “meister” floor, which has to be one of the most idiotic ideas ever: it has 2 irons, again to be shared by THE ENTIRE HOTEL. And if you choose to use the trouser presses here, you’ve got to just wait around; one of the great conveniences to having a trouser press in your room is you can do other things and then voila your pants are pressed. They have other “meister” floors too, like a “drink meister” floor with vending machine, which really means they only have one vending machine for drinks again, IN THE ENTIRE HOTEL. I began to realize this “meister” concept, which they promote a lot, is really just a way for them to cut corners. On the plus side, there is a 7-11 outside on the ground floor, and an absolutely fabulous grilled fish restaurant on one of the restaurant floors (outside the hotel but inside the same mixed-use building). Lunch here is particularly reasonable and it’s food that’s not easy to get outside Japan.","New York, NY","mikebern</div><div class=""userLoc""><strong>New York, NY</strong>",129,3.0
728286715,https://www.tripadvisor.com/Hotel_Review-g1066456-d14212238-Reviews-Shibuya_Stream_Excel_Hotel_Tokyu-Shibuya_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Shibuya Stream Excel Hotel Tokyu,"November 22, 2019","Stayed for 3 nights at the end of a 2 week trip around Japan and this was just fabulous. The rooms are a very good size and the bed was extremely comfortable. The bathroom amenities are a little odd, given that the shower and bath basically are a wet room but they were clean. Staff were helpful, the lobby is stylish, bar is nice to start an evening and it's very well located to lots of restaurants, Shibuya train station and crosswalk. Would absolutely stay here again.","Perth, Australia","melisaway</div><div class=""userLoc""><strong>Perth, Australia</strong>",0,5.0
727183121,https://www.tripadvisor.com/Hotel_Review-g1066456-d14212238-Reviews-Shibuya_Stream_Excel_Hotel_Tokyu-Shibuya_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Shibuya Stream Excel Hotel Tokyu,"November 17, 2019","I stayed in this hotel for 3 nights and it’s one of the best during my trip! The design of the room is modern and spacious. Love the design of the long sofa in the room and it was comfortable. The bed, omg! The quality of the pillows and blankets were so good and the bed was so comfy that it put all my hotel stays before that during this trip to shame. They also provided decent and sufficient amenity kit. My husband complained that the shaving cream/gel and the shaver were not working that well though.The location was great since it’s located within a mall with variety of food and drinks, and it’s near the train station. I love the ideas of the “Meister Rooms”. They look clean and modern and are very useful. I’m not sure if 1 washer and 1 dryer in the Style Meister is enough. It was being used when I first saw it, so I had to wait for awhile until the washer is vacant.However, the variety of the mains for breakfast is quite limited. 2 breakfasts in the hotel is ok, 3 is probably too much. I wouldn’t get the breakfast option if i were to stay there again. ","Singapore, Singapore","WooMoosAndWawas</div><div class=""userLoc""><strong>Singapore, Singapore</strong>",3,5.0
