review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
745621559,https://www.tripadvisor.com/Hotel_Review-g1066456-d479494-Reviews-Shibuya_Tokyu_REI_Hotel-Shibuya_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Shibuya Tokyu REI Hotel,"February 17, 2020",Located within five minutes walk of the railway station and renowned 'Scramble Crossing'.A compact hotel to say the least but you won't be staying there to look at it lol as Tokyo is a whopper of a city! We just refreshed and ventured out.Must give a mention to the bidet toilets which are common in Japan!,"Banbury, United Kingdom","icon766</div><div class=""userLoc""><strong>Banbury, United Kingdom</strong>",11,3.0
738787541,https://www.tripadvisor.com/Hotel_Review-g1066456-d479494-Reviews-Shibuya_Tokyu_REI_Hotel-Shibuya_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Shibuya Tokyu REI Hotel,"January 12, 2020","The location of the hotel is superb! 5 mins to shibuya crossing and shopping mall / alley. Most importantly, nearby to all Halal restaurant / stall in shibuya! The rooms and the toilet is rather small compare to the price that you pay.. But its in the center of shibuya!! So no complaint! The essential toiletries they provided is excellent. The room were clean everyday n the bed is comfortable. ","Kuala Lumpur, Malaysia","Elly2Angel</div><div class=""userLoc""><strong>Kuala Lumpur, Malaysia</strong>",1,4.0
730369386,https://www.tripadvisor.com/Hotel_Review-g1066456-d479494-Reviews-Shibuya_Tokyu_REI_Hotel-Shibuya_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Shibuya Tokyu REI Hotel,"December 2, 2019","I stayed here for 5 nights. From outside it looks like nothing special. We go down the escalator we see the reception table but the girl led me to a machine on the side to check-in. I got a room with 2 single beds. No way was a double bed going to fit me and my 6’1 boyfriend which they said fits 2 people so spent a little extra to get 2 beds. Amenities like toothbrush, brush, Q-tips, little extras always go a long way for me. The water pressure of the shower was strong. I love the heated toilet seat and it had a bidet too. They give you night robes as well. The AC was not strong so it felt hot in the room. Good thing I bring my small travel fan.We were on the 11th floor, did not hear street noise but the train outside but it was ok soothing almost. The beds were not too comfortable so it wasn’t good for my bad back. The TV did not give you local TV stations, it only had movies which you had to buy movies. WiFi was almost nonexistent. But overall for a hotel in Shibuya it was pretty good. So many restaurants close to the hotel. Location was the amazing for a first time visitor to Tokyo. The entrance to the Shibuya Station was steps away from the hotel. Stayed for 5 nights and it was very pleasant. 4 stars!","San Francisco, California","SasMonti</div><div class=""userLoc""><strong>San Francisco, California</strong>",38,4.0
723274698,https://www.tripadvisor.com/Hotel_Review-g1066456-d479494-Reviews-Shibuya_Tokyu_REI_Hotel-Shibuya_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Shibuya Tokyu REI Hotel,"November 2, 2019","Great location, proximity to the Shibuya scramble and great eateries. Room was small but comfortable and had a hot pot for coffee and tea. Small bathroom but had amenities, i.e. bidet with temperature control. No closet but a space to hang your clothes. Breakfast had western and Japanese selection which was great. The only downside was we had an early flight so we were not able to avail of the breakfast. I tried to compromise if we could have some snacks before leaving for the airport since it was paid for, and they just said No. The other downside was since front desk was not street level, the escalator is not in operation before 6 a.m. It is a plight of stairs to carry your luggage up. They have to consider that mostly are tourists who have heavy luggages. It is unusual that a hotel would have to stop operations of its facilities that are constantly being used by guest. Otherwise a clean hotel.","Mississauga, Canada","Grace082</div><div class=""userLoc""><strong>Mississauga, Canada</strong>",19,4.0
692344421,https://www.tripadvisor.com/Hotel_Review-g1066456-d479494-Reviews-Shibuya_Tokyu_REI_Hotel-Shibuya_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Shibuya Tokyu REI Hotel,"July 24, 2019","As expected, the room is tiny, but the bed is comfortable and the room is equipped with all basic amenities.The hotel is conveniently located close to Shibuya station though.Walls between rooms are quite thin, so do keep your noise down and sometimes you may hear people next door.","Hong Kong, China","Happytourist098</div><div class=""userLoc""><strong>Hong Kong, China</strong>",34,4.0
691335265,https://www.tripadvisor.com/Hotel_Review-g1066456-d479494-Reviews-Shibuya_Tokyu_REI_Hotel-Shibuya_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Shibuya Tokyu REI Hotel,"July 21, 2019","Caught the subway from Tokyo Bay to Shibuya. Very easy to find as was on the same side of the road as BIc Camera and McDonald’s. Checking in we got a trainee receptionist who had a senior male colleague lurking ominously behind her, no smile no eye contact, no acknowledgement of guest (us) (he was scary might even the hotel ghost ), I wanted to confirm our check out 18/7/19 and check in on the 19/7/19 was in order ( I only know greetings and thank you in Japanese) which seemed to confuse her , the senior made no move to help her , I did not persist), in another situation with the same unfortunate trainee, her trainer stepped in straight away to help (I asked if our bags could be held at the hotel).Room was small but good considering price and location, bathroom tiny, cleanliness was ho-hum. Walls were thin. Shampoo and conditioner were really good. Next trip would consider accomodation further out as subway is user friendly for newbies to Japan. Shibuya crossing 5mins away. Family Mart on one side of hotel and McDonald’s on the other. French bakery across the rd. Subway about a min away as well. Needed cash to top up suica cards, could not find an atm to withdraw cash at the station ☹️.","Auckland Central, New Zealand","bfale</div><div class=""userLoc""><strong>Auckland Central, New Zealand</strong>",1,3.0
688504366,https://www.tripadvisor.com/Hotel_Review-g1066456-d479494-Reviews-Shibuya_Tokyu_REI_Hotel-Shibuya_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Shibuya Tokyu REI Hotel,"July 10, 2019","We had good experience with this hotel. It was nice and clean with decent sized toiletries (shampoo, conditioner, body wash) you can actually use (which seems to be part of the norm in Japan, but I still thought it was worth mentioning).There are close to no storage space for your clothes except for a small coat rack by the door. The breakfast buffet was great! It is subjective to taste, but they had some good Japanese selection. I didn't pay close attention to their western fare, because I am in Japan, why would I?They had a cute onigiri station that interchanges with the omellette station. I did enjoy that immensely.Everybody is saying it's a close walk from the Shibuya Station, which it is... but do note that if you are carrying luggage from Narita Express, it is more than 5 minutes because the platform for Narita is farther. I am not saying not to walk to the hotel, just don't think it would be easy (especially if you are caught with that rush hour crowd, oh boy).","Edmonton, Canada","Jill J</div><div class=""userLoc""><strong>Edmonton, Canada</strong>",3,4.0
683326372,https://www.tripadvisor.com/Hotel_Review-g1066456-d479494-Reviews-Shibuya_Tokyu_REI_Hotel-Shibuya_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Shibuya Tokyu REI Hotel,"June 21, 2019","Only a 5 minute walk from Shibuya station. Take the Hatchiko crossing exit and turn right going underneath the railway bridge, then at the first traffic lights, cross the road to your left, then the hotel is about one minute away. Perhaps follow google map directions for the first time then after that it is really easy.The hotel is close to everything such as restaurants, Family Mart (which is like a 7/11) and various shops. 2 min walk to Hatchiko crossing. Breakfast buffet is great with a wide range of western and Japanese food. I really liked that they had a juicer that served fresh pineapple and carrot juice.All receptionists and house keepers were professional and polite.Our room was a medium sized room which we were happy with. Rooms in Japan are typically small, but this was bigger than a small room.Overall, we stayed for four nights and the hotel provided great value. We would happily return.",Melbourne,"34damient</div><div class=""userLoc""><strong>Melbourne</strong>",11,4.0
681268308,https://www.tripadvisor.com/Hotel_Review-g1066456-d479494-Reviews-Shibuya_Tokyu_REI_Hotel-Shibuya_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Shibuya Tokyu REI Hotel,"June 13, 2019","Nice hotel, highlight: great location, just a couple of blocks from Shibuya crossing and metro station. Good japanese and western breakfast. Excellent service. Dowside: small rooms but is normal in Japan.","Medellin, Colombia","cardonajuliana</div><div class=""userLoc""><strong>Medellin, Colombia</strong>",0,4.0
671492999,https://www.tripadvisor.com/Hotel_Review-g1066456-d479494-Reviews-Shibuya_Tokyu_REI_Hotel-Shibuya_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Shibuya Tokyu REI Hotel,"May 4, 2019","What I really like about this hotel is the stone-throw distance to Shibuya Station. Well connected through the subway, you can easily reach other parts of Tokyo easily! We left our luggage with the counter on the last day after check out and collected them in the evening where we roll our luggage for about 10mins before reaching Shibuya Mark City building- take the lift up to level 5 (level4 then take escalator up) for Airport Bus to both Narita or Haneda! So thats really convenient for us. You ask can the hotel counter about the bus timings and price (pay to bus driver).Hotel room wise is standard, small but as per Japanese major city standard. ","Singapore, Singapore","shun821</div><div class=""userLoc""><strong>Singapore, Singapore</strong>",97,4.0
