review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
751858214,https://www.tripadvisor.com/Hotel_Review-g14133667-d4994810-Reviews-Shinjuku_Granbell_Hotel-Kabukicho_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Shinjuku Granbell Hotel,"March 26, 2020",I stayed in one of the luxury mature double rooms on the fifteen floor. This was a great room for Tokyo with quite a bit of space. This hotel has rooms for every budget and the cheaper rooms are of course smaller and very much in line with your average Tokyo hotel room. I really enjoyed this location as there were many great places to eat within a comfortable walking distance and while there are love hotels near this location it is a very safe place and I was never uncomfortable walking the streets of Tokyo. All the staff spoke English well and I had no communication issues. All the staff were very helpful and I very much enjoyed my stay.,"Hodgenville, Kentucky","16TonyL</div><div class=""userLoc""><strong>Hodgenville, Kentucky</strong>",52,5.0
751504723,https://www.tripadvisor.com/Hotel_Review-g14133667-d4994810-Reviews-Shinjuku_Granbell_Hotel-Kabukicho_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Shinjuku Granbell Hotel,"March 20, 2020","We love the room..every day they will replenish complimentary coke and green tea and 1 bottle of water in the bar fridge on top of the usual 2 bottle of water will be at the bar counter as usual.This room come with access to lvl 13 club lounges area where there is free flow of beer and wine during 5pm to 7pm. And the view of the club lounge area is amazing too. There is coffee,juice snacks at the club lounge area too so my 6 years old daughter really likes to go there and relax.Location is really quite easy to walk to the train station","Singapore, Singapore","xujiawei</div><div class=""userLoc""><strong>Singapore, Singapore</strong>",0,5.0
751202858,https://www.tripadvisor.com/Hotel_Review-g14133667-d4994810-Reviews-Shinjuku_Granbell_Hotel-Kabukicho_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Shinjuku Granbell Hotel,"March 17, 2020","Review is for the Deluxe Designer Double - Casual. Amazing views, we were on the 16th floor and wouldn't have had it any other way. The room, while small, was accommodating for two. The bathroom was definitely the a really nice feature in the room, definitely used the tub almost every night of our 7 night stay. Price is affordable for Tokyo, but for someone coming from America, it's a considerable shock having to pay per person. We added the daily breakfast buffet, which I looked forward to every morning. A lot of the reviewers on here complain about the selection, but I was more than happy with the Asian options of curry, mackerel, and kimchi (great way to start the day, smelly breath and all!) Unfortunately, by our 5th day, the impending threat of the coronavirus turned the buffet into a standard 3-course, western breakfast, which I was less than interested in (why travel to another country to eat what you're accustomed to??)The hotel is in a very convenient location that may seem far on the map from other spots in Shinjuku, but you won't even notice it with how densely packed everything is and all the lights and sounds. Safety was never a concern for us, besides from some very aggressive taxi drivers who seem as if they're on a mission to hit you. In the mornings, you can see groups of young, drunk kids walking around, but that's about it. Overall, our trip to Tokyo was greatly benefitted from our stay here and we'll consider it again when we return.",,teemo321,9,4.0
750397536,https://www.tripadvisor.com/Hotel_Review-g14133667-d4994810-Reviews-Shinjuku_Granbell_Hotel-Kabukicho_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Shinjuku Granbell Hotel,"March 11, 2020","Stayed twice here; the hotel is located not too close to the centre of Shinjuku but is still very convenient to anywhere; the vibe is great and there are lots of entertainment nearby, including a place where you can play baseball. The staff are friendly and I will stay again if i go Tokyo next time.",Hong Kong,"Abel_Lau</div><div class=""userLoc""><strong>Hong Kong</strong>",55,5.0
749987713,https://www.tripadvisor.com/Hotel_Review-g14133667-d4994810-Reviews-Shinjuku_Granbell_Hotel-Kabukicho_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Shinjuku Granbell Hotel,"March 8, 2020","The hotel is just 5 minutes walk from Higashi-Shinjuku Station (subway). Staffs were really friendly and helpful during check in process. The hotel rooms are quite small but it's understandable since it's hard to find bigger room with similar price in Tokyo. Overall, we really had great stay there!","Sydney, Australia","stevaniezaneta</div><div class=""userLoc""><strong>Sydney, Australia</strong>",6,4.0
748633940,https://www.tripadvisor.com/Hotel_Review-g14133667-d4994810-Reviews-Shinjuku_Granbell_Hotel-Kabukicho_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Shinjuku Granbell Hotel,"March 1, 2020","This place felt good from the moment we walked in. Well located (you hardly even notice it's in the red light district), with an attractive lobby, friendly staff and a cool roof bar, which did good margaritas! We splashed out on a spacious Deluxe Design Double room on the 13th floor with great city views, handy to the club lounge, breakfast restaurant and bar. The room was stylishly designed with a comfortable king bed and good TV. The only down sides were the bathroom: the shower flooded the floor; there were no hooks to hang the towels; and the handheld shower was in a non-adjustable holder. There was also a lack of space for our suitcases. The western breakfast options were also a bit limited if you were staying a few days. But I'd definitely stay here again.","Bronte, Australia","Sydneygal007</div><div class=""userLoc""><strong>Bronte, Australia</strong>",40,4.0
748136355,https://www.tripadvisor.com/Hotel_Review-g14133667-d4994810-Reviews-Shinjuku_Granbell_Hotel-Kabukicho_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Shinjuku Granbell Hotel,"February 28, 2020","First time staying here and would recommend it to anyone who’s looking to stay in Tokyo, very central area and you will be proud when you realize your hotel is the biggest and looks the best in the area. The rooftop bar has a great pizza and even greater view with heaters and blankets provided if it’s chilly. The front desk staff are very knowledgeable and provide free umbrellas to guests if it rains. We paid 1,700 yen each for the breakfast when we were in a crunch for time and it’s pretty pricey (unless you pick breakfast included) however did not disappoint - a good variety of western , chinese and japanese food to pick from. Only con is that we did get a room that was not the one we selected in the photo, considered a downgrade with the smaller size and more basic decor but had a great view. An FYI for more high maintenance travellers: there is only a few hangers for clothing storage in the room we were given and a small counter in the bathroom for toiletries. A reviving positive: there were full bottles of shampoo/conditioner and body wash and the toilet is heated :) Thanks Granbell! Please give us an extra nice room next time to make up for it :) ahaha ",,thedudethatdidthings,0,4.0
747844665,https://www.tripadvisor.com/Hotel_Review-g14133667-d4994810-Reviews-Shinjuku_Granbell_Hotel-Kabukicho_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Shinjuku Granbell Hotel,"February 26, 2020","The highlight of the hotel is its excellent location. It is right in the hustle and bustle of Shinjuku bar and dining precinct, making dinner and a few drink out at night super easy.In saying this, there are no noisy restaurants or club next door to the hotel so you can head back there at night time and enjoy absolute peace.It’s about a 10 minute walk to the Shinjuku train station, which open up access to the entirety of Tokyo. The hotel rooms themselves are quite small, just big enough for a queen bed and bench storage plus a bathroom. This is standard for Tokyo so you won’t find many larger rooms for a reasonable price. The room was tidy and liveable. Staff were friendly and helpful at all times, and the included breakfast was always good. Overall we enjoyed our stay at the Shinjuku Granbell hotel as it allowed us to explore Shinjuku and the greater Tokyo region with easy. Would recommend to family and friends.","Brisbane, Australia","jpturner21</div><div class=""userLoc""><strong>Brisbane, Australia</strong>",4,4.0
746630275,https://www.tripadvisor.com/Hotel_Review-g14133667-d4994810-Reviews-Shinjuku_Granbell_Hotel-Kabukicho_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Shinjuku Granbell Hotel,"February 21, 2020","Hotel is large and modern, in a great location for walking and catching public transport. Rooms are comfortable and stylish. Coffee on sight is good (but expensive as we are finding all good coffee in Tokyo to be). Bar upstairs is nice also. Would definitely recommend and are staying again next week. ",,laurentriplett,1,5.0
745790330,https://www.tripadvisor.com/Hotel_Review-g14133667-d4994810-Reviews-Shinjuku_Granbell_Hotel-Kabukicho_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Shinjuku Granbell Hotel,"February 17, 2020","My husband and I travelled together, we are in our late 30's and early 40s. We usually like to stay in boutique style hotels, and we were in Tokyo for 4 nights. In doing a ton of research, this hotel ticked all the boxes in terms of the modern vibe we were looking for and the price point. Yes, true to all the other reviews, the room is small. However, if you get creative with space (I put one suitcase under the desk and used it as a shelf for clothing and we placed another suitcase on the rack), it wasn't bad! I liked the location, the shower was strong, the bed was comfortable and they provided pajamas! It has a full length mirror. The heater worked well, we had a nice view. The staff was polite and we found the vending machines and money changer machine inside the hotel to be really convenient. I honestly have no complaints and would stay here again, as well as recommend to friends and family!","San Francisco, California","Tesstastic</div><div class=""userLoc""><strong>San Francisco, California</strong>",10,4.0
