review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
752272693,https://www.tripadvisor.com/Hotel_Review-g60982-d2555768-Reviews-Shoreline_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Shoreline Hotel Waikiki,"April 4, 2020","This was my first trip to any island in Hawaii.Unfortunately, this was during the whole ""Covid-19"" hysteria. Because of this, some services were limited or suspended at the hotel and surrounding establishments.Most importantly I would stay again.My room was comfortable and sitting out on the balcony to eat my meals or just relax after an outing was very nice. You can see the ocean from the roof top pool or the mountains north of the hotel. The hotel was a clean and vibrant colored establishment.The location was great!You're approximately 2 city blocks from the beach and surrounded by food spots and shopping like Ross (literally across the street) to the trendy high end ""i spent it cause i have it"" shops like Jimmy Choo and Coach.Even though things were different than usual, the service I received was solid. Cheyne was my first contact when I valeted my car. He was welcoming and answered all my questions about rates and what to expect while leaving my car with him. April checked me in and was very sweet and soft spoken. I also ate breakfast at the onsite restaurant take out only and was pleasantly pleased.I would suggest the hotel this hotel to others. It was clean. I felt safe. The location was great and service from staff met my standards.","Boston, Massachusetts","Andre_Agile_Wing</div><div class=""userLoc""><strong>Boston, Massachusetts</strong>",0,5.0
751908037,https://www.tripadvisor.com/Hotel_Review-g60982-d2555768-Reviews-Shoreline_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Shoreline Hotel Waikiki,"March 27, 2020",This is a charming and centrally located hotel with great people and service. The cafe next door was an added plus. The valet car service was excellent. We were booked into an airbnb for 4 nights but the situation there was so bad we moved out after one night. I called Shoreline in the morning and they had rooms available for us in the early afternoon. They helped with luggage and information about the area. We will definitely stay with them again if we return to Honolulu!,,KSdar,1,5.0
751684090,https://www.tripadvisor.com/Hotel_Review-g60982-d2555768-Reviews-Shoreline_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Shoreline Hotel Waikiki,"March 23, 2020","My husband and I stayed at the Shoreline for 7 nights in February. I would definitely stay again in the future. While not directly on the beach it is literally a 5 minute walk and in the heart of Waikiki. The cost of this hotel is so reasonable for its location. The staff is very helpful, the rooms are large and clean and it has a rooftop pool with a great view.Thank you Shoreline for a great stay!","Paradise, Michigan","colleenmullen</div><div class=""userLoc""><strong>Paradise, Michigan</strong>",2,5.0
751522571,https://www.tripadvisor.com/Hotel_Review-g60982-d2555768-Reviews-Shoreline_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Shoreline Hotel Waikiki,"March 20, 2020","central locationclean roomssmall but clean and nice roof top poolnice bar „heavenly“ just at the site breakfast, lunch, dinnersome rooms may be noisy because of traffic and air conditioning main machine near by",,silviarome2020,0,5.0
751461168,https://www.tripadvisor.com/Hotel_Review-g60982-d2555768-Reviews-Shoreline_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Shoreline Hotel Waikiki,"March 20, 2020","The stay was nice, but the valet Cheyne was absolutely amazing, from his knowledge of the area to the care he took of our vehicle. The only reason I would come back is for Cheyne. The experience was amazing.",,S8537RHjacobs,0,5.0
751344041,https://www.tripadvisor.com/Hotel_Review-g60982-d2555768-Reviews-Shoreline_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Shoreline Hotel Waikiki,"March 18, 2020","This hotel is in a good location and is a good value based on the surrounding properties and prices. However, I can't recommend this property. The level of customer service I received was shockingly hostile. If there is a misunderstanding/miscommunication/disagreement, prepare for a steady diet of deny/deflect/accuse. I had an issue at check-out and had documentation, that I pointed to, supporting my interpretation of the information. I was not seeking money. I just wanted some acknowledgement of my position and some form of apology/empathy. Instead I was made to feel like I was trying to rob them. Calls were not returned, emails were ignored and promises of ""I will respond to you tomorrow"" were broken. Even if you have documentation and the names of employees, prepare to be treated poorly. The smirk I got at check out clearly said, ""We have your money and you have an Uber waiting for the airport...buh-bye"".","San Diego, California","Oregonic</div><div class=""userLoc""><strong>San Diego, California</strong>",5,2.0
751252645,https://www.tripadvisor.com/Hotel_Review-g60982-d2555768-Reviews-Shoreline_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Shoreline Hotel Waikiki,"March 17, 2020","We stayed here on a one night stopover on our way home. Location is excellent being one block away from Waikiki. The hotel is rather old, but with a new paint job that makes it look modern in photos. In real person, the carpet was stained, the air conditioning sounded like an airplane engine and bathroom was slightly moldy. Given the price paid, location, service and length of stay, it was acceptable. However, we wouldn’t return for a weeklong stay.","Sydney, Australia","JohanRdam</div><div class=""userLoc""><strong>Sydney, Australia</strong>",10,3.0
751215534,https://www.tripadvisor.com/Hotel_Review-g60982-d2555768-Reviews-Shoreline_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Shoreline Hotel Waikiki,"March 17, 2020","全てのサービス、設備が良かった！ホテルには11時頃に到着したが、チェックインをさせてくれ、さらに部屋のアップグレードまでしてくれた。部屋には無料野々村ウェルカムドリンク・フードがあり、ロビーにもフリードリンクが常備されており、とても快適だった！どこに行くにもアクセスが抜群で、コスパが良すぎるホテルだった！All services and facilities were good! We arrived at the hotel around 11 o'clock, but they checked in and even upgraded the room. There is a free Nonomura welcome drink and food in the room, and free drinks are always available in the lobby, so it was very comfortable! It was a hotel with excellent access to everywhere and the cospa was too good!",,kstennisyonex,0,5.0
751140484,https://www.tripadvisor.com/Hotel_Review-g60982-d2555768-Reviews-Shoreline_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Shoreline Hotel Waikiki,"March 16, 2020",I attend schools here on Oahu and had a recent staycation before I head back home for spring break. I stayed at Shoreline Hotel and had an amazing experience. It’s located in a very convenient location for shopping and trying different kinds of foods. It’s very close to the beach (which is amazing!!) and has amazing views from the rooftop pool! The staff was very friendly and Jonathan gave me some good recommendations while I go to school in Hawaii!,,Fridabenton,0,5.0
751056986,https://www.tripadvisor.com/Hotel_Review-g60982-d2555768-Reviews-Shoreline_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Shoreline Hotel Waikiki,"March 15, 2020",I absolutely live the vibe of the hotel. It’s in a very convenient area and had excellent customer service. Jonathan was able to give me many recommendations for places to eat. 10/10 will come back ,,Malthegalfromsocal,0,5.0
