review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
751676118,https://www.tripadvisor.com/Hotel_Review-g14129573-d2232760-Reviews-Solaria_nishitetsu_hotel_Ginza-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Solaria nishitetsu hotel Ginza,"March 23, 2020","Stayed here for one week. I was very impressed by the polite, helpful and friendly staff. The beds are very Comfortable. Very good location for the station and the many restaurants. Ginza is a very safe and prosperous area. Great breakfast. ","Panama City, Panama","dfinla_774498</div><div class=""userLoc""><strong>Panama City, Panama</strong>",0,5.0
750384836,https://www.tripadvisor.com/Hotel_Review-g14129573-d2232760-Reviews-Solaria_nishitetsu_hotel_Ginza-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Solaria nishitetsu hotel Ginza,"March 10, 2020","I had put the Do Not Disturb sign on my door for most of my stay but decided that I needed extra amenities on the second last night of my stay. My sis left her watch on the table but came back to find it missing. We thought it was a mistake given the great reviews for this hotel so we raised it to the hotel and the hotel reassured us that they will check with their cleaning staff. They did not get back to us until we asked about it when we were checking out. To which they simple told us that the item was not seen and could not be found.Unfortunately, as we were rushing to catch our flight, we left behind an iPad Pro in the room which we were using just that morning. On the direct train to the domestic airport, we realised that it was left behind (only an hour has passed) and called up the hotel, hoping that they would keep the iPad until we returned to Tokyo a couple of days later. But the hotel informed us that the room has been cleaned and there was no iPad to be found. There was no way that the iPad was left anywhere else and we clearly remembered that we left it in the room. Such a dishonest hotel should be avoid at all costs. What an expensive lesson to be learnt. Perhaps Tokyu stay next door would be a better option.","Singapore, Singapore","eatsleeptravelsf</div><div class=""userLoc""><strong>Singapore, Singapore</strong>",0,1.0
742030838,https://www.tripadvisor.com/Hotel_Review-g14129573-d2232760-Reviews-Solaria_nishitetsu_hotel_Ginza-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Solaria nishitetsu hotel Ginza,"January 29, 2020","I love its location and its bath room. Room space is not enough to unfold two large pieces of luggage. It took us only 2 minutes to walk to the subway Higash-Ginza station, so as to walk to the main street of Ginza.","Taichung, Taiwan","AlbertJ504</div><div class=""userLoc""><strong>Taichung, Taiwan</strong>",0,5.0
741825928,https://www.tripadvisor.com/Hotel_Review-g14129573-d2232760-Reviews-Solaria_nishitetsu_hotel_Ginza-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Solaria nishitetsu hotel Ginza,"January 28, 2020","Located in heart of Ginza area, onlymin from department, restaurant and Donquihote. easy to access to anywhere in Tokyo by subway and JR. Only 40 mins to Disney resort. Hotel is great enough for traveller with reasonable price. ",,ykim457322,0,5.0
734559717,https://www.tripadvisor.com/Hotel_Review-g14129573-d2232760-Reviews-Solaria_nishitetsu_hotel_Ginza-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Solaria nishitetsu hotel Ginza,"December 25, 2019","Stayed for 4 nights with parents in standard double room. Size is good by Tokyo standard (200 sq meters+). Good condition - seems quite new. Very clean and tidy. Close to metro station (2-3 min walk), shopping, food (many options around). Front desk staffs v helpful. WiFi works fine. Very happy with my choice and will stay here again in future. ","Hong Kong, China","miniMarta</div><div class=""userLoc""><strong>Hong Kong, China</strong>",17,5.0
731923005,https://www.tripadvisor.com/Hotel_Review-g14129573-d2232760-Reviews-Solaria_nishitetsu_hotel_Ginza-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Solaria nishitetsu hotel Ginza,"December 10, 2019","Excellent hotel, in great location in Ginza district. Staff was very helpful. Room was on the larger side (compared to another hotel we stayed at for one night at beginning of trip. Lots of nice toiletry items in the bathroom. We didn't eat at the hotel, but there were several restaurants close by. Hotel staff recommended the Starbucks Reserve right around the corner for a quick easy breakfast. This is the place to go if you are a coffee snob. It's a step above the regular starbucks.",,lovestrumpsall,1,5.0
731530218,https://www.tripadvisor.com/Hotel_Review-g14129573-d2232760-Reviews-Solaria_nishitetsu_hotel_Ginza-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Solaria nishitetsu hotel Ginza,"December 9, 2019",My trip was cancel due to the Typoon Kammuri. The Management was kind enough and did not charge me anything for not arriving in time although they could have. That was a very nice gesture from their part. Thank you verymuch,"Manila, Philippines","abaran325873</div><div class=""userLoc""><strong>Manila, Philippines</strong>",0,5.0
729905400,https://www.tripadvisor.com/Hotel_Review-g14129573-d2232760-Reviews-Solaria_nishitetsu_hotel_Ginza-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Solaria nishitetsu hotel Ginza,"November 30, 2019","I was very excited to be back in Tokyo after 5 years, waited far too long but oh dear oh dear where to stay? Options are limitless but rooms are really small and super expensive, especially closer to the Centre. Ginza is the main hub and in the middle of everything as far as I’m concerned and it was important for me to stay in or near Ginza. Therefore this little gem of a hotel was just perfect. Very central, decent size room, great service as you would expect and immaculate amenities, just perfect for a business or leisure trip and all under $250, total bargain. I can highly recommend it and will stay again. Watch out breakfast can get packed and you might have to que if you go at 8am so leave plenty of time if you rushing off to a meeting. Such a great little hotel and loved the power shower !!! ","Cam Ranh, Vietnam","jackthehappyrussell</div><div class=""userLoc""><strong>Cam Ranh, Vietnam</strong>",56,5.0
729767681,https://www.tripadvisor.com/Hotel_Review-g14129573-d2232760-Reviews-Solaria_nishitetsu_hotel_Ginza-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Solaria nishitetsu hotel Ginza,"November 30, 2019","The hotel is not as good as its Kyoto counterpart however it is still large enough rooms, clean and centrally located. I would recommend this hotel to anyone wanting to stay in Ginza. The staff were helpful and good little ramen restaurant across the road. ","Perth, Australia","TravellerPerth2014</div><div class=""userLoc""><strong>Perth, Australia</strong>",27,5.0
729735170,https://www.tripadvisor.com/Hotel_Review-g14129573-d2232760-Reviews-Solaria_nishitetsu_hotel_Ginza-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Solaria nishitetsu hotel Ginza,"November 29, 2019","It is a nice hotel with friendly and helpful front desk staffs with English speaking, easy access, just 5 minutes walk to Metro and shops. The room Superior Twin is large enough ( 20 sq.m) for 2 large luggages. The guest room provides free tea, coffee and water, and bathroom amenities.",,mpa6898,1,4.0
