review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
737555227,https://www.tripadvisor.com/Hotel_Review-g60982-d8423429-Reviews-Stay_Condominiums_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Stay Condominiums Waikiki,"January 7, 2020","This unit is very close to Waikiki beach and they cut our parking to $20 per night. These were the main positives of the resort. Otherwise, the unit is very small and not comfortable. We would not stay here again. Very pricey for all that we got. We were told there was laundry, but when we went to use it, it was down. Then they said they had been trying to get the maintenance to fix it, but because it was the holidays, they would not come out... So it must have been broken for several weeks....",,81bryanc,0,3.0
716404005,https://www.tripadvisor.com/Hotel_Review-g60982-d8423429-Reviews-Stay_Condominiums_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Stay Condominiums Waikiki,"October 8, 2019","We havve been to waikiki 4 other times and have never had such bad experiences. First off I booked the wrong place and right away called to ask for a refund. withen 20 minutes. That was not an option with this place, although every other place in this area offers cancelation options. Got here and the place had no blankets or pillows. Then there was roaches. At night there was a loud explosion right outsidee our room with cops and ambulances for hours. My husband walked to the store last night and almost got mugged. Really shaddy area. not good for families at all. We are talking with management to see if we can move from here or resolve some issues. I will post again with an update. this is our first night here, of a 12 day stay.",,Lovwaikiki,0,1.0
712963381,https://www.tripadvisor.com/Hotel_Review-g60982-d8423429-Reviews-Stay_Condominiums_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Stay Condominiums Waikiki,"September 25, 2019","Very disappointed in the condos. Did not look anything like the photos. Dirty and water leaking from the AC units. The bathroom looked old and dirty with paint peeling. We didn’t even stay our first night there, switched hotels to avoid staying there.","Sunset Beach, Hawaii","lizwm14</div><div class=""userLoc""><strong>Sunset Beach, Hawaii</strong>",0,1.0
700181152,https://www.tripadvisor.com/Hotel_Review-g60982-d8423429-Reviews-Stay_Condominiums_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Stay Condominiums Waikiki,"August 18, 2019","This may be the worst hotel in Waikiki. The door had been kicked in recently as the lock and bolt plate was hanging by a screw. Loud window AC barely worked, hot as hell in the room. We were afraid to leave anything in the room as it is clearly robbed regularly and they don't even fix the broken lock. Do not stay here...just pay $20 more and stay someplace better. Also...they must use a fisheye lens to make the room look bigger, they are tiny.",,Aaron Casey R,0,1.0
696304840,https://www.tripadvisor.com/Hotel_Review-g60982-d8423429-Reviews-Stay_Condominiums_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Stay Condominiums Waikiki,"August 6, 2019","We stayef there for 10 days. The location is marvellous, you cannot miss any action at and around. Wiki ki. Accomodation was dated. but very convenient over all. Rent car is next door. , beach and. al most. all Wikiki attractions are on walking distance and of. course. Hawaii is the place of preference for the. family. Look forward to take my. newly born to Hawaii. in. 2020.","Edmonton, Canada","jazy65</div><div class=""userLoc""><strong>Edmonton, Canada</strong>",2,4.0
689568324,https://www.tripadvisor.com/Hotel_Review-g60982-d8423429-Reviews-Stay_Condominiums_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Stay Condominiums Waikiki,"July 14, 2019","We booked here knowing we were using the room for sleeping, showering and cooking only. We wanted a kitchen to save on the expenses of eating out all the time, and didn't want a 5 star luxury as we wanted more money to spend on activities. The people at the front desk were very helpful and kind and made a taxi reservation for us for the next day. When we decided to drive instead, they very cheerfully cancelled for us. Would definitely stay again.",,Jodi N,1,4.0
674654332,https://www.tripadvisor.com/Hotel_Review-g60982-d8423429-Reviews-Stay_Condominiums_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Stay Condominiums Waikiki,"May 17, 2019",The condominiums are a perfect place for the price! Full kitchen with big balcony's beds are comfortable. The staff is always friendly. Michelle is always nice and accommodating both times I was there. I will always come here if available when visiting.,,Mauignat,0,4.0
673460616,https://www.tripadvisor.com/Hotel_Review-g60982-d8423429-Reviews-Stay_Condominiums_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Stay Condominiums Waikiki,"May 12, 2019","You have to go to a different hotel to check in. We had to carry our heavy suitcases up a tiny staircase. The sleeper couch was so uncomfortable. Poor area without much to do, see or eat. We landed up shortening our stay to just one night.",,the_recordshop,0,1.0
672911886,https://www.tripadvisor.com/Hotel_Review-g60982-d8423429-Reviews-Stay_Condominiums_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Stay Condominiums Waikiki,"May 9, 2019","We wanted a room with a kitchen, and not too expensive, l think it was overpriced for what we got, but the beds were comfy and the linen fresh and the shower was great. So close to everything probably reflects the price. The rooms are serviced each day. There was a coffee machine but no coffee pot to go with it, no plug for the kitchen sink, and the phone didn’t work, so that shows the rooms aren’t cared for very well.","Bli Bli, Australia","Jenny O</div><div class=""userLoc""><strong>Bli Bli, Australia</strong>",30,3.0
670513094,https://www.tripadvisor.com/Hotel_Review-g60982-d8423429-Reviews-Stay_Condominiums_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Stay Condominiums Waikiki,"April 30, 2019",Stay Condominiums charges an extra $50/day for parking at the condo. Having a car is absolutely necessary if you plan on leaving waikiki to venture out to tue north shore. The walk to the beach is very short from the condo.,"Easton, Maryland","andrea020719</div><div class=""userLoc""><strong>Easton, Maryland</strong>",0,2.0
669966243,https://www.tripadvisor.com/Hotel_Review-g60982-d8423429-Reviews-Stay_Condominiums_Waikiki-Honolulu_Oahu_Hawaii-or10.html?filterLang=en,Stay Condominiums Waikiki,"April 28, 2019","when we arrived the staff wa very accommodating. We knew we were staying in a lower priced condo. afterall,we are there to sleep shower and explore.The kitchen were equiped with the amount of utensils to cook eggs and bacon for breakfast and a couple of dinners. Saving money is key in hawaii.They could add a draw curtain between the main bedroom and the foldout couch living room to add some privacy.also could add a round plastic table and 2 more chairs to the patio to accomodate 4 people.We had an excellent stay. Yes it can get loud at night. No it is not high end on the beach. BUT for a cheaper way to go only 2 blocks from the beach it was perfect.",,Richard V,0,4.0
