review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
751692823,https://www.tripadvisor.com/Hotel_Review-g60982-d2385826-Reviews-Stay_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Stay Hotel Waikiki,"March 23, 2020","I arrived at Stay Hotel after a pretty stressful experience. The front desk manager, Florencia, honestly turned my whole day around. She was so patient and kind, and it made all the difference. I ended up staying only one night, but it was still a great experience. The hotel is only a block from the beach, and there are plenty of convenience stores and restaurants nearby. The hotel itself had everything I needed, and the lobby downstairs even provided beach chairs and boggie boards you could borrow. There was also a store right next door if you wanted to rent a surfboard. I had an amazing time here, and if I ever return to Waikiki, this is where I'll be returning to stay. Thank you!",,OrionBlue73,0,5.0
734010712,https://www.tripadvisor.com/Hotel_Review-g60982-d2385826-Reviews-Stay_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Stay Hotel Waikiki,"December 21, 2019","if you want to stay in Waikiki and not pay the high prices of the big chains then this is your place.One road behind the main road featuring all the bars, restaurants and shopping that Waikiki has to offer.Car parking is chargeable and limited to get there early. One night we got back and a receptionist was parked in a bay and was reluctant to move. But easily resolved.Room was small but space in Hawaii is a premium. Room was spotlessly clean and with great amenities.","Perth, Australia","AlwaysOnMyHols</div><div class=""userLoc""><strong>Perth, Australia</strong>",35,5.0
751377005,https://www.tripadvisor.com/Hotel_Review-g60982-d2385826-Reviews-Stay_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Stay Hotel Waikiki,"March 18, 2020",Due to the current world pandemic I contacted the hotel to cancel my booking due to a cancelled flight and my governments travel ban and they were amazing. The communication was prompt and they were understanding. When I eventually get to Hawaii I will be rebooking with them solely for the customer service! Thanks guys!,"Ipswich, Australia","AussieDINKSqld</div><div class=""userLoc""><strong>Ipswich, Australia</strong>",8,5.0
751154443,https://www.tripadvisor.com/Hotel_Review-g60982-d2385826-Reviews-Stay_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Stay Hotel Waikiki,"March 16, 2020","My wife and I checked into the hotel on Sunday only to find out that I accidentally requested the wrong room type when I made the online reservation. Kitty, at the front desk, was very helpful and accommodating. She was able to rearrange and fix things and got us into the room we needed.",California,"679DavidM</div><div class=""userLoc""><strong>California</strong>",0,4.0
750183487,https://www.tripadvisor.com/Hotel_Review-g60982-d2385826-Reviews-Stay_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Stay Hotel Waikiki,"March 9, 2020","For Spring Break, my friends and I decided to go to Hawaii. We decided to stay at the Stay Hotel. It was one of the best decisions that we made on this girl trip. The hotel was literally near the beach (2 to 3 minutes walking distance). The coffee that is provided from the hotel is delicious and always being served in the morning. The staff members were friendly and kind. Our room was always cleaned when we come back at the end of the day - excellent housekeeping staff! We would like to thank Kitty for always making us feel welcome while we were there. She always has that smile on her face whenever we see her. :) We will definitely stay here again. Highly recommend this hotel!",,helentS6123YO,0,5.0
748807968,https://www.tripadvisor.com/Hotel_Review-g60982-d2385826-Reviews-Stay_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Stay Hotel Waikiki,"March 2, 2020","Located only a block away from the beach, this was a great location to stay at for a great price. The staff were helpful and super friendly. There's also a karaoke bar on the ground floor if you're feeling adventurous. ",,Paul N,1,5.0
748415400,https://www.tripadvisor.com/Hotel_Review-g60982-d2385826-Reviews-Stay_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Stay Hotel Waikiki,"February 29, 2020","The Stay Hotel was a very nice place to visit for both me and my family. The room was always clean and tidy. The air conditioning, internet and all other facilities were great. It’s very central in Waikiki and only minutes from the beach. I would also like to give a special thanks to Kitty from the front desk for making our holiday and stay such a great one xx.",,729jasone,0,4.0
748224451,https://www.tripadvisor.com/Hotel_Review-g60982-d2385826-Reviews-Stay_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Stay Hotel Waikiki,"February 28, 2020","Front desk manager Florencio Banse was extremely helpful and showed us the true spirit of aloha. She helped us with parking, directions and checked us in in a very timely manner. Customer service was an A+. I don’t ever write reviews but I felt like this was well deserving. Mahalo Nui",,paaponoc,0,5.0
747425622,https://www.tripadvisor.com/Hotel_Review-g60982-d2385826-Reviews-Stay_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Stay Hotel Waikiki,"February 24, 2020","The Stay Hotel is the perfect option for no-frills accommodations for those that are looking for a place to stay while exploring the island outside of the touristy resorts. The staff at The Stay were amazing. While it’s not difficult to find big smiles on this island, Kitty’s courtesy and kindness were exceptional! Even for Hawaiian standards! We really enjoyed our stay in Waikiki at the Stay Hotel!","Brooklyn, New York","louiep4590</div><div class=""userLoc""><strong>Brooklyn, New York</strong>",0,5.0
747156930,https://www.tripadvisor.com/Hotel_Review-g60982-d2385826-Reviews-Stay_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Stay Hotel Waikiki,"February 23, 2020","Our stay was incredible. The room was clean and the staff was the best. Ester was exceptional and went above and beyond. In fact, on our check out date,she held our bags, gave us directions and best advise to get to Alamoana, and set-up a taxi for us so when we returned for our bags, a taxi would be scheduled to pick us up. Thank you for making us feel as though we are at home.",,H1357YBdawne,0,5.0
