review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
745464464,https://www.tripadvisor.com/Hotel_Review-g1066460-d301382-Reviews-Sunshine_City_Prince_Hotel-Toshima_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Sunshine City Prince Hotel,"February 16, 2020","Hotel is situated in the heart of Ikebukuro. The building is big but very old. The shopping mall just downstairs which I like. However the wall is really thin which I can’t believe, you’ll feel no privacy as you can hear the next door the people talking. The service staffs is hospitality and they provide shuttle bus to airport. Compare the price and room, I would choose other new hotel to stay. ",,ETNN9099,125,3.0
744776837,https://www.tripadvisor.com/Hotel_Review-g1066460-d301382-Reviews-Sunshine_City_Prince_Hotel-Toshima_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Sunshine City Prince Hotel,"February 12, 2020","Stayed in this hotel with a group. Hotel is nice. Staff is helpful and gave us 15 rooms on the same floor which is commendable. The hotel is in close proximity to the all the market places, pubs and cafes. The rooms are small and bathroom is also very small. In fact on the entire floor they had the same room size. The breakfast spread was elaborate. Hotel is attached to the mall which was a plus point. Overall a decent place however prices are on the higher side.","Noida, India","Sahil2701</div><div class=""userLoc""><strong>Noida, India</strong>",3,4.0
740207569,https://www.tripadvisor.com/Hotel_Review-g1066460-d301382-Reviews-Sunshine_City_Prince_Hotel-Toshima_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Sunshine City Prince Hotel,"January 20, 2020","The location of this hotel is good. Many shops and dining options. 5 mins from Higashi-ikebukuro station but almost 17 mins to JR Ikebukuro station. Check in time is early at 2 pm but so is check out time at 11am. Lifts to rooms are slow and always packed in the mornings. Service at breakfast is lacking but at check in and out, service is good. Breakfast is nothing to rave about. Better to eat out.The rooms are very small. Feels like a cabin on board a cruise boat. Bathroom seems prefabricated. My biggest grouse is the temperature. There are no windows and there is no air con during winter. Airflow is bad. Central heating is too hot and stuffy. Most uncomfortable. Read many complaints on this but nothing has been done. Not staying again.","Singapore, Singapore","MelanieQ717</div><div class=""userLoc""><strong>Singapore, Singapore</strong>",26,2.0
738538189,https://www.tripadvisor.com/Hotel_Review-g1066460-d301382-Reviews-Sunshine_City_Prince_Hotel-Toshima_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Sunshine City Prince Hotel,"January 11, 2020",The experience was good. Spent 4 nights there.Got lost a couple of times in the hotel and had trouble figuring out how the elevator works because some of the lifts only go to certain floors. The staff was so polite and respectful. The food was ok! Close to a shopping mall which was plus points. ,"Suva, Fiji","JustAbel</div><div class=""userLoc""><strong>Suva, Fiji</strong>",0,4.0
735970565,https://www.tripadvisor.com/Hotel_Review-g1066460-d301382-Reviews-Sunshine_City_Prince_Hotel-Toshima_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Sunshine City Prince Hotel,"December 31, 2019","My family of four stayed at the Sunshine City Prince Hotel on 12/4/2019-12/12/2019. This was the second time we’ve stayed at the Sunshine Prince. Check-in was quick and easy without any issues. Our 2 rooms this year were for the City Floor Twin Room B configuration on the24th floor. We had the twin Type C configuration last year. The additional cost for the B configuration was well worth it. Room B is a traditional side by side bed configuration while Room C is an end to end bed configuration. Room B is also about 50 square feet larger. The beds were firm and 2 pillows were provided per bed. Both pillows were very flat and my wife and I ended up having to use our travel pillows in order to provide adequate support. The rooms had a small desk, a small refrigerator, a small open closet area (in one of the 2 rooms), and a safe. The TV was approximately 32” with just one station that broadcasted in English (NHK). The bathroom had a small counter and a combo shower/tub. Water pressure was very good as was the water temperature. Climate control for the room was not good. There was no way to turn on the AC and there was no ventilation in the rooms so the rooms were constantly warm and stuffy (~75 degrees). Wi-Fi was excellent; we were always able to connect to the internet and we did not experience any dropped connections while we were there. Housekeeping was excellent as was the hotel staff (very friendly and they speak English). Despite our issues with the pillows and climate control, the location of the Prince still makes it an ideal hotel to consider. It’s proximity to the Sunshine Mall (convenience store, restaurants, souvenir stores), the Sunshine Strip (stores, eating establishments, game arcades), and closeness of the subway stations can’t be beat. The Airport Limousine also drops off and picks up directly from the hotel. I highly recommend the Sunshine City Prince Hotel and look forward to staying there again in my future visits to Tokyo.","South San Francisco, California","Nathan C</div><div class=""userLoc""><strong>South San Francisco, California</strong>",14,5.0
735919678,https://www.tripadvisor.com/Hotel_Review-g1066460-d301382-Reviews-Sunshine_City_Prince_Hotel-Toshima_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Sunshine City Prince Hotel,"December 31, 2019","We can hear the conversation from the other room. Security is not so adequate. It’s a few hundred meters from the central area so that’s a plus. There were no CCTV anywhere. Breakfast was just ok. When we checked in, pardon the picture but it said semi-double which I didn’t understand. They wanted 2 adults to fit in one bed. The staff were inconsistent. Some were helpful others were dismissive. I will not go back to this hotel. ","Pasig, Philippines","NotAShyGirl</div><div class=""userLoc""><strong>Pasig, Philippines</strong>",92,2.0
734883813,https://www.tripadvisor.com/Hotel_Review-g1066460-d301382-Reviews-Sunshine_City_Prince_Hotel-Toshima_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Sunshine City Prince Hotel,"December 27, 2019","In regards to my wife being molested in this hotel premises on 27 Dec 2019 by a guest, because there was no surveillance camera at that specific area, her case was not pursued further by local police which angers me. If this is the case of her being killed , injured or harmed in any sense. Would the local authorities still have said the same thing! it makes me wonder how safe it will be to stay in this hotel for the visitors coming next year for the upcoming Tokyo 2020 Olympics. This hotel will really have to tighten their security seriously. It could happen to anyone including your loved ones. LOW CRIME DOESN'T MEAN NO CRIME.",,Georgewee,3,1.0
733539911,https://www.tripadvisor.com/Hotel_Review-g1066460-d301382-Reviews-Sunshine_City_Prince_Hotel-Toshima_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Sunshine City Prince Hotel,"December 19, 2019","We stayed in this hotel for 3 nights. With 3 adults, we have booked their special rooms that fit us all. They offered us a room with 3 comfortable beds on the upper floor. In terms of Tokyo hotel, it is roomy. We were able to open our bags without any problem. Bathroom is clean and not small with good water pressure. We didn't find any problem on elevator as we used the special one for upper floor. To avoid pulling lugagge, suggest you to take airport limousine bus that stop right in front of the hotel. Lots of restaurants and shopping areas nearby. In case of snow, you can just stay at the sunshine city and can spend the day. We haven't got the breakfast package but tried once with average comment. Otherwise, eat outside is not a problem. Wonder why they got only 3.5 stars. Should be 4 points.","Richmond, Canada","Hongkongboy55</div><div class=""userLoc""><strong>Richmond, Canada</strong>",191,4.0
733109897,https://www.tripadvisor.com/Hotel_Review-g1066460-d301382-Reviews-Sunshine_City_Prince_Hotel-Toshima_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Sunshine City Prince Hotel,"December 16, 2019","Despite of winter time with less than 10 degree celcius outside, but the hotel room is hot around 24+ degree. I call the front desk, but the staff unable to do anything.Be prepared if you don’t like sleep in hot air","Singapore, Singapore","JohanJohanJohan</div><div class=""userLoc""><strong>Singapore, Singapore</strong>",7,3.0
727825458,https://www.tripadvisor.com/Hotel_Review-g1066460-d301382-Reviews-Sunshine_City_Prince_Hotel-Toshima_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Sunshine City Prince Hotel,"November 20, 2019","The hotel is good. Missing good AC in the room. The breakfast is great. The service is fine. For Tokyo fair price. Shopping center is near by, hoeever far from the Shibuya cross. WiFi is free and fast . ","Meitar, Israel","Itai N</div><div class=""userLoc""><strong>Meitar, Israel</strong>",48,4.0
