review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
752304638,https://www.tripadvisor.com/Hotel_Review-g1066461-d3173252-Reviews-THE_GATE_HOTEL_Asakusa_Kaminarimon_by_HULIC-Taito_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,THE GATE HOTEL Asakusa Kaminarimon by HULIC,"April 5, 2020","This hotel was awesome. Everything was great and my wife and I are still talking about it months later. One of the things we always think of is the French toast. It was light and airy and just the best. A question for the hotel. What kind of bread was used for the French toast? I have been trying to recreate my experience in the US now that our big trip is over to no avail. Thank you so much,A happy customer",,Ericoren,0,5.0
751180782,https://www.tripadvisor.com/Hotel_Review-g1066461-d3173252-Reviews-THE_GATE_HOTEL_Asakusa_Kaminarimon_by_HULIC-Taito_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,THE GATE HOTEL Asakusa Kaminarimon by HULIC,"March 17, 2020","This is ideally located for the Senso-ji temple. Also right next to the Asakusa underground and is the end of the Ginza Line.Rooms were good and secure.Breakfast was good and they had stopped the buffet due to the Covid 19 virus and served the food separately, French toast and eggs benedict were both good.Staff could not have been more helpful and professional.",,ColinGuernsey2020,0,5.0
750648918,https://www.tripadvisor.com/Hotel_Review-g1066461-d3173252-Reviews-THE_GATE_HOTEL_Asakusa_Kaminarimon_by_HULIC-Taito_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,THE GATE HOTEL Asakusa Kaminarimon by HULIC,"March 12, 2020",An extremely comfortable hotel with easy access to the subway and the Senso-Ji complex. The hotel is a perfect base from which to explore the whole of Tokyo.The area is tranquil by comparison to other districts and there’s a fabulous selection of restaurants and shops close by.The staff are extremely helpful and courteous.Views from the top floor restaurant of the SkyTree and river are very pleasant.,"Limerick, Ireland","CELlondon</div><div class=""userLoc""><strong>Limerick, Ireland</strong>",17,5.0
750187273,https://www.tripadvisor.com/Hotel_Review-g1066461-d3173252-Reviews-THE_GATE_HOTEL_Asakusa_Kaminarimon_by_HULIC-Taito_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,THE GATE HOTEL Asakusa Kaminarimon by HULIC,"March 9, 2020","We were fortunate to spend our last two nights in Tokyo at the Gate Hotel Asakusa Kaminarimon and we were not disappointed! Our double room had luxuriously comfortable beds, the amenities were ample and impeccable customer service. The Gate Hotel in Asakusa is perfectly located to explore this historic part of Tokyo and close to two metro stations too. The breakfast is more than sufficient and the view from the balcony is stunning. We had a pleasant stay and would highly recommend this hotel for solo travellers and couples. Arigato!","Brisbane, Australia","jasminemsue</div><div class=""userLoc""><strong>Brisbane, Australia</strong>",4,5.0
743057057,https://www.tripadvisor.com/Hotel_Review-g1066461-d3173252-Reviews-THE_GATE_HOTEL_Asakusa_Kaminarimon_by_HULIC-Taito_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,THE GATE HOTEL Asakusa Kaminarimon by HULIC,"February 4, 2020","Location is great, close to Ginza line with elevator exit that helps us a lot for carrying luggages. Nearby we found many restaurants, drug stores and sightseeing spots. Skytree view is fantastic especially we can see from roof of hotel building. Receptionists provide quick and warm services upon my queries. Recommend! ","Taipei, Taiwan","vlin127</div><div class=""userLoc""><strong>Taipei, Taiwan</strong>",0,5.0
740893917,https://www.tripadvisor.com/Hotel_Review-g1066461-d3173252-Reviews-THE_GATE_HOTEL_Asakusa_Kaminarimon_by_HULIC-Taito_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,THE GATE HOTEL Asakusa Kaminarimon by HULIC,"January 23, 2020",I had originally planned to stay in one of the APA hotels in Ueno/Asakusa and decided to book The Gate after reading a review. I stayed for a night and was totally satisfied with the room and the location. 2 min walk to Sensoji temple and Asakusa station (Ginza line). Plenty of eateries nearby. Had a good night sleep and had the best shower. The only thing I didn't like was the lobby was on the top floor which was kinda weird. Will stay here again.,USA,"vadaseri</div><div class=""userLoc""><strong>USA</strong>",2,4.0
740836812,https://www.tripadvisor.com/Hotel_Review-g1066461-d3173252-Reviews-THE_GATE_HOTEL_Asakusa_Kaminarimon_by_HULIC-Taito_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,THE GATE HOTEL Asakusa Kaminarimon by HULIC,"January 23, 2020",Love this hotel in tourist but traditional area of tokyoGreat room in lower floor with huge balcony to relate to the people in the streetBalcony windows opens completely big suite for hanging out with familySupermarket downstairs and near subway to haneda airportI gladly return,chile,"welltraveledA</div><div class=""userLoc""><strong>chile</strong>",123,4.0
737320130,https://www.tripadvisor.com/Hotel_Review-g1066461-d3173252-Reviews-THE_GATE_HOTEL_Asakusa_Kaminarimon_by_HULIC-Taito_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,THE GATE HOTEL Asakusa Kaminarimon by HULIC,"January 6, 2020","We stayed at The Gate for 4 nights on our trip around Japan. We arrived direct from the airport earlier than the check in time however, our room was ready and we took advantage (after a 17hr journey). The staff were very accommodating and couldn't have been more helpful during our stay. The hotel is located a short distance from the Asakusa metro station, tourist office and Senso-ji temple (the oldest in Tokyo). Breakfast was varied (pasta, chips, french toast and traditional Japanese) and delicious and the views from the restaurant (and roof top bar) are pretty special. We loved it here.",Norwich,"DaisyTulipNorwich</div><div class=""userLoc""><strong>Norwich</strong>",14,5.0
735628942,https://www.tripadvisor.com/Hotel_Review-g1066461-d3173252-Reviews-THE_GATE_HOTEL_Asakusa_Kaminarimon_by_HULIC-Taito_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,THE GATE HOTEL Asakusa Kaminarimon by HULIC,"December 30, 2019",Luxury hotel in the Asakusa area of Tokyo. Near important shrines. Friendly neighbourhood with lots of restaurants. Back streets are still a neighbourhood even in this big city. Easy introduction to Tokyo handy for the metro. Upside hotel with top floor restaurant for breakfast and rooftop bar open in the summer. We had what felt like a flatlet as the reception was on the top floor we were on the third. European and Japanese breakfasts. Can see Mount Fuji on a clear day from restaurant.,EastSussex,"Hastingstraveler</div><div class=""userLoc""><strong>EastSussex</strong>",64,5.0
733362811,https://www.tripadvisor.com/Hotel_Review-g1066461-d3173252-Reviews-THE_GATE_HOTEL_Asakusa_Kaminarimon_by_HULIC-Taito_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,THE GATE HOTEL Asakusa Kaminarimon by HULIC,"December 18, 2019",We just left Tokyo this morning. This is our 3rd visit to Tokyo. Second time stayed at this hotel. The location is great and strategic. It is very close to the tokyo metro exit and the tourist spot. There are small supermarket and japanese 药妆 just next to the hotel. The only concern is the lighting in the room is not bright enough.,"Penang Island, Malaysia","WanTsingT</div><div class=""userLoc""><strong>Penang Island, Malaysia</strong>",4,5.0
732395411,https://www.tripadvisor.com/Hotel_Review-g1066461-d3173252-Reviews-THE_GATE_HOTEL_Asakusa_Kaminarimon_by_HULIC-Taito_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,THE GATE HOTEL Asakusa Kaminarimon by HULIC,"December 13, 2019",Loved this hotel! The views from the 13th floor reception and rooftop bar were amazing. Could see the snow atop Mount Fuji! Excellent location. Walking distance to the temple and surrounding markets. So much to see and do! Will definitely stay again.,"Sunshine Coast, Australia","Earp0402</div><div class=""userLoc""><strong>Sunshine Coast, Australia</strong>",1,5.0
732278242,https://www.tripadvisor.com/Hotel_Review-g1066461-d3173252-Reviews-THE_GATE_HOTEL_Asakusa_Kaminarimon_by_HULIC-Taito_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,THE GATE HOTEL Asakusa Kaminarimon by HULIC,"December 12, 2019","Location 5/5The hotel located opposite of kaminarimon.Rounded with shops,malls and restaurants, and have a supermarket at ground floor. just 2-3 min walk from asakusa station.Hotel services 5/5Very good services.I asked many question before book and the staff have a chsystal clear answer.","Bangkok, Thailand","Aviikii</div><div class=""userLoc""><strong>Bangkok, Thailand</strong>",1,4.0
