review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
752863391,https://www.tripadvisor.com/Hotel_Review-g60763-d671150-Reviews-The_Empire_Hotel-New_York_City_New_York-or0.html?filterLang=en,The Empire Hotel,"April 23, 2020","My daughter goes to college in Nyc . Every time we visit for the past four years we stay at the empire hotel. Great location. Right near college, Central Park , restaurants and lots of shopping.?Staff and management are fabulous. I miss nyc and our little getaways.",,901dianeo,0,5.0
750486256,https://www.tripadvisor.com/Hotel_Review-g60763-d671150-Reviews-The_Empire_Hotel-New_York_City_New_York-or0.html?filterLang=en,The Empire Hotel,"March 11, 2020","Located directly across the street from Lincoln Center, the Empire Hotel is a charming, friendly, convenient hotel in the thick of NYC. We were greeted immediately as we drove up, given quick directions to check-in while receiving our pickup ticket for Valet Parking. At check-in, Luis welcomed us, thanked us for coming and asked the reason for our visit. When I explained we were there to see our son's performance at the Met Opera (his first) we we congratulated and he said he'd upgrade us and gave us a room overlooking Lincoln Center Plaza.Everyone from Bellman to Maid service were friendly and professional. We will certainly return!","Guilford, Connecticut","794timw</div><div class=""userLoc""><strong>Guilford, Connecticut</strong>",4,5.0
752200380,https://www.tripadvisor.com/Hotel_Review-g60763-d671150-Reviews-The_Empire_Hotel-New_York_City_New_York-or0.html?filterLang=en,The Empire Hotel,"April 3, 2020","The Empire Hotel is ideally situated for walking distance to lots of major attractions. Central Park is virtually minutes away , the subway is also close by - and the subway allows fast transport to all areas of New York. The rooms are reasonable sized, bed was very comfortable and the staff were available when required","Canberra, Australia","Geoff R</div><div class=""userLoc""><strong>Canberra, Australia</strong>",1,4.0
752043153,https://www.tripadvisor.com/Hotel_Review-g60763-d671150-Reviews-The_Empire_Hotel-New_York_City_New_York-or0.html?filterLang=en,The Empire Hotel,"March 30, 2020","Absolutely loved my stay here, couldn’t have picked a fault with location / hotel etc until I arrived at the airport realisingmy airpods were gone from my bag. i did not check if my airpods were in my bag as they had not been used or left my bag in the whole time i was in NYC.I contacted the hotel and they weren’t helpful at all - airpods have been removed from Find my iPhone which after speaking to apple support means someone has them and has reset them. Extremely disappointed with the response as they were removed during my stay I would have thought the hotel may have been more helpful.We 10000% checked everywhere in the room so they were not left at all - checked under the bed and every possible place things could’ve been left.Very unhappy guest!","South Shields, United Kingdom","amyheslopx</div><div class=""userLoc""><strong>South Shields, United Kingdom</strong>",1,2.0
751728382,https://www.tripadvisor.com/Hotel_Review-g60763-d671150-Reviews-The_Empire_Hotel-New_York_City_New_York-or0.html?filterLang=en,The Empire Hotel,"March 24, 2020","The location of this hotel is great! We went for a run every morning in central park and it was only a couple of mins to get to. We walked pretty much everywhere from the hotel. Our room was cosy, but that's totally to be expected in NYC, it was clean and everything functioned fine. A perfect base to explore the city from.The doormen deserve a special mention as they were always warm and welcoming.We found the rooftop bar a little fancy for us...but it might suit others better!",,HanBod93,2,4.0
751139625,https://www.tripadvisor.com/Hotel_Review-g60763-d671150-Reviews-The_Empire_Hotel-New_York_City_New_York-or5.html?filterLang=en,The Empire Hotel,"March 16, 2020","Amongst all the madness going on worldwide, I have to say that this hotel has continued to give ‘normal’, friendly and outstanding customer service. Tommy one of the doormen I can honestly say made my whole trip! His attitudeWas just so refreshing. Being a foreigner in NY and especially during this crisis a lot of people aren’t treating you the same as during normal periods yet our time spent with Tommy felt Asif the craziness wasn’t happening. He took us up to the Empire Hotel’s sign which unfortunately had been closed and was one of the main reasons we chose this hotel. He even took pictures of us which has been a huge challenge on this trip as no one fancy’s holding your phone! He showed us some other sites as seen on GG and just overall was lovely to speak with. Even managed to get us in the bar and have a signature “Chuck Bass” cocktail! He is honestly one of the hotels best assets. This is our first day here and I have to say will be one to remember- when everything returns to normality we will be back and most definitely returning to this hotel. Thankyou Tommy for making our trip that extra bit special :) ",,Meganlhp,3,5.0
751101785,https://www.tripadvisor.com/Hotel_Review-g60763-d671150-Reviews-The_Empire_Hotel-New_York_City_New_York-or5.html?filterLang=en,The Empire Hotel,"March 16, 2020","I stayed in the hotel for a few nights before important meetings. I wanted to make sure I could sleep early and well, and the staff was extremely accommodating to make sure that I had a quiet room. I appreciate the stay and will definitely stay again.","Boston, Massachusetts","Dori R</div><div class=""userLoc""><strong>Boston, Massachusetts</strong>",0,5.0
750972225,https://www.tripadvisor.com/Hotel_Review-g60763-d671150-Reviews-The_Empire_Hotel-New_York_City_New_York-or5.html?filterLang=en,The Empire Hotel,"March 15, 2020","The location is wonderful near Lincoln Center. The lobby is beautiful, and staff is very helpful. The rooms are super small and the bathrooms are even smaller. The bathroom needed some attention with caulking and the door was warped from the moisture in the bathroom. Otherwise, everything was great! I would definitely stay there again. ","Asheville, North Carolina","Tour06469041381</div><div class=""userLoc""><strong>Asheville, North Carolina</strong>",0,4.0
750772549,https://www.tripadvisor.com/Hotel_Review-g60763-d671150-Reviews-The_Empire_Hotel-New_York_City_New_York-or5.html?filterLang=en,The Empire Hotel,"March 13, 2020","Luis was great! He made the stay great, he upgraded us to a Suite with a city view for our honeymoon thanks to Luis. The room overall was great. Good location, great waitstaff. The two head shower was a nice touch. The pool area was closed, which is where the iconic Empire Hotel sign is located. The city was great and Hotel Empire was centrally located. ","New Orleans, Louisiana","BenjaminK1438</div><div class=""userLoc""><strong>New Orleans, Louisiana</strong>",0,4.0
750488890,https://www.tripadvisor.com/Hotel_Review-g60763-d671150-Reviews-The_Empire_Hotel-New_York_City_New_York-or5.html?filterLang=en,The Empire Hotel,"March 11, 2020","I’ve stayed at this hotel before the rest of my party hadn’t. We had two rooms booked for two couples. The rooms are small but more than adequate for a city, it’s what you would expect. Bathrooms are very clean but could do with a lick of paint but I’m sure it’s in the plan. We had an issue with one of the rooms and noise which was quite loud and significantly disturbed sleep, my husband popped down to reception at 7am to see if we had any options while I was getting ready and by 710am we were moved and another quieter room arranged - never known service like it! Really great stay, perfect locations for walking in the city and jumping in the subway! Stayed before, would stay again - definitely recommend ! Thanks for a great trip! ",,ClaireS2254,1,4.0
