review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
755324140,https://www.tripadvisor.com/Hotel_Review-g60982-d87008-Reviews-The_Equus-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,The Equus,"May 22, 2020","I was really looking forward to my trip to Waikiki and to the Equus in May 2020. It was my birthday trip!Unfortunately, the Covid-19 pandemic hit and we had stay at place orders here in California and Hawaii also had strict quarantine orders. We had to cancel our trip.Unfortunately, I placed the reservation through a third party website (I will not name them, but they are horrendous to deal with) and the refused to refund me. Fine, I figured I would deal directly through the hotel.I called and was greeted by Rene. I explained to him my situation and requested to see if I could get a voucher to use my stay at a later date. He said he could definitely work with me and told him he would call me back. He called me back and did some research - Apparently, Equus didn't charge the website, and they never got any money from the transaction. He gave me his name and told me to call the company to request for a refund. If they had any questions about it, he would talk to them on my behalf.What fantastic customer service! I really appreciate Rene for being so upfront and helpful with me. I will definitely stay with them when I do rebook a trip to Waikiki. Unfortunately, I was not able to get my money back with the third party website, but I was able to get a credit on the account. I will try to use the credit with them or I will go directly through the hotel to book next time.","Sacramento, California","starriclouds</div><div class=""userLoc""><strong>Sacramento, California</strong>",0,5.0
751137048,https://www.tripadvisor.com/Hotel_Review-g60982-d87008-Reviews-The_Equus-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,The Equus,"March 16, 2020","We recommend staying at the Equus. For the price, the hotel is very comfortable and quaint! The customer service was GREAT!! We especially appreciated Lincoln who worked for the valet. He always greeted us with a smile and cheerful attitude. He was awesome at giving us suggestions on what to do and where to go. Thank you Equus for making sure we were taken care of while visiting Honolulu.",,A6544GSsarahm,0,4.0
750184560,https://www.tripadvisor.com/Hotel_Review-g60982-d87008-Reviews-The_Equus-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,The Equus,"March 9, 2020","I always choose a hotel through the reviews on Trip Advisor and find them accurate. I read all the reviews from terrible to excellent. Usually if there are any terrible reviews, I choose something else. The excellent reviews kept luring me back to The Equus Hotel. We arrived late at night and we got to our room, I realized that the terrible reviews had some merit. The room was tired and had some cleanliness issues. We spoke to Chad at the front desk and he was very helpful in finding us a beautiful suite in the hotel. It did have some street noise, but was very comfortable. The next morning we spoke to Rene at the front desk. She was the best!! We were put into a quiet room down the hall and Linelle had it sparkling and smelling fresh! Unfortunately, we didn't get Linelle cleaning our room after that and there were a few issues with towel and glass changes. The staff was great at making the situation better and we had a good stay while vacationing in Honolulu!","Saskatoon, Canada","484cheryl</div><div class=""userLoc""><strong>Saskatoon, Canada</strong>",1,3.0
749949253,https://www.tripadvisor.com/Hotel_Review-g60982-d87008-Reviews-The_Equus-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,The Equus,"March 8, 2020",Linelle at the Equus hotel in Honolulu demonstrates great Aloha spirit. I was here on business for 2 weeks and she made me feel like home! She is very friendly and she is a hard worker covering different areas to help the hotel. Such a great person,,Tpacatang,0,5.0
749152167,https://www.tripadvisor.com/Hotel_Review-g60982-d87008-Reviews-The_Equus-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,The Equus,"March 4, 2020",I was on a solo trip and I stayed at the Equus Hotel. I was happy and satisfied with my room. It was very clean and spotless. The Housekeeping staff was very friendly. I was happy to run into Linelle. She greeted and welcomed me and asked me if I needed anything to let her know. Thank you Linelle for going out of your way and making my experience an Unforgettable one. Keep up the great work and continue doing what you do at your best!,,220cheeseb,0,5.0
747212886,https://www.tripadvisor.com/Hotel_Review-g60982-d87008-Reviews-The_Equus-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,The Equus,"February 23, 2020","I Melvin Schlitzkus , Stayed at Equus hotel on Feb. 22,2020. The Staff is outstanding & very friendly . Kika is a really outstanding . last night their was live entertainment by Garton , He was very great . I definitely will be going back to Equus hotel . Thank you very much Equus hotel ..  Thank you  Mr Melvin Schlitzkus  MelSchlitzkus49@gmail.com",,MelvinSchlitzkus,0,5.0
746788106,https://www.tripadvisor.com/Hotel_Review-g60982-d87008-Reviews-The_Equus-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,The Equus,"February 22, 2020","My wife and I traveled to Oahu so I could visit a local men's bible study class. We checked in late and met Chad. He was working the overnight shift and was very pleasant and accommodating. The next day we met Cher, who ran the lobby like a boss. Jonah, Uncle and Lincoln all helped us with our valet parking, Ice, and directions. They even held food for us in the hotel refrigerator for me to take to the bible study. Renee was so kind and pleasant. We will stay here on our next trip in a couple of months. The location was perfect as we were close to everything, but not stuck in the middle of it all. Thank you to the whole Equus family for making our trip so nice. May God bless your business and continue to give you Joy in being the servants you have been called to be.",,readJohn1633,0,5.0
746423328,https://www.tripadvisor.com/Hotel_Review-g60982-d87008-Reviews-The_Equus-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,The Equus,"February 20, 2020","We checked in this evening and was Pleased and Impressed to find a card with a note from the Housekeeper Linelle, along with a cookie. We thought that was such a nice gesture and was caught off guard in a good way. Our room had a nice clean smell and the bed looked so comfortable. Our bed was made with perfection and our stripe sheet looked to crisp. Thank you Linelle for such a wonderful gesture. We are feeling right at home. Keep up the great job . We always admire your penmenship. Mahalo as your note says.",,Travelbrite2,0,5.0
746282388,https://www.tripadvisor.com/Hotel_Review-g60982-d87008-Reviews-The_Equus-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,The Equus,"February 20, 2020","We just got back from an outing and wanted to Thank the Housekeeper who cleaned our room and left a note with her name on it saying Have a great day and enjoy our stay. Mahalo, Linelle. She did such a wonderful job. Hopefully we get to meet her. Thank you again Linelle. Mahalo from the guest staying on the 4th floor","Las Vegas, Nevada","Kiara702</div><div class=""userLoc""><strong>Las Vegas, Nevada</strong>",0,5.0
745607725,https://www.tripadvisor.com/Hotel_Review-g60982-d87008-Reviews-The_Equus-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,The Equus,"February 16, 2020","After checking in on Sunday, I proceeded to my room and upon entering I found a cookie along with a welcome note written by Linelle, (Beautiful penmenship by the way!)I really felt at home with such a welcoming ambience knowing the housekeeper went above and beyond to make my stay enjoyable and pleasant. Thank you sooo much Linelle for taking the time and making that effort to make your guest feel special.",,Iangaitonde,0,5.0
