review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
752527773,https://www.tripadvisor.com/Hotel_Review-g60982-d87025-Reviews-The_Imperial_Hawaii_Resort-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,The Imperial Hawaii Resort,"April 12, 2020","Had a wonderful time staying here. Wonderful staff and in a great location, close to many restaurants and just a block away from the beach. Rooms very clean and spacious. Highly recommend the Palm Suite, it easily has plenty of room for 3-4 people.",,SThornton69,3,5.0
752435085,https://www.tripadvisor.com/Hotel_Review-g60982-d87025-Reviews-The_Imperial_Hawaii_Resort-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,The Imperial Hawaii Resort,"April 9, 2020","The Imperial's location is the best feature. Many newer resorts have more to offer. But as timeshare trades go, this place was fine. We could walk to all the Waikiki spots. March had plenty of tropical rain and thunderstorms. Staff was polite and helpful. (our stay coincided with the beginning of the pandemic) My only complaint would be the $20- a day parking. We skipped parking by doing daily car rentals (Hertz is on site) every other day. The Bus was convenient as long as weather cooperated.",California,"Lee-and-Baby</div><div class=""userLoc""><strong>California</strong>",62,3.0
751426933,https://www.tripadvisor.com/Hotel_Review-g60982-d87025-Reviews-The_Imperial_Hawaii_Resort-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,The Imperial Hawaii Resort,"March 19, 2020","The staff, lobby, house keeping, conciere (Diana), owners lounge and elevators were good. The best feature was the Island Deli in the back of the ABC store. Do check it out.The bad. Had a room on the 4th floor facing a parking garage and the roar of it's large ventilation fans. The bathroom was tiny and hasn't been updated in many years. Judging by the layout this 1 bdrom unit may have been 2 motel units at one time. The living (?) area had a murpfy bed, dresser, couch, dining table w/4 chairs and a kitchenette. A lack of outlets and desk required me to move the dining table to the murpfy bed area in order to work on my computer.Stayed here 2 weeks as a timeshare exchange. Maybe that is why I got a lower class room. Due to flight changes I needed one extra day lodging. Front desk quoted me an owners rate for that pathetic room of $210 for one night. Could have booked online for $150. Decided to go elsewhere. Thermostat for each rm was old style and difficult to find a sweet spot for temp.This place brags that it is close to Waikiki Beach. Maybe if you could fly over the other hotels. In reality there is a bit of a walk. Lots of street noise.","Traverse City, Michigan","Bill H</div><div class=""userLoc""><strong>Traverse City, Michigan</strong>",286,2.0
748549303,https://www.tripadvisor.com/Hotel_Review-g60982-d87025-Reviews-The_Imperial_Hawaii_Resort-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,The Imperial Hawaii Resort,"March 1, 2020","This is a nice resort one block off the beach. the staff are nice and they help as much as they can. We were given a room on close to the bottom floor. The windows were 5 feet above the floor and could not be looked out. there was nothing to see anyway, except a service alley. seemed like a basement. The rest of the resort was very nice. just a poor room","Haymarket, Virginia","allen H</div><div class=""userLoc""><strong>Haymarket, Virginia</strong>",16,4.0
748394577,https://www.tripadvisor.com/Hotel_Review-g60982-d87025-Reviews-The_Imperial_Hawaii_Resort-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,The Imperial Hawaii Resort,"February 29, 2020","We stayed a week here and loved it. It’s nothing fancy but the room was clean and the staff helpful and friendly. The location is very convenient to the beach, shopping and restaurants. We loved Nahe at the front desk. She always had a big smile and a friendly hello. We would stay at this timeshare again for sure. ","Saskatoon, Canada","Kelly D</div><div class=""userLoc""><strong>Saskatoon, Canada</strong>",5,4.0
748207366,https://www.tripadvisor.com/Hotel_Review-g60982-d87025-Reviews-The_Imperial_Hawaii_Resort-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,The Imperial Hawaii Resort,"February 28, 2020",Our studio room was newly remodeled very clean we had a ocean Peakview. Bed was very comfy. All areas of the hotel very clean. Great hot tub’s. Great location. Customer service was excellent. Automobile parking was inexpensive it compared to other areas of Waikiki ,"Santa Barbara, California","minicsmom</div><div class=""userLoc""><strong>Santa Barbara, California</strong>",0,5.0
748151558,https://www.tripadvisor.com/Hotel_Review-g60982-d87025-Reviews-The_Imperial_Hawaii_Resort-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,The Imperial Hawaii Resort,"February 28, 2020","This resort is showing its age and is probably not worth fixing as it would cost way too much. Its only plus is its location 5 minutes from the beach. Just note that the beach is sandy until you get into the water where there are pieces of sharp coral rock and large slippery stones. We tried out the roof-top pool, but when the wind comes up you can feel the building move so we did not feel safe. Stay away from the lobby stores, which are over-priced and the saleswoman in the clothing store was really pushy. We just wanted to look and she talked us right out of the store.","Langford, Canada","Tracy P</div><div class=""userLoc""><strong>Langford, Canada</strong>",63,2.0
745258687,https://www.tripadvisor.com/Hotel_Review-g60982-d87025-Reviews-The_Imperial_Hawaii_Resort-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,The Imperial Hawaii Resort,"February 15, 2020","We have stayed at this resort other times and for the price can’t beat, its steps from ocean, shopping and right in the heart of all the action . People are really friendly here and very accommodating. This is perfect for the whole experience. Don’t need to spend 500 a night to get the great feel of Hawaii . ","Struthers, Ohio","radeey</div><div class=""userLoc""><strong>Struthers, Ohio</strong>",13,5.0
744430772,https://www.tripadvisor.com/Hotel_Review-g60982-d87025-Reviews-The_Imperial_Hawaii_Resort-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,The Imperial Hawaii Resort,"February 11, 2020","Enjoyed another great stay at the Imperial. We love the location and are happy with some of the renovations. We have been here numerous times and will return. Location is great for the beach, shopping, dining and other activities. Almost feels like home!",,Nomad464773,2,4.0
743825567,https://www.tripadvisor.com/Hotel_Review-g60982-d87025-Reviews-The_Imperial_Hawaii_Resort-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,The Imperial Hawaii Resort,"February 8, 2020","Nice friendly staff! Clean rooms. Nice walking distance to the beach and Denny’s attached to it! Our room was updated, could have used a few more plug ins And the vanity was a bit small but otherwise ok. ",,Mamashari4,2,4.0
