review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
751131661,https://www.tripadvisor.com/Hotel_Review-g60763-d93396-Reviews-The_Iroquois_New_York-New_York_City_New_York-or0.html?filterLang=en,The Iroquois New York,"March 16, 2020","We couldn’t have asked for any better experience than if the Iroquois hotel. I researched many hotels and I’m so glad that I picked this one. Perfect Location, close enough to everything but far away enough from the mob scene of times Square. The rooms were spotless and a very nice size. Will definitely be my hotel of choice when in New York. And… A great price point as compared to the surrounding hotels on 44th St.","Charlotte, United States","Daniel S</div><div class=""userLoc""><strong>Charlotte, United States</strong>",0,5.0
685281210,https://www.tripadvisor.com/Hotel_Review-g60763-d93396-Reviews-The_Iroquois_New_York-New_York_City_New_York-or0.html?filterLang=en,The Iroquois New York,"June 29, 2019","My fifth and most fabulous stay at this hidden gem of a hotel. My husband and I and our 2 closest friends came up for 2 nights to see Hugh Jackman at the Garden. Vanessa, the hotel concierges was so helpful in arranging a driver for us. Our friend fell and broke her elbow on the day of the concert and had to go to hospital. The front desk clerks and Vanessa did everything to accommodate them. So kind and compassionate. Seth the doorman was extremely helpful also. He directed us to The Blue Bar after the concert that proved to be what we all needed after her accident. It ended up to be a fun evening. Kudos to Lenny our driver too. This man went out of his way to help us. I give all of them a huge high five. We will always stay at the Iroquois! Beautiful, clean rooms, perfect location and phenomenal staff! 5 stars! ","Baltimore, Maryland","TerriP644</div><div class=""userLoc""><strong>Baltimore, Maryland</strong>",21,5.0
750628567,https://www.tripadvisor.com/Hotel_Review-g60763-d93396-Reviews-The_Iroquois_New_York-New_York_City_New_York-or0.html?filterLang=en,The Iroquois New York,"March 12, 2020",My husband and I stay here several times a year while travelling for business. We love the boutique atmosphere and attention we get from the Iroquois. The location is perfect for our needs and always look forward to staying here.,"Ormond Beach, Florida","kosof</div><div class=""userLoc""><strong>Ormond Beach, Florida</strong>",0,5.0
750590689,https://www.tripadvisor.com/Hotel_Review-g60763-d93396-Reviews-The_Iroquois_New_York-New_York_City_New_York-or0.html?filterLang=en,The Iroquois New York,"March 12, 2020","I highly recommend this hotel! We had a great family vacation and found the staff to be accommodating and amazingly friendly and helpful. Also, we stayed here before and it was nice but the renovations fantastic. We will be back!","Yardley, Pennsylvania","lisashep2020</div><div class=""userLoc""><strong>Yardley, Pennsylvania</strong>",0,5.0
750120534,https://www.tripadvisor.com/Hotel_Review-g60763-d93396-Reviews-The_Iroquois_New_York-New_York_City_New_York-or0.html?filterLang=en,The Iroquois New York,"March 9, 2020","My husband and I travel to NYC annually, often choosing to stay in a different hotel each time. Our stay at The Algonquin was so pleasant and convenient that we my find ourselves becoming repeat guests. How nice to have a quiet, comfortable room smack dab in the middle of so much activity! We never used a taxi except to and from the airport. ",Dallas,"CJinBigD</div><div class=""userLoc""><strong>Dallas</strong>",4,5.0
750048400,https://www.tripadvisor.com/Hotel_Review-g60763-d93396-Reviews-The_Iroquois_New_York-New_York_City_New_York-or5.html?filterLang=en,The Iroquois New York,"March 9, 2020","Staff was very friendly, we arrived early and early check in was not a problem. Loved our room it was clean nicely appointed. Great location, we walked to see Hamilton, the New York Public library, the Metropolitan Museum of Art. Lots of good dining around. Hotel was very quiet.",,Adventure666362,0,5.0
750028738,https://www.tripadvisor.com/Hotel_Review-g60763-d93396-Reviews-The_Iroquois_New_York-New_York_City_New_York-or5.html?filterLang=en,The Iroquois New York,"March 9, 2020","This is probably the 6th time we have stayed at the Iroquois, after stumbling on it years ago. We love the small size of the hotel, the comfortable rooms and the extremely accommodating staff. The rates are reasonable and the 3rd night free deal made us decide to come in a day earlier. The location is perfect and we always make a point of staying at boutique hotels when possible. Iroquois never disappoints and it our go-to hotel in NYC.",,I664OAmarks,0,5.0
749491656,https://www.tripadvisor.com/Hotel_Review-g60763-d93396-Reviews-The_Iroquois_New_York-New_York_City_New_York-or5.html?filterLang=en,The Iroquois New York,"March 6, 2020","There are so many things to like about The Iroquois, from our preliminary conversations with Vanessa (an angel) to the directions given to us for how to get to JFK on our departure, the property beyond exceeded our expectations. It is perfectly situated near multiple subway options - anyone who has visited NYC will tell you how important this is - as well as easily walkable to dining, shopping, and sites. As a bonus, we were greeted warmly at reception and in our room with congratulations on our birthday/anniversary with a bottle of Prosecco -- a very nice touch. Every morning when we left the people at the desk wished us happy exploring and were happy to see us when we returned, asking us about our day. The room was comfortable and roomy by NYC standards and even though we didn't have a view (it didn't matter, we didn't need one) plenty of light came in through the three windows. We will absolutely stay here again.","Atlanta, Georgia","steph4867</div><div class=""userLoc""><strong>Atlanta, Georgia</strong>",34,5.0
748914854,https://www.tripadvisor.com/Hotel_Review-g60763-d93396-Reviews-The_Iroquois_New_York-New_York_City_New_York-or5.html?filterLang=en,The Iroquois New York,"March 3, 2020","We stay at the Iroquois Hotel frequently. We love the staff who are always helpful, polite, and professional. While you are only a block or 2 away from the heart of Times Square, you feel you are a mile away from the hustle.","Toms River, New Jersey","Duff1052</div><div class=""userLoc""><strong>Toms River, New Jersey</strong>",23,5.0
748736849,https://www.tripadvisor.com/Hotel_Review-g60763-d93396-Reviews-The_Iroquois_New_York-New_York_City_New_York-or5.html?filterLang=en,The Iroquois New York,"March 2, 2020","Ok I have mixed feelings about this hotel. Let’s start with the good things. The location is phenomenal. The hotel is between 5 and 6 Ave right by Bryant Park. The lobby smells wonderful. The doormen are very nice. The suite was big. The bathroom was also very large,I love that it had a little window and that the floors were heated. The room temp. and cleanliness were a 5. There was turn down service in the evening. Large windows in the suite. The reasons I won’t give the hotel above 4 stars- the elevator was tiny and took a very long time. We were on the 5th floor and often took the stairs. The lobby is small and the elevator is by the front desk and the people atthe front desk rarely spoke to us as we waited for the elevator or as we came in. The Lantern bar was open and popular, Friday night when we arrived, and we never saw it open again. I liked the room a lot, so if you are looking for a really good hotel room, I highly recommend it. If you are looking for more amenities and movement in a hotel this one isn’t the one. ","Miami, Florida","ACairoU</div><div class=""userLoc""><strong>Miami, Florida</strong>",32,4.0
