review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
751974695,https://www.tripadvisor.com/Hotel_Review-g14129734-d18854227-Reviews-The_Lively_Azabujuban_Tokyo-Azabujuban_Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,The Lively Azabujuban Tokyo,"March 28, 2020","The service and hospitality of this hotel is really good. The trip is supposed to be a trip for my partner’s birthday. Unfortunately due to the virus outbreak, our flight got cancelled and so does our trip. Nonetheless we really appreciate the service provided by the team. They have helped arrange several booking for the birthday celebration and they respond within the day with clear status update. This is so far one of the best I have ever experienced. Very sad that I’m not able to experience the good service in person. I would still like to thank them for the service provided. Hope everyone will stay safe and healthy during this difficult period. Can’t wait to rebook once I can!","Hong Kong, China","Lawcfun</div><div class=""userLoc""><strong>Hong Kong, China</strong>",5,5.0
723127165,https://www.tripadvisor.com/Hotel_Review-g14129734-d18854227-Reviews-The_Lively_Azabujuban_Tokyo-Azabujuban_Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,The Lively Azabujuban Tokyo,"November 1, 2019",Amazing in every single way!!! Staying at lively was one of the best experiences i’ve ever had. Reflecting modern lifestyle in the heart of Tokyo. Amazing design and interior. The bar at the top floor with a superb terrace to chill. Didn’t want to leave the hotel... that says a lot. Highly recommend if you are visiting Tokyo!麻布十番に出来たばかりの新築ホテル。内装デザインが素晴らしくお部屋も最上階のバーも最高でした。特にテラスがオススメです。,,Jerere,1,5.0
751973851,https://www.tripadvisor.com/Hotel_Review-g14129734-d18854227-Reviews-The_Lively_Azabujuban_Tokyo-Azabujuban_Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,The Lively Azabujuban Tokyo,"March 28, 2020","Fancy a nice Western bar that is a great alternative to other tired hotel bars? The ""Lively"" is new and wonderful. Great signature drinks, nice and spacious with really good service. Best of all is the location, bang in the heart of Azabu Juban. FL 9, cannot comment on the hotel but the Bar has it all - great drinks, nice atmosphere, superior service in a brilliant location.",,PaddyH154,48,5.0
751918238,https://www.tripadvisor.com/Hotel_Review-g14129734-d18854227-Reviews-The_Lively_Azabujuban_Tokyo-Azabujuban_Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,The Lively Azabujuban Tokyo,"March 27, 2020","The hotel is new, the design is really great. The rooms are small, but everything is well thought through and arranged. (Not much storage space - but this is a city with high cost per square meter, so this is standard). Good bed, great shower. The (all day) coffee in the splendid lounge is high quality, and makes up for the fact that you only get one drink with breakfast (served in the adjacent cafe - not really part of the hotel, but very convenient and with a nice terrasse overlooking the street). The team at the reception is very professional and eager to help. Excellent English. There is a splendid rooftop bar, I ""inspected"" and have not been for a drink yet - but is looks very stylish. The location is also very good, lively, but not too much, lots of shops and restaurants. The metro is not that close, but if you travel light that should not be a major problem ( and is anyway advisable in view of the limited closet space in the standard rooms). ","Brussels, Belgium","NathalieandJean</div><div class=""userLoc""><strong>Brussels, Belgium</strong>",15,5.0
751468115,https://www.tripadvisor.com/Hotel_Review-g14129734-d18854227-Reviews-The_Lively_Azabujuban_Tokyo-Azabujuban_Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,The Lively Azabujuban Tokyo,"March 20, 2020","Well located and friendly hotel. Well positioned to walk. A lot of cafes , shops near . 7-Eleven nearest. Very clean hotel, great housekeeping. Great bar on the last floor. Excellent breakfast. We’re recommend. ","Khabarovsk, Russia","ienin373465</div><div class=""userLoc""><strong>Khabarovsk, Russia</strong>",0,5.0
751281148,https://www.tripadvisor.com/Hotel_Review-g14129734-d18854227-Reviews-The_Lively_Azabujuban_Tokyo-Azabujuban_Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,The Lively Azabujuban Tokyo,"March 17, 2020","Staff were well-spoken in English, amiable and helpful.Hotel was conveniently located near to Azabu Juban station with two convenient lines. lots of great food options and convenient stores around the area. Roppongi Hills and Roppongi area was located within walking distance.New hotel where Rooms were well-furnished with a comfortable size as compared to many other Tokyo Hotels.Free Drinks to the Lively Bar which looked like a great place to hangout (had 4 tickets but didnt manage to use them).Free flow happy one hour for beer lovers.First time travellers holding JR Pass may wish to stay near the Yamanote Line instead.","Singapore, Singapore","zeallim</div><div class=""userLoc""><strong>Singapore, Singapore</strong>",2,4.0
750517609,https://www.tripadvisor.com/Hotel_Review-g14129734-d18854227-Reviews-The_Lively_Azabujuban_Tokyo-Azabujuban_Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,The Lively Azabujuban Tokyo,"March 11, 2020",Cozy room and friendly staff. Located center of everything. Would definitely come back for my next visit. Free beer in the evening and free drink at roof top bar upon check in free WiFi is quite steady and fast enough to watch video etc.,,Nikki0312aaaaaa,0,5.0
747450395,https://www.tripadvisor.com/Hotel_Review-g14129734-d18854227-Reviews-The_Lively_Azabujuban_Tokyo-Azabujuban_Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,The Lively Azabujuban Tokyo,"February 24, 2020","We stayed in a lot of hotels on our travels around Japan. We chose the Lively because of it's staff, location and amazing atmosphere. Before we booked we went for drinks at the rather cool rooftop bar and were shown a room by Ms. Misaki Goto on reception. She was so friendly and helpful we booked it straight away for the last leg of our journey in Tokyo. The hotel exceeded our expectations in every way during our stay and we will definitely be using The Lively brand for future visits. The rooms are well designed and spacious for Tokyo. The doctor throughout the hotel is beautiful and needless to say it was spotlessly clean. We just want to say a big thank you to Ms Goto, Charlotte and the rest of the lovely staff at The Lively Azabujuban for such fantastic service to us.","Greater London, United Kingdom","TR4prez</div><div class=""userLoc""><strong>Greater London, United Kingdom</strong>",96,5.0
746783909,https://www.tripadvisor.com/Hotel_Review-g14129734-d18854227-Reviews-The_Lively_Azabujuban_Tokyo-Azabujuban_Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,The Lively Azabujuban Tokyo,"February 22, 2020",Came to Tokio for a family vacation and got offered this super handy wifi router by the hotel - The Lively. Awesome and allows us to navigate Tokio with online Google maps! :-) Also great hotel with very helpful english speaking staff.,,cherylsB6710VE,0,5.0
746397903,https://www.tripadvisor.com/Hotel_Review-g14129734-d18854227-Reviews-The_Lively_Azabujuban_Tokyo-Azabujuban_Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,The Lively Azabujuban Tokyo,"February 20, 2020",Amazing service! Every room you walk in has the wow factor and free beer between 5:30-630pm every night! Wow! They have also got a beautiful restaurant down in the basement and a upbeat bar up top! This place had everything!,,M8713WXjeremyn,0,5.0
