review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
755545839,https://www.tripadvisor.com/Hotel_Review-g60763-d122005-Reviews-The_New_Yorker_a_Wyndham_Hotel-New_York_City_New_York-or0.html?filterLang=en,The New Yorker a Wyndham Hotel,"May 28, 2020","During my call to the 1800 number yesterday, my experience was not very well. The 1st Rep did not really know how to help me and just had me on hold until I was transfer to Neida and let me tell you if she is not the best in there at what she do i don't know who is. She heard me out and she went above and beyond to make sure my needs were met. The level of service her and her team provided exceeded my expectations, I mean we were back and forth for like 2 hours so I really appreciate great customer service especially during these stressful times. I felt like I knew her she was so kool and I hope to meet her during my stay.","Bronx, New York","763johannav</div><div class=""userLoc""><strong>Bronx, New York</strong>",0,5.0
753609674,https://www.tripadvisor.com/Hotel_Review-g60763-d122005-Reviews-The_New_Yorker_a_Wyndham_Hotel-New_York_City_New_York-or0.html?filterLang=en,The New Yorker a Wyndham Hotel,"May 18, 2020","We arrived after a long trip from the UK into the Wyndham New Yorker. Check in was fast. The receptionist took our passports and realised it was my partners 40th birthday while staying at the hotel. They upgraded us to a city view (very nice touch) we were amazed. We went up to our room on the 36th floor, pulled the curtains open and WOW! The Empire State Building was right in front of us. It was amazing! We could also see Maddison Square Garden.The rooms are kept clean at all times. We speak more time in ours room than we would of liked due to New York doing into lock down due to Covid-19. The decor is art decor and in places, looks amazing, but in some parts, needs updating and looking after.We ate in ten Tick Tock diner attached to the hotel a couple of times. The food was ok. On the corner of the hotel is a subway entrance which made it easy to get around. The hotel is within walking distance of Times Square.The rooms are a little small but who cares, you won’t be in them for long anyway.All the staff we came across were friendly. We never had any issues at all. Check out was fast, the desk team were lovely.We will be back.","Lincoln, United Kingdom","Deanoboy84</div><div class=""userLoc""><strong>Lincoln, United Kingdom</strong>",179,5.0
753514199,https://www.tripadvisor.com/Hotel_Review-g60763-d122005-Reviews-The_New_Yorker_a_Wyndham_Hotel-New_York_City_New_York-or0.html?filterLang=en,The New Yorker a Wyndham Hotel,"May 14, 2020","My family and I had planned a trip but due to COVID it got cancelled. However, the staff at New Yorker, particularly Neida Aldama, communicated with us in detail and clarified all our doubts. The hotel gave us a voucher to be used since it was a non-refundable booking, and Neida played a really important role in communicating between us and the hotel back and forth. She’s warm, welcoming, nice, kind and an excellent staff, and I hope to meet her whenever me and my family plan to use the voucher to stay at the New Yorker!",,sharvarin2020,0,5.0
753463838,https://www.tripadvisor.com/Hotel_Review-g60763-d122005-Reviews-The_New_Yorker_a_Wyndham_Hotel-New_York_City_New_York-or0.html?filterLang=en,The New Yorker a Wyndham Hotel,"May 12, 2020","Spoke with Neida (assistant manager for reservations) regarding a past reservation I had to cancel due to COVID-19. She was so friendly, professional and very helpful! I would definitely recommend!!!!",,981daniells,0,5.0
752961784,https://www.tripadvisor.com/Hotel_Review-g60763-d122005-Reviews-The_New_Yorker_a_Wyndham_Hotel-New_York_City_New_York-or0.html?filterLang=en,The New Yorker a Wyndham Hotel,"April 27, 2020","Hey having a great time in the hotel, great rooms great views, even extended my stay, staff are doing a great job helping the front line staff, close to everything, I can even see the Empire State Building from my room.","New York City, New York","353sirem</div><div class=""userLoc""><strong>New York City, New York</strong>",2,4.0
752760678,https://www.tripadvisor.com/Hotel_Review-g60763-d122005-Reviews-The_New_Yorker_a_Wyndham_Hotel-New_York_City_New_York-or5.html?filterLang=en,The New Yorker a Wyndham Hotel,"April 19, 2020","I made a reservation at the New Yorker for a solo train trip thru multiple states in mid March. I came down with the mild version of COVID and could not travel. The cancellation policy was a 48 hour window and I called as soon as I knew I was unable to travel. After speaking to many people and having many discussions about my cancellation and refunds I spoke to Naeda who helped and listened to the situation. I know that many businesses are having difficulty especially with so many cancellations, but she took the time to listen and help me solve the problem. When my train trip is rescheduled, I will definitely stay at the New Yorker and make sure I get a chance to meet Naeda in person. We shared a great conversation about the world today and when I hung up, felt like the she makes the world a better place! Thank you for your help and for making the New Yorker top notch with customer service in these crazy times! ",,bnbnola,18,5.0
752742095,https://www.tripadvisor.com/Hotel_Review-g60763-d122005-Reviews-The_New_Yorker_a_Wyndham_Hotel-New_York_City_New_York-or5.html?filterLang=en,The New Yorker a Wyndham Hotel,"April 18, 2020","I'm baffled by some of the reviews. This hotel is fantastic and the staff are AMAZING! We stayed for 8 nights and have to say the hotel location, staff and experience added to our wonderful trip. Staff members Samira and Driss were fantastic. Kept an eye on us all week to make sure we were enjoying our stay and always gave us great advice and tips to improve our New York experience. Honestly they went above and beyond what they needed to. I travel and use many hotels, and I have to say their customer service was one of the best I've received in recent times. There was also a female concierge, whose name I forgot to jot down (sorry) she also gave us some unique tourist tip ideas which allowed us to see things in New York that we couldn't find from generic websites. The hotel is great. If you're after a seven star type hotel at sky high prices, then this ain't for you. But if you want a nice clean friendly hotel with character in a superb location at a reasonable price, then this has to be number one! I read some comments saying it's 'dated'...I can see why they'd say that, but I'd have to say it kind of adds to its character. It has that feeling of what you see in the movies and it's unique in it's own way. The views from rooms I'm sure must be amazing as it's on the corner of 8th & 34th Street. We had fantastic views, which meant we didn't have to pay to go in to multiple skyscrapers to get the views. (Apart from Empire State Building, we paid to go in there).The location is fantastic, opposite Madison Sq Gardens. Subway Station right outside the door, walking distance to most major tourist spots. I could type all day about how great our experience was in New York and I'd have to say the hotel and staff definitely made sure our experience got off to a great start and then some. It's a very busy hotel, but staff are very efficient in dealing with it. But I can see they must get some miserable people in there demanding the world and probably don't have the energy to give them the experience we got. We went in with a smile and the staff definitely appreciated it. :)Highly recommend New Yorker! And once again, thank you to the hotel and staff for a great experience.","Manchester, United Kingdom","Yid1882</div><div class=""userLoc""><strong>Manchester, United Kingdom</strong>",5,5.0
752738689,https://www.tripadvisor.com/Hotel_Review-g60763-d122005-Reviews-The_New_Yorker_a_Wyndham_Hotel-New_York_City_New_York-or5.html?filterLang=en,The New Yorker a Wyndham Hotel,"April 18, 2020","Stayed at the New Yorker in March just as Carona Virus was about to hit, possibly not the best time to visit New York but didn't queue to visit anything which was great. The New Yorker Hotel was very clean and the location couldn't have been better, just up the way from the Empire State Building and central for all the sites we wanted to visit. We were on the 34th floor of the Hotel. The room was very clean but also small but ideal for a long weekend which we were doing for my wifes Birthday with Friends. The staff were all friendly and gave us the best routes to take. We had planned to walk to the Statue of Liberty which we did the first full day(about 6 miles each way) walking along the Hudson River to keep away from crouds and took in the sights along the way. Second full dau we walked to Central Park (about 5 miles each way taking in","Romsey, United Kingdom","Martin B</div><div class=""userLoc""><strong>Romsey, United Kingdom</strong>",30,4.0
752502572,https://www.tripadvisor.com/Hotel_Review-g60763-d122005-Reviews-The_New_Yorker_a_Wyndham_Hotel-New_York_City_New_York-or5.html?filterLang=en,The New Yorker a Wyndham Hotel,"April 11, 2020",Good hotel right near to the Empire State Building. Only reason I scored so low is this - I paid a lot of money to stay here for a week - then upon arrival I had to pay a service/resort fee of nearly 250 dollars - all this got me was poor WiFi! Apart from that the rooms were clean and today - great views and lobby area was tidy Bed was comfy and bathroom has everything we needed,"Stockport, United Kingdom","arrong1988</div><div class=""userLoc""><strong>Stockport, United Kingdom</strong>",81,3.0
752437847,https://www.tripadvisor.com/Hotel_Review-g60763-d122005-Reviews-The_New_Yorker_a_Wyndham_Hotel-New_York_City_New_York-or5.html?filterLang=en,The New Yorker a Wyndham Hotel,"April 9, 2020","I had a trip planned to visit this hotel next month and had to unfortunately cancel due to the global pandemic. My trip was non-refundable, I knew that when I booked it. This was 2 months ago before COVID-19 came along. I reached out to the hotel and explained my situation. One of the hotel representatives, Nalda, went above and beyond with her customer service to allow a refund due to the circumstances. This representative contacted the third-party that I booked through and facilitated details back and forth. Her turn around time was excellent with me and I was beyond satisfied with the outcome! I would definitely recommend this hotel based off of the customer service alone! Thank you again to this hotel.",,jtrojnar227,0,5.0
