review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
746296033,https://www.tripadvisor.com/Hotel_Review-g60763-d1746459-Reviews-The_Nolitan_Hotel-New_York_City_New_York-or0.html?filterLang=en,The Nolitan Hotel,"February 20, 2020","Have stayed here many times. Usually book here or 2 others nearby depending on price that weekend (our damages for 2 nights were only $480).We like the location.Staffing is good. Of course you will be in a very small but efficient ""modern"" room.Have a free happy hour every night which is lively (we were out those times). They have gratis continental breakfast every morning - coffee, juices, fruit, and some pastries. Not gourmet but you save quite a few $s compared to nearby eateries. However, the eating area can be quite packed.Overall a good lodging although we had a burned out light and the shower had developed mold.Check them out.",Rhode Island,"JoeHouston52</div><div class=""userLoc""><strong>Rhode Island</strong>",216,4.0
743843056,https://www.tripadvisor.com/Hotel_Review-g60763-d1746459-Reviews-The_Nolitan_Hotel-New_York_City_New_York-or0.html?filterLang=en,The Nolitan Hotel,"February 8, 2020","Corner suite, great bathroom, great location and service was fine. Give the breakfast a miss there are lots of great local places to eat. I was there on business and it was pretty much impossible to do any work without properly working wifi, constant drop outs. Spoke to reception they were pretty resigned to the fact it was a common place occurrence in the evenings and that was that!If I was there on holidays wouldn’t have minded so much.","Sydney, Australia","Biptuttijack</div><div class=""userLoc""><strong>Sydney, Australia</strong>",11,3.0
743432236,https://www.tripadvisor.com/Hotel_Review-g60763-d1746459-Reviews-The_Nolitan_Hotel-New_York_City_New_York-or0.html?filterLang=en,The Nolitan Hotel,"February 6, 2020","My wife, extended family and I stayed at Nolitan NYC and were well taken care of.The thoughtful staff particularly Steven, Sherieka, Kaltrina and Samantha under the leadership of the GM Bogdan made the stay most comfortable. They are thoughtful, kind and attentive from your entry to your departure. We look forward to our next stay under the leadership of the great staff and location.",,216haroldc,1,5.0
743200856,https://www.tripadvisor.com/Hotel_Review-g60763-d1746459-Reviews-The_Nolitan_Hotel-New_York_City_New_York-or0.html?filterLang=en,The Nolitan Hotel,"February 5, 2020","My wife and I had a wonderful time staying at the Nolitan for part of our honeymoon. We were treated very well and enjoyed a nice complimentary bottle of Champaign. The interior of the room was beautiful with a great view of the city. Additionally, the staff was welcoming and were always ready to assist us with any questions we had about the area.",,zavadawedding,1,5.0
740849363,https://www.tripadvisor.com/Hotel_Review-g60763-d1746459-Reviews-The_Nolitan_Hotel-New_York_City_New_York-or0.html?filterLang=en,The Nolitan Hotel,"January 23, 2020","Perfect place to stay if you want to go to the Met or down to Twin Tower Memorial. Comfortable room, everything you need and very helpful staff! Bed was comfortable and accommodations just perfect! Thanks for relaxing stay!","West Deptford, New Jersey","papasean17</div><div class=""userLoc""><strong>West Deptford, New Jersey</strong>",1,5.0
738977226,https://www.tripadvisor.com/Hotel_Review-g60763-d1746459-Reviews-The_Nolitan_Hotel-New_York_City_New_York-or5.html?filterLang=en,The Nolitan Hotel,"January 13, 2020","We stayed here only one night for my sons 4th birthday. But it was one of the better experiences I’ve had at a hotel in New York City. The hotel is located near some great food spots and shopping. We were greeted by Toni Hudak upon our arrival and she was fantastic. She gave us all that we needed to know about the hotel and even suggested eating at the restaurant located in the hotel called The Usual. We ate there for lunch and it was delicious. Toni also helped us out with getting cupcakes for my sons 4th birthday. She was so nice to go out of her way and have it ready for a surprise. Not only was she very helpful but she is very friendly & made our stay an excellent one. This hotel is lucky to have an employee like Toni! The room itself was very clean and we had a corner room with a direct view of the Empire State Building. They also have a happy hour for guests with free champagne, wine & cheese plate. The next morning they served complimentary breakfast (pastries, yogurt & fresh cut fruit) which was great! Toni was there & she even got juices for my 2 small boys and let us know tea/coffee was ready for guests. I definitely recommend staying here because we will back for sure! Great staff & hotel!!","San Francisco, California","ninersfolife</div><div class=""userLoc""><strong>San Francisco, California</strong>",0,5.0
738971364,https://www.tripadvisor.com/Hotel_Review-g60763-d1746459-Reviews-The_Nolitan_Hotel-New_York_City_New_York-or5.html?filterLang=en,The Nolitan Hotel,"January 13, 2020","We stayed at The Nolitan in December 2019 for our honeymoon. I have never been to New York before and we had a great stay at this hotel. The location was perfect, i adore Soho and it is so close to everything and easy to catch the subway. The hotel itself was very 'New York' the lobby is cosy and cool. The bar 'the usual' offered happy hour for hotel guests every night which included free wine and a cheese platter, we loved this! Our room was small but very modern and had a great view. I would definitely recommend :)","Sydney, Australia","KateLeveille</div><div class=""userLoc""><strong>Sydney, Australia</strong>",31,5.0
738546355,https://www.tripadvisor.com/Hotel_Review-g60763-d1746459-Reviews-The_Nolitan_Hotel-New_York_City_New_York-or5.html?filterLang=en,The Nolitan Hotel,"January 11, 2020","Great location near Soho, Little Italy and Chinatown. It's the best place I have stayed in the city. Nolitan gives you modern luxury without the uncomfortable stuffiness. The King suite was very comfortable and simply well arranged. Stocked bar, snacks, robes, slippers, clean, no hotel scent comfortable bed and great view. The Usual restaurant connected to the hotel was very good as well. I would stay again and again. The staff was very professional.","New York City, New York","destinyh165</div><div class=""userLoc""><strong>New York City, New York</strong>",0,4.0
738084924,https://www.tripadvisor.com/Hotel_Review-g60763-d1746459-Reviews-The_Nolitan_Hotel-New_York_City_New_York-or5.html?filterLang=en,The Nolitan Hotel,"January 9, 2020","This is my third stay at NolitanNew York is very busy, fast-paced, and stressful when you just want to sightsee.It slows down once you get to Nolitan. You can plan your trip out from the comfort of your room here.The rooms are clean and of a unique design great for couples, Very cozy. The restaurant downstairs has great accommodation at the bar, you do not have to wait long for a drink. Management is very helpful and accommodating with directions and room service. You can rent a bike to see the city. valet parking, good drawer space. Looking forward to staying again. Walking distance to D, B,6, N, Q, R, W, J, Z subway trains.Nice urban vibe of the city. Close to tourist shopping areas.",,Josh M,2,5.0
737610751,https://www.tripadvisor.com/Hotel_Review-g60763-d1746459-Reviews-The_Nolitan_Hotel-New_York_City_New_York-or5.html?filterLang=en,The Nolitan Hotel,"January 7, 2020","My wife and I stayed a this hotel, a Sunday night, and it was a sublime experience. We were greeted by a friendly staff who seemed to anticipate our every need. Before heading up to our room , we wanted to try The Usual, the restuarant adjacent to the lobby of the hotel accesible through the side door. We were able to leave our bags at reception while we ate and had drinks, very fine. Once we were done, we headed upstairs to our room 705. It was cozy, with a modern-idustrial feel. This was a balcony room, and although freezing, we had to spend some time out there taking in that view (The Empire State Buiding and Chrysler , among others). They have great black out curtains to keep the city out once your ready to hit the hay. The mini bar is decent, stock with gin/wine/whisky and some soft drinks. There is also a snack drawer that you can pick from if you get a midnight craving. The pillows were great, with the perfect level of firmness. The next morning, just as you get out of the elevator on the lobby level, breakfast is available. They have muffins/pastries/yogurt/granola/fruits and a quality cup of coffee awaiting. Quick out was quick and easy, just the way i like it.",,Mario T,13,5.0
