review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
752607553,https://www.tripadvisor.com/Hotel_Review-g60763-d113311-Reviews-The_Peninsula_New_York-New_York_City_New_York-or0.html?filterLang=en,The Peninsula New York,"April 14, 2020","There is something about getting the news that legendary hotels like The Peninsula in NYC or the Savoy in London have closed their doors, which some how brings home the fact that we are living in unfathomable time even more so than the closing of hotels, bars & restaurants one may frequent far more often in one’s neighborhood.It is difficult to think how it is that so many places are closed around one, but even if The Peninsula & the Savoy were not one’s regular haunts, they have a symbolic place in our minds & hearts. Figures, both political & cultural, played out some of their lives at such hotels, with some there when world-altering events occurred. Rudy Giuliani was to hear about the events of 9/11 while at The Peninsula a good few of us are still familiar with lines of soccer star superstar, George Best, delivered while living at The Savoy.I have visited both a good few times & was lucky enough to be treated to a weekend end at The lPeninsula, when traveling through NYC on a trip from Oxford to Vancouver both ways in September 2002, a year .of commemoration after 9/11. Everything about The Peninsula ie truly wonderful.The location on 5th Ave at 55th signals its singularity.Right in the center of midtown NYC, it is in a prime position for important venues like The Roosevelt Centre & it is also well located for fine dining & good shopping. The bar & lounge is terrific with good service & food & drinks, as is the roof top bar & patio dining .  In fact , there was great service right across the hotel & both my nights at 5/55 were just wonderful. With all which was wonder that weekend, swimming in its roof top pool looking over 5th Ave & 55th street, topped it allI love swimming & have swam almost anywhere at a drop of a hat. Swimming high above NYC in the Peninsula’s pool is one of my favorite swimming experiences in my swimming life, which has stretched out over some 50 years, five continents & 58 counties. It is up there in my in my top five pools around the world.The Peninsula also has a very enlightened “pet” policy, allowing pets to stay with their owners,Our Buddhist dog, Riley P Fuller, was an enthusiastic traveller & bon vivant. The Peninsula was just Riley’s kind off place, as is NYC.In fact, a stay at The Peninsula was on his bucket list.If he were here now, he would’ eagerly be awaiting The Peninsula’s reopening.Posted by S Fuller","Vancouver, Canada","690sf</div><div class=""userLoc""><strong>Vancouver, Canada</strong>",19,5.0
678310647,https://www.tripadvisor.com/Hotel_Review-g60763-d113311-Reviews-The_Peninsula_New_York-New_York_City_New_York-or0.html?filterLang=en,The Peninsula New York,"June 2, 2019","The Peninsula may be the best hotel in the city! Often you pay a premium price for a mediocre experience. Here you pay a premium price and feel that the promise was delivered. The staff is incomparable. Every touch makes you feel special - including (maybe especially) housekeeping, room service, bellmen - right down the line!While I am happy to rave about our experience at the hotel, I need to add that the rooftop bar is a separate animal. We visited on multiple occasions and always felt that we entered the real New York. The one where the staff doesn't care and you are on your own in the concrete jungle - but still paying a premium price.Having shared the negative, I want to end by saying we loved our stay at The Peninsula and will be back whenever in NYC.","palm beach, fl","rslcb</div><div class=""userLoc""><strong>palm beach, fl</strong>",32,5.0
752321923,https://www.tripadvisor.com/Hotel_Review-g60763-d113311-Reviews-The_Peninsula_New_York-New_York_City_New_York-or0.html?filterLang=en,The Peninsula New York,"April 6, 2020","This is our second time in the hotel, the first was a dream and this one was simply over our expectations. We had a long stay.All the team is great and you immediately have the feeling to be at home. I appreciated the excellence of the breakfast in terms of food but even more the service. In all the departments , from the SPA cleaner to the managers I felt an incredible sense of appartenence for the hotel. Many of them works there since the opening and someone even more, when the hotel had another name. i really appreciated the welcoming of Caroline, the director of the front desk.Thank you Samir, we remember forever your smile and your enthusiasm and we will do a big advertising of the Peninsula NY to all our contacts!","Milan, Italy","fsdandy</div><div class=""userLoc""><strong>Milan, Italy</strong>",37,5.0
752252657,https://www.tripadvisor.com/Hotel_Review-g60763-d113311-Reviews-The_Peninsula_New_York-New_York_City_New_York-or0.html?filterLang=en,The Peninsula New York,"April 4, 2020","Hotel location is well located. It’s close to Central Park and Rockefeller, and Times Square is 15 minutes away. Service is impeccable. The breakfast is not bad. Rooms are somewhat spacious. This Peninsula is no match for the peninsula of Hong Kong and Shanghai, but it’s still luxurious. If price is a main factor of your stay, it is not recommended. ","St. Catharines, Canada","thegymlad</div><div class=""userLoc""><strong>St. Catharines, Canada</strong>",34,4.0
750323085,https://www.tripadvisor.com/Hotel_Review-g60763-d113311-Reviews-The_Peninsula_New_York-New_York_City_New_York-or0.html?filterLang=en,The Peninsula New York,"March 10, 2020","I come around 2-3 times a year to NY for work and I love staying at the Peninsula hotel, it is beautiful and super clean and the pool is dreamy, but I noticed that this time every staff member I interacted with was extremely helpful.From getting my favourite room and being offered a late check out until 2pm on arrival.To staff in the gym cleaning the equipment constantly, the hand sanitiser everywhere including the tiny ones in the room, etcIt has been another very pleasant stay and as I said under the current circumstances with the Coronavirus the staff has been super nice, accommodating and just very charming. Thank you to all of them","London, United Kingdom","pilarrocafort</div><div class=""userLoc""><strong>London, United Kingdom</strong>",2,5.0
749414748,https://www.tripadvisor.com/Hotel_Review-g60763-d113311-Reviews-The_Peninsula_New_York-New_York_City_New_York-or5.html?filterLang=en,The Peninsula New York,"March 5, 2020",Relatively central but when in hotel you feel isolated from the hustle and bustle outside. Good size comfortable rooms. I hadn’t stayed there in awhile and was reminded how much better it is than some of the other more central (to Times Sqaure) this is. Relatively close to Central Park as well.,"Mumbai, India","JJMcG67</div><div class=""userLoc""><strong>Mumbai, India</strong>",18,4.0
744605014,https://www.tripadvisor.com/Hotel_Review-g60763-d113311-Reviews-The_Peninsula_New_York-New_York_City_New_York-or5.html?filterLang=en,The Peninsula New York,"February 12, 2020","this hotel is great not because of the aesthetics or the name, it’s because of its employees. They go above and beyond to make sure you have what you need. The meeting space was good and the bars and restaurant in the 1st and 2nd floor were great.","Capo d'Orlando, Italy","CAnresion</div><div class=""userLoc""><strong>Capo d'Orlando, Italy</strong>",1,5.0
743650294,https://www.tripadvisor.com/Hotel_Review-g60763-d113311-Reviews-The_Peninsula_New_York-New_York_City_New_York-or5.html?filterLang=en,The Peninsula New York,"February 7, 2020","This hotel is superb and impeccable from top to bottom. The check in was smooth and swift. The room was very clean. I’m very meticulous with details; dirt and dust will aggravate and disgust me. Yet, I have no complaints of it. This is truly an amazing and lovely hotel. Customer service was sublime from each and everyone.",,EngIishMuffin,1,5.0
743193844,https://www.tripadvisor.com/Hotel_Review-g60763-d113311-Reviews-The_Peninsula_New_York-New_York_City_New_York-or5.html?filterLang=en,The Peninsula New York,"February 5, 2020","It’s really hard to get a good hotel in NYC, this place really is superb. Great breakfast, great rooms, good service, friendly (for New York) and a stunning property. It’s not quite as spectacular as it’s cousin in Beverly Hills but it is a great base for family or business stays in the Big Apple.","London, United Kingdom","JPAP-SHLC</div><div class=""userLoc""><strong>London, United Kingdom</strong>",215,5.0
742325492,https://www.tripadvisor.com/Hotel_Review-g60763-d113311-Reviews-The_Peninsula_New_York-New_York_City_New_York-or5.html?filterLang=en,The Peninsula New York,"January 31, 2020","One of two solid all-rounders currently at the top of the tree in Manhattan. Warmer and more atmospheric than the Four Seasons, and much better food by a country mile. Selective upgrading of the room product has been successful, although eventually they will need to do it properly. Clement lacks ambiance, but the food is varied and truly outstanding, with genuinely helpful staff. Gotham needs better waiters and cocktails but it’s moving forward. The rooftop Salon is one of the finest places to be, especially with the charming chalet offering. The fitness centre is very strong, you want to work out and be part of it; much of that is down to the right trainers. Pool and spa are in need of investment and revamp to compete with New York’s finest - especially the newer ones - you can always cross the street to visit them. Overall, some work to do to be the best, but a very good choice for the discerning and the best that the group has outside Asia.",,FourSeasonsElite,43,5.0
