review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
751168198,https://www.tripadvisor.com/Hotel_Review-g60982-d86954-Reviews-The_Polynesian_Residences_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,The Polynesian Residences Hotel Waikiki,"March 16, 2020","Loved our stay at the Polynesian Resistance. Rooms are very comfortable and clean. Staff is professional, efficient, and friendly, especially So Jung. The location is perfect, and we enjoyed quiet at night. Enjoyed free yoga class very much. This accommodation made for a very relaxing holiday in Waikiki .",,Widetrax,0,5.0
739686951,https://www.tripadvisor.com/Hotel_Review-g60982-d86954-Reviews-The_Polynesian_Residences_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,The Polynesian Residences Hotel Waikiki,"January 17, 2020","Stayed here for a night on New Years Eve with the family. The rooms were extremely clean and staff helpful. From time of check in to check out, Nick Son and his staff were above and beyond helping us with our needs","Las Vegas, Nevada","cptbk777</div><div class=""userLoc""><strong>Las Vegas, Nevada</strong>",0,5.0
739523492,https://www.tripadvisor.com/Hotel_Review-g60982-d86954-Reviews-The_Polynesian_Residences_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,The Polynesian Residences Hotel Waikiki,"January 16, 2020",Nick at the front desk was very nice and helpful. Everywhere is walking distance and room was clean and cozy. I would recommend this hotel to everyone. I hope I can stay at this hotel once again. Mahalo!,,LHMKO,0,5.0
730130729,https://www.tripadvisor.com/Hotel_Review-g60982-d86954-Reviews-The_Polynesian_Residences_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,The Polynesian Residences Hotel Waikiki,"December 1, 2019","Prior to arrival I had some concerns about our stay given the recent Trip Advisor reviews; I even considered moving to a different property. Upon check-in, all of my concerns were eliminated. There were no weird smells, soggy carpet, noise issues, or hygiene/cleanliness issues. Our room was on the pool side of the property and looked out on a quiet and picturesque view. The bed was incredibly comfortable and our room was spotless. We opted for daily parking at the nearby garage, which was arranged through the hotel. The walk to the garage was short and easy, and was much better (and probably cheaper) than trying to find our own parking arrangements. We appreciated the chairs and beach towels available from the front desk, as well as the hotel's willingness to hold our luggage after check out so we could enjoy our final day on the beach. Overall, we had a great and comfortable stay. Many thanks!","Portland, Oregon","greshle</div><div class=""userLoc""><strong>Portland, Oregon</strong>",4,4.0
726539044,https://www.tripadvisor.com/Hotel_Review-g60982-d86954-Reviews-The_Polynesian_Residences_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,The Polynesian Residences Hotel Waikiki,"November 14, 2019","I really really love this hotel. My husband and I was comfortable here to stay. I’m from japan. And I recommend this hotel for everybody to stay. Thank you for all the staff(Frontdesk) always smiling , housekeeping (excellent) and thanks to the manager Who run in this hotel.he makes this hotel nice. Mahalo",,winston d,1,5.0
721345430,https://www.tripadvisor.com/Hotel_Review-g60982-d86954-Reviews-The_Polynesian_Residences_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,The Polynesian Residences Hotel Waikiki,"October 25, 2019","I do not really care what view I am having or a Queen or kingbed or size of room but what I care about is hygiene.I want my room to be clean that is a minimum. So when I entered my room I found shaved hairs everywhere. In shower...in sink..in bed...So I called frontdesk. Sorry but as being a hotelmanager I would never have any of this staff working for me. The frontdesk people are not really friendly and it is like they really do not like their job. When you check in they do not give you any information about towels or the hotel itself. I am a back patient and had to carry my luggage myself!! Anyway...When I called frontdesk for the hairs, they sent somebody to clean it up. It was better but still I had to clean it up myself if I wanted it clean...not my view of being on a holiday.Also the next day I found hairs and even a dirty cloth that they forgot. They did not clean my coffee cup etc..So for me that cleaning team can defenitely improve a lot.Also the frontdesk can defenitely do better. If I have a simple question like what time does the swimmingpool has sun? I get an answer like I don't know...really?? You work there...it is a small thing to know.. But anyway.. also for you to know that if you are a light sleeper...forget to sleep before 1am. The hotel is situated at one of the bussiest streets in Honolulu...constant cars hunking...loud music,...I would never stay here again.",Costa Rica,"Ilseguanoke</div><div class=""userLoc""><strong>Costa Rica</strong>",24,1.0
719725902,https://www.tripadvisor.com/Hotel_Review-g60982-d86954-Reviews-The_Polynesian_Residences_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,The Polynesian Residences Hotel Waikiki,"October 19, 2019","Clean rooms, nice staff and great location. This little hotel was perfect for our stay. We would stay there again. Reasonable price. Family friendly. They kept our bags while we went out and about until it was time to head to the airport. The room also had a small kitchenette.",,wmaine18,2,5.0
719303411,https://www.tripadvisor.com/Hotel_Review-g60982-d86954-Reviews-The_Polynesian_Residences_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,The Polynesian Residences Hotel Waikiki,"October 17, 2019","We had our family staying in 3 rooms at this hotel. Every one of them smelled awful like a mix between sewerage and strong cooking oil every day and despite asking for something to be done about it, every room remained stinky. The front of the hotel is on the very noisy main road. The ‘resort’ pool has been photo shopped on the website. It’s a small, run down pool in between buildings and the sun deck is worse! Tried booking a Pearl Harbour tour at the desk, but staff had no idea what we were asking for. Go figure. For what we paid, we felt very unimpressed. To top it off , there is a resort fee of $20 USD per day. For what?? It’s no resort! ","Brisbane, Australia","327KarenC327</div><div class=""userLoc""><strong>Brisbane, Australia</strong>",81,2.0
718752251,https://www.tripadvisor.com/Hotel_Review-g60982-d86954-Reviews-The_Polynesian_Residences_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,The Polynesian Residences Hotel Waikiki,"October 15, 2019","What a wonderful place to stay. In the heart of Waikiki, walking distance to everything. The staff were so friendly and helpful with everything. Amenities were fabulous, would definitely stay again. ",,Kim P,0,5.0
717422546,https://www.tripadvisor.com/Hotel_Review-g60982-d86954-Reviews-The_Polynesian_Residences_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,The Polynesian Residences Hotel Waikiki,"October 11, 2019","Can’t say I was very impressed, and would never stay here again. Arrived somewhere around 8pm and was leaving early in the morning, we where immediately hit with a resort fee, even though everything was paid for, from what I could see the resort consisted of a small pool with a handful of old lounge chairs around it. Sorry not very happy about this. Got to our room, opened the door and was immediately hit by the stench. Had to open the outside doors to try and get this to clear. When we took our shoes off, found out this stench was probably caused by the wet carpets in the room, great to squelch across. In the bath room, the batch was cracked and was repaired with some form of tape, also the basin was also cracked. Best part of staying here was leaving.","Melbourne, Australia","Noel D</div><div class=""userLoc""><strong>Melbourne, Australia</strong>",20,1.0
714569313,https://www.tripadvisor.com/Hotel_Review-g60982-d86954-Reviews-The_Polynesian_Residences_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or10.html?filterLang=en,The Polynesian Residences Hotel Waikiki,"October 1, 2019","We stayed at Polynesian Residence for 8 days and had a wonderful stay. Rooms spacious, modern and quiet To save parking fees we hired car from Little Hawaii rentals on a daily basis returning at night which is 2 minute walk from hotel. The hotel is centrally located and close to beaches and shops Definately recommend","Auckland, New Zealand","Kieran and Anne... D</div><div class=""userLoc""><strong>Auckland, New Zealand</strong>",1,5.0
713252607,https://www.tripadvisor.com/Hotel_Review-g60982-d86954-Reviews-The_Polynesian_Residences_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or10.html?filterLang=en,The Polynesian Residences Hotel Waikiki,"September 26, 2019","Our family were very happy here - great location for the beach and shops. A little noisy on the street side which we had to stay in to get an early check in (which we had to pay extra for) and resort fee a little high but it saved us packing beach towels which was great! Reception staff were polite and mostly friendly. Good size room, clean and tidy and easily met our expectations. Would stay here again definitley.","Sydney, Australia","Tracek</div><div class=""userLoc""><strong>Sydney, Australia</strong>",23,4.0
711813972,https://www.tripadvisor.com/Hotel_Review-g60982-d86954-Reviews-The_Polynesian_Residences_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or10.html?filterLang=en,The Polynesian Residences Hotel Waikiki,"September 21, 2019","On the positive side, the rooms are quite spacious and the location is great being quite central in Waikiki, close to the beach, shopping and dining. The hotel appears to have undergone recent renovation. We liked the kitchenette with a microwave, cooktop, toaster and refrigerator. On the negative side, we could see some dark patches along the wall in the room and bathroom and could have done with better maintenance.","Bengaluru, India","mva9</div><div class=""userLoc""><strong>Bengaluru, India</strong>",16,3.0
703031653,https://www.tripadvisor.com/Hotel_Review-g60982-d86954-Reviews-The_Polynesian_Residences_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or10.html?filterLang=en,The Polynesian Residences Hotel Waikiki,"August 25, 2019","The hotel itself is clean, well-located, and small/boutique-y. No issues there. I actually quite liked the room.But beware you will be hit with a resort fee (surprise!) on check-in. $20/day, plus tax. What does it cover, you ask? I asked. It covers the toiletries in your shower, Wifi, water in the lobby area, and the ability to check out a beach towel to take to the beach. In other words, the basic amenities of a hotel. There is no gym, no special resort-like amenities for which your resort fee is being paid. It's just....toiletries and towels. I stayed at 3 hotels on this trip as I bounced around islands, and this was the only one that charged for toiletries and wifi.",,jonxcohen,6,3.0
702715306,https://www.tripadvisor.com/Hotel_Review-g60982-d86954-Reviews-The_Polynesian_Residences_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or10.html?filterLang=en,The Polynesian Residences Hotel Waikiki,"August 24, 2019","A smaller hotel, this was a perfect place for a family with kids. Excellent and very helpful reception staff who responded immediately to address any of our questions. A nice pool and balcony. A kitchenette with a microwave, small refrigerator, toaster, cooktop, and a Keurig. Extra pillows, silverware, as well as dining and cooking utensils were great. They provide free morning yoga and lei making lessons. The resort fee (20$) also applies toward use of beach chairs, towels, boards, etc. The beach is a very short walk away and you are close to the (upscale) shopping area as well as restaurants and street performers. Pharmacy and a 7-11 are across the street. Lots of outlets in the room were great as was the really good WIFI connection. The location is in the middle of everything but we drove and the parking lot (paid) was right up the block from the hotel. In all a very positive experience with the help of very receptive front desk staff.If you are a light sleeper, the front rooms of the hotel overlook the street, which can get noisy and the back overlooks the pool, which may be quieter. The drawback was the need for repair of the ice machine, which wasn’t working, but the staff had extra ice and would fill the containers when asked.",,vall531,1,4.0
702587622,https://www.tripadvisor.com/Hotel_Review-g60982-d86954-Reviews-The_Polynesian_Residences_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or15.html?filterLang=en,The Polynesian Residences Hotel Waikiki,"August 24, 2019","The location is perfect, close to the beach, shopping stores and restaurants. The hotel was clean and decor was very nice. The room was perfect for four people, clean and had everything we needed, very quite. The staff was very nice, Victoria one of the housekeeper was so friendly, she always had a smile and very helpful. Planning to stay here again",,399roxana,0,5.0
700125419,https://www.tripadvisor.com/Hotel_Review-g60982-d86954-Reviews-The_Polynesian_Residences_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or15.html?filterLang=en,The Polynesian Residences Hotel Waikiki,"August 17, 2019","Firstly,when we checked in,the wand of the bidet toilet bowl was filthy.When you push the 'wash wand' option,I was shocked to see how dirty the wand was.Then we realised the duvets on the beds were creased,like it's been used.Not with folded lines like it's clean and new.During the 4th day of house keeping,we expected our sheets to be changed as mentioned on the hotel cards.But they were not.My husband called the front desk and front desk said that they would usually change it on ' every other day'.But it's been the 4th day of our stay.The front desk told us she will get the housekeeping to change it for us the next day.We didn't bother any more because we are leaving on the next day.Not a good experience.",,978clarissan,5,2.0
697246385,https://www.tripadvisor.com/Hotel_Review-g60982-d86954-Reviews-The_Polynesian_Residences_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or15.html?filterLang=en,The Polynesian Residences Hotel Waikiki,"August 9, 2019","Have a great emplacement in the city in Waikiki. you can walk any side and come back to hotel easily...personnel is attention to us responses. have a great opportunity to sleep there is secure,clean and hansome staff also professionnal. thks for everythink .but i came back again soon in sept 19 hope i have my room i prefered. Compare in 2 years is sooo different..10 on 10 for all decoration, atmosphere and friendly reception..i am comming from Montreal canada. and is a long trip for us. thks Mahalo x","Montreal, Canada","GrandTour397599</div><div class=""userLoc""><strong>Montreal, Canada</strong>",1,5.0
