review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
752942086,https://www.tripadvisor.com/Hotel_Review-g1066443-d10031117-Reviews-The_Prince_Gallery_Tokyo_Kioicho_A_Luxury_Collection_Hotel-Chiyoda_Tokyo_Tokyo_Prefe-or0.html?filterLang=en,"The Prince Gallery Tokyo Kioicho, A Luxury Collection Hotel","April 26, 2020","This is one of the newest hotels in Tokyo and it is absolutely amazing. The lobby and bar area are breathtaking. The staff is amazing. The rooms are spacious, modern and very comfortable. This is quite possibly the most incredible hotel experience that I have ever had.","Wheaton, Illinois","Jim F</div><div class=""userLoc""><strong>Wheaton, Illinois</strong>",2,5.0
751809183,https://www.tripadvisor.com/Hotel_Review-g1066443-d10031117-Reviews-The_Prince_Gallery_Tokyo_Kioicho_A_Luxury_Collection_Hotel-Chiyoda_Tokyo_Tokyo_Prefe-or0.html?filterLang=en,"The Prince Gallery Tokyo Kioicho, A Luxury Collection Hotel","March 25, 2020","I have come here multiple times and can’t imagine a nicer hotel in Tokyo. I actively miss this hotel when I’m home. There is an intimacy here, almost like a boutique hotel, that doesn’t conflict with the big-hotel luxury of the place; much of that is the wonderful staff service.And it is luxurious! I particularly like how every room is wonderful; you do not need to book the highest-end rooms, as you do in some hotels, to have access to features like a splendid bathroom in your room, plus the gym and pool. The entire hotel is non-smoking as well.As the hotel rooms are on the upper floors of this high-rise, every view is a gem. The window wall is one of my favorite features, with a long window seat that reminds you there is plenty of pleasure to be had just sitting with a cup of tea and a sweet and cozying up in your room.Even the standard rooms are spacious and immaculate. Small thoughtful treats will greet your arrival in your room. Beds are extremely comfortable, lights and window shades are operated by a bedside iPad. Temperatures are easily regulated. Wi-fi is free and fast. There are plenty of electric sockets. The bathroom has a huge tub and a separate shower; the toilet is tucked away behind its own door (and the toilet lid greets you by opening when you approach). The glass bath wall opaques at a touch. Tons of elegant toiletries including toothbrushes and exfoliating cloths. Robes and slippers provided, amenities such as kettles, coffee maker, refrigerator, iron, and hair dryer are all there for you. The cabinetry gleams with a clean white finish. You will wish you could just decide to live there for the next year.The pool is a large indoor lap pool at a comfortably warm temperature, the locker rooms have their own mini-onsen right there, plus a lounging area with a view. It, too, is utterly immaculate and stocked with luxe amenities.It is located in a building with a mall on the lower floors, including a gourmet grocery, restaurants, flower shop, a Dean and Deluca, etc. The stores even keep late hours.The Prince Gallery is located between two subway stations (Akasaka-Mitsuke and Nagata-Cho) on different lines, barely a block away from either. Both stops have easy access to central subway lines/stops. I never needed a taxi with such convenient subway access. Though the area’s reputation is to be surrounded by administrative buildings and such, it has plenty of walkable shopping, restaurants, etc. to its south, and Roppongi Hills just a short distance east, and it is very centrally located in Tokyo. You will not feel isolated!Basically? I would like to marry this hotel. ","Saint Clair Shores, Michigan","Michifille</div><div class=""userLoc""><strong>Saint Clair Shores, Michigan</strong>",12,5.0
751561992,https://www.tripadvisor.com/Hotel_Review-g1066443-d10031117-Reviews-The_Prince_Gallery_Tokyo_Kioicho_A_Luxury_Collection_Hotel-Chiyoda_Tokyo_Tokyo_Prefe-or0.html?filterLang=en,"The Prince Gallery Tokyo Kioicho, A Luxury Collection Hotel","March 21, 2020","Where do I begin?With the white gloved service upon arrival of our vehicle from the airport?With the swift removal of our many pieces of luggage and delivery to our room?With the quite smooth elevator ride up to reception?With the pleasant aroma of the reception area and the spotless hotel? (We did purchase the difuser oils in the gift shop!)With the smiling, polite, efficient receptionist who not only told us where to find the elevator but escorted us to it?Are you seeing a trend here?Our King room was exquistely designed and furnished, huge window wall overlooking the city, many amenities - robes, slippers, chocolates, tooth and hair brushes, etc. The most comfortable bed that can be found in a hotel with premium bedding and linens. The wet room in the bath area had a huge soaking tub, rain shower and a hand held, both with plenty of water pressure. Bathroom amenities were also plentiful and premium quality. The high tech ToTo toilet only took a few minutes to figure out for a first timer using such technology .... and it did a good job too.The smoking lounge was well appreciated by my wife who did not have to go outside to smoke. Ventilation was supurb because even as a non-smoker I hardly noticed any smell when I met her there.We only had dinner twice in the hotel ..... food and service was delightful.The bar area also served food along with drink.There are plenty of restaurants and food choices on the first 3 levels of the building ... a grocery store, Dean and DeLuca, chocolatier, bars, noodle shops, steak, etc. Something for everyone.As a bonus, it is only a 3 minute walk to the vast subway and train station which was a life saver after a full day of touring. The hotel is not inexpensive, but it is worth every Yen.If we return to Tokyo it would be our #1 pick.","Coppell, Texas","Jerry G</div><div class=""userLoc""><strong>Coppell, Texas</strong>",142,5.0
751032141,https://www.tripadvisor.com/Hotel_Review-g1066443-d10031117-Reviews-The_Prince_Gallery_Tokyo_Kioicho_A_Luxury_Collection_Hotel-Chiyoda_Tokyo_Tokyo_Prefe-or0.html?filterLang=en,"The Prince Gallery Tokyo Kioicho, A Luxury Collection Hotel","March 15, 2020","Prince Gallery is shiny and new. The hardware is impressive, and so is the tech. And the lobby and restaurant areas have sweeping views of Tokyo (and beyond.) In some rooms, you'll be treated to view of either the Palace grounds and/or Mount Fuji.The entry-level rooms are decent sized, unlike other properties. And breakfast was well executed - there's a buffet area, but eggs are made to order, and they do a suberb job of it.Service is warm and friendly. I did not use the concierge, but acquaintances have raved about how awesome they are - I don't doubt it.In a city that is in no way lacking in world-class luxury accommodations, amazingly a Marriott property stands neck-and-neck with the best of them. And it's a better value than most of the others (such as Aman.)","San Jose, California","KI-NRT</div><div class=""userLoc""><strong>San Jose, California</strong>",148,5.0
749019222,https://www.tripadvisor.com/Hotel_Review-g1066443-d10031117-Reviews-The_Prince_Gallery_Tokyo_Kioicho_A_Luxury_Collection_Hotel-Chiyoda_Tokyo_Tokyo_Prefe-or0.html?filterLang=en,"The Prince Gallery Tokyo Kioicho, A Luxury Collection Hotel","March 4, 2020","There is something simply amazing about how far the staff and this hotel goes to be perfect. From the amazing lobby staff (Thank you Risa O. and Sumire S) that greet you in white gloves, perfect uniforms, with a professionalism that is second to none - to the details of floor to ceiling Chrystal clear windows with the best views of Tokyo - to the best bed I have slept in ever, The Prince Gallery is true 5 star service in every aspect. The staff inspires you to be better yourself , to know that every detail is important. The bar, the restaurant, the facilities, even the escalator below it, it was all perfect. There are probably hundreds of other items I didn't see that they made perfect, triple checked, and have ready. I will be staying here again in a week and looking forward to the return. The views alone at night are worth it to give yourself a treat and see what the best of the best is. It is here.",Texas,"professorxtravels</div><div class=""userLoc""><strong>Texas</strong>",23,5.0
748899742,https://www.tripadvisor.com/Hotel_Review-g1066443-d10031117-Reviews-The_Prince_Gallery_Tokyo_Kioicho_A_Luxury_Collection_Hotel-Chiyoda_Tokyo_Tokyo_Prefe-or5.html?filterLang=en,"The Prince Gallery Tokyo Kioicho, A Luxury Collection Hotel","March 3, 2020","I've stayed in numerous five star Marriott properties, and currently am an ambassador elite member. This was my third stay at the Prince Gallery, and it is my favorite hotel in this world. This hotel is something out of a cinematic production, from the moment you exit the cab you have the white glove service. There is this smell in the hallway, which is paved with this unique black stone I have never seen before in other hotels, and it just feels very therapeutic.The rooms are amazing, with huge windows, including select rooms/suites that have showers with unbelievable city views. The food is amazing, from the sushi dinner to Teppan to room service (get the Wagyu set). I just love this hotel. It is truly an experience staying here, and I encourage you to try it.",,Daniel2019SZX,1,5.0
747199892,https://www.tripadvisor.com/Hotel_Review-g1066443-d10031117-Reviews-The_Prince_Gallery_Tokyo_Kioicho_A_Luxury_Collection_Hotel-Chiyoda_Tokyo_Tokyo_Prefe-or5.html?filterLang=en,"The Prince Gallery Tokyo Kioicho, A Luxury Collection Hotel","February 23, 2020",This is one of the most expensive hotels I have ever stayed at but also one of the most absolutely amazing. The view was breathtaking the room was top notch luxury and technology and the breakfast buffet was amazing.,"Parker, Colorado","katdent75</div><div class=""userLoc""><strong>Parker, Colorado</strong>",4,5.0
745488315,https://www.tripadvisor.com/Hotel_Review-g1066443-d10031117-Reviews-The_Prince_Gallery_Tokyo_Kioicho_A_Luxury_Collection_Hotel-Chiyoda_Tokyo_Tokyo_Prefe-or5.html?filterLang=en,"The Prince Gallery Tokyo Kioicho, A Luxury Collection Hotel","February 16, 2020","I came to this hotel on my anniversary trip and the hotel was able to upgrade me to a corner room suite (I’m also Bonvoy platinum). The room was beautiful. It also had a fantastic TOTO washlet toilet with the lid and bathroom light turning on automatically when you walk in the bathroom. These toilets are far superior to any toilet in North America, why aren’t they commonplace in North America as they are in Japan?The room also had fantastic views of the city and Imperial Palace and has an iPad to control the curtains and lights etc. The pool and bath areas are great (Japanese style naked, separate sections for gents and ladies). The morning breakfast in the Oasis restaurant was awesome, great buffet options and one option from the menu. I also had dinner at Souten. It is a very nice restaurant and I got the Souten meal which was about $200 USD per person, so that is quite pricey, but it was a multi-course mealthat included Wagyu beef, so that probablyaccounts for much of the large price tag. Best part of the hotel is the staff. They are incredibly friendly and helpful. They even arranged to courier a tote bag we had mistakenly left at our last hotel in Hakuba (3-4 hours away) and it arrived in less than 24 hours. Exceptional staff, they do a wonderful job in everything they do. ","Keller, Texas","brobins66</div><div class=""userLoc""><strong>Keller, Texas</strong>",1,5.0
742380158,https://www.tripadvisor.com/Hotel_Review-g1066443-d10031117-Reviews-The_Prince_Gallery_Tokyo_Kioicho_A_Luxury_Collection_Hotel-Chiyoda_Tokyo_Tokyo_Prefe-or5.html?filterLang=en,"The Prince Gallery Tokyo Kioicho, A Luxury Collection Hotel","February 1, 2020","This hotel is absolutely 5 star! you are welcome in the facility, you feel Japanese hospitality, and the they help with anything you can dream off to get it organized for you. rooms are large, bed is really good, and service outstanding. to the metro station akasaka mitsuke it is 5 min walking.","Rhede, Germany","twittebrock</div><div class=""userLoc""><strong>Rhede, Germany</strong>",36,5.0
742097937,https://www.tripadvisor.com/Hotel_Review-g1066443-d10031117-Reviews-The_Prince_Gallery_Tokyo_Kioicho_A_Luxury_Collection_Hotel-Chiyoda_Tokyo_Tokyo_Prefe-or5.html?filterLang=en,"The Prince Gallery Tokyo Kioicho, A Luxury Collection Hotel","January 30, 2020",Use your Marriott points for this 5-star hotel. top floors only with stunning views some of Imperial Palace. One of the best locations too. Easy access through speed train and subway. Note: rates for Olympic Season start at around $800.00 for US-style room-sized 400 to 500 square feet. Highly recommended MeuterMedia,"Seal Beach, California","MeuterMedia</div><div class=""userLoc""><strong>Seal Beach, California</strong>",458,5.0
