review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
749071077,https://www.tripadvisor.com/Hotel_Review-g14129730-d579136-Reviews-The_Prince_Park_Tower_Tokyo-Shibakoen_Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,The Prince Park Tower Tokyo,"March 4, 2020",My wife & I stayed here between 26th February-01 March 2020.It was my first visit to Tokyo although a shock to the system ( Tokyo) we live in the country it’s very quiet.The Hotel was fantastic we had a corner king room a great location the staff were excellent helpful efficient and we plan to return.A special thank you to the girls at the Concierge desk ( Amy Lin & Miyuki Nishikawa for sorting out our return flights to London on Japan airlines who were also fantastic.Would recommend a trip to Japan especially this Hotel fantastic.Mark&Fiona Sullivan ,"Dornoch, United Kingdom","Gairdie</div><div class=""userLoc""><strong>Dornoch, United Kingdom</strong>",3,5.0
748036279,https://www.tripadvisor.com/Hotel_Review-g14129730-d579136-Reviews-The_Prince_Park_Tower_Tokyo-Shibakoen_Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,The Prince Park Tower Tokyo,"February 27, 2020","One of the best parts of our stay were the staff, who were friendly and helpful at every turn! We stayed for 5 nights. The water pressure in the shower was AMAZING! The room was plenty big for three of us. Nice view of the Tokyo Tower from the balcony. Convenient to the Akabanebashi station which was great for getting around.The downside was how expensive everything was in terms of add-ons and restaurants. There was a charge to use the pool, breakfast was over 100 dollars one morning ( and one of us had toast and coffee only), and our first night dinner in the Chinese restaurant was nearly the same.I would recommend this hotel based on the quality of the staff. The only reason I may not stay there again is if we choose to stay in a different area of town.","Loomis, California","allie8213</div><div class=""userLoc""><strong>Loomis, California</strong>",20,4.0
747752702,https://www.tripadvisor.com/Hotel_Review-g14129730-d579136-Reviews-The_Prince_Park_Tower_Tokyo-Shibakoen_Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,The Prince Park Tower Tokyo,"February 26, 2020","Very nice place to stay, next to the park, close to all shops and restaurants. Staff very nice, bakery, SPA, shops and swimming pool really good. Great ""no cleaning"" deal, supporting the environment. Spacious room, with great view, Jacuzzi in the bath tub etc. Only prices and table charge for every drink in a sky bar were a disgrace.","County Cork, Ireland","Iwona N</div><div class=""userLoc""><strong>County Cork, Ireland</strong>",58,5.0
743723215,https://www.tripadvisor.com/Hotel_Review-g14129730-d579136-Reviews-The_Prince_Park_Tower_Tokyo-Shibakoen_Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,The Prince Park Tower Tokyo,"February 8, 2020","Arrived at their amazing lobby reminded me of Harry Potter as we just came from osaka. It's not that easy to be lugging luggages to this hotel from metro as there's stairs so if you can taxi is preferred.Their room size is huge and bathroom too plenty of room to put many cosmetic bags and family towels. Good size for a family as not many hotels in Tokyo have big sized rooms unless you pay an arm and a leg. Lots of amenities downstairs with the mini art, restaurants with many different cuisines, bakery and cake shop. And is very near the tokyo tower, loved walking past the park. Plus its also quite near ginza by taxi. Very beautiful hotel with amazing and polite staff you can feel the hotels character and gracefulness the minute you walk in. ","Brisbane, Australia","joannegoh</div><div class=""userLoc""><strong>Brisbane, Australia</strong>",11,4.0
741127188,https://www.tripadvisor.com/Hotel_Review-g14129730-d579136-Reviews-The_Prince_Park_Tower_Tokyo-Shibakoen_Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,The Prince Park Tower Tokyo,"January 25, 2020",The room was spacious and clean. Service was good with staffs being able to provide accurate information. The staffs at reception and health club could communicate in English well. One needs to pay to use the indoor heated pool and onsen. The pool was meant for lap swim and there was lifeguard all the time. The train station was about 10 to 15 mins walk from the hotel. I used the free shuttle bus from hotel to the nearest station too. I might consider returning to the hotel if I am keen to swim and use onsen while in Tokyo. ,"Singapore, Singapore","flowerpotbee</div><div class=""userLoc""><strong>Singapore, Singapore</strong>",51,4.0
740306065,https://www.tripadvisor.com/Hotel_Review-g14129730-d579136-Reviews-The_Prince_Park_Tower_Tokyo-Shibakoen_Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,The Prince Park Tower Tokyo,"January 20, 2020",I am in the lobby of the hotel waiting for the airport bus. My wife and I finished our holiday in Japan at the prince park tower. Mitsunobu Koizumi was very attentive to me when O checked in and ensured that we were looked after .Thank you Miyuki Nishikawa on concierge was very pleasant and patient listening to all my requests and made numerous restaurant reservations The top floor restaurants and the sky lounge offer excellent views for breakfast or evening drinks. The overall level of service and cleanliness was fantastic and I hope to experience the same should we return to Tokyo in the future ,"London, United Kingdom","harridan</div><div class=""userLoc""><strong>London, United Kingdom</strong>",23,5.0
735593658,https://www.tripadvisor.com/Hotel_Review-g14129730-d579136-Reviews-The_Prince_Park_Tower_Tokyo-Shibakoen_Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,The Prince Park Tower Tokyo,"December 30, 2019","Stayed here for 3 nights with my husband as our Christmas gift to each other. It did not disappoint. Check in seamless and very helpful staff at the door. Large and well appointed room with a stunning view of the tower from our little balcony. Close location to 2 metro stops, great restaurants in the basement. We ate in the statehouse the first night, wonderful food and service for the set menu. This is great hotel which is super spacious and really caters for western and Asian tastes. ","Shanghai, China","804sarahjayneg</div><div class=""userLoc""><strong>Shanghai, China</strong>",15,5.0
734943845,https://www.tripadvisor.com/Hotel_Review-g14129730-d579136-Reviews-The_Prince_Park_Tower_Tokyo-Shibakoen_Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,The Prince Park Tower Tokyo,"December 27, 2019","Exquisite experience from check-in to check-out. Clean, stylish, comfortable, spacious. Wonderful staff. Visit the Sky Lounge on the 33rd floor for breakfast for fantastic views of the Tokyo skyline. Memorable visit. Highly recommended.",,richardj100,31,5.0
733789277,https://www.tripadvisor.com/Hotel_Review-g14129730-d579136-Reviews-The_Prince_Park_Tower_Tokyo-Shibakoen_Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,The Prince Park Tower Tokyo,"December 20, 2019","The hotel itself is nice and seems to be an established location in Tokyo. My only issue is their lack of customer service. I ordered room service my last night in Tokyo, four hours after eating, a burger, I woke up with sharp pain in the stomach and was unable to sleep due to sickness. When I was checking out, I mentioned I had been sick all night. Their response was, they could not do anything unless I had a letter from a doctor! All I wanted was for them to apologize and investigate further.",,Cosmopolitan319862,0,2.0
726860269,https://www.tripadvisor.com/Hotel_Review-g14129730-d579136-Reviews-The_Prince_Park_Tower_Tokyo-Shibakoen_Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,The Prince Park Tower Tokyo,"November 16, 2019","Had a king size room with balcony on the 20th floor, with a lovely view of the Tokyo Tower and Shiba Park.Didn’t eat at the hotel as quite pricey. Plenty of places to eat locally. Easy access for the underground, approx 5 min walk away,",,Tredvj1,7,4.0
726531360,https://www.tripadvisor.com/Hotel_Review-g14129730-d579136-Reviews-The_Prince_Park_Tower_Tokyo-Shibakoen_Minato_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,The Prince Park Tower Tokyo,"November 14, 2019","We stayed here for two nights as a place to get our one year old settled into Japan before we started our travels and it didn’t disappoint!Hotel entrance is impressive, the halls, shops and level 33 bistro are all classy and clean. Breakfast was impressive with a large selection. Room was very large, it fit the cot all our luggage and had enough room for baby to play. Bathroom was relaxing with great view from bath tub. Nearby was a little park, a dog park, a garden and temple for us to enjoy with baby having great fun running around (very clean locations). The hotel is central (very close to Tokyo station) and we caught the airport train to Shinagawa and jumped in a cab to the hotel arriving in no more than 20 minutes. Highly recommend to all forms of traveler! ","Sydney, Australia","TetsuroH44</div><div class=""userLoc""><strong>Sydney, Australia</strong>",9,5.0
725857518,https://www.tripadvisor.com/Hotel_Review-g14129730-d579136-Reviews-The_Prince_Park_Tower_Tokyo-Shibakoen_Minato_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,The Prince Park Tower Tokyo,"November 11, 2019","Great hotel had a corner room, nice view very comfortable and clean. Staff very attentive and helpful has a pay to use gym, breakfast buffet is decent but pricey for what is served. Would definitely stay there again","Yardley, Pennsylvania","Beenster</div><div class=""userLoc""><strong>Yardley, Pennsylvania</strong>",10,4.0
725286507,https://www.tripadvisor.com/Hotel_Review-g14129730-d579136-Reviews-The_Prince_Park_Tower_Tokyo-Shibakoen_Minato_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,The Prince Park Tower Tokyo,"November 9, 2019","Ten (5 couples) of us stayed here for a total of 9 nights over a 3 week period. We stayed for 3 night spells between trips to other parts of Japan and used this hotel as our base. We stayed in Club Rooms which were lovely. Good size, well appointed, all amenities were of excellent standard, beautifully comfortable bed and pillows all with excellent views. The Club Lounge was excellent with good breakfast, all day snacks, coffee, soft drinks and beer. The evening drinks were very good with lovely food. The Staff were very friendly and professional in the Club area. Couldn’t fault them. The only negative was the bar in the basement level. The service was terrible. Plenty of staff but just no coordination. Had a couple of later evenings there and it was the same on all occasions. The Sky Bar was excellent but very very expensive!!The location of this hotel is alright. Train station is close, lovely Park on the doorstep, restaurants a short walk away. The Hotel inside is far better than it looks from the outside. It was excellent. ","Hamilton, New Zealand","KingyOE</div><div class=""userLoc""><strong>Hamilton, New Zealand</strong>",47,5.0
724763971,https://www.tripadvisor.com/Hotel_Review-g14129730-d579136-Reviews-The_Prince_Park_Tower_Tokyo-Shibakoen_Minato_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,The Prince Park Tower Tokyo,"November 7, 2019",I can recommend Prince Park Tower! Service and attentiveness unreal. Rooms spacious and comfortable. Views to die for! Did not experience any if the prior negative reviews. SkyBar is pricey currency depending might be only negative. LOVED our stay and wont think twice to come back. ,"Somerset West, South Africa","Stefan-12345</div><div class=""userLoc""><strong>Somerset West, South Africa</strong>",203,5.0
