review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
752631261,https://www.tripadvisor.com/Hotel_Review-g60763-d224224-Reviews-The_Ritz_Carlton_New_York_Central_Park-New_York_City_New_York-or0.html?filterLang=en,"The Ritz-Carlton New York, Central Park","April 14, 2020","The room is big enough, the location is on the edge of Central Park, very good scenery from the room. It’s also really pleasant for morning jogging. Very professional and friendly front desk. There are many restaurants around the hotel and there is a huge food supermarket. The hotel facilities are a bit old, but still doable. ","St. Catharines, Canada","thegymlad</div><div class=""userLoc""><strong>St. Catharines, Canada</strong>",34,4.0
749560968,https://www.tripadvisor.com/Hotel_Review-g60763-d224224-Reviews-The_Ritz_Carlton_New_York_Central_Park-New_York_City_New_York-or0.html?filterLang=en,"The Ritz-Carlton New York, Central Park","March 6, 2020","The Ritz Carlton Central Park really knows how to make guests feel welcome! Upon checking in, we were asked what our plans were and I mentioned it was my daughters birthday and we were planning to see Hamilton. Later that afternoon, we were brought a plate of chocolates and a card wishing my daughter a happy birthday. The following night, upon returning to the hotel after seeing Hamilton, we were surprised with a Hamilton book and another personalized card for my daughter. She was absolutely over the moon!Hotel room was clean, modern, and had a nice view of the park. We had consistent housekeeping, turn down service and water service. Definitely a top rate hotel! We have stayed at this ritz several times and will be back many more times!!","Stuart, Florida","Cityran</div><div class=""userLoc""><strong>Stuart, Florida</strong>",3,5.0
747136638,https://www.tripadvisor.com/Hotel_Review-g60763-d224224-Reviews-The_Ritz_Carlton_New_York_Central_Park-New_York_City_New_York-or0.html?filterLang=en,"The Ritz-Carlton New York, Central Park","February 23, 2020","The bar and restaurant surrounding the courtyard were beautiful at night, such a pleasant place to eat and drink. Great menu, excellent service with friendly attitude. Loved it here. Felt like coming home. Liked the atmosphere of restaurants better than St. Regis","Mexico City, Mexico","FunFamily619</div><div class=""userLoc""><strong>Mexico City, Mexico</strong>",20,5.0
747044920,https://www.tripadvisor.com/Hotel_Review-g60763-d224224-Reviews-The_Ritz_Carlton_New_York_Central_Park-New_York_City_New_York-or0.html?filterLang=en,"The Ritz-Carlton New York, Central Park","February 23, 2020","We have stayed at this property several times over the years, and are pleased that it remains excellent. You can't beat the location and park views. The staff are very professional and helpful. My only complaint would be that our room service breakfast was fairly lackluster.","Chicago, Illinois","Athmom</div><div class=""userLoc""><strong>Chicago, Illinois</strong>",31,5.0
746754082,https://www.tripadvisor.com/Hotel_Review-g60763-d224224-Reviews-The_Ritz_Carlton_New_York_Central_Park-New_York_City_New_York-or0.html?filterLang=en,"The Ritz-Carlton New York, Central Park","February 22, 2020","The hotel was nice, the room was clean and spacious for NYC, with a great view of Central Park. We were there for Valentine's Day night and wanted to celebrate our engagement there, plus our first date out away from our newborn baby. We loved the room and enjoyed the (way overpriced) drinks at Contour. We were surprised that, for a category 8 with a known name, their in-room dining food was so basic and dull and there were limited options for t.v. (especially no pay per view), so it wasn't very thrilling. But the worst part was our experience with check-out. The night before, I called the front desk for the opportunity for a later check-out and he gave me 2pm and I agreed. So my hubby and I planned our day accordingly to that time to leave. The next morning, I got called twice from the front desk wondering if we were extending our stay, to which I told them about our agreed 2pm check-out. Later, they called me and told me I had to check out in 30min, so we rushed out completely unprepared. If I had known there was no true availability for a later check-out, that would've been fine. The short notice that we needed to be out felt like I was another sheep in a herd that needed to shove out.",,mycharlieamor,1,3.0
744190450,https://www.tripadvisor.com/Hotel_Review-g60763-d224224-Reviews-The_Ritz_Carlton_New_York_Central_Park-New_York_City_New_York-or5.html?filterLang=en,"The Ritz-Carlton New York, Central Park","February 10, 2020",Upon checking in our room had a slight scent of cigarettes. By day two the odor was so overwhelming when we complained all the did was bring in a air purifier that did nothing to filter out the odor. On day three we requested to be moved to another room and were told that would not be a possibility for another day or two. My boyfriend and I could barely sleep and I had a horrible headache. When they finally were able to move us we were moved to a much smaller room and just overall big disappointment. Managment was rather rude as well because the room was booked under my boyfriends name and kept saying we will speak to him about any requests despite my name being on the room. He was there for meetings and was upset they were treating me that way when I was trying to resolve the problem for both of us.,,lalacey22,6,2.0
744006648,https://www.tripadvisor.com/Hotel_Review-g60763-d224224-Reviews-The_Ritz_Carlton_New_York_Central_Park-New_York_City_New_York-or5.html?filterLang=en,"The Ritz-Carlton New York, Central Park","February 9, 2020",The ritz Carlton does it again. The service was absolutely incredible and the location of this hotel made exploring the city easy!safe somewhat quiet and very relaxing!!!! Will stay again and highly recommend.,"Hilton Head, South Carolina","ElleeKayy</div><div class=""userLoc""><strong>Hilton Head, South Carolina</strong>",1,5.0
743281077,https://www.tripadvisor.com/Hotel_Review-g60763-d224224-Reviews-The_Ritz_Carlton_New_York_Central_Park-New_York_City_New_York-or5.html?filterLang=en,"The Ritz-Carlton New York, Central Park","February 5, 2020","The best hotel in NY for sure. All the amenities and service exceeded our expectations and were above any other parameter. The rooms are bright, clean and extremely comfortable with the best views of Central Park. Loved it.","Ohio City, Colorado","529lalor</div><div class=""userLoc""><strong>Ohio City, Colorado</strong>",0,5.0
741337783,https://www.tripadvisor.com/Hotel_Review-g60763-d224224-Reviews-The_Ritz_Carlton_New_York_Central_Park-New_York_City_New_York-or5.html?filterLang=en,"The Ritz-Carlton New York, Central Park","January 26, 2020",My daughter has always dreamed of seeing the macys thanksgiving day parade. Staying the Ritz Carlton for thanksgiving was the best decision.The location was absolutely perfect and we were able to have front row seats of the parade right outside the hotel.Having a hotel room directly over central park was the icing on the cake!,"New York City, New York","gswannabe</div><div class=""userLoc""><strong>New York City, New York</strong>",6,5.0
741037976,https://www.tripadvisor.com/Hotel_Review-g60763-d224224-Reviews-The_Ritz_Carlton_New_York_Central_Park-New_York_City_New_York-or5.html?filterLang=en,"The Ritz-Carlton New York, Central Park","January 24, 2020","Just returned home from our stay at the Ritz Carlton Central Park. Everything was wonderful from the moment we walked in the door to the moment we left. Everyone was out going and helpful. Club Lounge ladies and gentlemen were so helpful. I can’t name them all but just a few: Levar, Celso, Kelly, Charles and even more, couldn’t have done more for my husband and me. Only regret is that financially it will be awhile before we can return but return we will due to the impeccable service always given with a smile.",,45Bichon,1,5.0
