review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
752622083,https://www.tripadvisor.com/Hotel_Review-g60982-d10229548-Reviews-The_Ritz_Carlton_Residences-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,The Ritz-Carlton Residences Waikiki Beach,"April 14, 2020","Aloha spirit was felt from arrival to checkout (could easily have stayed longer....really did not want to depart). My spouse and I enjoyed a relaxing 3 night stay before traveling to NZ & AS. We were greeted by smiling & friendly staff who were so helpful and welcoming. Our 1BR/1B condo was modern and comfy with a great view from small balcony. Security was smooth and elevator could drop you off straight to street level. Great walking spot to wonderful restaurants, beach and high end shops. Everyone was helpful with directions or suggestions, especially Maria @ reception, exceptional service & fun with a pleasant attitude. ","Venice, Florida","P9077PNdonnac</div><div class=""userLoc""><strong>Venice, Florida</strong>",20,5.0
752019999,https://www.tripadvisor.com/Hotel_Review-g60982-d10229548-Reviews-The_Ritz_Carlton_Residences-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,The Ritz-Carlton Residences Waikiki Beach,"March 29, 2020","I stayed here briefly on a stopover before a trip with friends. Everything is mostly to the standard you would expect at a Ritz-Carlton property throughout. The location is not beachfront but still has nice views and is an easy walk to the main roads and luxury shopping. Check in was easy and very friendly concierge. The suites are geared for longer stays with kitchenettes; spacious and bathrooms are large, high tech and functional. Lots of little details at this property elevate it to a higher level, from the hotel whisking you directly to your floor, to the welcome drink and personalized check in service, to the room amenities and little welcome gifts. Not much time to experience the property as a whole but the infinity pool was perfect for an evening swim-my only comment would be there was no attendant on at that point and there was a number of wet towels that had been discarded around the deck. Gym was clean, spacious, and had all the equipment you could need. Would definitely return for a longer stay next time.",Canada,"Nessie F</div><div class=""userLoc""><strong>Canada</strong>",55,5.0
751856787,https://www.tripadvisor.com/Hotel_Review-g60982-d10229548-Reviews-The_Ritz_Carlton_Residences-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,The Ritz-Carlton Residences Waikiki Beach,"March 26, 2020","Unfortunately, we had to leave early due to Covid-19. We were having an amazing time at a most wonderful hotel. The staff, led by Caroline Grass, is what makes this hotel so special. Caroline could not have been more helpful or caring and her skills dealing with guests are unparalleled. We travel extensively and she is the best among the best. We would return just because of her --- even if the hotel were not such a lovely property.The location is terrific, there is an adults only pool, and the elevators operate on a unique system so you almost never have to wait and they are never crowded with people. A great place to stay",vancouver island,"buford33</div><div class=""userLoc""><strong>vancouver island</strong>",195,5.0
751346472,https://www.tripadvisor.com/Hotel_Review-g60982-d10229548-Reviews-The_Ritz_Carlton_Residences-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,The Ritz-Carlton Residences Waikiki Beach,"March 18, 2020","My family and I stayed at the RC AGAIN and thanks to GM Douglas Chang, Caroline and the rest of his staff, I am ""wowed"" every time! Service exceptional, Rooms clean, Valet always available, Food fresh, and so on and so on! We requested a room w/ good views of HHVs Friday night fireworks and they happily obliged. We mentioned it was my husband's birthday and they went out of their way w/ balloons and gifts! Top notch personalized service with a smile.","Los Angeles, California","lv2trvlevrywer</div><div class=""userLoc""><strong>Los Angeles, California</strong>",92,5.0
751223553,https://www.tripadvisor.com/Hotel_Review-g60982-d10229548-Reviews-The_Ritz_Carlton_Residences-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,The Ritz-Carlton Residences Waikiki Beach,"March 17, 2020","The property is the best in Waikiki. A relatively new hotel the location, rooms, grounds, pool and the service staff are impeccable. Everything you would expect at a Ritz Carlton but this one is above the one in Maui by far. I live in Waikiki so I have been to most of the properties over the years. Chris in the Valet was particularly fantastic packing our vehicle for the next destination!","Waikiki, Hawaii","TRICOASTALbill</div><div class=""userLoc""><strong>Waikiki, Hawaii</strong>",10,5.0
750982618,https://www.tripadvisor.com/Hotel_Review-g60982-d10229548-Reviews-The_Ritz_Carlton_Residences-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,The Ritz-Carlton Residences Waikiki Beach,"March 15, 2020","Great location a few minutes walking from several different beach areas. As well, lots of eateries and shopping nearby. We really enjoyed the kitchen and washer/dryer amenities in the room. The only thing I would change would be to add a rental car next time. Lots of great beaches nearby without the crowds.",medellin,"tejasmarcos</div><div class=""userLoc""><strong>medellin</strong>",32,5.0
750803383,https://www.tripadvisor.com/Hotel_Review-g60982-d10229548-Reviews-The_Ritz_Carlton_Residences-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,The Ritz-Carlton Residences Waikiki Beach,"March 13, 2020",This is our second time staying here. The 1st time there was only one tower and only one pool. We stayed in the second tower this trip and it has a pool too. The tower one pool is an adult pool only so this is great if you want a quiet pool. Just get there early as there is not many chairs. The rooms are nice and modern and the beds are so soft. The staff at the pool were lovely and are at your beckon call. We only stayed for 3 nights but the staff gave us gifts and a card for appreciation of interacting with them at the pool. Such nice men. Hope to make it back there again. ,"Delta, Canada","991micheles</div><div class=""userLoc""><strong>Delta, Canada</strong>",29,5.0
750344121,https://www.tripadvisor.com/Hotel_Review-g60982-d10229548-Reviews-The_Ritz_Carlton_Residences-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,The Ritz-Carlton Residences Waikiki Beach,"March 10, 2020","The Ritz Carlton Gold Standards are alive and well at this property. What an amazing experience we had over our brief stay. From the moment we arrived in the wee hours after a long flight delay and without my luggage, Mr. Ho at the front desk made every effort to turnaround the events.Mr. Ho’s warm welcome followed up by an amazing birthday surprise of a handwritten note (!!) along with some delicious birthday treats was such an unexpected delight. Kudos to him and the entire front desk for realizing the smallest gesture goes a long way when a trip has an auspicious start. As for the property, it is everything you expect at a Ritz Carlton and more. This property has residences and the space delivers on every point. Beautifully styled accommodation, well-appointed bathrooms, gorgeous kitchen, a bed so comfortable you want to pack it and take it with you, and extra space to make it feel like a home vs a hotel room.The location is tucked away from the hustle bustle but still right in the middle of all the shopping, dining, etc you expect in Waikiki. Plus, the view from our room did not disappoint.The infinity pool is a sight – there’s a family pool and an adults only pool to suit whatever works for your stay. Quiora was the perfect dining option for sunset cocktails and light bites. And, Dean and Deluca is onsite for all your coffee, dessert, grab & go needs. Personally, the in-room nespresso machine is all I need but the D & D brekkie is a nice option.Kudos to the team at this property, the level of care and attention to detail is everything the Ritz Carlton Gold Standards promise. To Mr. Ho at the front desk and to Mary Jane who oversees the front of house, you have my heartfelt gratitude for an amazing stay. See you next time!","Bend, Oregon","ATL-Travelbug</div><div class=""userLoc""><strong>Bend, Oregon</strong>",70,5.0
749240598,https://www.tripadvisor.com/Hotel_Review-g60982-d10229548-Reviews-The_Ritz_Carlton_Residences-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,The Ritz-Carlton Residences Waikiki Beach,"March 5, 2020","Can’t say enough about this place. Staff WONDERFUL, room WONDERFUL, cleanliness, WONDERFUL . AN EXCELLENT place to stay if your in Hawaii.... couldn’t of made our anniversary any better... Great job to all....","Lancaster, Pennsylvania","BellaA893</div><div class=""userLoc""><strong>Lancaster, Pennsylvania</strong>",56,5.0
748601857,https://www.tripadvisor.com/Hotel_Review-g60982-d10229548-Reviews-The_Ritz_Carlton_Residences-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,The Ritz-Carlton Residences Waikiki Beach,"March 1, 2020","First time staying at the Ritz and we had a fabulous time over the December holidays. The place has such a nice, luxurious vibe from the valet, service, and extremely friendly staff. We were upgraded to a lovely Deluxe Ocean View Suite. The room was spacious with washer/dryer, dining table, full refrigerator, dish washer, balcony, 2 TVs, and a nice balcony with a gorgeous view of the ocean made it super special. The pool was small but fun nonetheless. It felt like a nice luxurious apartment stay. The convenience of being right in Waikiki is great with shops and dining are right there.","Los Angeles, California","D0ubleK2</div><div class=""userLoc""><strong>Los Angeles, California</strong>",55,5.0
